Eph_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.010000e+02   1.141253e-02   2.407213e-06
 3.030000e+02   3.890538e-04   1.859025e-06
 5.050000e+02   2.284841e-04   8.811895e-07
 7.070000e+02   1.614362e-04   8.137386e-07
 9.090000e+02   1.255063e-04   7.108056e-07
 1.111000e+03   1.034811e-04   5.627482e-07
 1.313000e+03   8.668233e-05   3.446574e-07
 1.515000e+03   7.531089e-05   5.516962e-07
 1.717000e+03   6.637213e-05   4.018276e-07
 1.919000e+03   5.983701e-05   2.743645e-07
 2.121000e+03   5.456806e-05   2.698528e-07
 2.323000e+03   5.003954e-05   2.834750e-07
 2.525000e+03   4.559234e-05   1.782504e-07
 2.727000e+03   4.296937e-05   2.310946e-07
 2.929000e+03   3.979409e-05   1.602222e-07
 3.131000e+03   3.752381e-05   2.009920e-07
 3.333000e+03   3.537973e-05   1.964722e-07
 3.535000e+03   3.347614e-05   1.862393e-07
 3.737000e+03   3.194652e-05   1.902485e-07
 3.939000e+03   3.025837e-05   1.221022e-07
 4.141000e+03   2.924646e-05   1.882940e-07
 4.343000e+03   2.808704e-05   1.568620e-07
 4.545000e+03   2.677006e-05   1.074665e-07
 4.747000e+03   2.614354e-05   1.197344e-07
 4.949000e+03   2.516917e-05   8.641650e-08
 5.151000e+03   2.439837e-05   1.054564e-07
 5.353000e+03   2.372938e-05   9.605910e-08
 5.555000e+03   2.300364e-05   8.684055e-08
 5.757000e+03   2.267559e-05   1.366131e-07
 5.959000e+03   2.194166e-05   1.080822e-07
 6.161000e+03   2.097671e-05   7.480187e-08
 6.363000e+03   2.094128e-05   9.048064e-08
 6.565000e+03   2.042190e-05   7.925477e-08
 6.767000e+03   1.995941e-05   8.068500e-08
 6.969000e+03   1.956131e-05   9.003531e-08
 7.171000e+03   1.924985e-05   8.466327e-08
 7.373000e+03   1.879871e-05   7.975584e-08
 7.575000e+03   1.850065e-05   6.673888e-08
 7.777000e+03   1.836262e-05   7.990235e-08
 7.979000e+03   1.794710e-05   8.587706e-08
 8.181000e+03   1.763761e-05   8.331310e-08
 8.383000e+03   1.744207e-05   6.303073e-08
 8.585000e+03   1.707001e-05   6.200929e-08
 8.787000e+03   1.701747e-05   8.051678e-08
 8.989000e+03   1.666461e-05   6.741166e-08
 9.191000e+03   1.660564e-05   7.326448e-08
 9.393000e+03   1.631630e-05   6.254273e-08
 9.595000e+03   1.622420e-05   6.810838e-08
 9.797000e+03   1.607311e-05   7.226006e-08
 9.999000e+03   1.577100e-05   6.379438e-08
 1.020100e+04   1.572786e-05   6.861996e-08
 1.040300e+04   1.558223e-05   5.157871e-08
 1.060500e+04   1.539507e-05   5.910086e-08
 1.080700e+04   1.523573e-05   6.005014e-08
 1.100900e+04   1.517789e-05   7.430022e-08
 1.121100e+04   1.499285e-05   5.470538e-08
 1.141300e+04   1.478266e-05   5.066918e-08
 1.161500e+04   1.478789e-05   6.868903e-08
 1.181700e+04   1.459424e-05   5.566829e-08
 1.201900e+04   1.462250e-05   6.334379e-08
 1.222100e+04   1.428141e-05   6.481783e-08
 1.242300e+04   1.431657e-05   7.300347e-08
 1.262500e+04   1.416053e-05   4.853730e-08
 1.282700e+04   1.404919e-05   6.039581e-08
 1.302900e+04   1.399622e-05   5.753774e-08
 1.323100e+04   1.391219e-05   6.171225e-08
 1.343300e+04   1.368371e-05   6.128507e-08
 1.363500e+04   1.373326e-05   5.806446e-08
 1.383700e+04   1.352750e-05   5.445013e-08
 1.403900e+04   1.343841e-05   5.663157e-08
 1.424100e+04   1.347932e-05   7.495530e-08
 1.444300e+04   1.326858e-05   6.391219e-08
 1.464500e+04   1.329000e-05   5.393926e-08
 1.484700e+04   1.314035e-05   6.991460e-08
 1.504900e+04   1.303051e-05   5.859361e-08
 1.525100e+04   1.295751e-05   5.837469e-08
 1.545300e+04   1.290669e-05   6.253460e-08
 1.565500e+04   1.282559e-05   6.513512e-08
 1.585700e+04   1.275773e-05   5.823969e-08
 1.605900e+04   1.247507e-05   4.632600e-08
 1.626100e+04   1.263910e-05   5.883703e-08
 1.646300e+04   1.251423e-05   6.298152e-08
 1.666500e+04   1.241368e-05   6.361078e-08
 1.686700e+04   1.235540e-05   6.270920e-08
 1.706900e+04   1.226179e-05   4.956823e-08
 1.727100e+04   1.235347e-05   5.647326e-08
 1.747300e+04   1.213024e-05   6.241901e-08
 1.767500e+04   1.196325e-05   5.862289e-08
 1.787700e+04   1.201605e-05   5.152201e-08
 1.807900e+04   1.189964e-05   5.720966e-08
 1.828100e+04   1.190516e-05   5.624576e-08
 1.848300e+04   1.163708e-05   4.869241e-08
 1.868500e+04   1.172444e-05   6.212898e-08
 1.888700e+04   1.158724e-05   5.779248e-08
 1.908900e+04   1.157293e-05   6.772558e-08
 1.929100e+04   1.154678e-05   4.984535e-08
 1.949300e+04   1.137116e-05   5.019458e-08
 1.969500e+04   1.125853e-05   5.605463e-08
 1.989700e+04   1.113541e-05   5.504443e-08
 2.009900e+04   1.112802e-05   5.520836e-08
 2.030100e+04   1.104169e-05   5.120181e-08
 2.050300e+04   1.104280e-05   5.267484e-08
 2.070500e+04   1.091029e-05   5.384964e-08
 2.090700e+04   1.092101e-05   5.918295e-08
 2.110900e+04   1.073391e-05   4.385076e-08
 2.131100e+04   1.076084e-05   5.735600e-08
 2.151300e+04   1.068142e-05   4.827575e-08
 2.171500e+04   1.068987e-05   5.987632e-08
 2.191700e+04   1.056138e-05   4.825665e-08
 2.211900e+04   1.053757e-05   4.723337e-08
 2.232100e+04   1.043088e-05   5.867470e-08
 2.252300e+04   1.035015e-05   5.098773e-08
 2.272500e+04   1.036409e-05   5.245528e-08
 2.292700e+04   1.028402e-05   5.169140e-08
 2.312900e+04   1.019720e-05   5.172492e-08
 2.333100e+04   1.019102e-05   5.891206e-08
 2.353300e+04   1.006791e-05   5.138648e-08
 2.373500e+04   1.001933e-05   5.573262e-08
 2.393700e+04   9.934470e-06   5.562389e-08
 2.413900e+04   9.986525e-06   5.803130e-08
 2.434100e+04   9.744156e-06   5.186987e-08
 2.454300e+04   9.758393e-06   5.910236e-08
 2.474500e+04   9.837078e-06   4.618302e-08
 2.494700e+04   9.678011e-06   5.640711e-08
 2.514900e+04   9.610138e-06   5.186242e-08
 2.535100e+04   9.552518e-06   6.633515e-08
 2.555300e+04   9.462020e-06   5.765780e-08
 2.575500e+04   9.413209e-06   5.630673e-08
 2.595700e+04   9.254804e-06   4.981753e-08
 2.615900e+04   9.222212e-06   4.721816e-08
 2.636100e+04   9.243118e-06   5.444389e-08
 2.656300e+04   9.276180e-06   5.506736e-08
 2.676500e+04   9.060240e-06   4.905153e-08
 2.696700e+04   9.091142e-06   5.238960e-08
 2.716900e+04   8.896360e-06   5.254573e-08
 2.737100e+04   9.081714e-06   5.523342e-08
 2.757300e+04   8.927854e-06   4.848763e-08
 2.777500e+04   8.828650e-06   4.995259e-08
 2.797700e+04   8.832745e-06   5.865880e-08
 2.817900e+04   8.733368e-06   5.689107e-08
 2.838100e+04   8.727828e-06   5.374808e-08
 2.858300e+04   8.541845e-06   5.436670e-08
 2.878500e+04   8.510098e-06   4.981658e-08
 2.898700e+04   8.550428e-06   5.229970e-08
 2.918900e+04   8.525284e-06   6.089662e-08
 2.939100e+04   8.401181e-06   5.009490e-08
 2.959300e+04   8.294467e-06   4.026670e-08
 2.979500e+04   8.395750e-06   5.109859e-08
 2.999700e+04   8.223959e-06   5.307768e-08
 3.019900e+04   8.212809e-06   4.984498e-08
 3.040100e+04   8.128354e-06   5.060313e-08
 3.060300e+04   8.165575e-06   5.081257e-08
 3.080500e+04   8.168696e-06   5.631778e-08
 3.100700e+04   7.933914e-06   4.045925e-08
 3.120900e+04   7.952731e-06   5.437839e-08
 3.141100e+04   8.005469e-06   4.606995e-08
 3.161300e+04   7.918626e-06   5.349032e-08
 3.181500e+04   7.845958e-06   4.937096e-08
 3.201700e+04   7.690183e-06   4.502681e-08
 3.221900e+04   7.738067e-06   4.747645e-08
 3.242100e+04   7.591159e-06   4.741981e-08
 3.262300e+04   7.531845e-06   4.384481e-08
 3.282500e+04   7.679120e-06   6.115554e-08
 3.302700e+04   7.461962e-06   5.563325e-08
 3.322900e+04   7.503280e-06   4.862964e-08
 3.343100e+04   7.449761e-06   5.182406e-08
 3.363300e+04   7.353606e-06   5.985596e-08
 3.383500e+04   7.293146e-06   5.294453e-08
 3.403700e+04   7.372384e-06   5.217724e-08
 3.423900e+04   7.178574e-06   4.714015e-08
 3.444100e+04   7.185583e-06   4.318121e-08
 3.464300e+04   7.181529e-06   4.373259e-08
 3.484500e+04   7.088560e-06   4.628393e-08
 3.504700e+04   7.129908e-06   4.890956e-08
 3.524900e+04   7.079319e-06   4.807036e-08
 3.545100e+04   6.986449e-06   4.380460e-08
 3.565300e+04   7.001976e-06   4.139171e-08
 3.585500e+04   6.958216e-06   5.032552e-08
