Eph_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.010000e+02   9.779973e-03   4.687544e-05
 3.030000e+02   3.773611e-04   1.324004e-06
 5.050000e+02   2.200593e-04   6.323005e-07
 7.070000e+02   1.556631e-04   4.010139e-07
 9.090000e+02   1.205965e-04   3.071865e-07
 1.111000e+03   9.831599e-05   4.073311e-07
 1.313000e+03   8.293433e-05   2.610638e-07
 1.515000e+03   7.161088e-05   2.082396e-07
 1.717000e+03   6.304675e-05   2.072044e-07
 1.919000e+03   5.657172e-05   1.921058e-07
 2.121000e+03   5.115784e-05   2.384045e-07
 2.323000e+03   4.642242e-05   1.445616e-07
 2.525000e+03   4.261150e-05   1.327195e-07
 2.727000e+03   3.947093e-05   9.560602e-08
 2.929000e+03   3.674105e-05   1.099982e-07
 3.131000e+03   3.464871e-05   1.756392e-07
 3.333000e+03   3.225271e-05   1.080893e-07
 3.535000e+03   3.068556e-05   1.393069e-07
 3.737000e+03   2.913644e-05   1.315168e-07
 3.939000e+03   2.741268e-05   9.451814e-08
 4.141000e+03   2.612492e-05   7.544622e-08
 4.343000e+03   2.529508e-05   1.066553e-07
 4.545000e+03   2.395101e-05   6.264487e-08
 4.747000e+03   2.326963e-05   7.319231e-08
 4.949000e+03   2.259426e-05   8.762187e-08
 5.151000e+03   2.189241e-05   8.299676e-08
 5.353000e+03   2.122897e-05   8.730411e-08
 5.555000e+03   2.067921e-05   7.451105e-08
 5.757000e+03   2.031260e-05   9.838334e-08
 5.959000e+03   1.963374e-05   5.850998e-08
 6.161000e+03   1.920343e-05   5.980624e-08
 6.363000e+03   1.883464e-05   8.162189e-08
 6.565000e+03   1.836886e-05   7.748754e-08
 6.767000e+03   1.812614e-05   1.013651e-07
 6.969000e+03   1.785506e-05   1.146582e-07
 7.171000e+03   1.758621e-05   9.975148e-08
 7.373000e+03   1.738262e-05   1.284332e-07
 7.575000e+03   1.697159e-05   1.039901e-07
 7.777000e+03   1.684838e-05   1.164160e-07
 7.979000e+03   1.656077e-05   9.245771e-08
 8.181000e+03   1.651971e-05   1.467359e-07
 8.383000e+03   1.595833e-05   9.823300e-08
 8.585000e+03   1.606937e-05   1.537035e-07
 8.787000e+03   1.574600e-05   1.312812e-07
 8.989000e+03   1.565292e-05   1.451892e-07
 9.191000e+03   1.549434e-05   1.230214e-07
 9.393000e+03   1.544742e-05   1.134003e-07
 9.595000e+03   1.532918e-05   1.891769e-07
 9.797000e+03   1.509205e-05   1.274952e-07
 9.999000e+03   1.524403e-05   1.709670e-07
 1.020100e+04   1.470745e-05   9.131955e-08
 1.040300e+04   1.497830e-05   1.780634e-07
 1.060500e+04   1.450212e-05   9.886570e-08
 1.080700e+04   1.481695e-05   1.788103e-07
 1.100900e+04   1.433063e-05   1.020308e-07
 1.121100e+04   1.431615e-05   1.384005e-07
 1.141300e+04   1.443005e-05   1.651506e-07
 1.161500e+04   1.420147e-05   1.055448e-07
 1.181700e+04   1.442340e-05   1.528001e-07
 1.201900e+04   1.435861e-05   1.543088e-07
 1.222100e+04   1.427899e-05   1.537502e-07
 1.242300e+04   1.393528e-05   1.459555e-07
 1.262500e+04   1.408722e-05   1.418856e-07
 1.282700e+04   1.407710e-05   1.443415e-07
 1.302900e+04   1.401150e-05   1.525831e-07
 1.323100e+04   1.402774e-05   1.745573e-07
 1.343300e+04   1.396438e-05   1.569456e-07
 1.363500e+04   1.403214e-05   2.770368e-07
 1.383700e+04   1.345569e-05   1.687503e-07
 1.403900e+04   1.364857e-05   1.443960e-07
 1.424100e+04   1.344364e-05   1.286410e-07
 1.444300e+04   1.338145e-05   1.540164e-07
 1.464500e+04   1.349422e-05   1.914107e-07
 1.484700e+04   1.313190e-05   1.718807e-07
 1.504900e+04   1.307245e-05   1.492658e-07
 1.525100e+04   1.315245e-05   1.553182e-07
 1.545300e+04   1.267257e-05   1.108587e-07
 1.565500e+04   1.306715e-05   1.911825e-07
 1.585700e+04   1.280829e-05   1.412753e-07
 1.605900e+04   1.297797e-05   2.294201e-07
 1.626100e+04   1.292163e-05   1.477295e-07
 1.646300e+04   1.263014e-05   1.409828e-07
 1.666500e+04   1.267538e-05   1.816632e-07
 1.686700e+04   1.230968e-05   1.310713e-07
 1.706900e+04   1.248510e-05   1.582068e-07
 1.727100e+04   1.231651e-05   1.234016e-07
 1.747300e+04   1.219291e-05   1.460540e-07
 1.767500e+04   1.208694e-05   1.644712e-07
 1.787700e+04   1.219780e-05   1.506175e-07
 1.807900e+04   1.185993e-05   1.536148e-07
 1.828100e+04   1.198482e-05   1.460411e-07
 1.848300e+04   1.181412e-05   1.302403e-07
 1.868500e+04   1.193656e-05   1.427232e-07
 1.888700e+04   1.174100e-05   1.383912e-07
 1.908900e+04   1.181249e-05   1.453768e-07
 1.929100e+04   1.156634e-05   1.406200e-07
 1.949300e+04   1.139013e-05   1.408623e-07
 1.969500e+04   1.144517e-05   1.250389e-07
 1.989700e+04   1.126135e-05   1.349688e-07
 2.009900e+04   1.132272e-05   1.205050e-07
 2.030100e+04   1.139099e-05   1.511946e-07
 2.050300e+04   1.112257e-05   1.361635e-07
 2.070500e+04   1.125770e-05   1.686797e-07
 2.090700e+04   1.110388e-05   1.664227e-07
 2.110900e+04   1.100371e-05   1.601523e-07
 2.131100e+04   1.096561e-05   1.479543e-07
 2.151300e+04   1.081670e-05   1.421430e-07
 2.171500e+04   1.083265e-05   1.439880e-07
 2.191700e+04   1.085724e-05   1.519816e-07
 2.211900e+04   1.076375e-05   1.316919e-07
 2.232100e+04   1.057926e-05   1.217006e-07
 2.252300e+04   1.038782e-05   1.265497e-07
 2.272500e+04   1.073269e-05   1.659364e-07
 2.292700e+04   1.024542e-05   1.225806e-07
 2.312900e+04   1.056535e-05   1.348963e-07
 2.333100e+04   1.035560e-05   1.649514e-07
 2.353300e+04   1.033582e-05   1.573943e-07
 2.373500e+04   1.046672e-05   2.220302e-07
 2.393700e+04   1.023079e-05   1.358847e-07
 2.413900e+04   1.001094e-05   1.551484e-07
 2.434100e+04   1.008472e-05   1.591045e-07
 2.454300e+04   1.012121e-05   1.547831e-07
 2.474500e+04   1.015840e-05   2.213281e-07
 2.494700e+04   9.850089e-06   1.728210e-07
 2.514900e+04   9.627546e-06   1.417500e-07
 2.535100e+04   9.467363e-06   1.064351e-07
 2.555300e+04   9.599508e-06   1.394041e-07
 2.575500e+04   9.660625e-06   1.889652e-07
 2.595700e+04   9.801148e-06   1.851350e-07
 2.615900e+04   9.790733e-06   2.324067e-07
 2.636100e+04   9.267819e-06   1.454631e-07
 2.656300e+04   9.336306e-06   1.552630e-07
 2.676500e+04   9.242577e-06   1.764828e-07
 2.696700e+04   8.966368e-06   1.238209e-07
 2.716900e+04   8.939083e-06   1.426660e-07
 2.737100e+04   9.036979e-06   1.690437e-07
 2.757300e+04   9.218010e-06   2.173249e-07
 2.777500e+04   9.081652e-06   2.565442e-07
 2.797700e+04   8.693700e-06   1.420383e-07
 2.817900e+04   8.966755e-06   2.609814e-07
 2.838100e+04   8.686845e-06   2.322711e-07
 2.858300e+04   8.705876e-06   2.097066e-07
 2.878500e+04   9.607256e-06   5.366102e-07
 2.898700e+04   8.285164e-06   2.171068e-07
 2.918900e+04   8.591551e-06   2.098116e-07
 2.939100e+04   8.169265e-06   3.220278e-07
