Eph_lab bin centers    value    Error 
-inf   2.409468e-01   3.088104e-03
 1.509500e+02   2.870978e-05   3.924583e-07
 3.528500e+02   1.020215e-05   1.737089e-07
 5.547500e+02   6.385720e-06   1.238545e-07
 7.566500e+02   4.863682e-06   1.118925e-07
 9.585500e+02   3.769077e-06   7.676318e-08
 1.160450e+03   3.196128e-06   8.164521e-08
 1.362350e+03   2.626856e-06   6.083891e-08
 1.564250e+03   2.383899e-06   5.547882e-08
 1.766150e+03   2.072570e-06   5.098540e-08
 1.968050e+03   1.979315e-06   5.700200e-08
 2.169950e+03   1.833119e-06   5.798909e-08
 2.371850e+03   1.657783e-06   1.210426e-07
 2.573750e+03   1.441632e-06   4.484959e-08
 2.775650e+03   1.463098e-06   4.293867e-08
 2.977550e+03   1.315988e-06   3.386166e-08
 3.179450e+03   1.314533e-06   4.526264e-08
 3.381350e+03   1.193395e-06   4.522499e-08
 3.583250e+03   1.157833e-06   3.225406e-08
 3.785150e+03   1.140741e-06   3.100320e-08
 3.987050e+03   1.104183e-06   2.509783e-08
 4.188950e+03   1.150318e-06   4.349905e-08
 4.390850e+03   1.227226e-06   5.656800e-08
 4.592750e+03   1.134029e-06   2.476600e-08
 4.794650e+03   1.076107e-06   3.263365e-08
 4.996550e+03   1.185564e-06   4.838081e-08
 5.198450e+03   1.083523e-06   2.765405e-08
 5.400350e+03   1.128351e-06   2.852642e-08
 5.602250e+03   1.107897e-06   3.325602e-08
 5.804150e+03   9.686218e-07   2.183557e-08
 6.006050e+03   1.075930e-06   5.277089e-08
 6.207950e+03   1.033797e-06   2.425555e-08
 6.409850e+03   1.013844e-06   3.264185e-08
 6.611750e+03   9.901058e-07   2.976302e-08
 6.813650e+03   9.621733e-07   1.534329e-08
 7.015550e+03   9.025385e-07   2.368325e-08
 7.217450e+03   9.170329e-07   2.344850e-08
 7.419350e+03   8.970607e-07   2.225201e-08
 7.621250e+03   8.932817e-07   3.109882e-08
 7.823150e+03   8.533604e-07   3.096838e-08
 8.025050e+03   8.006111e-07   1.915486e-08
 8.226950e+03   8.162140e-07   4.307234e-08
 8.428850e+03   7.589037e-07   1.718016e-08
 8.630750e+03   7.512510e-07   1.485837e-08
 8.832650e+03   7.083453e-07   2.781250e-08
 9.034550e+03   7.077993e-07   2.929186e-08
 9.236450e+03   6.635986e-07   2.317872e-08
 9.438350e+03   6.514986e-07   1.327389e-08
 9.640250e+03   6.022980e-07   1.495273e-08
 9.842150e+03   6.682922e-07   5.967542e-08
 1.004405e+04   6.089912e-07   2.216415e-08
 1.024595e+04   5.197188e-07   1.773526e-08
 1.044785e+04   4.955996e-07   2.411164e-08
 1.064975e+04   4.334423e-07   2.451182e-08
 1.085165e+04   4.139674e-07   1.678078e-08
 1.105355e+04   3.505001e-07   1.988086e-08
 1.125545e+04   2.885372e-07   3.213623e-08
 1.145735e+04   2.814889e-07   2.563860e-08
 1.165925e+04   2.281019e-07   2.013205e-08
 1.186115e+04   2.215254e-07   3.336049e-08
 1.206305e+04   1.730190e-07   1.993893e-08
 1.226495e+04   1.105497e-07   1.068144e-08
 1.246685e+04   8.962839e-08   1.869278e-08
 1.266875e+04   3.405050e-08   4.979286e-09
 1.287065e+04   1.293147e-08   2.563256e-09
 1.307255e+04   3.955302e-12   2.972306e-12
 1.327445e+04   0.000000e+00   0.000000e+00
 1.347635e+04   0.000000e+00   0.000000e+00
 1.367825e+04   0.000000e+00   0.000000e+00
 1.388015e+04   0.000000e+00   0.000000e+00
 1.408205e+04   0.000000e+00   0.000000e+00
 1.428395e+04   0.000000e+00   0.000000e+00
 1.448585e+04   0.000000e+00   0.000000e+00
 1.468775e+04   0.000000e+00   0.000000e+00
 1.488965e+04   0.000000e+00   0.000000e+00
 1.509155e+04   0.000000e+00   0.000000e+00
 1.529345e+04   0.000000e+00   0.000000e+00
 1.549535e+04   0.000000e+00   0.000000e+00
 1.569725e+04   0.000000e+00   0.000000e+00
 1.589915e+04   0.000000e+00   0.000000e+00
 1.610105e+04   0.000000e+00   0.000000e+00
 1.630295e+04   0.000000e+00   0.000000e+00
 1.650485e+04   0.000000e+00   0.000000e+00
 1.670675e+04   0.000000e+00   0.000000e+00
