Eph_lab bin centers    value    Error 
-inf  -1.075549e-01   2.774837e-02
 1.099000e+03   6.591227e-07   3.256773e-07
 1.297000e+03   1.382551e-06   6.401673e-07
 1.495000e+03   7.269822e-07   3.895100e-07
 1.693000e+03   2.709426e-07   1.785717e-07
 1.891000e+03   6.109658e-07   3.038655e-07
 2.089000e+03   5.944040e-07   2.862945e-07
 2.287000e+03   5.893266e-07   3.262399e-07
 2.485000e+03   5.015956e-07   2.236475e-07
 2.683000e+03   1.883590e-07   1.137152e-07
 2.881000e+03   1.175621e-07   7.862157e-08
 3.079000e+03   1.693469e-07   9.944530e-08
 3.277000e+03   1.532227e-07   9.260228e-08
 3.475000e+03   9.754998e-08   5.759155e-08
 3.673000e+03   1.746206e-07   1.089592e-07
 3.871000e+03   3.827849e-07   2.057051e-07
 4.069000e+03   2.776952e-07   1.535007e-07
 4.267000e+03   6.758969e-07   4.071659e-07
 4.465000e+03   7.573147e-08   5.424443e-08
 4.663000e+03   1.087226e-07   6.181269e-08
 4.861000e+03   9.710448e-08   6.340672e-08
 5.059000e+03   2.719939e-08   2.461826e-08
 5.257000e+03   1.675313e-07   1.059251e-07
 5.455000e+03   3.971887e-08   2.964091e-08
 5.653000e+03   3.599426e-07   1.845514e-07
 5.851000e+03   2.892295e-07   1.434274e-07
 6.049000e+03   5.419974e-08   3.959343e-08
 6.247000e+03   2.588157e-07   1.291620e-07
 6.445000e+03   1.181305e-07   6.512090e-08
 6.643000e+03   5.513725e-08   3.518494e-08
 6.841000e+03   5.575749e-08   3.671035e-08
 7.039000e+03   4.239044e-08   2.636442e-08
 7.237000e+03   1.148300e-07   6.046885e-08
 7.435000e+03   2.081985e-07   1.014135e-07
 7.633000e+03   9.861926e-08   5.218158e-08
 7.831000e+03   1.164055e-07   5.942426e-08
 8.029000e+03   3.880696e-08   2.612929e-08
 8.227000e+03   1.174417e-07   6.233528e-08
 8.425000e+03   7.092999e-08   4.754041e-08
 8.623000e+03   8.990183e-08   4.478219e-08
 8.821000e+03   4.108363e-08   2.518769e-08
 9.019000e+03   4.174034e-08   2.439306e-08
 9.217000e+03   1.080393e-07   5.741539e-08
 9.415000e+03   4.741677e-08   3.019892e-08
 9.613000e+03   5.561443e-08   2.961898e-08
 9.811000e+03   4.654453e-08   2.905676e-08
 1.000900e+04   5.416886e-08   3.121478e-08
 1.020700e+04   4.594185e-08   2.831014e-08
 1.040500e+04   5.192785e-08   3.121878e-08
 1.060300e+04   7.009862e-08   4.222712e-08
 1.080100e+04   5.183937e-08   3.517733e-08
 1.099900e+04   6.720780e-08   4.466341e-08
 1.119700e+04   5.893486e-08   2.913534e-08
 1.139500e+04   7.178235e-08   4.746554e-08
 1.159300e+04   3.423886e-08   2.217858e-08
 1.179100e+04   6.810344e-08   4.187810e-08
 1.198900e+04   5.541156e-08   3.630929e-08
 1.218700e+04   4.210505e-08   3.177195e-08
 1.238500e+04   4.842254e-08   2.443820e-08
 1.258300e+04   2.432244e-08   1.558852e-08
 1.278100e+04   6.097133e-08   3.230891e-08
 1.297900e+04   4.121042e-08   2.283752e-08
 1.317700e+04   2.908207e-08   1.709091e-08
 1.337500e+04   4.007690e-08   2.352315e-08
 1.357300e+04   8.927331e-08   5.584343e-08
 1.377100e+04   3.495901e-08   2.003301e-08
 1.396900e+04   4.317552e-08   2.838193e-08
 1.416700e+04   4.124771e-08   2.616144e-08
 1.436500e+04   6.321795e-08   3.810564e-08
 1.456300e+04   7.678536e-08   3.718310e-08
 1.476100e+04   1.255458e-07   6.478586e-08
 1.495900e+04   5.631812e-08   3.868234e-08
 1.515700e+04   8.855653e-08   4.919025e-08
 1.535500e+04   4.130050e-08   2.735311e-08
 1.555300e+04   3.756753e-08   2.563883e-08
 1.575100e+04   2.282779e-08   1.335063e-08
 1.594900e+04   6.765217e-08   3.493447e-08
 1.614700e+04   7.133952e-09   5.652044e-09
 1.634500e+04   1.305672e-08   8.271828e-09
 1.654300e+04   6.477229e-08   2.947246e-08
 1.674100e+04   5.503183e-09   4.447761e-09
 1.693900e+04   3.420959e-08   2.271092e-08
 1.713700e+04   7.275045e-08   4.016872e-08
 1.733500e+04   5.411318e-08   3.212191e-08
 1.753300e+04   1.063217e-07   5.916458e-08
 1.773100e+04   1.240885e-08   6.717282e-09
 1.792900e+04   4.487746e-08   3.129320e-08
 1.812700e+04   4.262092e-08   2.596006e-08
 1.832500e+04   2.704172e-08   1.818908e-08
 1.852300e+04   4.975100e-08   2.947837e-08
 1.872100e+04   4.151680e-08   2.058905e-08
 1.891900e+04   3.883618e-08   2.064775e-08
 1.911700e+04   8.627594e-08   5.785715e-08
 1.931500e+04   5.568770e-08   3.343007e-08
 1.951300e+04   4.165788e-08   2.346144e-08
 1.971100e+04   1.336822e-08   7.830305e-09
 1.990900e+04   3.323187e-08   1.770121e-08
 2.010700e+04   9.124553e-09   6.936791e-09
 2.030500e+04   3.821681e-08   1.949769e-08
 2.050300e+04   3.798411e-08   2.296286e-08
 2.070100e+04   2.046161e-08   1.152346e-08
 2.089900e+04   5.147760e-08   2.544788e-08
 2.109700e+04   2.213645e-08   1.545323e-08
 2.129500e+04   4.353300e-08   2.357502e-08
 2.149300e+04   5.161507e-08   2.948635e-08
 2.169100e+04   4.077895e-08   2.456921e-08
 2.188900e+04   7.579211e-08   4.194965e-08
 2.208700e+04   5.035090e-08   3.125539e-08
 2.228500e+04   2.695894e-08   1.705685e-08
 2.248300e+04   2.593559e-08   1.905439e-08
 2.268100e+04   3.904386e-08   2.301522e-08
 2.287900e+04   1.745368e-08   9.444753e-09
 2.307700e+04   2.563964e-08   1.715443e-08
 2.327500e+04   6.181356e-09   5.070134e-09
 2.347300e+04   2.067182e-08   1.316728e-08
 2.367100e+04   1.659424e-08   1.013088e-08
 2.386900e+04   4.248682e-08   2.174504e-08
 2.406700e+04   3.552590e-08   2.373814e-08
 2.426500e+04   3.657057e-08   2.415505e-08
 2.446300e+04   4.487270e-08   2.319476e-08
 2.466100e+04   6.324319e-08   3.186225e-08
 2.485900e+04   8.072193e-08   5.316501e-08
 2.505700e+04   2.317249e-08   1.238811e-08
 2.525500e+04   3.453568e-09   3.031648e-09
 2.545300e+04   3.464341e-09   2.283049e-09
 2.565100e+04   4.566805e-08   2.732426e-08
 2.584900e+04   3.745450e-09   2.518862e-09
 2.604700e+04   1.094876e-08   7.870268e-09
 2.624500e+04   5.111575e-08   2.896304e-08
 2.644300e+04   3.497451e-08   1.820732e-08
 2.664100e+04   4.971522e-08   2.745813e-08
 2.683900e+04   1.598936e-08   1.186395e-08
 2.703700e+04   5.615444e-08   3.499878e-08
 2.723500e+04   4.715563e-08   2.604030e-08
 2.743300e+04   7.488679e-08   3.243499e-08
 2.763100e+04   3.345913e-08   1.816488e-08
 2.782900e+04   1.723575e-08   9.925038e-09
 2.802700e+04   6.969146e-09   5.289224e-09
 2.822500e+04   8.450672e-09   5.651940e-09
 2.842300e+04   1.618565e-08   1.509395e-08
 2.862100e+04   1.689335e-08   1.198422e-08
