Eph_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.010000e+02   1.138927e-02   2.278751e-06
 3.030000e+02   3.773373e-04   6.479574e-07
 5.050000e+02   2.213024e-04   7.777130e-07
 7.070000e+02   1.568008e-04   5.139380e-07
 9.090000e+02   1.212223e-04   4.493249e-07
 1.111000e+03   9.830750e-05   2.155397e-07
 1.313000e+03   8.252997e-05   3.760749e-07
 1.515000e+03   7.162389e-05   2.082767e-07
 1.717000e+03   6.339506e-05   2.213624e-07
 1.919000e+03   5.648124e-05   1.310878e-07
 2.121000e+03   5.098248e-05   1.808348e-07
 2.323000e+03   4.658655e-05   1.775091e-07
 2.525000e+03   4.291173e-05   1.669214e-07
 2.727000e+03   3.982450e-05   1.413244e-07
 2.929000e+03   3.712300e-05   1.112467e-07
 3.131000e+03   3.458690e-05   9.064324e-08
 3.333000e+03   3.251265e-05   9.428305e-08
 3.535000e+03   3.078518e-05   1.064567e-07
 3.737000e+03   2.898500e-05   8.063334e-08
 3.939000e+03   2.754907e-05   5.854307e-08
 4.141000e+03   2.638717e-05   9.879574e-08
 4.343000e+03   2.528958e-05   6.727625e-08
 4.545000e+03   2.416103e-05   7.141608e-08
 4.747000e+03   2.338924e-05   8.030860e-08
 4.949000e+03   2.266926e-05   9.453365e-08
 5.151000e+03   2.199071e-05   7.461544e-08
 5.353000e+03   2.129142e-05   6.757250e-08
 5.555000e+03   2.072846e-05   6.300197e-08
 5.757000e+03   2.017590e-05   5.046414e-08
 5.959000e+03   1.982476e-05   5.985393e-08
 6.161000e+03   1.926891e-05   6.146634e-08
 6.363000e+03   1.886439e-05   5.413877e-08
 6.565000e+03   1.855507e-05   6.671645e-08
 6.767000e+03   1.817373e-05   6.276640e-08
 6.969000e+03   1.797266e-05   5.378147e-08
 7.171000e+03   1.758166e-05   7.437793e-08
 7.373000e+03   1.733568e-05   5.820437e-08
 7.575000e+03   1.728751e-05   8.079303e-08
 7.777000e+03   1.690414e-05   4.740465e-08
 7.979000e+03   1.659427e-05   4.935825e-08
 8.181000e+03   1.645144e-05   5.487064e-08
 8.383000e+03   1.610569e-05   5.577657e-08
 8.585000e+03   1.621002e-05   7.657034e-08
 8.787000e+03   1.589307e-05   5.716100e-08
 8.989000e+03   1.583531e-05   4.975396e-08
 9.191000e+03   1.561572e-05   5.802571e-08
 9.393000e+03   1.541188e-05   4.217481e-08
 9.595000e+03   1.535065e-05   5.204947e-08
 9.797000e+03   1.523392e-05   5.544725e-08
 9.999000e+03   1.517935e-05   4.677680e-08
 1.020100e+04   1.504906e-05   5.330865e-08
 1.040300e+04   1.499138e-05   4.770621e-08
 1.060500e+04   1.489193e-05   5.396909e-08
 1.080700e+04   1.478940e-05   5.058481e-08
 1.100900e+04   1.471070e-05   5.104107e-08
 1.121100e+04   1.468100e-05   6.817740e-08
 1.141300e+04   1.464315e-05   5.107167e-08
 1.161500e+04   1.457942e-05   5.787692e-08
 1.181700e+04   1.444499e-05   5.790373e-08
 1.201900e+04   1.429265e-05   4.434360e-08
 1.222100e+04   1.433911e-05   5.252536e-08
 1.242300e+04   1.426490e-05   4.996346e-08
 1.262500e+04   1.421725e-05   6.003982e-08
 1.282700e+04   1.411218e-05   6.031097e-08
 1.302900e+04   1.403909e-05   4.668075e-08
 1.323100e+04   1.403238e-05   4.538004e-08
 1.343300e+04   1.398425e-05   4.811054e-08
 1.363500e+04   1.384872e-05   4.321781e-08
 1.383700e+04   1.385678e-05   4.856631e-08
 1.403900e+04   1.370415e-05   5.470722e-08
 1.424100e+04   1.382214e-05   4.991965e-08
 1.444300e+04   1.352240e-05   5.429228e-08
 1.464500e+04   1.340690e-05   5.670517e-08
 1.484700e+04   1.340332e-05   4.434081e-08
 1.504900e+04   1.334205e-05   5.263613e-08
 1.525100e+04   1.326580e-05   6.269207e-08
 1.545300e+04   1.317103e-05   5.100792e-08
 1.565500e+04   1.299362e-05   5.648301e-08
 1.585700e+04   1.292724e-05   5.032530e-08
 1.605900e+04   1.292768e-05   6.662504e-08
 1.626100e+04   1.272262e-05   6.136408e-08
 1.646300e+04   1.279849e-05   5.083734e-08
 1.666500e+04   1.268366e-05   5.219919e-08
 1.686700e+04   1.264352e-05   5.929136e-08
 1.706900e+04   1.248681e-05   5.431626e-08
 1.727100e+04   1.247017e-05   4.897552e-08
 1.747300e+04   1.232644e-05   4.697803e-08
 1.767500e+04   1.233001e-05   4.928773e-08
 1.787700e+04   1.222442e-05   4.800413e-08
 1.807900e+04   1.211802e-05   4.080301e-08
 1.828100e+04   1.203735e-05   5.676090e-08
 1.848300e+04   1.206839e-05   6.579707e-08
 1.868500e+04   1.192138e-05   5.203354e-08
 1.888700e+04   1.179504e-05   4.929050e-08
 1.908900e+04   1.187023e-05   6.082019e-08
 1.929100e+04   1.185880e-05   5.878710e-08
 1.949300e+04   1.181417e-05   6.688351e-08
 1.969500e+04   1.166486e-05   5.787383e-08
 1.989700e+04   1.154761e-05   6.227455e-08
 2.009900e+04   1.152863e-05   4.853725e-08
 2.030100e+04   1.141646e-05   4.898969e-08
 2.050300e+04   1.136103e-05   5.259258e-08
 2.070500e+04   1.132004e-05   5.194420e-08
 2.090700e+04   1.123966e-05   5.278940e-08
 2.110900e+04   1.122233e-05   5.726670e-08
 2.131100e+04   1.107415e-05   6.108750e-08
 2.151300e+04   1.105530e-05   4.789497e-08
 2.171500e+04   1.096847e-05   4.408122e-08
 2.191700e+04   1.086429e-05   5.503445e-08
 2.211900e+04   1.079330e-05   4.136076e-08
 2.232100e+04   1.075560e-05   5.768756e-08
 2.252300e+04   1.068589e-05   5.581594e-08
 2.272500e+04   1.065526e-05   5.025252e-08
 2.292700e+04   1.053398e-05   4.955303e-08
 2.312900e+04   1.064342e-05   7.393412e-08
 2.333100e+04   1.037674e-05   5.162197e-08
 2.353300e+04   1.042912e-05   5.840490e-08
 2.373500e+04   1.030476e-05   6.588218e-08
 2.393700e+04   1.032232e-05   5.678589e-08
 2.413900e+04   1.028529e-05   5.816736e-08
 2.434100e+04   1.011491e-05   4.137599e-08
 2.454300e+04   1.013138e-05   6.136688e-08
 2.474500e+04   1.009342e-05   5.725850e-08
 2.494700e+04   9.937105e-06   5.373516e-08
 2.514900e+04   9.971635e-06   5.826584e-08
 2.535100e+04   9.962435e-06   6.371787e-08
 2.555300e+04   9.871144e-06   5.536066e-08
 2.575500e+04   9.691397e-06   4.693142e-08
 2.595700e+04   9.662508e-06   5.676949e-08
 2.615900e+04   9.631522e-06   5.363987e-08
 2.636100e+04   9.500961e-06   4.666504e-08
 2.656300e+04   9.519156e-06   5.804976e-08
 2.676500e+04   9.461163e-06   6.522505e-08
 2.696700e+04   9.212047e-06   4.731147e-08
 2.716900e+04   9.293809e-06   5.148074e-08
 2.737100e+04   9.203557e-06   6.043114e-08
 2.757300e+04   9.127833e-06   6.314404e-08
 2.777500e+04   9.160366e-06   5.467668e-08
 2.797700e+04   9.094380e-06   4.643244e-08
 2.817900e+04   8.930442e-06   5.007491e-08
 2.838100e+04   8.966742e-06   4.958487e-08
 2.858300e+04   8.887749e-06   5.712049e-08
 2.878500e+04   8.774602e-06   4.938173e-08
 2.898700e+04   8.701976e-06   6.608978e-08
 2.918900e+04   8.727077e-06   6.509261e-08
 2.939100e+04   8.663627e-06   8.991157e-08
 2.959300e+04   8.495082e-06   1.069268e-07
 2.979500e+04   8.554897e-06   1.342535e-07
 2.999700e+04   4.044282e-06   7.678707e-08
 3.019900e+04   0.000000e+00   0.000000e+00
 3.040100e+04   0.000000e+00   0.000000e+00
 3.060300e+04   0.000000e+00   0.000000e+00
 3.080500e+04   0.000000e+00   0.000000e+00
 3.100700e+04   0.000000e+00   0.000000e+00
 3.120900e+04   0.000000e+00   0.000000e+00
 3.141100e+04   0.000000e+00   0.000000e+00
 3.161300e+04   0.000000e+00   0.000000e+00
