Eph_cms bin centers    value    Error 
-inf   1.543050e-02   2.076088e-02
 2.498000e+02   4.884146e-06   3.495273e-06
 3.494000e+02   2.842625e-07   2.603507e-07
 4.490000e+02   2.601578e-07   2.334564e-07
 5.486000e+02   2.226720e-06   2.127954e-06
 6.482000e+02   9.131469e-08   8.689222e-08
 7.478000e+02   1.881397e-07   1.679868e-07
 8.474000e+02   1.575138e-07   1.391660e-07
 9.470000e+02   2.331700e-07   1.874796e-07
 1.046600e+03   6.758147e-08   6.398119e-08
 1.146200e+03   1.609921e-07   1.432592e-07
 1.245800e+03   1.675515e-07   1.404903e-07
 1.345400e+03   1.303194e-07   1.089692e-07
 1.445000e+03   1.078159e-07   9.522205e-08
 1.544600e+03   9.812636e-08   8.523639e-08
 1.644200e+03   1.261706e-07   1.070913e-07
 1.743800e+03   4.608646e-08   4.320866e-08
 1.843400e+03   5.635833e-08   5.205036e-08
 1.943000e+03   6.179931e-08   5.604039e-08
 2.042600e+03   5.854011e-08   4.777029e-08
 2.142200e+03   5.262675e-08   4.784729e-08
 2.241800e+03   6.048677e-08   5.219679e-08
 2.341400e+03   6.829837e-07   6.695248e-07
 2.441000e+03   7.911417e-08   6.602428e-08
 2.540600e+03   1.197890e-08   1.166103e-08
 2.640200e+03   1.211425e-07   9.864399e-08
 2.739800e+03   3.790007e-07   2.734731e-07
 2.839400e+03   1.715484e-08   1.673787e-08
 2.939000e+03   1.128508e-07   9.264256e-08
 3.038600e+03   4.360670e-08   3.982327e-08
 3.138200e+03   7.771232e-08   6.735685e-08
 3.237800e+03   5.885951e-08   4.848888e-08
 3.337400e+03   2.398997e-08   2.294758e-08
 3.437000e+03   8.626277e-08   6.323731e-08
 3.536600e+03   2.100561e-07   1.529926e-07
 3.636200e+03   2.767485e-08   2.533981e-08
 3.735800e+03   4.936113e-08   3.925288e-08
 3.835400e+03   6.406743e-08   5.721027e-08
 3.935000e+03   8.913927e-08   6.901421e-08
 4.034600e+03   4.881038e-08   4.291754e-08
 4.134200e+03   3.750026e-08   3.299231e-08
 4.233800e+03   8.554019e-08   6.689601e-08
 4.333400e+03   1.626978e-07   1.170470e-07
 4.433000e+03   6.760089e-08   5.637837e-08
 4.532600e+03   8.777083e-09   8.452278e-09
 4.632200e+03   2.209541e-08   2.020129e-08
 4.731800e+03   4.030744e-08   2.856603e-08
 4.831400e+03   1.093344e-07   8.435658e-08
 4.931000e+03   3.858375e-08   2.730698e-08
 5.030600e+03   2.882188e-08   2.338734e-08
 5.130200e+03   4.503108e-08   3.333448e-08
 5.229800e+03   7.785386e-08   6.009126e-08
 5.329400e+03   7.979854e-09   7.543366e-09
 5.429000e+03   1.076204e-08   1.036621e-08
 5.528600e+03   1.336478e-07   9.649835e-08
 5.628200e+03   5.690334e-08   4.452099e-08
 5.727800e+03   1.972657e-08   1.710641e-08
