Eph_lab bin centers    value    Error 
-inf   8.365861e-02   3.099481e-02
 1.509500e+02   3.695867e-05   1.606652e-05
 3.528500e+02   8.996025e-06   4.125695e-06
 5.547500e+02   5.899536e-06   2.867898e-06
 7.566500e+02   5.981434e-06   2.525219e-06
 9.585500e+02   4.230560e-06   2.058913e-06
 1.160450e+03   4.224187e-06   2.278276e-06
 1.362350e+03   1.753401e-06   7.470316e-07
 1.564250e+03   1.270527e-06   6.950253e-07
 1.766150e+03   8.971754e-07   5.513087e-07
 1.968050e+03   9.260516e-07   4.929648e-07
 2.169950e+03   1.013022e-06   4.875634e-07
 2.371850e+03   1.603481e-06   9.213927e-07
 2.573750e+03   1.075675e-06   7.482151e-07
 2.775650e+03   1.046427e-06   6.309257e-07
 2.977550e+03   9.102543e-07   6.461082e-07
 3.179450e+03   1.359926e-06   9.160825e-07
 3.381350e+03   7.070010e-07   4.753148e-07
 3.583250e+03   7.886880e-07   4.737250e-07
 3.785150e+03   1.141352e-07   9.713643e-08
 3.987050e+03   2.576936e-07   1.859721e-07
 4.188950e+03   5.140033e-07   2.825749e-07
 4.390850e+03   1.052342e-06   6.565483e-07
 4.592750e+03   1.194923e-07   1.029221e-07
 4.794650e+03   6.767538e-07   4.040364e-07
 4.996550e+03   4.216807e-07   2.137605e-07
 5.198450e+03   7.341283e-07   4.387404e-07
 5.400350e+03   6.643626e-07   6.555231e-07
 5.602250e+03   1.504617e-06   1.348917e-06
 5.804150e+03   8.111290e-08   7.353899e-08
 6.006050e+03   1.093986e-06   7.501428e-07
 6.207950e+03   3.818802e-07   1.994192e-07
 6.409850e+03   2.386874e-07   1.693089e-07
 6.611750e+03   3.635244e-07   3.181384e-07
 6.813650e+03   7.050310e-07   4.950391e-07
 7.015550e+03   2.834919e-06   2.259338e-06
 7.217450e+03   9.927990e-08   6.638078e-08
 7.419350e+03   7.640557e-07   4.866897e-07
 7.621250e+03   3.539928e-07   3.133826e-07
 7.823150e+03   5.428683e-08   4.531080e-08
 8.025050e+03   6.810340e-07   5.747169e-07
 8.226950e+03   2.136458e-07   1.497243e-07
 8.428850e+03   1.134008e-06   5.643694e-07
 8.630750e+03   2.247893e-07   1.679751e-07
 8.832650e+03   3.866239e-07   2.272337e-07
 9.034550e+03   5.016739e-08   5.016739e-08
 9.236450e+03   8.789350e-08   5.757791e-08
 9.438350e+03   1.378646e-07   9.778425e-08
 9.640250e+03   1.358146e-07   1.358146e-07
 9.842150e+03   8.875979e-08   8.646617e-08
 1.004405e+04   4.410868e-07   2.443472e-07
 1.024595e+04   2.687254e-06   2.456754e-06
 1.044785e+04   3.198970e-07   2.095395e-07
 1.064975e+04   4.135228e-07   3.776737e-07
 1.085165e+04   9.154887e-07   8.319373e-07
 1.105355e+04   1.133566e-07   9.488999e-08
 1.125545e+04   2.856886e-07   2.329938e-07
 1.145735e+04   2.791987e-07   2.104142e-07
 1.165925e+04   3.393972e-07   1.686076e-07
 1.186115e+04   1.743620e-07   1.645289e-07
 1.206305e+04   1.443761e-06   1.021636e-06
 1.226495e+04   5.260711e-08   5.012810e-08
 1.246685e+04   4.719341e-08   4.719341e-08
 1.266875e+04   1.905431e-07   1.905431e-07
 1.287065e+04   3.634244e-07   3.422286e-07
 1.307255e+04   4.630759e-08   4.545820e-08
 1.327445e+04   9.497236e-07   9.224693e-07
 1.347635e+04   1.149330e-07   1.005355e-07
 1.367825e+04   1.111155e-07   1.024804e-07
 1.388015e+04   3.597611e-07   2.440439e-07
 1.408205e+04   1.054186e-06   1.006730e-06
