Eph_lab bin centers    value    Error 
-inf  -3.523494e-03   3.212309e-05
 3.023750e+02   4.938893e-05   3.081644e-08
 8.071250e+02   1.310356e-05   9.078347e-09
 1.311875e+03   7.854708e-06   7.469642e-09
 1.816625e+03   5.637018e-06   6.475268e-09
 2.321375e+03   4.372930e-06   3.709592e-09
 2.826125e+03   3.588374e-06   4.113724e-09
 3.330875e+03   3.032161e-06   3.608995e-09
 3.835625e+03   2.631249e-06   3.826892e-09
 4.340375e+03   2.323093e-06   2.607366e-09
 4.845125e+03   2.073285e-06   2.692860e-09
 5.349875e+03   1.870511e-06   2.559940e-09
 5.854625e+03   1.712419e-06   2.343532e-09
 6.359375e+03   1.576938e-06   1.743272e-09
 6.864125e+03   1.461038e-06   2.254491e-09
 7.368875e+03   1.358306e-06   2.014758e-09
 7.873625e+03   1.275385e-06   1.419428e-09
 8.378375e+03   1.198834e-06   1.132780e-09
 8.883125e+03   1.136686e-06   1.609468e-09
 9.387875e+03   1.076191e-06   1.235856e-09
 9.892625e+03   1.030077e-06   1.256715e-09
 1.039738e+04   9.956489e-07   1.116857e-09
 1.090212e+04   9.755664e-07   1.405156e-09
 1.140688e+04   9.539434e-07   1.577138e-09
 1.191162e+04   9.357452e-07   1.638937e-09
 1.241638e+04   9.162646e-07   1.694391e-09
 1.292112e+04   8.939267e-07   1.339987e-09
 1.342588e+04   8.722237e-07   1.440865e-09
 1.393062e+04   8.493700e-07   1.081707e-09
 1.443538e+04   8.356882e-07   1.157024e-09
 1.494012e+04   8.145455e-07   1.208622e-09
 1.544488e+04   8.026006e-07   1.820252e-09
 1.594962e+04   7.888238e-07   1.489664e-09
 1.645438e+04   7.760688e-07   1.648911e-09
 1.695912e+04   7.657474e-07   1.545390e-09
 1.746388e+04   7.537642e-07   1.049044e-09
 1.796862e+04   7.435131e-07   1.402922e-09
 1.847338e+04   7.392226e-07   1.751268e-09
 1.897812e+04   7.272496e-07   1.609158e-09
 1.948288e+04   7.204990e-07   1.237896e-09
 1.998762e+04   7.120266e-07   1.290175e-09
 2.049238e+04   7.084781e-07   1.066979e-09
 2.099712e+04   7.021356e-07   9.768502e-10
 2.150188e+04   7.006004e-07   1.270046e-09
 2.200662e+04   6.927232e-07   1.402154e-09
 2.251138e+04   6.883059e-07   1.572090e-09
 2.301612e+04   6.851673e-07   1.577369e-09
 2.352088e+04   6.806960e-07   1.467024e-09
 2.402562e+04   6.767204e-07   1.204743e-09
 2.453038e+04   6.734453e-07   1.264953e-09
 2.503512e+04   6.756740e-07   1.998865e-09
 2.553988e+04   6.712137e-07   1.711200e-09
 2.604462e+04   6.694834e-07   1.458198e-09
 2.654938e+04   6.673075e-07   1.516426e-09
 2.705412e+04   6.674888e-07   1.672482e-09
 2.755888e+04   6.604165e-07   1.835527e-09
 2.806362e+04   6.600981e-07   1.793821e-09
 2.856838e+04   6.635080e-07   1.488293e-09
 2.907312e+04   6.572888e-07   2.084511e-09
 2.957788e+04   6.553570e-07   3.328990e-09
 3.008262e+04   2.176846e-07   2.914402e-09
 3.058738e+04   0.000000e+00   0.000000e+00
 3.109212e+04   0.000000e+00   0.000000e+00
 3.159688e+04   0.000000e+00   0.000000e+00
 3.210162e+04   0.000000e+00   0.000000e+00
 3.260638e+04   0.000000e+00   0.000000e+00
 3.311112e+04   0.000000e+00   0.000000e+00
 3.361588e+04   0.000000e+00   0.000000e+00
 3.412062e+04   0.000000e+00   0.000000e+00
 3.462538e+04   0.000000e+00   0.000000e+00
 3.513012e+04   0.000000e+00   0.000000e+00
 3.563488e+04   0.000000e+00   0.000000e+00
 3.613962e+04   0.000000e+00   0.000000e+00
 3.664438e+04   0.000000e+00   0.000000e+00
 3.714912e+04   0.000000e+00   0.000000e+00
 3.765388e+04   0.000000e+00   0.000000e+00
 3.815862e+04   0.000000e+00   0.000000e+00
 3.866338e+04   0.000000e+00   0.000000e+00
 3.916812e+04   0.000000e+00   0.000000e+00
 3.967288e+04   0.000000e+00   0.000000e+00
 4.017762e+04   0.000000e+00   0.000000e+00
 4.068238e+04   0.000000e+00   0.000000e+00
 4.118712e+04   0.000000e+00   0.000000e+00
 4.169188e+04   0.000000e+00   0.000000e+00
 4.219662e+04   0.000000e+00   0.000000e+00
 4.270138e+04   0.000000e+00   0.000000e+00
 4.320612e+04   0.000000e+00   0.000000e+00
 4.371088e+04   0.000000e+00   0.000000e+00
 4.421562e+04   0.000000e+00   0.000000e+00
 4.472038e+04   0.000000e+00   0.000000e+00
 4.522512e+04   0.000000e+00   0.000000e+00
 4.572988e+04   0.000000e+00   0.000000e+00
 4.623462e+04   0.000000e+00   0.000000e+00
 4.673938e+04   0.000000e+00   0.000000e+00
 4.724412e+04   0.000000e+00   0.000000e+00
 4.774888e+04   0.000000e+00   0.000000e+00
 4.825362e+04   0.000000e+00   0.000000e+00
 4.875838e+04   0.000000e+00   0.000000e+00
 4.926312e+04   0.000000e+00   0.000000e+00
 4.976788e+04   0.000000e+00   0.000000e+00
 5.027262e+04   0.000000e+00   0.000000e+00
 5.077738e+04   0.000000e+00   0.000000e+00
 5.128212e+04   0.000000e+00   0.000000e+00
 5.178688e+04   0.000000e+00   0.000000e+00
 5.229162e+04   0.000000e+00   0.000000e+00
 5.279638e+04   0.000000e+00   0.000000e+00
 5.330112e+04   0.000000e+00   0.000000e+00
 5.380588e+04   0.000000e+00   0.000000e+00
 5.431062e+04   0.000000e+00   0.000000e+00
 5.481538e+04   0.000000e+00   0.000000e+00
 5.532012e+04   0.000000e+00   0.000000e+00
 5.582488e+04   0.000000e+00   0.000000e+00
 5.632962e+04   0.000000e+00   0.000000e+00
 5.683438e+04   0.000000e+00   0.000000e+00
 5.733912e+04   0.000000e+00   0.000000e+00
 5.784388e+04   0.000000e+00   0.000000e+00
 5.834862e+04   0.000000e+00   0.000000e+00
 5.885338e+04   0.000000e+00   0.000000e+00
 5.935812e+04   0.000000e+00   0.000000e+00
 5.986288e+04   0.000000e+00   0.000000e+00
 6.036762e+04   0.000000e+00   0.000000e+00
 6.087238e+04   0.000000e+00   0.000000e+00
 6.137712e+04   0.000000e+00   0.000000e+00
 6.188188e+04   0.000000e+00   0.000000e+00
 6.238662e+04   0.000000e+00   0.000000e+00
 6.289138e+04   0.000000e+00   0.000000e+00
 6.339612e+04   0.000000e+00   0.000000e+00
 6.390088e+04   0.000000e+00   0.000000e+00
 6.440562e+04   0.000000e+00   0.000000e+00
 6.491038e+04   0.000000e+00   0.000000e+00
 6.541512e+04   0.000000e+00   0.000000e+00
 6.591988e+04   0.000000e+00   0.000000e+00
 6.642462e+04   0.000000e+00   0.000000e+00
 6.692938e+04   0.000000e+00   0.000000e+00
 6.743412e+04   0.000000e+00   0.000000e+00
 6.793888e+04   0.000000e+00   0.000000e+00
 6.844362e+04   0.000000e+00   0.000000e+00
 6.894838e+04   0.000000e+00   0.000000e+00
 6.945312e+04   0.000000e+00   0.000000e+00
 6.995788e+04   0.000000e+00   0.000000e+00
 7.046262e+04   0.000000e+00   0.000000e+00
 7.096738e+04   0.000000e+00   0.000000e+00
 7.147212e+04   0.000000e+00   0.000000e+00
 7.197688e+04   0.000000e+00   0.000000e+00
 7.248162e+04   0.000000e+00   0.000000e+00
 7.298638e+04   0.000000e+00   0.000000e+00
 7.349112e+04   0.000000e+00   0.000000e+00
 7.399588e+04   0.000000e+00   0.000000e+00
 7.450062e+04   0.000000e+00   0.000000e+00
 7.500538e+04   0.000000e+00   0.000000e+00
 7.551012e+04   0.000000e+00   0.000000e+00
 7.601488e+04   0.000000e+00   0.000000e+00
 7.651962e+04   0.000000e+00   0.000000e+00
 7.702438e+04   0.000000e+00   0.000000e+00
 7.752912e+04   0.000000e+00   0.000000e+00
 7.803388e+04   0.000000e+00   0.000000e+00
 7.853862e+04   0.000000e+00   0.000000e+00
 7.904338e+04   0.000000e+00   0.000000e+00
 7.954812e+04   0.000000e+00   0.000000e+00
 8.005288e+04   0.000000e+00   0.000000e+00
 8.055762e+04   0.000000e+00   0.000000e+00
 8.106238e+04   0.000000e+00   0.000000e+00
 8.156712e+04   0.000000e+00   0.000000e+00
 8.207188e+04   0.000000e+00   0.000000e+00
 8.257662e+04   0.000000e+00   0.000000e+00
 8.308138e+04   0.000000e+00   0.000000e+00
 8.358612e+04   0.000000e+00   0.000000e+00
 8.409088e+04   0.000000e+00   0.000000e+00
 8.459562e+04   0.000000e+00   0.000000e+00
 8.510038e+04   0.000000e+00   0.000000e+00
 8.560512e+04   0.000000e+00   0.000000e+00
 8.610988e+04   0.000000e+00   0.000000e+00
 8.661462e+04   0.000000e+00   0.000000e+00
 8.711938e+04   0.000000e+00   0.000000e+00
 8.762412e+04   0.000000e+00   0.000000e+00
 8.812888e+04   0.000000e+00   0.000000e+00
 8.863362e+04   0.000000e+00   0.000000e+00
 8.913838e+04   0.000000e+00   0.000000e+00
 8.964312e+04   0.000000e+00   0.000000e+00
 9.014788e+04   0.000000e+00   0.000000e+00
 9.065262e+04   0.000000e+00   0.000000e+00
 9.115738e+04   0.000000e+00   0.000000e+00
 9.166212e+04   0.000000e+00   0.000000e+00
 9.216688e+04   0.000000e+00   0.000000e+00
 9.267162e+04   0.000000e+00   0.000000e+00
 9.317638e+04   0.000000e+00   0.000000e+00
 9.368112e+04   0.000000e+00   0.000000e+00
 9.418588e+04   0.000000e+00   0.000000e+00
 9.469062e+04   0.000000e+00   0.000000e+00
 9.519538e+04   0.000000e+00   0.000000e+00
 9.570012e+04   0.000000e+00   0.000000e+00
 9.620488e+04   0.000000e+00   0.000000e+00
 9.670962e+04   0.000000e+00   0.000000e+00
 9.721438e+04   0.000000e+00   0.000000e+00
 9.771912e+04   0.000000e+00   0.000000e+00
 9.822388e+04   0.000000e+00   0.000000e+00
 9.872862e+04   0.000000e+00   0.000000e+00
 9.923338e+04   0.000000e+00   0.000000e+00
 9.973812e+04   0.000000e+00   0.000000e+00
 1.002429e+05   0.000000e+00   0.000000e+00
 1.007476e+05   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
