Eph_lab bin centers    value    Error 
-inf   1.989132e+00   5.608215e-03
 1.509500e+02   8.813808e-04   2.428811e-06
 3.528500e+02   3.203532e-04   1.190213e-06
 5.547500e+02   1.996985e-04   8.306830e-07
 7.566500e+02   1.444295e-04   7.595459e-07
 9.585500e+02   1.146073e-04   5.091834e-07
 1.160450e+03   9.451089e-05   4.293848e-07
 1.362350e+03   7.998884e-05   3.794594e-07
 1.564250e+03   6.899681e-05   2.919747e-07
 1.766150e+03   6.163091e-05   2.872726e-07
 1.968050e+03   5.490211e-05   2.262469e-07
 2.169950e+03   4.984960e-05   2.125790e-07
 2.371850e+03   4.541802e-05   1.841085e-07
 2.573750e+03   4.157456e-05   2.093495e-07
 2.775650e+03   3.851342e-05   2.397800e-07
 2.977550e+03   3.614077e-05   1.889112e-07
 3.179450e+03   3.409702e-05   1.718860e-07
 3.381350e+03   3.205881e-05   1.453621e-07
 3.583250e+03   3.012317e-05   1.636051e-07
 3.785150e+03   2.855476e-05   1.569207e-07
 3.987050e+03   2.716999e-05   1.255302e-07
 4.188950e+03   2.632536e-05   1.792903e-07
 4.390850e+03   2.502406e-05   1.320985e-07
 4.592750e+03   2.393712e-05   8.217854e-08
 4.794650e+03   2.312785e-05   1.137607e-07
 4.996550e+03   2.242055e-05   1.011325e-07
 5.198450e+03   2.150770e-05   9.118068e-08
 5.400350e+03   2.109757e-05   8.429385e-08
 5.602250e+03   2.064865e-05   1.061951e-07
 5.804150e+03   1.954189e-05   1.260473e-07
 6.006050e+03   1.939770e-05   1.041875e-07
 6.207950e+03   1.889545e-05   1.029798e-07
 6.409850e+03   1.860710e-05   1.286842e-07
 6.611750e+03   1.831389e-05   9.847361e-08
 6.813650e+03   1.812202e-05   1.675857e-07
 7.015550e+03   1.765419e-05   1.245242e-07
 7.217450e+03   1.739525e-05   1.276614e-07
 7.419350e+03   1.691790e-05   1.164925e-07
 7.621250e+03   1.665758e-05   1.037789e-07
 7.823150e+03   1.684677e-05   1.916859e-07
 8.025050e+03   1.649680e-05   1.575158e-07
 8.226950e+03   1.626527e-05   1.822407e-07
 8.428850e+03   1.611047e-05   1.618020e-07
 8.630750e+03   1.577305e-05   1.545692e-07
 8.832650e+03   1.586765e-05   2.830029e-07
 9.034550e+03   1.536888e-05   1.467404e-07
 9.236450e+03   1.510737e-05   1.237613e-07
 9.438350e+03   1.599454e-05   3.156170e-07
 9.640250e+03   1.555019e-05   2.533900e-07
 9.842150e+03   1.512860e-05   2.232895e-07
 1.004405e+04   1.482012e-05   1.193104e-07
 1.024595e+04   1.489066e-05   1.150294e-07
 1.044785e+04   1.432254e-05   1.214818e-07
 1.064975e+04   1.428965e-05   1.125966e-07
 1.085165e+04   1.463283e-05   1.607978e-07
 1.105355e+04   1.431934e-05   1.776116e-07
 1.125545e+04   1.415110e-05   1.658465e-07
 1.145735e+04   1.411246e-05   1.885381e-07
 1.165925e+04   1.389220e-05   1.259440e-07
 1.186115e+04   1.404984e-05   2.115866e-07
 1.206305e+04   1.426589e-05   1.905642e-07
 1.226495e+04   1.397290e-05   1.963028e-07
 1.246685e+04   1.368981e-05   1.757212e-07
 1.266875e+04   1.363044e-05   2.128747e-07
 1.287065e+04   1.375685e-05   2.002407e-07
 1.307255e+04   1.372104e-05   1.688710e-07
 1.327445e+04   1.392523e-05   1.361983e-07
 1.347635e+04   1.303307e-05   1.949115e-07
 1.367825e+04   1.358442e-05   1.667127e-07
 1.388015e+04   1.390808e-05   2.360208e-07
 1.408205e+04   1.296169e-05   1.347001e-07
 1.428395e+04   1.320902e-05   1.945225e-07
 1.448585e+04   1.335727e-05   1.674521e-07
 1.468775e+04   1.287053e-05   1.696202e-07
 1.488965e+04   1.316170e-05   2.260892e-07
 1.509155e+04   1.297584e-05   2.361524e-07
 1.529345e+04   1.262741e-05   1.484428e-07
 1.549535e+04   1.233973e-05   1.743353e-07
 1.569725e+04   1.249708e-05   1.604328e-07
 1.589915e+04   1.283093e-05   1.348554e-07
 1.610105e+04   1.310990e-05   3.031642e-07
 1.630295e+04   1.231963e-05   2.220769e-07
 1.650485e+04   1.235455e-05   1.780279e-07
 1.670675e+04   1.268972e-05   1.957101e-07
 1.690865e+04   1.200463e-05   1.565211e-07
 1.711055e+04   1.206335e-05   1.925258e-07
 1.731245e+04   1.205070e-05   2.531388e-07
 1.751435e+04   1.223873e-05   2.056253e-07
 1.771625e+04   1.209565e-05   3.087686e-07
 1.791815e+04   1.195006e-05   1.899074e-07
 1.812005e+04   1.157830e-05   1.672455e-07
 1.832195e+04   1.189001e-05   2.095055e-07
 1.852385e+04   1.191504e-05   2.129254e-07
 1.872575e+04   1.124059e-05   2.265317e-07
 1.892765e+04   1.145996e-05   2.193392e-07
