Eph_lab bin centers    value    Error 
-inf   2.410057e+00   1.130627e-03
 3.023750e+02   5.540058e-04   2.112823e-06
 8.071250e+02   1.484654e-04   5.364552e-07
 1.311875e+03   8.951674e-05   2.831691e-07
 1.816625e+03   6.405969e-05   2.985871e-07
 2.321375e+03   4.978092e-05   2.597803e-07
 2.826125e+03   4.132871e-05   1.673109e-07
 3.330875e+03   3.575377e-05   1.502008e-07
 3.835625e+03   3.161584e-05   1.023626e-07
 4.340375e+03   2.841928e-05   6.929882e-08
 4.845125e+03   2.595300e-05   7.723612e-08
 5.349875e+03   2.409263e-05   8.486165e-08
 5.854625e+03   2.279284e-05   1.543902e-07
 6.359375e+03   2.128900e-05   8.429492e-08
 6.864125e+03   2.022864e-05   6.975078e-08
 7.368875e+03   1.947798e-05   7.356267e-08
 7.873625e+03   1.861884e-05   5.363495e-08
 8.378375e+03   1.800267e-05   4.695954e-08
 8.883125e+03   1.748762e-05   4.576326e-08
 9.387875e+03   1.710049e-05   4.523107e-08
 9.892625e+03   1.649340e-05   5.797925e-08
 1.039738e+04   1.610252e-05   5.089818e-08
 1.090212e+04   1.577674e-05   5.089896e-08
 1.140688e+04   1.563440e-05   4.451592e-08
 1.191162e+04   1.517256e-05   4.067148e-08
 1.241638e+04   1.491515e-05   3.619507e-08
 1.292112e+04   1.468633e-05   5.177182e-08
 1.342588e+04   1.438984e-05   4.459942e-08
 1.393062e+04   1.425386e-05   6.133126e-08
 1.443538e+04   1.382935e-05   6.186286e-08
 1.494012e+04   1.370005e-05   4.789915e-08
 1.544488e+04   1.347382e-05   4.689974e-08
 1.594962e+04   1.333538e-05   3.844124e-08
 1.645438e+04   1.308792e-05   5.545008e-08
 1.695912e+04   1.277285e-05   4.845746e-08
 1.746388e+04   1.255838e-05   5.154919e-08
 1.796862e+04   1.243342e-05   6.384199e-08
 1.847338e+04   1.223823e-05   6.395503e-08
 1.897812e+04   1.201027e-05   5.143258e-08
 1.948288e+04   1.182184e-05   6.066300e-08
 1.998762e+04   1.169202e-05   6.019599e-08
 2.049238e+04   1.144124e-05   4.626886e-08
 2.099712e+04   1.131617e-05   5.597138e-08
 2.150188e+04   1.111792e-05   4.779449e-08
 2.200662e+04   1.094498e-05   6.104541e-08
 2.251138e+04   1.075506e-05   5.244754e-08
 2.301612e+04   1.069220e-05   5.600771e-08
 2.352088e+04   1.033008e-05   3.921264e-08
 2.402562e+04   1.025474e-05   5.113105e-08
 2.453038e+04   1.014914e-05   4.878812e-08
 2.503512e+04   9.899606e-06   4.643776e-08
 2.553988e+04   9.728846e-06   6.926021e-08
 2.604462e+04   9.571563e-06   4.397276e-08
 2.654938e+04   9.423191e-06   4.273990e-08
 2.705412e+04   9.329200e-06   5.978054e-08
 2.755888e+04   9.139919e-06   4.099096e-08
 2.806362e+04   9.064026e-06   4.958801e-08
 2.856838e+04   8.894294e-06   4.378850e-08
 2.907312e+04   8.601456e-06   7.263968e-08
 2.957788e+04   8.601138e-06   9.061395e-08
 3.008262e+04   2.832129e-06   7.955072e-08
 3.058738e+04   0.000000e+00   0.000000e+00
 3.109212e+04   0.000000e+00   0.000000e+00
 3.159688e+04   0.000000e+00   0.000000e+00
 3.210162e+04   0.000000e+00   0.000000e+00
 3.260638e+04   0.000000e+00   0.000000e+00
 3.311112e+04   0.000000e+00   0.000000e+00
 3.361588e+04   0.000000e+00   0.000000e+00
 3.412062e+04   0.000000e+00   0.000000e+00
 3.462538e+04   0.000000e+00   0.000000e+00
 3.513012e+04   0.000000e+00   0.000000e+00
 3.563488e+04   0.000000e+00   0.000000e+00
 3.613962e+04   0.000000e+00   0.000000e+00
 3.664438e+04   0.000000e+00   0.000000e+00
 3.714912e+04   0.000000e+00   0.000000e+00
 3.765388e+04   0.000000e+00   0.000000e+00
 3.815862e+04   0.000000e+00   0.000000e+00
 3.866338e+04   0.000000e+00   0.000000e+00
 3.916812e+04   0.000000e+00   0.000000e+00
 3.967288e+04   0.000000e+00   0.000000e+00
 4.017762e+04   0.000000e+00   0.000000e+00
 4.068238e+04   0.000000e+00   0.000000e+00
 4.118712e+04   0.000000e+00   0.000000e+00
 4.169188e+04   0.000000e+00   0.000000e+00
 4.219662e+04   0.000000e+00   0.000000e+00
 4.270138e+04   0.000000e+00   0.000000e+00
 4.320612e+04   0.000000e+00   0.000000e+00
 4.371088e+04   0.000000e+00   0.000000e+00
 4.421562e+04   0.000000e+00   0.000000e+00
 4.472038e+04   0.000000e+00   0.000000e+00
 4.522512e+04   0.000000e+00   0.000000e+00
 4.572988e+04   0.000000e+00   0.000000e+00
 4.623462e+04   0.000000e+00   0.000000e+00
 4.673938e+04   0.000000e+00   0.000000e+00
 4.724412e+04   0.000000e+00   0.000000e+00
 4.774888e+04   0.000000e+00   0.000000e+00
 4.825362e+04   0.000000e+00   0.000000e+00
 4.875838e+04   0.000000e+00   0.000000e+00
 4.926312e+04   0.000000e+00   0.000000e+00
 4.976788e+04   0.000000e+00   0.000000e+00
 5.027262e+04   0.000000e+00   0.000000e+00
 5.077738e+04   0.000000e+00   0.000000e+00
 5.128212e+04   0.000000e+00   0.000000e+00
 5.178688e+04   0.000000e+00   0.000000e+00
 5.229162e+04   0.000000e+00   0.000000e+00
 5.279638e+04   0.000000e+00   0.000000e+00
 5.330112e+04   0.000000e+00   0.000000e+00
 5.380588e+04   0.000000e+00   0.000000e+00
 5.431062e+04   0.000000e+00   0.000000e+00
 5.481538e+04   0.000000e+00   0.000000e+00
 5.532012e+04   0.000000e+00   0.000000e+00
 5.582488e+04   0.000000e+00   0.000000e+00
 5.632962e+04   0.000000e+00   0.000000e+00
 5.683438e+04   0.000000e+00   0.000000e+00
 5.733912e+04   0.000000e+00   0.000000e+00
 5.784388e+04   0.000000e+00   0.000000e+00
 5.834862e+04   0.000000e+00   0.000000e+00
 5.885338e+04   0.000000e+00   0.000000e+00
 5.935812e+04   0.000000e+00   0.000000e+00
 5.986288e+04   0.000000e+00   0.000000e+00
 6.036762e+04   0.000000e+00   0.000000e+00
 6.087238e+04   0.000000e+00   0.000000e+00
 6.137712e+04   0.000000e+00   0.000000e+00
 6.188188e+04   0.000000e+00   0.000000e+00
 6.238662e+04   0.000000e+00   0.000000e+00
 6.289138e+04   0.000000e+00   0.000000e+00
 6.339612e+04   0.000000e+00   0.000000e+00
 6.390088e+04   0.000000e+00   0.000000e+00
