Eph_lab bin centers    value    Error 
-inf   2.410574e+00   1.448094e-03
 1.509500e+02   9.388193e-04   4.252097e-06
 3.528500e+02   3.418047e-04   1.948505e-06
 5.547500e+02   2.135917e-04   1.021737e-06
 7.566500e+02   1.566401e-04   8.388191e-07
 9.585500e+02   1.236447e-04   6.487338e-07
 1.160450e+03   1.026275e-04   8.218347e-07
 1.362350e+03   8.593728e-05   4.126167e-07
 1.564250e+03   7.522509e-05   3.296420e-07
 1.766150e+03   6.715457e-05   2.701730e-07
 1.968050e+03   6.006470e-05   2.828541e-07
 2.169950e+03   5.500095e-05   2.755622e-07
 2.371850e+03   5.029676e-05   1.887727e-07
 2.573750e+03   4.667656e-05   2.051144e-07
 2.775650e+03   4.340518e-05   2.340261e-07
 2.977550e+03   4.057058e-05   2.148914e-07
 3.179450e+03   3.839154e-05   2.107299e-07
 3.381350e+03   3.640181e-05   1.927092e-07
 3.583250e+03   3.436294e-05   1.433368e-07
 3.785150e+03   3.278366e-05   1.585156e-07
 3.987050e+03   3.135614e-05   1.603474e-07
 4.188950e+03   2.995319e-05   1.575073e-07
 4.390850e+03   2.862421e-05   1.148728e-07
 4.592750e+03   2.791663e-05   1.067667e-07
 4.794650e+03   2.682737e-05   1.214914e-07
 4.996550e+03   2.646875e-05   1.916895e-07
 5.198450e+03   2.507087e-05   8.038179e-08
 5.400350e+03   2.452569e-05   1.101021e-07
 5.602250e+03   2.387038e-05   9.254734e-08
 5.804150e+03   2.346419e-05   1.546749e-07
 6.006050e+03   2.255448e-05   1.062516e-07
 6.207950e+03   2.213686e-05   9.273013e-08
 6.409850e+03   2.154497e-05   1.430857e-07
 6.611750e+03   2.119356e-05   8.602727e-08
 6.813650e+03   2.076608e-05   7.697097e-08
 7.015550e+03   2.021363e-05   8.386699e-08
 7.217450e+03   2.007316e-05   8.970295e-08
 7.419350e+03   1.970396e-05   9.609633e-08
 7.621250e+03   1.941871e-05   1.434775e-07
 7.823150e+03   1.917078e-05   1.100201e-07
 8.025050e+03   1.869846e-05   7.083075e-08
 8.226950e+03   1.845850e-05   8.047085e-08
 8.428850e+03   1.816246e-05   9.567601e-08
 8.630750e+03   1.787423e-05   9.586314e-08
 8.832650e+03   1.788150e-05   9.525534e-08
 9.034550e+03   1.744759e-05   8.040930e-08
 9.236450e+03   1.752890e-05   8.756092e-08
 9.438350e+03   1.726499e-05   1.121147e-07
 9.640250e+03   1.690033e-05   7.173455e-08
 9.842150e+03   1.693545e-05   8.606334e-08
 1.004405e+04   1.671083e-05   7.542760e-08
 1.024595e+04   1.643623e-05   8.327363e-08
 1.044785e+04   1.624099e-05   9.226531e-08
 1.064975e+04   1.606099e-05   5.959401e-08
 1.085165e+04   1.596529e-05   6.665567e-08
 1.105355e+04   1.569618e-05   7.313870e-08
 1.125545e+04   1.581453e-05   6.687006e-08
 1.145735e+04   1.560802e-05   7.317614e-08
 1.165925e+04   1.543281e-05   7.456051e-08
 1.186115e+04   1.536825e-05   8.301789e-08
 1.206305e+04   1.521343e-05   9.555017e-08
 1.226495e+04   1.516277e-05   1.079121e-07
 1.246685e+04   1.497689e-05   9.202907e-08
 1.266875e+04   1.483279e-05   8.806430e-08
 1.287065e+04   1.470217e-05   7.153766e-08
 1.307255e+04   1.489373e-05   8.262045e-08
 1.327445e+04   1.446716e-05   8.930525e-08
 1.347635e+04   1.454343e-05   6.300402e-08
 1.367825e+04   1.449059e-05   9.893015e-08
 1.388015e+04   1.432491e-05   8.852903e-08
 1.408205e+04   1.407878e-05   7.679539e-08
 1.428395e+04   1.404684e-05   8.057678e-08
 1.448585e+04   1.365462e-05   8.116062e-08
 1.468775e+04   1.381253e-05   7.330004e-08
 1.488965e+04   1.383343e-05   1.303265e-07
 1.509155e+04   1.361658e-05   6.450436e-08
 1.529345e+04   1.347768e-05   9.887703e-08
 1.549535e+04   1.355350e-05   8.085087e-08
 1.569725e+04   1.338667e-05   8.788031e-08
 1.589915e+04   1.361126e-05   1.013315e-07
 1.610105e+04   1.309613e-05   6.167564e-08
 1.630295e+04   1.324966e-05   9.537315e-08
 1.650485e+04   1.310436e-05   1.066357e-07
 1.670675e+04   1.298316e-05   9.833313e-08
 1.690865e+04   1.303755e-05   7.256396e-08
 1.711055e+04   1.284313e-05   7.067363e-08
 1.731245e+04   1.263706e-05   9.210326e-08
 1.751435e+04   1.263002e-05   6.690412e-08
 1.771625e+04   1.253455e-05   1.020841e-07
 1.791815e+04   1.241151e-05   7.323743e-08
 1.812005e+04   1.250333e-05   6.232759e-08
 1.832195e+04   1.226908e-05   9.688621e-08
 1.852385e+04   1.221390e-05   1.174338e-07
 1.872575e+04   1.225675e-05   8.520449e-08
 1.892765e+04   1.204256e-05   7.830280e-08
 1.912955e+04   1.184972e-05   6.440943e-08
 1.933145e+04   1.181843e-05   1.139150e-07
 1.953335e+04   1.172526e-05   8.461939e-08
 1.973525e+04   1.180117e-05   7.727031e-08
 1.993715e+04   1.163992e-05   6.872868e-08
 2.013905e+04   1.146591e-05   9.352602e-08
 2.034095e+04   1.163129e-05   1.127815e-07
 2.054285e+04   1.142988e-05   7.814466e-08
 2.074475e+04   1.151343e-05   9.034709e-08
 2.094665e+04   1.133413e-05   1.168183e-07
 2.114855e+04   1.100198e-05   8.172874e-08
 2.135045e+04   1.120518e-05   9.366598e-08
 2.155235e+04   1.116320e-05   7.506101e-08
 2.175425e+04   1.103356e-05   7.463303e-08
 2.195615e+04   1.084775e-05   8.547297e-08
 2.215805e+04   1.088085e-05   8.597254e-08
 2.235995e+04   1.088069e-05   1.053215e-07
 2.256185e+04   1.075692e-05   5.069125e-08
 2.276375e+04   1.074057e-05   8.280802e-08
 2.296565e+04   1.081852e-05   9.243031e-08
 2.316755e+04   1.043324e-05   6.030774e-08
 2.336945e+04   1.071039e-05   1.060566e-07
 2.357135e+04   1.036865e-05   8.748223e-08
 2.377325e+04   1.034355e-05   7.514651e-08
 2.397515e+04   1.034240e-05   6.610103e-08
 2.417705e+04   1.023529e-05   6.643283e-08
 2.437895e+04   1.012051e-05   8.522342e-08
 2.458085e+04   1.013651e-05   8.719392e-08
 2.478275e+04   1.002448e-05   6.269517e-08
 2.498465e+04   1.006919e-05   9.391696e-08
 2.518655e+04   9.732519e-06   7.738258e-08
 2.538845e+04   9.725164e-06   8.913146e-08
 2.559035e+04   9.826976e-06   1.215483e-07
 2.579225e+04   9.725552e-06   1.053368e-07
 2.599415e+04   9.611770e-06   8.246643e-08
 2.619605e+04   9.535214e-06   1.041657e-07
 2.639795e+04   9.441103e-06   7.359887e-08
 2.659985e+04   9.601767e-06   9.703677e-08
 2.680175e+04   9.244495e-06   6.378199e-08
 2.700365e+04   9.366084e-06   8.088051e-08
 2.720555e+04   9.241701e-06   8.816209e-08
 2.740745e+04   9.245353e-06   8.811675e-08
 2.760935e+04   9.181457e-06   1.117916e-07
 2.781125e+04   8.916889e-06   9.834071e-08
 2.801315e+04   8.894063e-06   6.479766e-08
 2.821505e+04   8.970140e-06   9.062680e-08
 2.841695e+04   9.013127e-06   9.943773e-08
 2.861885e+04   9.008328e-06   1.222095e-07
 2.882075e+04   8.626543e-06   8.675953e-08
 2.902265e+04   8.787802e-06   1.096371e-07
 2.922455e+04   8.576885e-06   1.068786e-07
 2.942645e+04   8.572160e-06   1.041407e-07
 2.962835e+04   8.235744e-06   1.352347e-07
 2.983025e+04   9.065517e-06   2.961790e-07
 3.003215e+04   2.701353e-06   1.263529e-07
 3.023405e+04   0.000000e+00   0.000000e+00
 3.043595e+04   0.000000e+00   0.000000e+00
 3.063785e+04   0.000000e+00   0.000000e+00
 3.083975e+04   0.000000e+00   0.000000e+00
 3.104165e+04   0.000000e+00   0.000000e+00
 3.124355e+04   0.000000e+00   0.000000e+00
 3.144545e+04   0.000000e+00   0.000000e+00
 3.164735e+04   0.000000e+00   0.000000e+00
 3.184925e+04   0.000000e+00   0.000000e+00
 3.205115e+04   0.000000e+00   0.000000e+00
 3.225305e+04   0.000000e+00   0.000000e+00
 3.245495e+04   0.000000e+00   0.000000e+00
 3.265685e+04   0.000000e+00   0.000000e+00
 3.285875e+04   0.000000e+00   0.000000e+00
 3.306065e+04   0.000000e+00   0.000000e+00
 3.326255e+04   0.000000e+00   0.000000e+00
 3.346445e+04   0.000000e+00   0.000000e+00
 3.366635e+04   0.000000e+00   0.000000e+00
 3.386825e+04   0.000000e+00   0.000000e+00
 3.407015e+04   0.000000e+00   0.000000e+00
 3.427205e+04   0.000000e+00   0.000000e+00
 3.447395e+04   0.000000e+00   0.000000e+00
 3.467585e+04   0.000000e+00   0.000000e+00
 3.487775e+04   0.000000e+00   0.000000e+00
 3.507965e+04   0.000000e+00   0.000000e+00
 3.528155e+04   0.000000e+00   0.000000e+00
 3.548345e+04   0.000000e+00   0.000000e+00
 3.568535e+04   0.000000e+00   0.000000e+00
 3.588725e+04   0.000000e+00   0.000000e+00
 3.608915e+04   0.000000e+00   0.000000e+00
 3.629105e+04   0.000000e+00   0.000000e+00
 3.649295e+04   0.000000e+00   0.000000e+00
 3.669485e+04   0.000000e+00   0.000000e+00
 3.689675e+04   0.000000e+00   0.000000e+00
 3.709865e+04   0.000000e+00   0.000000e+00
 3.730055e+04   0.000000e+00   0.000000e+00
 3.750245e+04   0.000000e+00   0.000000e+00
 3.770435e+04   0.000000e+00   0.000000e+00
 3.790625e+04   0.000000e+00   0.000000e+00
 3.810815e+04   0.000000e+00   0.000000e+00
 3.831005e+04   0.000000e+00   0.000000e+00
 3.851195e+04   0.000000e+00   0.000000e+00
 3.871385e+04   0.000000e+00   0.000000e+00
 3.891575e+04   0.000000e+00   0.000000e+00
 3.911765e+04   0.000000e+00   0.000000e+00
 3.931955e+04   0.000000e+00   0.000000e+00
 3.952145e+04   0.000000e+00   0.000000e+00
 3.972335e+04   0.000000e+00   0.000000e+00
 3.992525e+04   0.000000e+00   0.000000e+00
 4.012715e+04   0.000000e+00   0.000000e+00
 4.032905e+04   0.000000e+00   0.000000e+00
 4.053095e+04   0.000000e+00   0.000000e+00
 4.073285e+04   0.000000e+00   0.000000e+00
 4.093475e+04   0.000000e+00   0.000000e+00
 4.113665e+04   0.000000e+00   0.000000e+00
 4.133855e+04   0.000000e+00   0.000000e+00
 4.154045e+04   0.000000e+00   0.000000e+00
 4.174235e+04   0.000000e+00   0.000000e+00
 4.194425e+04   0.000000e+00   0.000000e+00
 4.214615e+04   0.000000e+00   0.000000e+00
 4.234805e+04   0.000000e+00   0.000000e+00
 4.254995e+04   0.000000e+00   0.000000e+00
 4.275185e+04   0.000000e+00   0.000000e+00
 4.295375e+04   0.000000e+00   0.000000e+00
 4.315565e+04   0.000000e+00   0.000000e+00
 4.335755e+04   0.000000e+00   0.000000e+00
