Eph_lab bin centers    value    Error 
-inf  -4.596072e-01   3.078203e-02
 1.099000e+03   9.265413e-06   7.623136e-08
 1.297000e+03   7.635372e-06   1.175988e-07
 1.495000e+03   6.764534e-06   1.547589e-07
 1.693000e+03   5.836291e-06   9.205843e-08
 1.891000e+03   5.166959e-06   9.551737e-08
 2.089000e+03   4.930424e-06   1.015895e-07
 2.287000e+03   4.427964e-06   1.168260e-07
 2.485000e+03   3.925915e-06   6.756034e-08
 2.683000e+03   3.598373e-06   5.450454e-08
 2.881000e+03   3.422920e-06   6.513554e-08
 3.079000e+03   3.100484e-06   3.096461e-08
 3.277000e+03   2.937919e-06   4.335657e-08
 3.475000e+03   2.780357e-06   4.126987e-08
 3.673000e+03   2.732220e-06   5.458671e-08
 3.871000e+03   2.523554e-06   5.226525e-08
 4.069000e+03   2.374788e-06   3.305158e-08
 4.267000e+03   2.262606e-06   4.183689e-08
 4.465000e+03   2.231247e-06   5.162691e-08
 4.663000e+03   2.088197e-06   3.532262e-08
 4.861000e+03   2.042619e-06   6.837392e-08
 5.059000e+03   1.970414e-06   4.193262e-08
 5.257000e+03   1.814671e-06   2.136008e-08
 5.455000e+03   1.723839e-06   3.274029e-08
 5.653000e+03   1.721565e-06   2.015878e-08
 5.851000e+03   1.718191e-06   3.201617e-08
 6.049000e+03   1.608884e-06   2.490882e-08
 6.247000e+03   1.523294e-06   3.002610e-08
 6.445000e+03   1.479163e-06   2.756813e-08
 6.643000e+03   1.494948e-06   2.598584e-08
 6.841000e+03   1.406279e-06   3.796660e-08
 7.039000e+03   1.375342e-06   2.951903e-08
 7.237000e+03   1.347658e-06   2.622198e-08
 7.435000e+03   1.236260e-06   1.472492e-08
 7.633000e+03   1.233623e-06   3.430019e-08
 7.831000e+03   1.230965e-06   4.035238e-08
 8.029000e+03   1.246483e-06   3.688914e-08
 8.227000e+03   1.184006e-06   3.051206e-08
 8.425000e+03   1.167526e-06   3.239802e-08
 8.623000e+03   1.110314e-06   2.809025e-08
 8.821000e+03   1.078610e-06   3.854036e-08
 9.019000e+03   1.047032e-06   2.467614e-08
 9.217000e+03   1.041282e-06   1.941376e-08
 9.415000e+03   1.102889e-06   3.486617e-08
 9.613000e+03   9.715544e-07   2.597069e-08
 9.811000e+03   1.007332e-06   3.262094e-08
 1.000900e+04   9.265864e-07   2.119632e-08
 1.020700e+04   9.281517e-07   2.386222e-08
 1.040500e+04   9.729783e-07   3.044506e-08
 1.060300e+04   9.024990e-07   3.107312e-08
 1.080100e+04   8.954151e-07   3.129460e-08
 1.099900e+04   8.115000e-07   2.459408e-08
 1.119700e+04   8.483142e-07   3.764019e-08
 1.139500e+04   8.671813e-07   5.509282e-08
 1.159300e+04   8.191401e-07   2.003665e-08
 1.179100e+04   7.927877e-07   2.295363e-08
 1.198900e+04   7.800321e-07   3.201250e-08
 1.218700e+04   8.603311e-07   4.384807e-08
 1.238500e+04   7.861272e-07   2.170325e-08
 1.258300e+04   7.651067e-07   2.519605e-08
 1.278100e+04   7.992311e-07   3.274861e-08
 1.297900e+04   7.860520e-07   3.706607e-08
 1.317700e+04   7.364569e-07   4.833199e-08
 1.337500e+04   7.487704e-07   1.881367e-08
 1.357300e+04   7.430296e-07   2.002327e-08
 1.377100e+04   7.615193e-07   3.282713e-08
 1.396900e+04   7.393692e-07   5.015234e-08
