Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.000000e+02   0.000000e+00   0.000000e+00
 3.000000e+02   0.000000e+00   0.000000e+00
 5.000000e+02   0.000000e+00   0.000000e+00
 7.000000e+02   0.000000e+00   0.000000e+00
 9.000000e+02   1.336862e-03   1.035117e-06
 1.100000e+03   2.021597e-03   1.473865e-06
 1.300000e+03   1.454475e-03   1.347810e-06
 1.500000e+03   1.096735e-03   1.234035e-06
 1.700000e+03   8.555746e-04   1.101610e-06
 1.900000e+03   6.815488e-04   1.182641e-06
 2.100000e+03   5.576746e-04   1.145833e-06
 2.300000e+03   4.628292e-04   6.105209e-07
 2.500000e+03   3.893190e-04   6.543559e-07
 2.700000e+03   3.316586e-04   6.011811e-07
 2.900000e+03   2.851008e-04   5.712560e-07
 3.100000e+03   2.476120e-04   4.898125e-07
 3.300000e+03   2.169298e-04   6.793306e-07
 3.500000e+03   1.914489e-04   4.457243e-07
 3.700000e+03   1.691433e-04   3.936906e-07
 3.900000e+03   1.502153e-04   6.181876e-07
 4.100000e+03   1.347374e-04   2.909366e-07
 4.300000e+03   1.215450e-04   4.345901e-07
 4.500000e+03   1.093475e-04   3.933614e-07
 4.700000e+03   9.975195e-05   4.375589e-07
 4.900000e+03   8.993374e-05   4.575483e-07
 5.100000e+03   8.241403e-05   3.483875e-07
 5.300000e+03   7.476299e-05   4.495964e-07
 5.500000e+03   6.907131e-05   3.884139e-07
 5.700000e+03   6.301301e-05   3.206312e-07
 5.900000e+03   5.846767e-05   2.684291e-07
 6.100000e+03   5.336848e-05   3.009629e-07
 6.300000e+03   4.993358e-05   3.114317e-07
 6.500000e+03   4.561427e-05   3.984454e-07
 6.700000e+03   4.241313e-05   2.357962e-07
 6.900000e+03   3.958304e-05   2.760133e-07
 7.100000e+03   3.662402e-05   2.702907e-07
 7.300000e+03   3.402211e-05   2.937368e-07
 7.500000e+03   3.162067e-05   2.798771e-07
 7.700000e+03   2.949950e-05   2.334745e-07
 7.900000e+03   2.740946e-05   2.245848e-07
 8.100000e+03   2.560743e-05   3.151754e-07
 8.300000e+03   2.393276e-05   2.962238e-07
 8.500000e+03   2.248374e-05   3.647715e-07
 8.700000e+03   2.112937e-05   1.972957e-07
 8.900000e+03   1.948710e-05   2.443836e-07
 9.100000e+03   1.857185e-05   1.832205e-07
 9.300000e+03   1.754551e-05   1.506821e-07
 9.500000e+03   1.638606e-05   1.812100e-07
 9.700000e+03   1.514164e-05   1.804279e-07
 9.900000e+03   1.418642e-05   1.642851e-07
 1.010000e+04   1.400444e-05   2.424801e-07
 1.030000e+04   1.261552e-05   2.140210e-07
 1.050000e+04   1.191532e-05   1.948164e-07
 1.070000e+04   1.149741e-05   1.829736e-07
 1.090000e+04   1.092917e-05   2.042154e-07
 1.110000e+04   1.009536e-05   1.458714e-07
 1.130000e+04   9.558576e-06   1.951842e-07
 1.150000e+04   8.910679e-06   9.945758e-08
 1.170000e+04   8.331895e-06   1.445401e-07
 1.190000e+04   7.751648e-06   1.477949e-07
 1.210000e+04   7.583451e-06   1.105195e-07
 1.230000e+04   6.759770e-06   1.344974e-07
 1.250000e+04   6.619544e-06   1.156541e-07
 1.270000e+04   6.184480e-06   1.195749e-07
 1.290000e+04   5.639029e-06   2.056289e-07
 1.310000e+04   5.597192e-06   1.258876e-07
 1.330000e+04   4.969499e-06   1.823495e-07
 1.350000e+04   4.679939e-06   1.330961e-07
 1.370000e+04   4.443660e-06   1.478940e-07
 1.390000e+04   4.369525e-06   1.491832e-07
 1.410000e+04   3.734691e-06   1.549532e-07
 1.430000e+04   3.700988e-06   1.346929e-07
 1.450000e+04   3.360312e-06   1.434023e-07
 1.470000e+04   3.226461e-06   1.302881e-07
 1.490000e+04   3.080138e-06   1.408449e-07
 1.510000e+04   3.087498e-06   8.615637e-08
 1.530000e+04   2.475113e-06   1.359013e-07
 1.550000e+04   2.397962e-06   1.201436e-07
 1.570000e+04   2.107671e-06   1.270037e-07
 1.590000e+04   1.762620e-06   2.251695e-07
 1.610000e+04   1.980676e-06   1.259569e-07
 1.630000e+04   1.602958e-06   1.216250e-07
 1.650000e+04   1.630908e-06   1.007837e-07
 1.670000e+04   1.405320e-06   9.221549e-08
 1.690000e+04   1.593320e-06   1.045485e-07
 1.710000e+04   1.027090e-06   1.235656e-07
 1.730000e+04   1.039019e-06   9.196280e-08
 1.750000e+04   9.833060e-07   1.087320e-07
 1.770000e+04   9.323950e-07   8.763978e-08
 1.790000e+04   7.918657e-07   1.410829e-07
 1.810000e+04   7.963964e-07   9.235715e-08
 1.830000e+04   5.507933e-07   9.473241e-08
 1.850000e+04   5.032046e-07   1.009726e-07
 1.870000e+04   4.708185e-07   7.438460e-08
 1.890000e+04   3.563071e-07   1.163001e-07
 1.910000e+04   3.108327e-07   1.052256e-07
 1.930000e+04   1.526061e-07   1.324587e-07
 1.950000e+04   1.097040e-07   8.687180e-08
