Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.295296e-05   7.540916e-08
 1.100989e+03   2.243221e-03   8.010172e-07
 1.300987e+03   1.662835e-03   7.629074e-07
 1.500985e+03   1.286152e-03   8.311685e-07
 1.700983e+03   1.027143e-03   1.139141e-06
 1.900981e+03   8.390825e-04   6.806657e-07
 2.100979e+03   7.008518e-04   9.759517e-07
 2.300977e+03   5.886754e-04   6.024107e-07
 2.500975e+03   5.028577e-04   4.770074e-07
 2.700973e+03   4.356921e-04   7.777488e-07
 2.900971e+03   3.804029e-04   3.936869e-07
 3.100969e+03   3.341147e-04   3.600892e-07
 3.300967e+03   2.963038e-04   5.259097e-07
 3.500965e+03   2.652894e-04   3.173372e-07
 3.700963e+03   2.391553e-04   3.523948e-07
 3.900961e+03   2.163859e-04   2.990621e-07
 4.100959e+03   1.959943e-04   3.457340e-07
 4.300957e+03   1.792940e-04   2.548518e-07
 4.500955e+03   1.640872e-04   2.500789e-07
 4.700953e+03   1.514103e-04   3.062096e-07
 4.900951e+03   1.384668e-04   2.532181e-07
 5.100949e+03   1.294679e-04   2.244269e-07
 5.300947e+03   1.200941e-04   3.298707e-07
 5.500945e+03   1.115396e-04   2.010160e-07
 5.700943e+03   1.041930e-04   1.804989e-07
 5.900941e+03   9.783275e-05   2.092346e-07
 6.100939e+03   9.170437e-05   2.492276e-07
 6.300937e+03   8.582091e-05   1.755591e-07
 6.500935e+03   8.090304e-05   2.247191e-07
 6.700933e+03   7.598531e-05   1.575457e-07
 6.900931e+03   7.187664e-05   1.762653e-07
 7.100929e+03   6.826516e-05   2.836763e-07
 7.300927e+03   6.430551e-05   1.583072e-07
 7.500925e+03   6.119154e-05   1.447730e-07
 7.700923e+03   5.819743e-05   1.616225e-07
 7.900921e+03   5.491588e-05   1.773114e-07
 8.100919e+03   5.251183e-05   1.424960e-07
 8.300917e+03   5.036936e-05   1.569221e-07
 8.500915e+03   4.804778e-05   1.791508e-07
 8.700913e+03   4.580146e-05   1.713609e-07
 8.900911e+03   4.371950e-05   1.651909e-07
 9.100909e+03   4.174576e-05   1.567001e-07
 9.300907e+03   4.005164e-05   1.640563e-07
 9.500905e+03   3.856927e-05   1.720153e-07
 9.700903e+03   3.682288e-05   1.232266e-07
 9.900901e+03   3.527331e-05   1.235221e-07
 1.010090e+04   3.424768e-05   1.676656e-07
 1.030090e+04   3.249470e-05   1.516493e-07
 1.050090e+04   3.187088e-05   1.741927e-07
 1.070089e+04   3.012879e-05   1.776025e-07
 1.090089e+04   2.903448e-05   1.407716e-07
 1.110089e+04   2.851530e-05   1.275905e-07
 1.130089e+04   2.727719e-05   1.860833e-07
 1.150089e+04   2.622702e-05   1.294768e-07
 1.170088e+04   2.540455e-05   1.249165e-07
 1.190088e+04   2.480176e-05   1.723966e-07
 1.210088e+04   2.396955e-05   1.263883e-07
 1.230088e+04   2.278353e-05   1.355139e-07
 1.250088e+04   2.254260e-05   1.504344e-07
 1.270087e+04   2.135852e-05   1.672368e-07
 1.290087e+04   2.100105e-05   1.601763e-07
 1.310087e+04   2.049363e-05   9.556864e-08
 1.330087e+04   1.966041e-05   1.605118e-07
 1.350086e+04   1.922883e-05   1.203100e-07
 1.370086e+04   1.855177e-05   1.653263e-07
 1.390086e+04   1.819387e-05   1.780934e-07
 1.410086e+04   1.762879e-05   1.288192e-07
 1.430086e+04   1.682662e-05   1.511636e-07
 1.450085e+04   1.635272e-05   1.653346e-07
 1.470085e+04   1.598562e-05   1.697417e-07
 1.490085e+04   1.556917e-05   1.961228e-07
 1.510085e+04   1.490402e-05   1.190545e-07
 1.530085e+04   1.476624e-05   9.016230e-08
 1.550084e+04   1.449311e-05   1.079960e-07
 1.570084e+04   1.404501e-05   1.720761e-07
 1.590084e+04   1.364667e-05   2.485907e-07
 1.610084e+04   1.324463e-05   1.484719e-07
 1.630084e+04   1.293788e-05   1.464068e-07
 1.650083e+04   1.301213e-05   1.071839e-07
 1.670083e+04   1.253374e-05   1.038671e-07
 1.690083e+04   1.203511e-05   1.091778e-07
 1.710083e+04   1.195144e-05   1.180617e-07
 1.730083e+04   1.161056e-05   1.092767e-07
 1.750083e+04   1.130735e-05   9.828674e-08
 1.770082e+04   1.101260e-05   1.355223e-07
 1.790082e+04   1.080309e-05   9.966513e-08
 1.810082e+04   1.044497e-05   1.172578e-07
 1.830082e+04   1.016573e-05   1.277299e-07
 1.850081e+04   1.020410e-05   1.286786e-07
 1.870081e+04   9.614610e-06   2.443649e-07
 1.890081e+04   9.703701e-06   1.085117e-07
 1.910081e+04   9.298223e-06   1.637431e-07
 1.930081e+04   9.297063e-06   6.957171e-08
 1.950081e+04   9.047264e-06   9.013771e-08
 1.970080e+04   8.903650e-06   2.129769e-07
 1.990080e+04   8.562637e-06   1.240305e-07
 2.010080e+04   8.607589e-06   1.560306e-07
 2.030080e+04   8.271785e-06   9.538476e-08
 2.050079e+04   8.291647e-06   1.463173e-07
 2.070079e+04   7.936184e-06   1.342562e-07
 2.090079e+04   8.027307e-06   1.038039e-07
 2.110079e+04   7.942570e-06   2.324537e-07
 2.130079e+04   7.628852e-06   1.719562e-07
 2.150078e+04   7.135493e-06   1.816797e-07
 2.170078e+04   7.337296e-06   1.218823e-07
 2.190078e+04   7.198611e-06   1.790394e-07
 2.210078e+04   6.621624e-06   1.457942e-07
 2.230078e+04   7.220497e-06   1.247866e-07
 2.250078e+04   6.572077e-06   1.228420e-07
 2.270077e+04   6.571277e-06   1.385563e-07
 2.290077e+04   6.707649e-06   2.092381e-07
 2.310077e+04   6.339278e-06   1.220901e-07
 2.330077e+04   6.345125e-06   7.125469e-08
 2.350076e+04   6.059468e-06   1.152651e-07
 2.370076e+04   6.089431e-06   1.025889e-07
 2.390076e+04   5.856008e-06   1.302505e-07
 2.410076e+04   5.929427e-06   1.007798e-07
 2.430076e+04   5.634528e-06   1.437815e-07
 2.450076e+04   5.924195e-06   2.196510e-07
 2.470075e+04   5.494321e-06   1.460636e-07
 2.490075e+04   5.524962e-06   2.287292e-07
 2.510075e+04   5.526728e-06   8.030180e-08
 2.530075e+04   5.236567e-06   1.597351e-07
 2.550074e+04   4.911608e-06   1.753730e-07
 2.570074e+04   5.003416e-06   1.771961e-07
 2.590074e+04   4.812698e-06   1.704297e-07
 2.610074e+04   5.368386e-06   3.938839e-07
 2.630074e+04   5.155469e-06   2.976899e-07
 2.650074e+04   4.630462e-06   2.283280e-07
 2.670073e+04   4.342907e-06   1.718342e-07
 2.690073e+04   4.411800e-06   2.072648e-07
 2.710073e+04   4.641643e-06   1.518689e-07
 2.730073e+04   4.232532e-06   2.179578e-07
 2.750072e+04   4.786129e-06   2.157313e-07
 2.770072e+04   4.174867e-06   2.057272e-07
 2.790072e+04   4.314906e-06   1.852047e-07
 2.810072e+04   4.170031e-06   1.027440e-07
 2.830072e+04   4.033093e-06   1.973829e-07
 2.850072e+04   3.877205e-06   2.094426e-07
 2.870071e+04   3.980552e-06   1.284989e-07
 2.890071e+04   4.071693e-06   2.162190e-07
 2.910071e+04   3.791001e-06   2.161936e-07
 2.930071e+04   3.538831e-06   1.907716e-07
 2.950071e+04   3.843603e-06   1.724039e-07
 2.970070e+04   3.911293e-06   2.381136e-07
 2.990070e+04   3.922212e-06   1.725591e-07
 3.010070e+04   3.438278e-06   2.022921e-07
 3.030070e+04   3.629998e-06   1.867950e-07
 3.050069e+04   3.877531e-06   3.332959e-07
 3.070069e+04   3.679272e-06   3.217614e-07
 3.090069e+04   3.171002e-06   2.471583e-07
 3.110069e+04   3.052481e-06   2.902223e-07
 3.130069e+04   2.900253e-06   2.024758e-07
 3.150069e+04   3.216532e-06   2.371046e-07
 3.170068e+04   2.812388e-06   1.925616e-07
 3.190068e+04   3.172856e-06   2.107561e-07
 3.210068e+04   2.995440e-06   2.124095e-07
 3.230068e+04   2.686336e-06   1.937893e-07
 3.250067e+04   2.816950e-06   1.926564e-07
 3.270067e+04   2.503719e-06   1.912568e-07
 3.290067e+04   2.361490e-06   3.041693e-07
 3.310067e+04   2.369462e-06   2.174603e-07
 3.330067e+04   2.670420e-06   1.845391e-07
 3.350067e+04   2.289531e-06   1.826064e-07
 3.370066e+04   2.509978e-06   2.121872e-07
 3.390066e+04   2.526512e-06   2.148494e-07
 3.410066e+04   2.182386e-06   1.463860e-07
 3.430066e+04   2.158632e-06   1.770757e-07
 3.450065e+04   1.503058e-06   3.510162e-07
