Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.455432e-05   1.266898e-07
 9.500000e+02   2.862893e-03   1.808219e-06
 1.050000e+03   2.398716e-03   1.747318e-06
 1.150000e+03   2.037754e-03   2.448359e-06
 1.250000e+03   1.755212e-03   3.179372e-06
 1.350000e+03   1.531084e-03   1.462553e-06
 1.450000e+03   1.344105e-03   1.495846e-06
 1.550000e+03   1.189454e-03   1.273484e-06
 1.650000e+03   1.067817e-03   1.552609e-06
 1.750000e+03   9.572095e-04   1.091475e-06
 1.850000e+03   8.638140e-04   1.211046e-06
 1.950000e+03   7.842966e-04   1.290053e-06
 2.050000e+03   7.162961e-04   1.312993e-06
 2.150000e+03   6.554836e-04   1.130366e-06
 2.250000e+03   6.026666e-04   1.635033e-06
 2.350000e+03   5.544812e-04   9.313032e-07
 2.450000e+03   5.110100e-04   1.444566e-06
 2.550000e+03   4.740607e-04   1.100839e-06
 2.650000e+03   4.406797e-04   9.688886e-07
 2.750000e+03   4.119621e-04   8.162492e-07
 2.850000e+03   3.808094e-04   7.925153e-07
 2.950000e+03   3.575502e-04   8.736873e-07
 3.050000e+03   3.375402e-04   8.700951e-07
 3.150000e+03   3.150556e-04   9.797788e-07
 3.250000e+03   2.961555e-04   5.389427e-07
 3.350000e+03   2.796174e-04   8.448189e-07
 3.450000e+03   2.655633e-04   1.013619e-06
 3.550000e+03   2.504757e-04   4.764422e-07
 3.650000e+03   2.368826e-04   6.245254e-07
 3.750000e+03   2.257714e-04   6.193768e-07
 3.850000e+03   2.148262e-04   5.200650e-07
 3.950000e+03   2.032200e-04   5.946083e-07
 4.050000e+03   1.936849e-04   4.911495e-07
 4.150000e+03   1.845435e-04   6.961740e-07
 4.250000e+03   1.775273e-04   4.919331e-07
 4.350000e+03   1.685664e-04   5.724071e-07
 4.450000e+03   1.611779e-04   6.519484e-07
 4.550000e+03   1.539887e-04   5.092674e-07
 4.650000e+03   1.488795e-04   4.094418e-07
 4.750000e+03   1.423026e-04   3.823005e-07
 4.850000e+03   1.354744e-04   4.581126e-07
 4.950000e+03   1.313783e-04   3.836091e-07
 5.050000e+03   1.271719e-04   4.942359e-07
 5.150000e+03   1.214968e-04   3.808948e-07
 5.250000e+03   1.168060e-04   6.066291e-07
 5.350000e+03   1.118528e-04   5.858187e-07
 5.450000e+03   1.087648e-04   5.361061e-07
 5.550000e+03   1.046167e-04   5.010558e-07
 5.650000e+03   1.014446e-04   3.266590e-07
 5.750000e+03   9.720960e-05   4.064433e-07
 5.850000e+03   9.461405e-05   4.804821e-07
 5.950000e+03   9.090972e-05   5.999801e-07
