Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   4.066444e-05   4.827674e-08
 1.100989e+03   2.233236e-03   1.820284e-07
 1.300987e+03   1.662913e-03   1.490934e-07
 1.500985e+03   1.288280e-03   1.427843e-07
 1.700983e+03   1.029325e-03   1.738875e-07
 1.900981e+03   8.439986e-04   1.587114e-07
 2.100979e+03   7.052994e-04   1.575518e-07
 2.300977e+03   6.000361e-04   1.230307e-07
 2.500975e+03   5.168944e-04   1.280698e-07
 2.700973e+03   4.504620e-04   1.270247e-07
 2.900971e+03   3.966148e-04   1.226995e-07
 3.100969e+03   3.524392e-04   1.458024e-07
 3.300967e+03   3.153244e-04   1.115693e-07
 3.500965e+03   2.839190e-04   1.198657e-07
 3.700963e+03   2.572623e-04   1.115694e-07
 3.900961e+03   2.343655e-04   1.200749e-07
 4.100959e+03   2.144896e-04   1.100697e-07
 4.300957e+03   1.971397e-04   1.108935e-07
 4.500955e+03   1.818782e-04   9.538614e-08
 4.700953e+03   1.683648e-04   9.617988e-08
 4.900951e+03   1.566009e-04   9.726407e-08
 5.100949e+03   1.458112e-04   8.529635e-08
 5.300947e+03   1.362265e-04   7.223368e-08
 5.500945e+03   1.275804e-04   8.815504e-08
 5.700943e+03   1.200490e-04   1.068906e-07
 5.900941e+03   1.129027e-04   1.101446e-07
 6.100939e+03   1.064473e-04   1.046494e-07
 6.300937e+03   1.005238e-04   1.026908e-07
 6.500935e+03   9.500337e-05   9.367634e-08
 6.700933e+03   9.017015e-05   1.023302e-07
 6.900931e+03   8.557990e-05   1.268189e-07
 7.100929e+03   8.160674e-05   1.091911e-07
 7.300927e+03   7.756644e-05   8.890233e-08
 7.500925e+03   7.407315e-05   9.383698e-08
 7.700923e+03   7.079297e-05   9.936270e-08
 7.900921e+03   6.769511e-05   9.823353e-08
 8.100919e+03   6.469315e-05   9.690489e-08
 8.300917e+03   6.191493e-05   1.124254e-07
 8.500915e+03   5.948839e-05   9.720324e-08
 8.700913e+03   5.714730e-05   1.024363e-07
 8.900911e+03   5.497695e-05   9.872137e-08
 9.100909e+03   5.284463e-05   1.042153e-07
 9.300907e+03   5.055331e-05   1.041168e-07
 9.500905e+03   4.905800e-05   8.646426e-08
 9.700903e+03   4.727524e-05   1.124163e-07
 9.900901e+03   4.570548e-05   1.366565e-07
 1.010090e+04   4.387594e-05   1.186120e-07
 1.030090e+04   4.234961e-05   1.810404e-07
 1.050090e+04   4.120960e-05   1.855922e-07
 1.070089e+04   4.000432e-05   1.219307e-07
 1.090089e+04   3.844501e-05   1.263764e-07
 1.110089e+04   3.728977e-05   1.318680e-07
 1.130089e+04   3.605971e-05   1.273322e-07
 1.150089e+04   3.529161e-05   1.490396e-07
 1.170088e+04   3.407398e-05   1.093079e-07
 1.190088e+04   3.319095e-05   1.204289e-07
 1.210088e+04   3.198977e-05   1.181456e-07
 1.230088e+04   3.132182e-05   1.242347e-07
 1.250088e+04   3.032081e-05   1.258179e-07
 1.270087e+04   2.942129e-05   1.243667e-07
 1.290087e+04   2.880614e-05   1.245536e-07
 1.310087e+04   2.800921e-05   1.114728e-07
 1.330087e+04   2.709748e-05   1.027977e-07
 1.350086e+04   2.690892e-05   1.351711e-07
 1.370086e+04   2.567290e-05   1.277805e-07
 1.390086e+04   2.553862e-05   1.592259e-07
 1.410086e+04   2.445816e-05   8.726352e-08
 1.430086e+04   2.396764e-05   1.247362e-07
 1.450085e+04   2.332892e-05   1.166738e-07
 1.470085e+04   2.286578e-05   1.240310e-07
 1.490085e+04   2.241252e-05   1.324332e-07
 1.510085e+04   2.187468e-05   1.173929e-07
 1.530085e+04   2.148556e-05   1.472581e-07
 1.550084e+04   2.082312e-05   9.910596e-08
 1.570084e+04   2.055652e-05   1.024314e-07
 1.590084e+04   2.008311e-05   1.216758e-07
 1.610084e+04   1.949304e-05   1.208894e-07
 1.630084e+04   1.925070e-05   1.173801e-07
 1.650083e+04   1.859309e-05   1.392983e-07
 1.670083e+04   1.834268e-05   1.376958e-07
 1.690083e+04   1.791508e-05   1.358800e-07
 1.710083e+04   1.784442e-05   1.986938e-07
 1.730083e+04   1.726462e-05   2.358345e-07
 1.750083e+04   1.718915e-05   1.069902e-07
 1.770082e+04   1.650344e-05   1.239056e-07
 1.790082e+04   1.613159e-05   1.513030e-07
 1.810082e+04   1.604265e-05   1.199099e-07
 1.830082e+04   1.594474e-05   1.613931e-07
 1.850081e+04   1.536455e-05   1.699066e-07
 1.870081e+04   1.526827e-05   1.605880e-07
 1.890081e+04   1.458801e-05   1.287321e-07
 1.910081e+04   1.472273e-05   1.129271e-07
 1.930081e+04   1.405481e-05   1.163871e-07
 1.950081e+04   1.426743e-05   1.483448e-07
 1.970080e+04   1.376887e-05   1.791499e-07
 1.990080e+04   1.330322e-05   1.468253e-07
 2.010080e+04   1.365530e-05   2.154502e-07
 2.030080e+04   1.300506e-05   1.862309e-07
 2.050079e+04   1.311196e-05   1.692268e-07
 2.070079e+04   1.254239e-05   1.903063e-07
 2.090079e+04   1.266754e-05   1.689703e-07
 2.110079e+04   1.207864e-05   2.116449e-07
 2.130079e+04   1.179128e-05   1.478871e-07
 2.150078e+04   1.166417e-05   1.577576e-07
 2.170078e+04   1.179914e-05   1.312806e-07
 2.190078e+04   1.143806e-05   1.479615e-07
 2.210078e+04   1.126411e-05   1.599310e-07
 2.230078e+04   1.124565e-05   1.344801e-07
 2.250078e+04   1.107277e-05   1.662328e-07
 2.270077e+04   1.081635e-05   1.777067e-07
 2.290077e+04   1.086187e-05   1.532553e-07
 2.310077e+04   1.074033e-05   2.597504e-07
 2.330077e+04   1.029072e-05   1.759388e-07
 2.350076e+04   1.018783e-05   2.526903e-07
 2.370076e+04   9.962516e-06   2.386581e-07
 2.390076e+04   9.953049e-06   1.692216e-07
 2.410076e+04   9.758575e-06   1.577822e-07
 2.430076e+04   9.617147e-06   1.235778e-07
 2.450076e+04   9.597937e-06   1.359175e-07
 2.470075e+04   9.091790e-06   1.390883e-07
 2.490075e+04   9.133038e-06   1.330250e-07
 2.510075e+04   8.872747e-06   1.714781e-07
 2.530075e+04   9.111618e-06   1.491567e-07
 2.550074e+04   8.815367e-06   1.574608e-07
 2.570074e+04   8.308857e-06   1.535630e-07
 2.590074e+04   7.983644e-06   1.637203e-07
 2.610074e+04   7.564220e-06   1.653267e-07
 2.630074e+04   7.288099e-06   1.282829e-07
 2.650074e+04   7.031926e-06   1.781095e-07
 2.670073e+04   6.503023e-06   1.678965e-07
 2.690073e+04   6.945822e-06   1.189511e-07
 2.710073e+04   6.701658e-06   1.353349e-07
 2.730073e+04   6.325251e-06   1.261810e-07
 2.750072e+04   5.997601e-06   1.920532e-07
 2.770072e+04   6.063132e-06   1.544808e-07
 2.790072e+04   5.966050e-06   1.270612e-07
 2.810072e+04   5.804354e-06   1.737386e-07
 2.830072e+04   5.354691e-06   2.228109e-07
 2.850072e+04   5.791715e-06   1.625228e-07
 2.870071e+04   5.606818e-06   1.450286e-07
 2.890071e+04   5.208899e-06   1.919196e-07
 2.910071e+04   5.245410e-06   1.350344e-07
 2.930071e+04   5.008590e-06   1.437988e-07
 2.950071e+04   4.771068e-06   1.439406e-07
 2.970070e+04   5.261932e-06   2.354166e-07
 2.990070e+04   4.686810e-06   1.946098e-07
 3.010070e+04   4.717647e-06   1.327904e-07
 3.030070e+04   4.324337e-06   1.032656e-07
 3.050069e+04   4.503320e-06   1.771748e-07
 3.070069e+04   4.371220e-06   1.711893e-07
 3.090069e+04   4.328832e-06   1.190507e-07
 3.110069e+04   4.118001e-06   1.504148e-07
 3.130069e+04   3.868252e-06   2.188671e-07
 3.150069e+04   4.008251e-06   1.836848e-07
 3.170068e+04   3.734932e-06   1.439766e-07
 3.190068e+04   4.001047e-06   1.674975e-07
 3.210068e+04   3.697967e-06   1.384708e-07
 3.230068e+04   3.265168e-06   1.512106e-07
 3.250067e+04   3.446801e-06   1.315347e-07
 3.270067e+04   3.465908e-06   9.799551e-08
 3.290067e+04   3.538345e-06   1.695069e-07
 3.310067e+04   3.442196e-06   1.629570e-07
 3.330067e+04   3.439722e-06   1.268431e-07
 3.350067e+04   3.115210e-06   1.655167e-07
 3.370066e+04   3.247887e-06   1.812192e-07
 3.390066e+04   2.925903e-06   1.827155e-07
 3.410066e+04   2.802145e-06   1.545253e-07
 3.430066e+04   2.897784e-06   1.272042e-07
 3.450065e+04   2.733971e-06   2.076387e-07
