Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.261731e-05   4.108070e-08
 1.100989e+03   2.167417e-03   2.615319e-06
 1.300987e+03   1.599178e-03   2.061133e-06
 1.500985e+03   1.228024e-03   2.867391e-06
 1.700983e+03   9.771282e-04   1.495917e-06
 1.900981e+03   7.951662e-04   1.649453e-06
 2.100979e+03   6.571237e-04   2.051541e-06
 2.300977e+03   5.531658e-04   1.335056e-06
 2.500975e+03   4.698143e-04   1.140106e-06
 2.700973e+03   4.036147e-04   2.007456e-06
 2.900971e+03   3.507792e-04   9.739259e-07
 3.100969e+03   3.084558e-04   1.328415e-06
 3.300967e+03   2.719864e-04   8.072495e-07
 3.500965e+03   2.412416e-04   8.506414e-07
 3.700963e+03   2.176488e-04   7.089187e-07
 3.900961e+03   1.947333e-04   7.448787e-07
 4.100959e+03   1.765651e-04   6.524382e-07
 4.300957e+03   1.585916e-04   1.019788e-06
 4.500955e+03   1.456556e-04   7.097022e-07
 4.700953e+03   1.333144e-04   6.398394e-07
 4.900951e+03   1.222655e-04   1.139395e-06
 5.100949e+03   1.135045e-04   5.512283e-07
 5.300947e+03   1.040804e-04   6.211418e-07
 5.500945e+03   9.641331e-05   5.288202e-07
 5.700943e+03   8.922174e-05   5.762940e-07
 5.900941e+03   8.340523e-05   4.758917e-07
 6.100939e+03   7.763570e-05   5.334156e-07
 6.300937e+03   7.240533e-05   5.250372e-07
 6.500935e+03   6.820559e-05   4.339262e-07
 6.700933e+03   6.387346e-05   3.974803e-07
 6.900931e+03   5.964203e-05   4.221413e-07
 7.100929e+03   5.595616e-05   6.535876e-07
 7.300927e+03   5.341236e-05   3.878278e-07
 7.500925e+03   4.969186e-05   4.345958e-07
 7.700923e+03   4.769882e-05   3.019789e-07
 7.900921e+03   4.483948e-05   3.581492e-07
 8.100919e+03   4.216756e-05   4.630374e-07
 8.300917e+03   3.979853e-05   3.894939e-07
 8.500915e+03   3.751512e-05   6.411828e-07
 8.700913e+03   3.631710e-05   2.867517e-07
 8.900911e+03   3.426964e-05   4.329055e-07
 9.100909e+03   3.268682e-05   4.285254e-07
 9.300907e+03   3.126237e-05   3.085139e-07
 9.500905e+03   2.977047e-05   3.190645e-07
 9.700903e+03   2.835692e-05   3.271044e-07
 9.900901e+03   2.722461e-05   2.963884e-07
 1.010090e+04   2.597684e-05   2.467974e-07
 1.030090e+04   2.500402e-05   4.429470e-07
 1.050090e+04   2.358963e-05   3.659970e-07
 1.070089e+04   2.261597e-05   2.949522e-07
 1.090089e+04   2.177074e-05   2.994192e-07
 1.110089e+04   2.094612e-05   2.578480e-07
 1.130089e+04   2.007101e-05   3.031946e-07
 1.150089e+04   1.943481e-05   3.041015e-07
 1.170088e+04   1.774455e-05   4.352325e-07
 1.190088e+04   1.814981e-05   2.433474e-07
 1.210088e+04   1.719309e-05   2.852126e-07
 1.230088e+04   1.643558e-05   2.397834e-07
 1.250088e+04   1.569266e-05   2.493143e-07
 1.270087e+04   1.533972e-05   2.334798e-07
 1.290087e+04   1.472831e-05   2.149087e-07
 1.310087e+04   1.427536e-05   2.458874e-07
 1.330087e+04   1.350051e-05   2.566451e-07
 1.350086e+04   1.299911e-05   2.262819e-07
 1.370086e+04   1.213468e-05   3.167704e-07
 1.390086e+04   1.220000e-05   2.523732e-07
 1.410086e+04   1.188331e-05   2.049441e-07
 1.430086e+04   1.145528e-05   1.937096e-07
 1.450085e+04   1.116391e-05   2.140486e-07
 1.470085e+04   1.067977e-05   1.997426e-07
 1.490085e+04   1.030599e-05   1.722899e-07
 1.510085e+04   1.004833e-05   1.675265e-07
 1.530085e+04   9.552683e-06   1.818325e-07
 1.550084e+04   9.433188e-06   1.617251e-07
 1.570084e+04   8.843967e-06   1.766516e-07
 1.590084e+04   8.389313e-06   2.300388e-07
 1.610084e+04   8.327329e-06   2.321204e-07
 1.630084e+04   8.207017e-06   2.462695e-07
 1.650083e+04   7.406384e-06   2.702130e-07
 1.670083e+04   7.535098e-06   1.904621e-07
 1.690083e+04   7.452203e-06   1.738812e-07
 1.710083e+04   7.327362e-06   1.498407e-07
 1.730083e+04   7.013691e-06   1.340672e-07
 1.750083e+04   6.784166e-06   1.562783e-07
 1.770082e+04   6.238411e-06   1.886436e-07
 1.790082e+04   6.232426e-06   1.911497e-07
 1.810082e+04   6.018489e-06   1.596138e-07
 1.830082e+04   5.337061e-06   4.009137e-07
 1.850081e+04   5.550461e-06   2.420487e-07
 1.870081e+04   5.519536e-06   1.830804e-07
 1.890081e+04   5.185927e-06   2.105185e-07
 1.910081e+04   5.458407e-06   1.426848e-07
 1.930081e+04   5.127662e-06   1.764859e-07
 1.950081e+04   4.970895e-06   1.587878e-07
 1.970080e+04   4.816553e-06   1.862609e-07
 1.990080e+04   4.664664e-06   1.378083e-07
 2.010080e+04   4.281317e-06   2.060631e-07
 2.030080e+04   4.306603e-06   1.920597e-07
 2.050079e+04   4.264904e-06   1.601987e-07
 2.070079e+04   4.192653e-06   1.379976e-07
 2.090079e+04   4.015827e-06   1.730671e-07
 2.110079e+04   4.006801e-06   1.717727e-07
 2.130079e+04   3.903303e-06   1.391161e-07
 2.150078e+04   3.910594e-06   1.546577e-07
 2.170078e+04   3.615950e-06   1.681123e-07
 2.190078e+04   3.566150e-06   1.560191e-07
 2.210078e+04   3.462182e-06   1.359533e-07
 2.230078e+04   3.405146e-06   1.490869e-07
 2.250078e+04   3.214003e-06   1.453875e-07
 2.270077e+04   3.152159e-06   1.304652e-07
 2.290077e+04   3.110814e-06   1.308971e-07
 2.310077e+04   3.156382e-06   1.295357e-07
 2.330077e+04   2.700983e-06   1.768316e-07
 2.350076e+04   2.749146e-06   1.457912e-07
 2.370076e+04   2.901890e-06   1.693702e-07
 2.390076e+04   2.862672e-06   1.705746e-07
 2.410076e+04   2.682384e-06   1.091964e-07
 2.430076e+04   2.652465e-06   1.798091e-07
 2.450076e+04   2.548755e-06   2.327321e-07
 2.470075e+04   2.430229e-06   1.498085e-07
 2.490075e+04   2.322480e-06   1.417153e-07
 2.510075e+04   2.210066e-06   1.452442e-07
 2.530075e+04   2.325959e-06   1.657069e-07
 2.550074e+04   2.270256e-06   1.224072e-07
 2.570074e+04   2.283038e-06   1.156408e-07
 2.590074e+04   2.067726e-06   1.172943e-07
 2.610074e+04   1.918657e-06   1.246421e-07
 2.630074e+04   1.694078e-06   1.794687e-07
 2.650074e+04   2.014295e-06   1.040747e-07
 2.670073e+04   1.929880e-06   1.512383e-07
 2.690073e+04   1.889790e-06   1.498241e-07
 2.710073e+04   1.721206e-06   1.902693e-07
 2.730073e+04   1.734920e-06   1.284669e-07
 2.750072e+04   1.619550e-06   1.395056e-07
 2.770072e+04   1.768349e-06   1.477288e-07
 2.790072e+04   1.398672e-06   1.875178e-07
 2.810072e+04   1.683650e-06   1.418132e-07
 2.830072e+04   1.706581e-06   1.973343e-07
 2.850072e+04   1.497306e-06   1.817782e-07
 2.870071e+04   1.105323e-06   1.969456e-07
 2.890071e+04   1.638702e-06   1.637038e-07
 2.910071e+04   1.407388e-06   1.611912e-07
 2.930071e+04   1.436232e-06   1.242434e-07
 2.950071e+04   1.282351e-06   1.642420e-07
 2.970070e+04   1.230610e-06   1.478692e-07
 2.990070e+04   1.158989e-06   1.216964e-07
 3.010070e+04   1.352520e-06   1.747413e-07
 3.030070e+04   1.010654e-06   2.186768e-07
 3.050069e+04   9.211924e-07   2.125315e-07
 3.070069e+04   4.729581e-07   3.444337e-07
 3.090069e+04   9.716297e-07   1.790835e-07
 3.110069e+04   5.733754e-07   2.595315e-07
 3.130069e+04   7.411406e-07   1.997072e-07
 3.150069e+04   1.085516e-06   2.599286e-07
 3.170068e+04   5.606224e-07   2.435629e-07
 3.190068e+04   9.787264e-07   1.790990e-07
 3.210068e+04   8.015990e-07   2.070555e-07
 3.230068e+04   8.318457e-07   2.395328e-07
 3.250067e+04   5.548432e-07   2.645084e-07
 3.270067e+04   7.679314e-07   2.380340e-07
 3.290067e+04   4.292232e-07   3.040773e-07
 3.310067e+04   5.669396e-07   1.689980e-07
 3.330067e+04   4.552647e-07   2.251846e-07
 3.350067e+04   3.240862e-07   1.923834e-07
 3.370066e+04   4.177857e-07   1.601068e-07
 3.390066e+04   4.899850e-07   2.813895e-07
 3.410066e+04   3.727231e-07   2.883155e-07
 3.430066e+04   5.862117e-07   1.752697e-07
 3.450065e+04   7.611553e-07   2.422701e-07
