Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   0.000000e+00   0.000000e+00
 9.500000e+02   0.000000e+00   0.000000e+00
 1.050000e+03   2.396878e-03   2.046677e-06
 1.150000e+03   2.036842e-03   2.746252e-06
 1.250000e+03   1.749986e-03   4.370963e-06
 1.350000e+03   1.531197e-03   4.235065e-06
 1.450000e+03   1.342093e-03   2.446398e-06
 1.550000e+03   1.191496e-03   2.902042e-06
 1.650000e+03   1.053123e-03   3.992042e-06
 1.750000e+03   9.515120e-04   3.468233e-06
 1.850000e+03   8.644848e-04   2.903456e-06
 1.950000e+03   7.801274e-04   2.251077e-06
 2.050000e+03   7.136006e-04   1.911193e-06
 2.150000e+03   6.538542e-04   2.627190e-06
 2.250000e+03   6.030720e-04   2.645775e-06
 2.350000e+03   5.508047e-04   1.962896e-06
 2.450000e+03   5.082791e-04   1.387195e-06
 2.550000e+03   4.704188e-04   1.950532e-06
 2.650000e+03   4.352190e-04   1.293110e-06
 2.750000e+03   4.087972e-04   2.034968e-06
 2.850000e+03   3.816236e-04   1.522035e-06
 2.950000e+03   3.525760e-04   2.393070e-06
 3.050000e+03   3.325069e-04   1.329384e-06
 3.150000e+03   3.132013e-04   1.208074e-06
 3.250000e+03   2.955848e-04   9.703859e-07
 3.350000e+03   2.766440e-04   1.427854e-06
 3.450000e+03   2.634502e-04   1.537126e-06
 3.550000e+03   2.517740e-04   1.913418e-06
 3.650000e+03   2.363760e-04   1.387889e-06
 3.750000e+03   2.241278e-04   1.069404e-06
 3.850000e+03   2.113917e-04   1.070917e-06
 3.950000e+03   2.008162e-04   8.914373e-07
 4.050000e+03   1.934836e-04   9.039027e-07
 4.150000e+03   1.832752e-04   1.124314e-06
 4.250000e+03   1.754844e-04   9.764398e-07
 4.350000e+03   1.668604e-04   1.124996e-06
 4.450000e+03   1.591980e-04   8.637003e-07
 4.550000e+03   1.536052e-04   9.821889e-07
 4.650000e+03   1.467571e-04   8.101326e-07
 4.750000e+03   1.400306e-04   1.003792e-06
 4.850000e+03   1.339129e-04   8.139255e-07
 4.950000e+03   1.287873e-04   5.460296e-07
 5.050000e+03   1.236626e-04   9.864624e-07
 5.150000e+03   1.200482e-04   6.575151e-07
 5.250000e+03   1.158828e-04   5.794161e-07
 5.350000e+03   1.111893e-04   9.709727e-07
 5.450000e+03   1.078126e-04   8.611535e-07
 5.550000e+03   1.036977e-04   6.260042e-07
 5.650000e+03   1.011955e-04   6.766311e-07
 5.750000e+03   9.654657e-05   7.714269e-07
 5.850000e+03   9.376085e-05   5.183426e-07
 5.950000e+03   9.055225e-05   4.173465e-07
