Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.444172e-05   1.945521e-07
 9.500000e+02   2.856695e-03   1.280089e-06
 1.050000e+03   2.398730e-03   1.756122e-06
 1.150000e+03   2.039158e-03   1.790083e-06
 1.250000e+03   1.753592e-03   1.216610e-06
 1.350000e+03   1.524495e-03   1.493094e-06
 1.450000e+03   1.341758e-03   1.902597e-06
 1.550000e+03   1.186833e-03   1.249987e-06
 1.650000e+03   1.064553e-03   1.165185e-06
 1.750000e+03   9.568931e-04   1.326155e-06
 1.850000e+03   8.624706e-04   1.205433e-06
 1.950000e+03   7.847582e-04   1.469377e-06
 2.050000e+03   7.188006e-04   1.909876e-06
 2.150000e+03   6.560859e-04   1.086821e-06
 2.250000e+03   5.977630e-04   1.643305e-06
 2.350000e+03   5.516535e-04   1.362322e-06
 2.450000e+03   5.073845e-04   9.546819e-07
 2.550000e+03   4.749745e-04   1.273143e-06
 2.650000e+03   4.371507e-04   9.920536e-07
 2.750000e+03   4.085299e-04   7.735220e-07
 2.850000e+03   3.839130e-04   1.046466e-06
 2.950000e+03   3.580909e-04   9.564826e-07
 3.050000e+03   3.333756e-04   7.389620e-07
 3.150000e+03   3.159587e-04   7.721298e-07
 3.250000e+03   2.966223e-04   4.606763e-07
 3.350000e+03   2.797607e-04   5.506921e-07
 3.450000e+03   2.650984e-04   7.343696e-07
 3.550000e+03   2.505372e-04   6.709825e-07
 3.650000e+03   2.358886e-04   5.698249e-07
 3.750000e+03   2.242200e-04   6.542412e-07
 3.850000e+03   2.130727e-04   5.570287e-07
 3.950000e+03   2.032122e-04   6.968964e-07
 4.050000e+03   1.933653e-04   6.015513e-07
 4.150000e+03   1.842774e-04   6.433089e-07
 4.250000e+03   1.766832e-04   3.999006e-07
 4.350000e+03   1.684743e-04   5.841657e-07
 4.450000e+03   1.613931e-04   5.485687e-07
 4.550000e+03   1.538570e-04   5.015035e-07
 4.650000e+03   1.480560e-04   5.109201e-07
 4.750000e+03   1.424088e-04   4.279709e-07
 4.850000e+03   1.348104e-04   4.553972e-07
 4.950000e+03   1.310189e-04   6.314426e-07
 5.050000e+03   1.253876e-04   4.189709e-07
 5.150000e+03   1.214045e-04   4.839796e-07
 5.250000e+03   1.159098e-04   3.733307e-07
 5.350000e+03   1.113648e-04   3.278158e-07
 5.450000e+03   1.095886e-04   3.644679e-07
 5.550000e+03   1.047827e-04   4.536898e-07
 5.650000e+03   1.000217e-04   4.384159e-07
 5.750000e+03   9.694214e-05   5.695665e-07
 5.850000e+03   9.409875e-05   5.433216e-07
 5.950000e+03   9.122439e-05   3.052413e-07
