Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.009990e+02   0.000000e+00   0.000000e+00
 3.009970e+02   0.000000e+00   0.000000e+00
 5.009950e+02   0.000000e+00   0.000000e+00
 7.009930e+02   0.000000e+00   0.000000e+00
 9.009910e+02   1.302415e-05   3.586665e-08
 1.100989e+03   2.245127e-03   9.392268e-07
 1.300987e+03   1.667536e-03   1.318589e-06
 1.500985e+03   1.287952e-03   1.196322e-06
 1.700983e+03   1.028150e-03   1.096640e-06
 1.900981e+03   8.412055e-04   1.050876e-06
 2.100979e+03   7.027629e-04   1.164147e-06
 2.300977e+03   5.931326e-04   8.092351e-07
 2.500975e+03   5.045332e-04   8.390362e-07
 2.700973e+03   4.359730e-04   6.878609e-07
 2.900971e+03   3.805214e-04   5.791193e-07
 3.100969e+03   3.360069e-04   7.467247e-07
 3.300967e+03   2.977641e-04   6.950184e-07
 3.500965e+03   2.662377e-04   4.997464e-07
 3.700963e+03   2.394677e-04   5.285008e-07
 3.900961e+03   2.169278e-04   5.380451e-07
 4.100959e+03   1.964978e-04   6.082188e-07
 4.300957e+03   1.793436e-04   4.164499e-07
 4.500955e+03   1.648756e-04   5.157053e-07
 4.700953e+03   1.521305e-04   5.076405e-07
 4.900951e+03   1.390769e-04   2.426220e-07
 5.100949e+03   1.298917e-04   3.799616e-07
 5.300947e+03   1.200045e-04   2.473567e-07
 5.500945e+03   1.109353e-04   2.679615e-07
 5.700943e+03   1.050829e-04   3.890037e-07
 5.900941e+03   9.741907e-05   2.478846e-07
 6.100939e+03   9.145047e-05   3.620580e-07
 6.300937e+03   8.565593e-05   2.916890e-07
 6.500935e+03   8.087821e-05   2.424718e-07
 6.700933e+03   7.587374e-05   1.990846e-07
 6.900931e+03   7.209927e-05   2.314200e-07
 7.100929e+03   6.866434e-05   3.146936e-07
 7.300927e+03   6.407279e-05   1.873682e-07
 7.500925e+03   6.177991e-05   3.791996e-07
 7.700923e+03   5.794062e-05   1.903173e-07
 7.900921e+03   5.554292e-05   3.554756e-07
 8.100919e+03   5.248693e-05   2.947810e-07
 8.300917e+03   5.031024e-05   2.000575e-07
 8.500915e+03   4.777176e-05   1.796766e-07
 8.700913e+03   4.531905e-05   1.542091e-07
 8.900911e+03   4.382210e-05   2.313924e-07
 9.100909e+03   4.190315e-05   2.416943e-07
 9.300907e+03   4.063922e-05   2.641004e-07
 9.500905e+03   3.862079e-05   2.512260e-07
 9.700903e+03   3.680292e-05   1.528212e-07
 9.900901e+03   3.547047e-05   2.457305e-07
 1.010090e+04   3.411860e-05   1.540554e-07
 1.030090e+04   3.263149e-05   2.146897e-07
 1.050090e+04   3.145153e-05   1.182958e-07
 1.070089e+04   3.021886e-05   1.407504e-07
 1.090089e+04   2.911513e-05   1.215557e-07
 1.110089e+04   2.807186e-05   1.070483e-07
 1.130089e+04   2.709811e-05   1.391614e-07
 1.150089e+04   2.634850e-05   1.312652e-07
 1.170088e+04   2.539282e-05   1.273669e-07
 1.190088e+04   2.468450e-05   1.362108e-07
 1.210088e+04   2.369980e-05   1.208252e-07
 1.230088e+04   2.304672e-05   1.239697e-07
 1.250088e+04   2.228166e-05   1.384889e-07
 1.270087e+04   2.195507e-05   1.907203e-07
 1.290087e+04   2.086066e-05   9.665380e-08
 1.310087e+04   2.006331e-05   8.061506e-08
 1.330087e+04   1.993866e-05   1.213532e-07
 1.350086e+04   1.891190e-05   1.321688e-07
 1.370086e+04   1.844597e-05   1.175335e-07
 1.390086e+04   1.804075e-05   9.078593e-08
 1.410086e+04   1.794009e-05   2.303103e-07
 1.430086e+04   1.697468e-05   1.056243e-07
 1.450085e+04   1.653332e-05   9.416931e-08
 1.470085e+04   1.605233e-05   7.736476e-08
 1.490085e+04   1.567534e-05   1.168252e-07
 1.510085e+04   1.537045e-05   1.751093e-07
 1.530085e+04   1.477079e-05   1.076580e-07
 1.550084e+04   1.439247e-05   6.882308e-08
 1.570084e+04   1.409277e-05   8.234094e-08
 1.590084e+04   1.383608e-05   1.032750e-07
 1.610084e+04   1.323467e-05   9.499798e-08
 1.630084e+04   1.291057e-05   9.514740e-08
 1.650083e+04   1.268625e-05   6.621761e-08
 1.670083e+04   1.236005e-05   1.347592e-07
 1.690083e+04   1.214824e-05   7.336681e-08
 1.710083e+04   1.178473e-05   7.504435e-08
 1.730083e+04   1.156970e-05   6.979768e-08
 1.750083e+04   1.141638e-05   1.822819e-07
 1.770082e+04   1.130074e-05   1.613735e-07
 1.790082e+04   1.082210e-05   7.269586e-08
 1.810082e+04   1.038742e-05   1.464482e-07
 1.830082e+04   1.039676e-05   7.663147e-08
 1.850081e+04   1.032665e-05   1.414423e-07
 1.870081e+04   9.870603e-06   8.304109e-08
 1.890081e+04   9.566307e-06   8.102724e-08
 1.910081e+04   9.457390e-06   9.357004e-08
 1.930081e+04   9.258954e-06   8.296272e-08
 1.950081e+04   9.001853e-06   9.968313e-08
 1.970080e+04   8.815262e-06   9.035739e-08
 1.990080e+04   8.538624e-06   4.652670e-08
 2.010080e+04   8.494254e-06   7.791723e-08
 2.030080e+04   8.288902e-06   8.303601e-08
 2.050079e+04   8.068480e-06   5.581447e-08
 2.070079e+04   7.949379e-06   1.051286e-07
 2.090079e+04   7.890164e-06   6.382275e-08
 2.110079e+04   7.562839e-06   5.999499e-08
 2.130079e+04   7.460655e-06   5.816650e-08
 2.150078e+04   7.411414e-06   8.273481e-08
 2.170078e+04   7.248120e-06   6.437731e-08
 2.190078e+04   7.051376e-06   4.039121e-08
 2.210078e+04   6.975933e-06   7.463043e-08
 2.230078e+04   6.634680e-06   7.386483e-08
 2.250078e+04   6.585462e-06   5.627811e-08
 2.270077e+04   6.643238e-06   7.710240e-08
 2.290077e+04   6.348327e-06   6.451560e-08
 2.310077e+04   6.505429e-06   6.203651e-08
 2.330077e+04   6.073859e-06   8.050397e-08
 2.350076e+04   6.220957e-06   5.286654e-08
 2.370076e+04   6.052451e-06   5.751646e-08
 2.390076e+04   5.989491e-06   5.805856e-08
 2.410076e+04   5.742503e-06   4.364182e-08
 2.430076e+04   5.707750e-06   5.417750e-08
 2.450076e+04   5.691064e-06   5.029562e-08
 2.470075e+04   5.530761e-06   5.147095e-08
 2.490075e+04   5.698056e-06   7.570149e-08
 2.510075e+04   5.249376e-06   5.027326e-08
 2.530075e+04   5.206758e-06   6.019373e-08
 2.550074e+04   5.223133e-06   6.973684e-08
 2.570074e+04   5.240753e-06   6.719067e-08
 2.590074e+04   4.990829e-06   5.941084e-08
 2.610074e+04   5.016660e-06   7.701859e-08
 2.630074e+04   4.823914e-06   6.660115e-08
 2.650074e+04   4.760965e-06   8.207349e-08
 2.670073e+04   4.747772e-06   5.516108e-08
 2.690073e+04   4.582803e-06   6.970424e-08
 2.710073e+04   4.561694e-06   5.359915e-08
 2.730073e+04   4.499903e-06   5.952752e-08
 2.750072e+04   4.513442e-06   4.337781e-08
 2.770072e+04   4.331179e-06   4.752884e-08
 2.790072e+04   4.260214e-06   4.897020e-08
 2.810072e+04   4.104568e-06   5.278530e-08
 2.830072e+04   4.087663e-06   5.711223e-08
 2.850072e+04   4.056380e-06   6.825659e-08
 2.870071e+04   4.064515e-06   4.347870e-08
 2.890071e+04   4.076482e-06   5.842323e-08
 2.910071e+04   3.949041e-06   6.481518e-08
 2.930071e+04   3.772758e-06   6.985315e-08
 2.950071e+04   3.832794e-06   3.637034e-08
 2.970070e+04   3.627270e-06   4.818667e-08
 2.990070e+04   3.612230e-06   6.390035e-08
 3.010070e+04   3.611563e-06   5.769659e-08
 3.030070e+04   3.567323e-06   5.881503e-08
 3.050069e+04   3.381768e-06   6.868412e-08
 3.070069e+04   3.344573e-06   7.436451e-08
 3.090069e+04   3.279142e-06   5.573208e-08
 3.110069e+04   3.074420e-06   4.293188e-08
 3.130069e+04   3.217594e-06   3.502457e-08
 3.150069e+04   3.078866e-06   4.863926e-08
 3.170068e+04   3.007106e-06   4.027259e-08
 3.190068e+04   2.875622e-06   6.802415e-08
 3.210068e+04   2.867728e-06   3.753890e-08
 3.230068e+04   2.854156e-06   4.348849e-08
 3.250067e+04   2.726003e-06   7.459910e-08
 3.270067e+04   2.707749e-06   6.004256e-08
 3.290067e+04   2.675717e-06   3.577044e-08
 3.310067e+04   2.690950e-06   4.730110e-08
 3.330067e+04   2.490672e-06   7.909327e-08
 3.350067e+04   2.499432e-06   4.998035e-08
 3.370066e+04   2.365616e-06   3.916788e-08
 3.390066e+04   2.338064e-06   4.382036e-08
 3.410066e+04   2.415303e-06   3.641869e-08
 3.430066e+04   2.241722e-06   3.233072e-08
 3.450065e+04   2.343499e-06   5.872037e-08
