Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   0.000000e+00   0.000000e+00
 9.500000e+02   0.000000e+00   0.000000e+00
 1.050000e+03   2.390303e-03   2.253457e-06
 1.150000e+03   2.031730e-03   1.626262e-06
 1.250000e+03   1.749197e-03   1.897292e-06
 1.350000e+03   1.520530e-03   1.589734e-06
 1.450000e+03   1.336574e-03   1.735523e-06
 1.550000e+03   1.183254e-03   1.974995e-06
 1.650000e+03   1.056240e-03   1.652631e-06
 1.750000e+03   9.498035e-04   1.313539e-06
 1.850000e+03   8.607414e-04   1.433792e-06
 1.950000e+03   7.782032e-04   1.945156e-06
 2.050000e+03   7.131386e-04   1.285516e-06
 2.150000e+03   6.503879e-04   1.111748e-06
 2.250000e+03   5.974702e-04   8.182512e-07
 2.350000e+03   5.486874e-04   1.013568e-06
 2.450000e+03   5.078897e-04   9.084312e-07
 2.550000e+03   4.676517e-04   1.439592e-06
 2.650000e+03   4.359450e-04   1.007361e-06
 2.750000e+03   4.057960e-04   7.901722e-07
 2.850000e+03   3.793800e-04   8.786299e-07
 2.950000e+03   3.541100e-04   1.011589e-06
 3.050000e+03   3.322910e-04   7.693244e-07
 3.150000e+03   3.114156e-04   1.089347e-06
 3.250000e+03   2.929004e-04   4.949492e-07
 3.350000e+03   2.795908e-04   6.736193e-07
 3.450000e+03   2.637590e-04   9.984929e-07
 3.550000e+03   2.479129e-04   8.256203e-07
 3.650000e+03   2.346867e-04   8.646178e-07
 3.750000e+03   2.235534e-04   6.384668e-07
 3.850000e+03   2.103398e-04   7.263839e-07
 3.950000e+03   2.016524e-04   5.976651e-07
 4.050000e+03   1.942621e-04   8.694479e-07
 4.150000e+03   1.821748e-04   6.968052e-07
 4.250000e+03   1.746778e-04   4.580758e-07
 4.350000e+03   1.667955e-04   3.222344e-07
 4.450000e+03   1.590933e-04   6.424481e-07
 4.550000e+03   1.534586e-04   5.536706e-07
 4.650000e+03   1.460869e-04   5.094996e-07
 4.750000e+03   1.401424e-04   5.578829e-07
 4.850000e+03   1.340495e-04   5.059669e-07
 4.950000e+03   1.295858e-04   5.015161e-07
 5.050000e+03   1.237297e-04   3.294600e-07
 5.150000e+03   1.203256e-04   3.452670e-07
 5.250000e+03   1.154630e-04   3.421645e-07
 5.350000e+03   1.115651e-04   5.086230e-07
 5.450000e+03   1.065370e-04   4.637109e-07
 5.550000e+03   1.026200e-04   6.378670e-07
 5.650000e+03   9.926959e-05   4.874821e-07
 5.750000e+03   9.532642e-05   3.189838e-07
 5.850000e+03   9.283638e-05   2.850425e-07
 5.950000e+03   8.954307e-05   3.759910e-07
