Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.615106e-05   1.187297e-07
 9.500000e+02   2.903986e-03   4.250176e-07
 1.050000e+03   2.438850e-03   3.271541e-07
 1.150000e+03   2.076128e-03   4.208686e-07
 1.250000e+03   1.789212e-03   4.063754e-07
 1.350000e+03   1.560300e-03   3.322700e-07
 1.450000e+03   1.372315e-03   3.102165e-07
 1.550000e+03   1.218251e-03   3.935358e-07
 1.650000e+03   1.088985e-03   3.225488e-07
 1.750000e+03   9.800140e-04   4.331540e-07
 1.850000e+03   8.873645e-04   4.075007e-07
 1.950000e+03   8.074195e-04   4.360219e-07
 2.050000e+03   7.383165e-04   3.676788e-07
 2.150000e+03   6.754728e-04   3.424087e-07
 2.250000e+03   6.197378e-04   3.132739e-07
 2.350000e+03   5.712827e-04   3.177901e-07
 2.450000e+03   5.286218e-04   4.421940e-07
 2.550000e+03   4.902082e-04   2.813217e-07
 2.650000e+03   4.557060e-04   2.902566e-07
 2.750000e+03   4.246794e-04   2.978435e-07
 2.850000e+03   3.969459e-04   2.102014e-07
 2.950000e+03   3.723102e-04   1.886190e-07
 3.050000e+03   3.494698e-04   2.189912e-07
 3.150000e+03   3.288603e-04   2.176936e-07
 3.250000e+03   3.098329e-04   2.453172e-07
 3.350000e+03   2.925705e-04   2.337018e-07
 3.450000e+03   2.767322e-04   2.697091e-07
 3.550000e+03   2.625387e-04   3.448807e-07
 3.650000e+03   2.484280e-04   2.710093e-07
 3.750000e+03   2.362495e-04   2.351083e-07
 3.850000e+03   2.248064e-04   1.798111e-07
 3.950000e+03   2.139293e-04   2.155586e-07
 4.050000e+03   2.040425e-04   2.580227e-07
 4.150000e+03   1.946907e-04   1.890541e-07
 4.250000e+03   1.861045e-04   2.530438e-07
 4.350000e+03   1.780128e-04   1.951982e-07
 4.450000e+03   1.705339e-04   1.574755e-07
 4.550000e+03   1.637373e-04   2.149720e-07
 4.650000e+03   1.563417e-04   2.281208e-07
 4.750000e+03   1.506875e-04   1.782498e-07
 4.850000e+03   1.449447e-04   2.131096e-07
 4.950000e+03   1.392376e-04   2.586342e-07
 5.050000e+03   1.340130e-04   1.492819e-07
 5.150000e+03   1.289913e-04   2.265752e-07
 5.250000e+03   1.246414e-04   2.264178e-07
 5.350000e+03   1.196650e-04   2.235566e-07
 5.450000e+03   1.157605e-04   1.773501e-07
 5.550000e+03   1.119983e-04   2.078079e-07
 5.650000e+03   1.082645e-04   1.714526e-07
 5.750000e+03   1.044371e-04   2.488519e-07
 5.850000e+03   1.011242e-04   1.811588e-07
 5.950000e+03   9.734414e-05   1.761436e-07
