Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.577961e-05   8.500129e-08
 9.500000e+02   2.900837e-03   2.719676e-07
 1.050000e+03   2.436620e-03   2.843649e-07
 1.150000e+03   2.074658e-03   3.097517e-07
 1.250000e+03   1.787746e-03   4.953209e-07
 1.350000e+03   1.557237e-03   3.237452e-07
 1.450000e+03   1.370540e-03   3.433671e-07
 1.550000e+03   1.216416e-03   4.016710e-07
 1.650000e+03   1.086888e-03   3.720310e-07
 1.750000e+03   9.786671e-04   3.263243e-07
 1.850000e+03   8.861815e-04   4.273653e-07
 1.950000e+03   8.053160e-04   3.759904e-07
 2.050000e+03   7.370623e-04   4.060434e-07
 2.150000e+03   6.737005e-04   2.819796e-07
 2.250000e+03   6.186765e-04   2.528888e-07
 2.350000e+03   5.698370e-04   2.450006e-07
 2.450000e+03   5.268411e-04   2.865356e-07
 2.550000e+03   4.891376e-04   3.146069e-07
 2.650000e+03   4.543972e-04   3.010930e-07
 2.750000e+03   4.237504e-04   2.568299e-07
 2.850000e+03   3.959505e-04   2.922631e-07
 2.950000e+03   3.709919e-04   3.202197e-07
 3.050000e+03   3.484480e-04   2.703550e-07
 3.150000e+03   3.281794e-04   2.068411e-07
 3.250000e+03   3.084251e-04   2.181991e-07
 3.350000e+03   2.916738e-04   2.465500e-07
 3.450000e+03   2.758972e-04   2.282905e-07
 3.550000e+03   2.611183e-04   1.730596e-07
 3.650000e+03   2.476068e-04   2.315335e-07
 3.750000e+03   2.354663e-04   2.541217e-07
 3.850000e+03   2.239040e-04   1.665587e-07
 3.950000e+03   2.130717e-04   2.475508e-07
 4.050000e+03   2.030907e-04   2.526743e-07
 4.150000e+03   1.941788e-04   1.839476e-07
 4.250000e+03   1.852129e-04   2.105326e-07
 4.350000e+03   1.774385e-04   2.045196e-07
 4.450000e+03   1.699413e-04   1.843306e-07
 4.550000e+03   1.627959e-04   1.936259e-07
 4.650000e+03   1.559855e-04   1.968520e-07
 4.750000e+03   1.496837e-04   1.367135e-07
 4.850000e+03   1.446874e-04   2.271743e-07
 4.950000e+03   1.381407e-04   1.899826e-07
 5.050000e+03   1.332209e-04   1.710424e-07
 5.150000e+03   1.284537e-04   1.505707e-07
 5.250000e+03   1.240127e-04   2.020408e-07
 5.350000e+03   1.191225e-04   1.984691e-07
 5.450000e+03   1.153001e-04   1.562024e-07
 5.550000e+03   1.113493e-04   1.744603e-07
 5.650000e+03   1.075482e-04   1.967881e-07
 5.750000e+03   1.037715e-04   1.859255e-07
 5.850000e+03   1.006916e-04   2.061944e-07
 5.950000e+03   9.706802e-05   2.110814e-07
