Q2_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 5.000000e+01   0.000000e+00   0.000000e+00
 1.500000e+02   0.000000e+00   0.000000e+00
 2.500000e+02   0.000000e+00   0.000000e+00
 3.500000e+02   0.000000e+00   0.000000e+00
 4.500000e+02   0.000000e+00   0.000000e+00
 5.500000e+02   0.000000e+00   0.000000e+00
 6.500000e+02   0.000000e+00   0.000000e+00
 7.500000e+02   0.000000e+00   0.000000e+00
 8.500000e+02   1.569967e-05   9.071831e-08
 9.500000e+02   2.900541e-03   2.869205e-07
 1.050000e+03   2.436959e-03   3.439526e-07
 1.150000e+03   2.073714e-03   3.130988e-07
 1.250000e+03   1.787549e-03   3.714819e-07
 1.350000e+03   1.558358e-03   3.247504e-07
 1.450000e+03   1.370974e-03   2.939122e-07
 1.550000e+03   1.216508e-03   3.480729e-07
 1.650000e+03   1.087572e-03   3.580442e-07
 1.750000e+03   9.785498e-04   2.397764e-07
 1.850000e+03   8.866154e-04   2.327883e-07
 1.950000e+03   8.069132e-04   3.898879e-07
 2.050000e+03   7.364226e-04   3.576489e-07
 2.150000e+03   6.744443e-04   3.151625e-07
 2.250000e+03   6.185712e-04   2.948519e-07
 2.350000e+03   5.698826e-04   3.204402e-07
 2.450000e+03   5.265802e-04   3.356046e-07
 2.550000e+03   4.881572e-04   2.489816e-07
 2.650000e+03   4.545107e-04   3.283541e-07
 2.750000e+03   4.238569e-04   2.819057e-07
 2.850000e+03   3.959927e-04   2.183418e-07
 2.950000e+03   3.710551e-04   2.563946e-07
 3.050000e+03   3.486033e-04   2.959486e-07
 3.150000e+03   3.276610e-04   2.376394e-07
 3.250000e+03   3.083541e-04   2.351236e-07
 3.350000e+03   2.921862e-04   2.025156e-07
 3.450000e+03   2.756701e-04   2.032276e-07
 3.550000e+03   2.609072e-04   1.958797e-07
 3.650000e+03   2.476482e-04   2.769778e-07
 3.750000e+03   2.353380e-04   3.075384e-07
 3.850000e+03   2.242258e-04   2.218638e-07
 3.950000e+03   2.129110e-04   1.692225e-07
 4.050000e+03   2.031196e-04   1.965435e-07
 4.150000e+03   1.942547e-04   1.739355e-07
 4.250000e+03   1.854400e-04   2.003032e-07
 4.350000e+03   1.776357e-04   1.600414e-07
 4.450000e+03   1.694452e-04   1.980736e-07
 4.550000e+03   1.627990e-04   1.582195e-07
 4.650000e+03   1.563726e-04   1.991447e-07
 4.750000e+03   1.499185e-04   2.229043e-07
 4.850000e+03   1.440686e-04   2.019317e-07
 4.950000e+03   1.385395e-04   1.904038e-07
 5.050000e+03   1.331993e-04   1.885929e-07
 5.150000e+03   1.283044e-04   1.853801e-07
 5.250000e+03   1.238670e-04   1.538433e-07
 5.350000e+03   1.193803e-04   1.566348e-07
 5.450000e+03   1.152555e-04   1.497287e-07
 5.550000e+03   1.111806e-04   1.486430e-07
 5.650000e+03   1.076035e-04   1.633784e-07
 5.750000e+03   1.039639e-04   1.771092e-07
 5.850000e+03   1.008990e-04   2.053610e-07
 5.950000e+03   9.743340e-05   1.757265e-07
