costh3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   6.176114e+04   1.003397e+04
 9.999980e-01   4.643754e+04   5.930379e+03
 9.999980e-01   4.213129e+04   6.037711e+03
 9.999980e-01   4.059020e+04   7.234026e+03
 9.999980e-01   3.942176e+04   1.002309e+04
 9.999980e-01   4.958782e+04   6.994066e+03
 9.999980e-01   6.898131e+04   7.679756e+03
 9.999980e-01   4.004267e+04   1.107294e+04
 9.999980e-01   3.593460e+04   4.770105e+03
 9.999980e-01   4.198463e+04   7.708087e+03
 9.999980e-01   5.027335e+04   9.876384e+03
 9.999980e-01   4.648795e+04   1.728434e+04
 9.999980e-01   5.190828e+04   6.923965e+03
 9.999980e-01   3.894193e+04   1.184635e+04
 9.999980e-01   3.703808e+04   7.243118e+03
 9.999980e-01   3.202988e+04   1.863054e+04
 9.999980e-01   4.635410e+04   5.964307e+03
 9.999980e-01   6.642298e+04   1.386591e+04
 9.999980e-01   2.939085e+04   1.043026e+04
 9.999980e-01   4.266378e+04   7.518351e+03
 9.999980e-01   4.515467e+04   1.836464e+04
 9.999980e-01   4.727004e+04   1.431338e+04
 9.999980e-01   4.458873e+04   1.015896e+04
 9.999980e-01   4.973516e+04   1.219051e+04
 9.999980e-01   2.688360e+04   8.707274e+03
 9.999981e-01   4.875922e+04   6.315516e+03
 9.999981e-01   4.780981e+04   6.694389e+03
 9.999981e-01   5.590152e+04   6.579721e+03
 9.999981e-01   5.761658e+04   1.521924e+04
 9.999981e-01   4.498562e+04   8.660457e+03
 9.999981e-01   4.848948e+04   9.672793e+03
 9.999981e-01   4.385521e+04   7.490185e+03
 9.999981e-01   5.588747e+04   5.005669e+03
 9.999981e-01   3.100214e+04   9.971498e+03
 9.999981e-01   4.617318e+04   1.442497e+04
 9.999981e-01   4.966457e+04   7.299621e+03
 9.999981e-01   4.647185e+04   1.338328e+04
 9.999981e-01   5.049024e+04   7.328902e+03
 9.999981e-01   4.314885e+04   2.244262e+04
 9.999981e-01   2.228072e+04   1.034289e+04
 9.999981e-01   5.286810e+04   5.521616e+03
 9.999981e-01   4.042276e+04   9.021748e+03
 9.999981e-01   5.561123e+04   8.579820e+03
 9.999981e-01   3.402729e+04   3.652777e+04
 9.999981e-01   5.667714e+04   1.140679e+04
 9.999981e-01   5.721101e+04   6.122772e+03
 9.999981e-01   5.912643e+04   1.965577e+04
 9.999981e-01   6.928006e+04   1.093615e+04
 9.999981e-01   5.497939e+04   1.760947e+04
 9.999981e-01   3.520740e+04   1.649626e+04
 9.999981e-01   4.841115e+04   1.082683e+04
 9.999981e-01   4.790148e+04   8.079491e+03
 9.999981e-01   3.300911e+04   1.040545e+04
 9.999981e-01   5.224311e+04   1.742901e+04
 9.999981e-01   4.464649e+04   7.336030e+03
 9.999981e-01   4.731624e+04   1.699730e+04
 9.999981e-01   5.071780e+04   9.115425e+03
 9.999981e-01   5.927746e+04   1.292546e+04
 9.999981e-01   6.832837e+04   1.881513e+04
 9.999981e-01   5.940956e+04   1.205091e+04
 9.999981e-01   5.340291e+04   5.900858e+03
 9.999981e-01   9.278310e+04   2.255530e+04
 9.999981e-01   4.159812e+04   1.676608e+04
 9.999981e-01   4.296498e+04   8.171204e+03
 9.999981e-01   1.360154e+05   7.246308e+04
 9.999981e-01   4.957648e+04   1.012501e+04
 9.999981e-01   4.552582e+04   5.161619e+03
 9.999981e-01   5.866613e+04   1.117599e+04
 9.999981e-01   4.281131e+04   9.975367e+03
 9.999981e-01   5.566232e+04   1.184114e+04
 9.999981e-01   6.412928e+04   6.171950e+03
 9.999981e-01   5.921231e+04   9.735867e+03
 9.999981e-01   6.281161e+04   1.084033e+04
 9.999981e-01   4.363884e+04   9.247671e+03
 9.999981e-01   4.589139e+04   7.987395e+03
 9.999982e-01   5.392198e+04   7.146753e+03
 9.999982e-01   7.106070e+04   8.457941e+03
 9.999982e-01   1.220785e+04   1.327992e+04
 9.999982e-01   4.819856e+04   7.160777e+03
 9.999982e-01   5.793789e+04   1.832158e+04
 9.999982e-01   4.567263e+04   8.122132e+03
 9.999982e-01   8.416810e+04   2.042409e+04
 9.999982e-01  -1.119157e+04   2.754085e+04
 9.999982e-01   7.306724e+04   9.131139e+03
 9.999982e-01   1.030091e+05   3.793445e+04
 9.999982e-01   3.595297e+04   1.064105e+04
 9.999982e-01   4.650232e+04   7.019271e+03
 9.999982e-01   7.142718e+04   1.183620e+04
 9.999982e-01   6.625594e+04   3.754204e+04
 9.999982e-01   5.360465e+04   1.138634e+04
 9.999982e-01   6.465897e+04   6.197251e+03
 9.999982e-01   5.678122e+04   7.168771e+03
 9.999982e-01   6.307687e+04   7.417930e+03
 9.999982e-01   4.057161e+04   1.338453e+04
 9.999982e-01   5.908506e+04   8.178648e+03
 9.999982e-01   5.834529e+04   8.815311e+03
 9.999982e-01   4.420050e+04   1.097136e+04
 9.999982e-01   9.422153e+04   1.330501e+04
 9.999982e-01   5.295139e+04   7.635438e+03
 9.999982e-01   3.174351e+04   9.395078e+03
 9.999982e-01   4.978517e+04   8.185339e+03
 9.999982e-01   5.285091e+04   1.144712e+04
 9.999982e-01   4.124626e+04   1.082396e+04
 9.999982e-01   6.024757e+04   8.327913e+03
 9.999982e-01   5.827160e+04   1.060812e+04
 9.999982e-01   6.082788e+04   1.134300e+04
 9.999982e-01   6.710053e+04   1.052971e+04
 9.999982e-01   6.594684e+04   6.562612e+03
 9.999982e-01   4.921688e+04   1.270817e+04
 9.999982e-01   4.767997e+04   2.036627e+04
 9.999982e-01   5.893375e+04   1.445374e+04
 9.999982e-01   3.353681e+04   1.377998e+04
 9.999982e-01   5.191333e+04   8.089825e+03
 9.999982e-01   7.560926e+04   1.186641e+04
 9.999982e-01   6.434519e+04   9.269676e+03
 9.999982e-01   4.164091e+04   8.214433e+03
 9.999982e-01   6.195449e+04   7.254433e+03
 9.999982e-01   5.305788e+04   6.227564e+03
 9.999982e-01   4.850601e+04   8.588094e+03
 9.999982e-01   4.883001e+04   9.884883e+03
 9.999982e-01   5.007769e+04   1.381830e+04
 9.999982e-01   8.387366e+04   1.248645e+04
 9.999982e-01   4.457555e+04   5.986146e+03
 9.999982e-01   6.751522e+04   1.566063e+04
 9.999982e-01   3.289354e+04   1.280552e+04
 9.999983e-01   6.280674e+04   7.594719e+03
 9.999983e-01   5.155713e+04   1.313162e+04
 9.999983e-01   7.002301e+04   1.053540e+04
 9.999983e-01   6.078000e+04   1.002754e+04
 9.999983e-01   7.278203e+04   1.498743e+04
 9.999983e-01   5.513761e+04   1.095048e+04
 9.999983e-01   6.187470e+04   9.870250e+03
 9.999983e-01   4.834183e+04   9.407141e+03
 9.999983e-01   6.525006e+04   1.038992e+04
 9.999983e-01   5.943000e+04   9.999183e+03
 9.999983e-01   6.519397e+04   9.040430e+03
 9.999983e-01   5.949453e+04   7.992253e+03
 9.999983e-01   5.726572e+04   5.418427e+03
 9.999983e-01   6.227074e+04   6.239023e+03
 9.999983e-01   6.291270e+04   6.717234e+03
 9.999983e-01   6.110239e+04   1.155265e+04
 9.999983e-01   1.017197e+05   4.144104e+04
 9.999983e-01   1.956532e+04   3.416828e+04
 9.999983e-01   4.857537e+04   1.537843e+04
 9.999983e-01   9.080402e+04   2.088486e+04
 9.999983e-01   7.650354e+04   1.583612e+04
 9.999983e-01   8.461260e+04   1.467117e+04
 9.999983e-01   5.639313e+04   1.421782e+04
 9.999983e-01   5.862941e+04   7.764716e+03
 9.999983e-01   4.845705e+04   1.197074e+04
 9.999983e-01   6.281579e+04   4.572529e+03
 9.999983e-01   6.683877e+04   1.134566e+04
 9.999983e-01   1.183033e+05   4.183568e+04
 9.999983e-01   6.075766e+04   1.764268e+04
 9.999983e-01   5.615802e+04   1.194108e+04
 9.999983e-01   6.418399e+04   1.026461e+04
 9.999983e-01   6.478817e+04   1.057929e+04
 9.999983e-01   7.376630e+04   1.159637e+04
 9.999983e-01   4.944683e+04   1.065577e+04
 9.999983e-01   5.607034e+04   9.077711e+03
 9.999983e-01   5.983210e+04   7.257229e+03
 9.999983e-01   8.354838e+04   2.158625e+04
 9.999983e-01   6.592465e+04   2.014327e+04
 9.999983e-01   5.004694e+04   1.215265e+04
 9.999983e-01   6.587234e+04   2.829771e+04
 9.999983e-01   7.070261e+04   3.846331e+04
 9.999983e-01   6.545629e+04   2.402439e+04
 9.999983e-01   5.803126e+04   1.136181e+04
 9.999983e-01   7.285322e+04   8.625541e+03
