costh3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 9.999980e-01   4.644176e+04   7.188929e+03
 9.999980e-01   3.679136e+04   4.750903e+03
 9.999980e-01   4.673677e+04   7.239791e+03
 9.999980e-01   4.950437e+04   5.432947e+03
 9.999980e-01   4.275877e+04   2.695303e+03
 9.999980e-01   4.261992e+04   5.186624e+03
 9.999980e-01   6.216404e+04   4.997841e+03
 9.999980e-01   3.736857e+04   5.169723e+03
 9.999980e-01   3.918301e+04   6.790757e+03
 9.999980e-01   4.951572e+04   4.229936e+03
 9.999980e-01   5.846565e+04   9.988552e+03
 9.999980e-01   3.946609e+04   3.274223e+03
 9.999980e-01   3.302095e+04   3.818979e+03
 9.999980e-01   3.874820e+04   6.478118e+03
 9.999980e-01   4.556693e+04   6.343060e+03
 9.999980e-01   4.785320e+04   4.950029e+03
 9.999980e-01   5.470605e+04   6.064437e+03
 9.999980e-01   5.651941e+04   6.411260e+03
 9.999980e-01   4.521340e+04   6.231311e+03
 9.999980e-01   4.202339e+04   5.150209e+03
 9.999980e-01   4.286267e+04   4.140179e+03
 9.999980e-01   4.112996e+04   5.034902e+03
 9.999980e-01   5.563064e+04   6.437147e+03
 9.999980e-01   4.017367e+04   3.563530e+03
 9.999980e-01   4.878557e+04   3.525523e+03
 9.999981e-01   3.504598e+04   9.752506e+03
 9.999981e-01   4.556554e+04   5.225320e+03
 9.999981e-01   4.796648e+04   4.348540e+03
 9.999981e-01   4.621957e+04   3.942282e+03
 9.999981e-01   4.717300e+04   6.995403e+03
 9.999981e-01   5.479704e+04   4.394989e+03
 9.999981e-01   4.779927e+04   3.989000e+03
 9.999981e-01   5.785343e+04   7.756257e+03
 9.999981e-01   3.820771e+04   7.575006e+03
 9.999981e-01   5.348850e+04   3.850099e+03
 9.999981e-01   3.713945e+04   5.743430e+03
 9.999981e-01   4.634779e+04   4.654955e+03
 9.999981e-01   4.748224e+04   5.402093e+03
 9.999981e-01   5.399070e+04   4.299615e+03
 9.999981e-01   4.563521e+04   7.768730e+03
 9.999981e-01   3.856351e+04   6.520426e+03
 9.999981e-01   4.683285e+04   7.417599e+03
 9.999981e-01   4.489916e+04   4.027677e+03
 9.999981e-01   4.878748e+04   4.924989e+03
 9.999981e-01   4.947850e+04   3.880742e+03
 9.999981e-01   4.023004e+04   5.063263e+03
 9.999981e-01   4.476020e+04   4.339955e+03
 9.999981e-01   5.768637e+04   4.863085e+03
 9.999981e-01   4.807318e+04   4.829489e+03
 9.999981e-01   4.373650e+04   4.289703e+03
 9.999981e-01   6.938483e+04   6.998282e+03
 9.999981e-01   4.313214e+04   4.653412e+03
 9.999981e-01   6.156361e+04   7.793491e+03
 9.999981e-01   4.254160e+04   5.295127e+03
 9.999981e-01   5.397051e+04   4.716501e+03
 9.999981e-01   5.269213e+04   7.389304e+03
 9.999981e-01   5.859279e+04   5.516620e+03
 9.999981e-01   5.163831e+04   4.846093e+03
 9.999981e-01   5.808961e+04   9.420753e+03
 9.999981e-01   4.519118e+04   4.292039e+03
 9.999981e-01   5.284364e+04   4.151764e+03
 9.999981e-01   4.497494e+04   3.712756e+03
 9.999981e-01   5.257545e+04   4.194333e+03
 9.999981e-01   5.471936e+04   7.701522e+03
 9.999981e-01   4.463284e+04   5.612439e+03
 9.999981e-01   4.743046e+04   5.934591e+03
 9.999981e-01   5.202606e+04   5.629388e+03
 9.999981e-01   5.800475e+04   5.030179e+03
 9.999981e-01   4.761786e+04   4.736449e+03
 9.999981e-01   4.504916e+04   4.246907e+03
 9.999981e-01   5.375439e+04   4.798842e+03
 9.999981e-01   5.876766e+04   4.630026e+03
 9.999981e-01   6.491939e+04   6.946280e+03
 9.999981e-01   5.599025e+04   4.968757e+03
 9.999981e-01   5.422471e+04   3.405673e+03
 9.999982e-01   4.605281e+04   6.209544e+03
 9.999982e-01   6.649138e+04   8.464490e+03
 9.999982e-01   4.111206e+04   5.588351e+03
 9.999982e-01   5.741169e+04   5.486213e+03
 9.999982e-01   5.755453e+04   4.931173e+03
 9.999982e-01   6.218152e+04   6.231036e+03
 9.999982e-01   6.418540e+04   7.716278e+03
 9.999982e-01   4.949392e+04   4.775813e+03
 9.999982e-01   6.402217e+04   6.082302e+03
 9.999982e-01   4.851365e+04   7.810220e+03
 9.999982e-01   5.159551e+04   5.226959e+03
 9.999982e-01   6.261206e+04   5.733226e+03
 9.999982e-01   4.519590e+04   3.449998e+03
 9.999982e-01   5.423784e+04   3.113266e+03
 9.999982e-01   4.612010e+04   3.547694e+03
 9.999982e-01   5.658262e+04   4.117974e+03
 9.999982e-01   5.645377e+04   4.013611e+03
 9.999982e-01   5.118649e+04   4.097930e+03
 9.999982e-01   4.927938e+04   6.158658e+03
 9.999982e-01   5.001801e+04   3.642324e+03
 9.999982e-01   6.441867e+04   6.643133e+03
 9.999982e-01   5.348424e+04   5.374122e+03
 9.999982e-01   5.900025e+04   5.830337e+03
 9.999982e-01   6.305082e+04   7.324431e+03
 9.999982e-01   4.109885e+04   6.750756e+03
 9.999982e-01   5.201702e+04   6.013182e+03
 9.999982e-01   5.770298e+04   4.484499e+03
 9.999982e-01   5.288013e+04   2.878652e+03
 9.999982e-01   4.475443e+04   5.849413e+03
 9.999982e-01   6.979374e+04   6.324601e+03
 9.999982e-01   5.606055e+04   6.744418e+03
 9.999982e-01   5.640201e+04   6.717274e+03
 9.999982e-01   5.008595e+04   4.216502e+03
 9.999982e-01   5.934524e+04   5.725089e+03
 9.999982e-01   6.082723e+04   3.018519e+03
 9.999982e-01   5.738228e+04   5.279612e+03
 9.999982e-01   6.429041e+04   7.688116e+03
 9.999982e-01   5.984037e+04   3.764525e+03
 9.999982e-01   5.605691e+04   5.145917e+03
 9.999982e-01   5.879509e+04   5.849633e+03
 9.999982e-01   5.194603e+04   4.741624e+03
 9.999982e-01   4.779951e+04   4.298826e+03
 9.999982e-01   6.180332e+04   7.871270e+03
 9.999982e-01   5.309358e+04   7.714446e+03
 9.999982e-01   6.091752e+04   7.119264e+03
 9.999982e-01   6.260120e+04   7.562926e+03
 9.999982e-01   6.505372e+04   5.198890e+03
 9.999982e-01   6.097568e+04   6.369027e+03
 9.999982e-01   4.964983e+04   8.266222e+03
 9.999982e-01   5.761485e+04   5.083087e+03
 9.999983e-01   4.993303e+04   3.992874e+03
 9.999983e-01   6.260657e+04   5.590617e+03
 9.999983e-01   4.945929e+04   4.600003e+03
 9.999983e-01   5.779208e+04   9.245911e+03
 9.999983e-01   5.845309e+04   5.488362e+03
 9.999983e-01   5.178057e+04   6.244052e+03
 9.999983e-01   5.473997e+04   5.129629e+03
 9.999983e-01   6.841909e+04   5.994074e+03
 9.999983e-01   5.666274e+04   6.205955e+03
 9.999983e-01   5.900613e+04   5.025674e+03
 9.999983e-01   6.739540e+04   5.593193e+03
 9.999983e-01   7.378283e+04   7.646053e+03
 9.999983e-01   5.949597e+04   4.618881e+03
 9.999983e-01   6.062784e+04   4.726702e+03
 9.999983e-01   5.248471e+04   6.983734e+03
 9.999983e-01   6.382433e+04   5.526240e+03
 9.999983e-01   6.081402e+04   6.413190e+03
 9.999983e-01   6.113086e+04   6.000973e+03
 9.999983e-01   4.363036e+04   6.830940e+03
 9.999983e-01   5.795171e+04   5.356789e+03
 9.999983e-01   5.973272e+04   5.252986e+03
 9.999983e-01   5.300233e+04   6.441565e+03
 9.999983e-01   5.943067e+04   6.145203e+03
 9.999983e-01   6.090637e+04   4.165731e+03
 9.999983e-01   6.997599e+04   6.208736e+03
 9.999983e-01   6.605517e+04   7.250785e+03
 9.999983e-01   6.097594e+04   6.307858e+03
 9.999983e-01   6.204861e+04   4.474708e+03
 9.999983e-01   6.138690e+04   4.517592e+03
 9.999983e-01   5.917043e+04   9.268024e+03
 9.999983e-01   7.069738e+04   6.870400e+03
 9.999983e-01   7.138865e+04   5.879372e+03
 9.999983e-01   6.171800e+04   4.657183e+03
 9.999983e-01   6.418354e+04   9.583744e+03
 9.999983e-01   6.890473e+04   4.199693e+03
 9.999983e-01   6.777901e+04   7.432761e+03
 9.999983e-01   6.648593e+04   4.508494e+03
 9.999983e-01   6.563381e+04   4.606514e+03
