phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   5.338589e-01   9.292425e-02
-3.122743e+00   4.735317e-01   1.182784e-01
-3.110177e+00   2.251270e+01   2.205657e+01
-3.097610e+00   5.243602e-01   8.400000e-02
-3.085044e+00   3.993499e-01   3.764681e-02
-3.072478e+00   3.875770e-01   2.822984e-02
-3.059911e+00   5.922528e-01   1.356415e-01
-3.047345e+00   4.211530e-01   2.925402e-02
-3.034779e+00   1.100316e+00   6.478126e-01
-3.022212e+00   3.837134e-01   3.289533e-02
-3.009646e+00   4.272206e-01   4.516935e-02
-2.997079e+00   6.661310e-01   1.268610e-01
-2.984513e+00   5.181256e-01   7.583998e-02
-2.971947e+00   5.261068e-01   1.238516e-01
-2.959380e+00   4.092259e-01   5.073779e-02
-2.946814e+00   4.711404e-01   7.608469e-02
-2.934248e+00   4.934527e-01   7.037505e-02
-2.921681e+00   6.997884e-01   2.364928e-01
-2.909115e+00   4.154796e-01   2.279298e-02
-2.896548e+00   4.253349e-01   3.174109e-02
-2.883982e+00   5.887887e-01   9.948945e-02
-2.871416e+00   4.294186e-01   4.060971e-02
-2.858849e+00   5.834180e-01   1.884587e-01
-2.846283e+00   5.093152e-01   1.029499e-01
-2.833717e+00   4.606604e-01   3.385726e-02
-2.821150e+00   4.647320e-01   4.034977e-02
-2.808584e+00   3.962929e-01   3.719695e-02
-2.796017e+00   5.066141e-01   7.506625e-02
-2.783451e+00   5.982996e-01   7.843152e-02
-2.770885e+00   4.799952e-01   7.303782e-02
-2.758318e+00   5.195179e-01   1.172859e-01
-2.745752e+00   3.832271e-01   2.456238e-02
-2.733186e+00   4.281469e-01   5.146367e-02
-2.720619e+00   4.456062e-01   6.207087e-02
-2.708053e+00   6.116955e-01   1.094173e-01
-2.695486e+00   5.151892e-01   8.050645e-02
-2.682920e+00   7.249650e-01   2.116884e-01
-2.670354e+00   4.829433e-01   8.328305e-02
-2.657787e+00   1.920043e+00   1.332711e+00
-2.645221e+00   3.841600e-01   3.790464e-02
-2.632655e+00   4.489635e-01   6.688889e-02
-2.620088e+00   5.103876e-01   6.765746e-02
-2.607522e+00   3.789869e-01   4.543318e-02
-2.594956e+00   5.936888e-01   1.512566e-01
-2.582389e+00   3.793441e-01   2.546908e-02
-2.569823e+00   4.110054e-01   2.635173e-02
-2.557256e+00   4.840389e-01   5.882962e-02
-2.544690e+00   5.727868e-01   6.679476e-02
-2.532124e+00   3.519845e-01   1.308533e-02
-2.519557e+00   3.990363e-01   2.181852e-02
-2.506991e+00   5.153661e-01   7.755330e-02
-2.494425e+00   7.142456e+00   6.461762e+00
-2.481858e+00   5.330303e-01   9.501518e-02
