phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   2.895925e-01   1.758003e-02
-3.122743e+00   2.611654e-01   1.203766e-02
-3.110177e+00   2.759655e-01   1.542710e-02
-3.097610e+00   2.788282e-01   1.927520e-02
-3.085044e+00   2.558124e-01   1.028857e-02
-3.072478e+00   2.627406e-01   1.157198e-02
-3.059911e+00   2.497027e-01   1.147898e-02
-3.047345e+00   2.699352e-01   1.424779e-02
-3.034779e+00   2.519553e-01   1.335869e-02
-3.022212e+00   2.490131e-01   8.207743e-03
-3.009646e+00   2.770429e-01   1.810323e-02
-2.997079e+00   2.310653e-01   9.725401e-03
-2.984513e+00   2.416105e-01   8.630723e-03
-2.971947e+00   2.414423e-01   1.012314e-02
-2.959380e+00   2.685072e-01   1.355127e-02
-2.946814e+00   2.638020e-01   1.617893e-02
-2.934248e+00   2.656733e-01   1.477234e-02
-2.921681e+00   2.389931e-01   7.720078e-03
-2.909115e+00   2.422037e-01   6.789118e-03
-2.896548e+00   2.546809e-01   8.492996e-03
-2.883982e+00   2.611986e-01   1.303263e-02
-2.871416e+00   2.596486e-01   1.604647e-02
-2.858849e+00   2.754666e-01   1.620674e-02
-2.846283e+00   2.694900e-01   1.532574e-02
-2.833717e+00   2.554656e-01   1.409315e-02
-2.821150e+00   2.783102e-01   1.495497e-02
-2.808584e+00   2.661227e-01   1.057370e-02
-2.796017e+00   2.538836e-01   1.080873e-02
-2.783451e+00   2.434850e-01   9.625516e-03
-2.770885e+00   2.757342e-01   1.900305e-02
-2.758318e+00   2.464324e-01   9.176599e-03
-2.745752e+00   2.435397e-01   9.347249e-03
-2.733186e+00   2.612701e-01   1.204238e-02
-2.720619e+00   2.572509e-01   1.396097e-02
-2.708053e+00   2.677071e-01   1.291229e-02
-2.695486e+00   2.249816e-01   1.026028e-02
-2.682920e+00   2.561177e-01   1.017429e-02
-2.670354e+00   2.605060e-01   8.876622e-03
-2.657787e+00   2.729326e-01   1.818158e-02
-2.645221e+00   2.428480e-01   1.101193e-02
-2.632655e+00   2.682790e-01   1.295077e-02
-2.620088e+00   2.542855e-01   1.002873e-02
-2.607522e+00   2.367087e-01   5.885530e-03
-2.594956e+00   2.686555e-01   1.189159e-02
-2.582389e+00   2.670982e-01   1.169924e-02
-2.569823e+00   2.467088e-01   9.588617e-03
-2.557256e+00   2.747873e-01   1.664179e-02
-2.544690e+00   2.479399e-01   8.674888e-03
-2.532124e+00   2.677029e-01   1.183058e-02
-2.519557e+00   2.443072e-01   8.169720e-03
-2.506991e+00   2.454804e-01   8.049111e-03
-2.494425e+00   2.547295e-01   1.010434e-02
-2.481858e+00   2.834685e-01   1.608897e-02
-2.469292e+00   2.212090e-01   8.831686e-03
-2.456725e+00   2.419791e-01   7.053917e-03
-2.444159e+00   3.139758e-01   2.014797e-02
-2.431593e+00   2.890547e-01   1.732765e-02
-2.419026e+00   2.932813e-01   2.187719e-02
-2.406460e+00   2.760465e-01   1.613087e-02
-2.393894e+00   2.601994e-01   1.090280e-02
-2.381327e+00   2.478041e-01   7.600906e-03
-2.368761e+00   2.511667e-01   1.061908e-02
-2.356194e+00   2.456230e-01   1.031247e-02
-2.343628e+00   3.065631e-01   2.962457e-02
-2.331062e+00   2.800032e-01   1.412583e-02
-2.318495e+00   2.557930e-01   1.081477e-02
-2.305929e+00   2.885492e-01   1.955344e-02
-2.293363e+00   2.464683e-01   8.805780e-03
-2.280796e+00   2.496510e-01   7.654667e-03
-2.268230e+00   2.527856e-01   1.053643e-02
-2.255664e+00   2.759207e-01   1.447494e-02
-2.243097e+00   2.800800e-01   1.616254e-02
-2.230531e+00   2.398568e-01   9.006341e-03
-2.217964e+00   2.418235e-01   6.205563e-03
-2.205398e+00   2.550159e-01   8.425568e-03
-2.192832e+00   2.865124e-01   1.896867e-02
-2.180265e+00   2.545293e-01   1.255718e-02
-2.167699e+00   2.436811e-01   7.034450e-03
-2.155133e+00   2.704217e-01   1.327082e-02
-2.142566e+00   2.666769e-01   1.428525e-02
-2.130000e+00   2.335365e-01   7.585110e-03
-2.117433e+00   2.444336e-01   7.498437e-03
-2.104867e+00   2.653690e-01   1.556035e-02
-2.092301e+00   2.615073e-01   1.034938e-02
-2.079734e+00   2.390732e-01   7.705362e-03
-2.067168e+00   2.483095e-01   1.214028e-02
-2.054602e+00   2.472131e-01   1.076566e-02
-2.042035e+00   2.614210e-01   1.078090e-02
-2.029469e+00   2.409275e-01   8.036579e-03
-2.016902e+00   2.692098e-01   1.272486e-02
-2.004336e+00   2.322555e-01   6.298602e-03
-1.991770e+00   2.546262e-01   1.254922e-02
-1.979203e+00   2.261075e-01   6.283292e-03
-1.966637e+00   2.648366e-01   1.624087e-02
-1.954071e+00   2.718115e-01   1.649167e-02
-1.941504e+00   2.660153e-01   1.290138e-02
-1.928938e+00   2.285847e-01   7.944685e-03
-1.916372e+00   2.673436e-01   1.487345e-02
-1.903805e+00   2.601792e-01   1.103686e-02
-1.891239e+00   2.278691e-01   6.586107e-03
-1.878672e+00   2.405113e-01   8.059968e-03
-1.866106e+00   2.484717e-01   9.813776e-03
-1.853540e+00   2.537673e-01   1.224716e-02
-1.840973e+00   2.474561e-01   1.395298e-02
-1.828407e+00   2.957341e-01   1.832152e-02
-1.815841e+00   2.620054e-01   1.189932e-02
-1.803274e+00   2.594378e-01   1.298392e-02
-1.790708e+00   2.254957e-01   7.121570e-03
-1.778141e+00   2.529081e-01   1.005726e-02
-1.765575e+00   2.580375e-01   1.136916e-02
-1.753009e+00   2.385331e-01   9.087442e-03
-1.740442e+00   2.711426e-01   1.731162e-02
-1.727876e+00   2.493692e-01   1.477161e-02
-1.715310e+00   2.687070e-01   1.793689e-02
-1.702743e+00   2.377595e-01   7.672651e-03
-1.690177e+00   2.448070e-01   5.510223e-03
-1.677610e+00   2.524877e-01   7.044461e-03
-1.665044e+00   2.233017e-01   5.348536e-03
-1.652478e+00   2.519639e-01   8.430884e-03
-1.639911e+00   2.544048e-01   8.273937e-03
-1.627345e+00   2.661574e-01   1.086294e-02
-1.614779e+00   2.779759e-01   1.538411e-02
-1.602212e+00   3.106663e-01   2.403643e-02
-1.589646e+00   2.583132e-01   1.798628e-02
-1.577080e+00   2.370868e-01   1.143624e-02
-1.564513e+00   2.290534e-01   6.899166e-03
-1.551947e+00   2.376587e-01   8.753925e-03
-1.539380e+00   3.285419e-01   3.359295e-02
-1.526814e+00   2.585038e-01   1.227206e-02
-1.514248e+00   2.644486e-01   1.072374e-02
-1.501681e+00   2.757451e-01   2.018228e-02
-1.489115e+00   2.362531e-01   6.261215e-03
-1.476549e+00   2.523475e-01   9.409361e-03
-1.463982e+00   2.589473e-01   1.278954e-02
-1.451416e+00   2.443812e-01   9.627988e-03
-1.438849e+00   2.239282e-01   8.528746e-03
-1.426283e+00   2.648707e-01   1.564287e-02
-1.413717e+00   2.723698e-01   1.520134e-02
-1.401150e+00   2.251421e-01   5.647854e-03
-1.388584e+00   2.664616e-01   1.483211e-02
-1.376018e+00   2.550174e-01   7.873216e-03
-1.363451e+00   2.876914e-01   1.886867e-02
-1.350885e+00   3.225419e-01   2.710704e-02
-1.338318e+00   2.489786e-01   8.681297e-03
-1.325752e+00   2.360141e-01   7.616891e-03
-1.313186e+00   2.541948e-01   9.361407e-03
-1.300619e+00   2.705223e-01   1.427264e-02
-1.288053e+00   2.382631e-01   8.133064e-03
-1.275487e+00   2.499332e-01   1.007556e-02
-1.262920e+00   2.751424e-01   1.684084e-02
-1.250354e+00   3.087565e-01   2.470907e-02
-1.237788e+00   2.934273e-01   1.579744e-02
-1.225221e+00   2.500974e-01   1.188142e-02
-1.212655e+00   2.476752e-01   9.513933e-03
-1.200088e+00   2.722778e-01   1.285634e-02
-1.187522e+00   2.400709e-01   7.277131e-03
-1.174956e+00   2.540958e-01   1.927600e-02
-1.162389e+00   2.854395e-01   1.335636e-02
-1.149823e+00   2.370035e-01   6.756172e-03
-1.137257e+00   2.790171e-01   1.465997e-02
-1.124690e+00   2.593587e-01   1.668815e-02
-1.112124e+00   2.622487e-01   1.015051e-02
-1.099557e+00   2.365600e-01   8.576037e-03
-1.086991e+00   2.598240e-01   9.860625e-03
-1.074425e+00   2.398867e-01   1.009659e-02
-1.061858e+00   2.436981e-01   7.057115e-03
-1.049292e+00   2.823319e-01   1.789803e-02
-1.036726e+00   2.471118e-01   8.837709e-03
-1.024159e+00   2.561908e-01   1.054695e-02
-1.011593e+00   2.409967e-01   7.069662e-03
-9.990265e-01   2.620268e-01   1.048982e-02
-9.864601e-01   2.425850e-01   9.030439e-03
-9.738937e-01   2.564793e-01   7.759450e-03
-9.613274e-01   2.307555e-01   6.668040e-03
-9.487610e-01   2.730502e-01   1.504181e-02
-9.361946e-01   2.442956e-01   9.152013e-03
-9.236282e-01   2.648685e-01   1.616647e-02
-9.110619e-01   2.378697e-01   8.675238e-03
-8.984955e-01   2.448779e-01   9.607069e-03
-8.859291e-01   2.571846e-01   1.001486e-02
-8.733628e-01   2.623752e-01   1.419349e-02
-8.607964e-01   2.564576e-01   1.070122e-02
-8.482300e-01   2.713993e-01   1.273590e-02
-8.356636e-01   3.149508e-01   2.797281e-02
-8.230973e-01   2.524286e-01   9.888689e-03
-8.105309e-01   2.660812e-01   1.781299e-02
-7.979645e-01   2.765188e-01   1.299166e-02
-7.853982e-01   2.651407e-01   1.352845e-02
-7.728318e-01   2.787743e-01   1.740777e-02
-7.602654e-01   2.470708e-01   9.337346e-03
-7.476991e-01   2.484720e-01   9.104609e-03
-7.351327e-01   2.490175e-01   1.077745e-02
-7.225663e-01   2.624994e-01   1.109047e-02
-7.099999e-01   2.436153e-01   8.502757e-03
-6.974336e-01   2.633602e-01   1.147718e-02
-6.848672e-01   2.662247e-01   1.540681e-02
-6.723008e-01   2.663380e-01   9.667673e-03
-6.597345e-01   2.538122e-01   1.473186e-02
-6.471681e-01   3.003955e-01   1.789113e-02
-6.346017e-01   2.413054e-01   8.006058e-03
-6.220353e-01   2.753697e-01   1.330355e-02
-6.094690e-01   2.757037e-01   1.487836e-02
-5.969026e-01   2.398260e-01   7.586785e-03
-5.843362e-01   2.369487e-01   9.432189e-03
-5.717699e-01   2.884028e-01   1.625093e-02
-5.592035e-01   2.475677e-01   1.152357e-02
-5.466371e-01   2.839503e-01   1.412850e-02
-5.340708e-01   2.727503e-01   1.203500e-02
-5.215044e-01   2.361871e-01   8.052289e-03
-5.089380e-01   2.427428e-01   8.998264e-03
-4.963716e-01   2.666548e-01   1.439142e-02
-4.838053e-01   2.375819e-01   7.655733e-03
-4.712389e-01   2.606724e-01   1.038780e-02
-4.586725e-01   2.755877e-01   1.387500e-02
-4.461062e-01   2.519737e-01   7.239359e-03
-4.335398e-01   2.473252e-01   9.485264e-03
-4.209734e-01   2.550725e-01   9.198718e-03
-4.084070e-01   2.695599e-01   1.467238e-02
-3.958407e-01   2.342942e-01   6.401029e-03
-3.832743e-01   2.303378e-01   5.560620e-03
-3.707079e-01   2.517548e-01   1.572758e-02
-3.581416e-01   2.377826e-01   7.838896e-03
-3.455752e-01   2.449591e-01   8.148423e-03
-3.330088e-01   3.024349e-01   3.108222e-02
-3.204425e-01   2.452524e-01   1.200831e-02
-3.078761e-01   2.359738e-01   9.633255e-03
-2.953097e-01   2.517513e-01   1.030355e-02
-2.827433e-01   2.406012e-01   7.206512e-03
-2.701770e-01   2.580954e-01   1.475991e-02
-2.576106e-01   2.681731e-01   1.187902e-02
-2.450442e-01   2.669762e-01   1.261813e-02
-2.324779e-01   2.398877e-01   8.559078e-03
-2.199115e-01   2.538275e-01   1.264026e-02
-2.073451e-01   2.717678e-01   1.560120e-02
-1.947787e-01   2.271424e-01   5.523745e-03
-1.822124e-01   2.417481e-01   6.776598e-03
-1.696460e-01   2.568663e-01   1.159536e-02
-1.570796e-01   2.865838e-01   1.753560e-02
-1.445133e-01   2.389960e-01   6.506553e-03
-1.319469e-01   2.440108e-01   1.200347e-02
-1.193805e-01   2.558198e-01   1.053298e-02
-1.068142e-01   2.469533e-01   1.305890e-02
-9.424778e-02   2.517081e-01   9.742246e-03
-8.168141e-02   3.033326e-01   2.594527e-02
-6.911504e-02   2.646387e-01   1.426090e-02
-5.654867e-02   3.126630e-01   2.145140e-02
-4.398230e-02   2.379715e-01   7.934782e-03
-3.141593e-02   2.456833e-01   8.564884e-03
-1.884956e-02   2.557798e-01   1.036504e-02
-6.283185e-03   4.788791e+01   7.409213e+00
 6.283185e-03   2.467482e-01   1.220827e-02
 1.884956e-02   2.374251e-01   9.888193e-03
 3.141593e-02   2.596344e-01   1.026702e-02
 4.398230e-02   2.625250e-01   1.177965e-02
 5.654867e-02   2.336334e-01   9.997885e-03
 6.911504e-02   2.483824e-01   1.056256e-02
 8.168141e-02   3.278928e-01   3.950776e-02
 9.424778e-02   2.344439e-01   8.246486e-03
 1.068142e-01   2.561564e-01   1.447263e-02
 1.193805e-01   2.560160e-01   1.130209e-02
 1.319469e-01   2.208776e-01   9.374001e-03
 1.445133e-01   2.273581e-01   6.564205e-03
 1.570796e-01   2.659192e-01   1.411347e-02
 1.696460e-01   2.498149e-01   1.064718e-02
 1.822124e-01   2.679398e-01   1.345583e-02
 1.947787e-01   2.422874e-01   7.652617e-03
 2.073451e-01   2.384529e-01   7.469241e-03
 2.199115e-01   2.385431e-01   7.688784e-03
 2.324779e-01   2.454200e-01   8.890644e-03
 2.450442e-01   2.491021e-01   1.080316e-02
 2.576106e-01   2.523981e-01   9.705469e-03
 2.701770e-01   2.670845e-01   1.387007e-02
 2.827433e-01   2.476657e-01   9.708951e-03
 2.953097e-01   2.450636e-01   9.767597e-03
 3.078761e-01   2.459524e-01   9.243156e-03
 3.204425e-01   2.696802e-01   1.653968e-02
 3.330088e-01   2.426036e-01   1.038011e-02
 3.455752e-01   2.470349e-01   1.053377e-02
 3.581416e-01   2.488937e-01   1.026197e-02
 3.707079e-01   2.844658e-01   1.971534e-02
 3.832743e-01   2.254533e-01   7.213704e-03
 3.958407e-01   2.496538e-01   9.412969e-03
 4.084070e-01   2.531072e-01   1.057247e-02
 4.209734e-01   2.282390e-01   7.102113e-03
 4.335398e-01   2.381118e-01   9.616087e-03
 4.461062e-01   2.438138e-01   1.005709e-02
 4.586725e-01   2.495371e-01   8.156549e-03
 4.712389e-01   2.504893e-01   9.903572e-03
 4.838053e-01   2.456457e-01   9.218230e-03
 4.963716e-01   2.361148e-01   8.399288e-03
 5.089380e-01   2.736556e-01   1.461797e-02
 5.215044e-01   2.768104e-01   1.280532e-02
 5.340708e-01   2.614512e-01   1.129660e-02
 5.466371e-01   2.799601e-01   1.532584e-02
 5.592035e-01   2.711721e-01   1.273092e-02
 5.717699e-01   2.609339e-01   1.486985e-02
 5.843362e-01   2.442414e-01   9.983713e-03
 5.969026e-01   2.412209e-01   9.834667e-03
 6.094690e-01   2.642732e-01   1.333123e-02
 6.220353e-01   2.425486e-01   1.091368e-02
 6.346017e-01   2.596614e-01   1.120617e-02
 6.471681e-01   2.610965e-01   1.291025e-02
 6.597345e-01   2.569144e-01   1.169403e-02
 6.723008e-01   2.342010e-01   9.168697e-03
 6.848672e-01   2.534046e-01   9.562263e-03
 6.974336e-01   2.448681e-01   9.744342e-03
 7.099999e-01   2.570814e-01   1.151571e-02
 7.225663e-01   2.201599e-01   7.553966e-03
 7.351327e-01   2.750292e-01   1.427817e-02
 7.476991e-01   2.550975e-01   1.010905e-02
 7.602654e-01   2.393308e-01   5.518526e-03
 7.728318e-01   3.146891e-01   2.888607e-02
 7.853982e-01   2.412606e-01   1.082820e-02
 7.979645e-01   2.389202e-01   8.072563e-03
 8.105309e-01   2.746267e-01   1.323627e-02
 8.230973e-01   2.344444e-01   7.636236e-03
 8.356636e-01   2.186927e-01   7.793990e-03
 8.482300e-01   2.393390e-01   7.995073e-03
 8.607964e-01   2.767067e-01   1.177412e-02
 8.733628e-01   2.468188e-01   8.588771e-03
 8.859291e-01   2.485567e-01   7.972532e-03
 8.984955e-01   2.648737e-01   1.592834e-02
 9.110619e-01   2.775429e-01   1.745517e-02
 9.236282e-01   2.643959e-01   1.118002e-02
 9.361946e-01   2.549633e-01   9.163400e-03
 9.487610e-01   2.328294e-01   7.233324e-03
 9.613274e-01   3.236277e-01   2.406824e-02
 9.738937e-01   2.337290e-01   5.613689e-03
 9.864601e-01   2.712683e-01   1.123252e-02
 9.990265e-01   3.962692e-01   4.641838e-02
 1.011593e+00   2.578468e-01   1.292639e-02
 1.024159e+00   2.670120e-01   1.700556e-02
 1.036726e+00   2.457033e-01   8.517637e-03
 1.049292e+00   2.513697e-01   9.025692e-03
 1.061858e+00   2.827047e-01   1.987163e-02
 1.074425e+00   2.349297e-01   6.723529e-03
 1.086991e+00   2.425989e-01   9.106743e-03
 1.099557e+00   2.359208e-01   1.053229e-02
 1.112124e+00   2.859543e-01   1.652175e-02
 1.124690e+00   2.882242e-01   2.696552e-02
 1.137257e+00   2.562137e-01   9.813836e-03
 1.149823e+00   2.647563e-01   1.438589e-02
 1.162389e+00   2.380794e-01   9.575798e-03
 1.174956e+00   2.329816e-01   7.156649e-03
 1.187522e+00   2.548719e-01   1.254025e-02
 1.200088e+00   2.578614e-01   1.025102e-02
 1.212655e+00   2.615683e-01   1.312933e-02
 1.225221e+00   2.401674e-01   8.591470e-03
 1.237788e+00   2.549771e-01   1.147070e-02
 1.250354e+00   2.565959e-01   1.055637e-02
 1.262920e+00   2.570292e-01   1.075586e-02
 1.275487e+00   3.092245e-01   2.025952e-02
 1.288053e+00   2.591646e-01   1.384228e-02
 1.300619e+00   2.668637e-01   1.137136e-02
 1.313186e+00   2.438724e-01   6.498135e-03
 1.325752e+00   2.750063e-01   1.481874e-02
 1.338318e+00   2.554065e-01   1.114430e-02
 1.350885e+00   2.500599e-01   9.965126e-03
 1.363451e+00   2.442913e-01   8.816635e-03
 1.376018e+00   2.525798e-01   1.213736e-02
 1.388584e+00   2.639444e-01   1.568185e-02
 1.401150e+00   2.399234e-01   1.079827e-02
 1.413717e+00   2.513288e-01   9.208616e-03
 1.426283e+00   2.366221e-01   7.311985e-03
 1.438849e+00   2.956344e-01   2.449875e-02
