phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   1.517488e-12   1.021852e-12
-3.122743e+00   2.043064e-12   1.637163e-12
-3.110177e+00   5.059127e-13   4.078171e-13
-3.097610e+00   4.405456e-12   4.244016e-12
-3.085044e+00   7.275314e-11   6.897371e-11
-3.072478e+00   1.271067e-12   8.166079e-13
-3.059911e+00   2.912874e-13   1.692199e-13
-3.047345e+00   9.615693e-12   9.120911e-12
-3.034779e+00   8.726817e-13   5.053665e-13
-3.022212e+00   3.274461e-11   2.952239e-11
-3.009646e+00   8.485844e-13   5.407031e-13
-2.997079e+00   1.174353e-12   9.642839e-13
-2.984513e+00   9.729485e-12   9.513969e-12
-2.971947e+00   3.299481e-12   1.992757e-12
-2.959380e+00   4.707095e-13   2.535924e-13
-2.946814e+00   8.433425e-13   6.042210e-13
-2.934248e+00   1.788321e-01   1.788321e-01
-2.921681e+00   2.728120e-12   2.535608e-12
-2.909115e+00   8.445504e-12   6.294805e-12
-2.896548e+00   1.576719e-12   1.052044e-12
-2.883982e+00   2.227900e-13   1.064037e-13
-2.871416e+00   1.171623e-11   1.159853e-11
-2.858849e+00   2.313925e-12   2.013448e-12
-2.846283e+00   1.461179e-13   9.357276e-14
-2.833717e+00   5.314769e-13   4.541106e-13
-2.821150e+00   5.566715e-13   4.026929e-13
-2.808584e+00   3.961157e-13   2.999263e-13
-2.796017e+00   1.992714e-13   1.114942e-13
-2.783451e+00   3.041446e-12   2.682679e-12
-2.770885e+00   1.564229e-11   1.372659e-11
-2.758318e+00   3.137507e-12   3.014026e-12
-2.745752e+00   1.654550e-12   1.415459e-12
-2.733186e+00   1.904137e-11   1.785323e-11
-2.720619e+00   4.923311e-13   3.772702e-13
-2.708053e+00   3.171968e-12   2.909008e-12
-2.695486e+00   8.586812e-12   8.199126e-12
-2.682920e+00   1.962134e-12   1.769808e-12
-2.670354e+00   3.382231e-12   3.262856e-12
-2.657787e+00   6.368068e-10   6.351262e-10
-2.645221e+00   1.202879e-11   8.474653e-12
-2.632655e+00   8.183944e-13   5.801681e-13
-2.620088e+00   3.271185e-13   2.322538e-13
-2.607522e+00   6.070092e-13   4.183336e-13
-2.594956e+00   6.188954e-13   4.339936e-13
-2.582389e+00   3.733750e-10   3.731324e-10
-2.569823e+00   1.719379e-13   1.085067e-13
-2.557256e+00   2.299243e-11   2.227413e-11
-2.544690e+00   2.009269e-12   1.386851e-12
-2.532124e+00   2.815835e-11   2.221850e-11
-2.519557e+00   2.911113e-12   2.725192e-12
-2.506991e+00   1.917876e-10   1.912329e-10
-2.494425e+00   1.735382e-11   1.565701e-11
-2.481858e+00   3.759272e-12   2.823594e-12
-2.469292e+00   1.003922e-12   8.680460e-13
-2.456725e+00   6.095844e-12   5.559825e-12
-2.444159e+00   3.136165e-11   2.329405e-11
-2.431593e+00   7.348364e-12   5.248904e-12
-2.419026e+00   6.835404e-12   6.286838e-12
-2.406460e+00   5.570061e-11   5.510822e-11
-2.393894e+00   1.701789e-11   1.378826e-11
-2.381327e+00   5.520672e-11   5.503373e-11
-2.368761e+00   9.694073e-12   8.985518e-12
-2.356194e+00   1.732902e-12   1.398762e-12
-2.343628e+00   3.586034e-12   2.979213e-12
-2.331062e+00   3.849309e-12   2.132260e-12
-2.318495e+00   2.979978e-12   2.589841e-12
-2.305929e+00   5.214108e-12   3.595724e-12
-2.293363e+00   1.563742e-01   1.563742e-01
-2.280796e+00   2.031923e-12   1.605819e-12
-2.268230e+00   1.866663e-10   1.864646e-10
-2.255664e+00   1.096857e-11   9.094552e-12
-2.243097e+00   1.894462e-11   1.799660e-11
-2.230531e+00   2.601821e-11   2.547900e-11
-2.217964e+00   5.838293e-12   5.672758e-12
-2.205398e+00   3.168674e-11   3.127842e-11
-2.192832e+00   3.061000e-11   2.831057e-11
-2.180265e+00   8.380993e-12   8.278265e-12
-2.167699e+00   2.666380e-11   2.580344e-11
-2.155133e+00   1.401713e-11   1.002015e-11
-2.142566e+00   5.092878e-12   5.020084e-12
