phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   4.204047e-01   1.854817e-02
-3.122743e+00   4.187977e-01   2.102773e-02
-3.110177e+00   4.673562e-01   1.716716e-02
-3.097610e+00   4.787312e-01   3.289900e-02
-3.085044e+00   3.548692e-01   1.309758e-02
-3.072478e+00   4.996886e-01   3.432278e-02
-3.059911e+00   4.738074e-01   3.386335e-02
-3.047345e+00   4.208925e-01   1.663551e-02
-3.034779e+00   4.337791e-01   1.849792e-02
-3.022212e+00   4.724455e-01   5.098787e-02
-3.009646e+00   4.499459e-01   2.318809e-02
-2.997079e+00   3.661655e-01   1.345800e-02
-2.984513e+00   4.554054e-01   2.903236e-02
-2.971947e+00   4.471261e-01   2.396634e-02
-2.959380e+00   4.654844e-01   2.018891e-02
-2.946814e+00   4.419114e-01   1.985734e-02
-2.934248e+00   4.254493e-01   3.170051e-02
-2.921681e+00   4.576887e-01   2.585121e-02
-2.909115e+00   3.983016e-01   1.605079e-02
-2.896548e+00   3.725281e-01   1.511784e-02
-2.883982e+00   3.926265e-01   2.131370e-02
-2.871416e+00   4.544245e-01   1.727311e-02
-2.858849e+00   3.844480e-01   1.795413e-02
-2.846283e+00   4.126429e-01   2.044151e-02
-2.833717e+00   4.410663e-01   2.254786e-02
-2.821150e+00   4.054025e-01   2.042045e-02
-2.808584e+00   4.064516e-01   3.662469e-02
-2.796017e+00   3.812884e-01   2.263928e-02
-2.783451e+00   3.537612e-01   1.990341e-02
-2.770885e+00   4.345485e-01   1.541267e-02
-2.758318e+00   4.325618e-01   3.965946e-02
-2.745752e+00   4.011919e-01   2.223386e-02
-2.733186e+00   4.377816e-01   2.400252e-02
-2.720619e+00   4.448012e-01   1.941474e-02
-2.708053e+00   4.549551e-01   3.369693e-02
-2.695486e+00   3.963766e-01   1.924794e-02
-2.682920e+00   4.285450e-01   2.120019e-02
-2.670354e+00   4.292498e-01   2.001821e-02
-2.657787e+00   5.047611e-01   3.002894e-02
-2.645221e+00   4.836161e-01   2.105122e-02
-2.632655e+00   4.434569e-01   1.555544e-02
-2.620088e+00   3.498999e-01   1.645679e-02
-2.607522e+00   3.689342e-01   2.017069e-02
-2.594956e+00   4.502506e-01   2.974805e-02
-2.582389e+00   4.287094e-01   2.024272e-02
-2.569823e+00   4.334617e-01   1.296111e-02
-2.557256e+00   4.133971e-01   1.335286e-02
-2.544690e+00   5.002042e-01   3.299638e-02
-2.532124e+00   3.760765e-01   2.231397e-02
-2.519557e+00   4.223945e-01   1.721610e-02
-2.506991e+00   3.799973e-01   1.594014e-02
-2.494425e+00   4.868413e-01   3.939009e-02
-2.481858e+00   4.417343e-01   2.833113e-02
-2.469292e+00   4.881098e-01   3.322719e-02
-2.456725e+00   3.687952e-01   1.054721e-02
-2.444159e+00   4.355948e-01   2.585532e-02
-2.431593e+00   4.365388e-01   2.450515e-02
-2.419026e+00   5.162869e-01   3.977387e-02
-2.406460e+00   4.681951e-01   2.439848e-02
-2.393894e+00   4.165142e-01   2.234660e-02
