phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   5.372387e-01   1.803645e-02
-3.122743e+00   5.253333e-01   2.295635e-02
-3.110177e+00   5.387849e-01   1.624530e-02
-3.097610e+00   5.614431e-01   2.801263e-02
-3.085044e+00   5.009687e-01   2.061730e-02
-3.072478e+00   5.126019e-01   1.693141e-02
-3.059911e+00   4.929882e-01   1.648817e-02
-3.047345e+00   5.275634e-01   2.214869e-02
-3.034779e+00   5.149411e-01   1.718153e-02
-3.022212e+00   5.320431e-01   2.057721e-02
-3.009646e+00   5.659170e-01   3.296280e-02
-2.997079e+00   4.992236e-01   2.195662e-02
-2.984513e+00   5.431567e-01   2.463929e-02
-2.971947e+00   4.984438e-01   2.057008e-02
-2.959380e+00   5.151401e-01   1.929686e-02
-2.946814e+00   4.894681e-01   1.618511e-02
-2.934248e+00   5.209809e-01   2.295639e-02
-2.921681e+00   5.125314e-01   2.121982e-02
-2.909115e+00   5.257163e-01   2.914000e-02
-2.896548e+00   5.660292e-01   2.286478e-02
-2.883982e+00   4.851037e-01   1.629362e-02
-2.871416e+00   5.050029e-01   1.834822e-02
-2.858849e+00   4.963791e-01   1.663509e-02
-2.846283e+00   5.834672e-01   3.962179e-02
-2.833717e+00   4.965015e-01   1.787452e-02
-2.821150e+00   5.088850e-01   3.459980e-02
-2.808584e+00   5.953842e-01   3.635965e-02
-2.796017e+00   5.375523e-01   2.134705e-02
-2.783451e+00   5.011716e-01   1.801278e-02
-2.770885e+00   5.109169e-01   2.370621e-02
-2.758318e+00   4.859982e-01   1.227915e-02
-2.745752e+00   5.110936e-01   1.876074e-02
-2.733186e+00   4.809508e-01   2.091880e-02
-2.720619e+00   5.521537e-01   3.733138e-02
-2.708053e+00   5.112498e-01   2.068230e-02
-2.695486e+00   5.176862e-01   2.380918e-02
-2.682920e+00   5.565293e-01   2.507992e-02
-2.670354e+00   5.197310e-01   2.605133e-02
-2.657787e+00   5.074805e-01   2.388654e-02
-2.645221e+00   5.132907e-01   2.630092e-02
-2.632655e+00   5.304284e-01   1.764005e-02
-2.620088e+00   4.846003e-01   2.385069e-02
-2.607522e+00   5.294798e-01   1.666543e-02
-2.594956e+00   5.180021e-01   1.949199e-02
-2.582389e+00   5.535901e-01   3.658865e-02
-2.569823e+00   5.162556e-01   1.847431e-02
-2.557256e+00   5.072899e-01   1.935599e-02
-2.544690e+00   4.832942e-01   2.015979e-02
-2.532124e+00   5.166526e-01   2.156396e-02
-2.519557e+00   5.351399e-01   2.032537e-02
-2.506991e+00   5.360056e-01   1.894641e-02
-2.494425e+00   4.993639e-01   1.909373e-02
-2.481858e+00   4.971715e-01   2.163770e-02
-2.469292e+00   5.108368e-01   1.810418e-02
-2.456725e+00   5.579856e-01   3.462715e-02
-2.444159e+00   5.139740e-01   2.075201e-02
-2.431593e+00   5.367127e-01   2.045499e-02
-2.419026e+00   5.440114e-01   1.820644e-02
-2.406460e+00   5.039376e-01   1.786955e-02
-2.393894e+00   5.090472e-01   1.259592e-02
-2.381327e+00   5.702647e-01   3.043606e-02
-2.368761e+00   5.892667e-01   2.810806e-02
-2.356194e+00   5.197876e-01   1.648139e-02
-2.343628e+00   5.433940e-01   2.285185e-02
-2.331062e+00   5.443183e-01   2.403746e-02
-2.318495e+00   5.495170e-01   2.343677e-02
-2.305929e+00   4.815484e-01   1.411129e-02
-2.293363e+00   5.173938e-01   2.248476e-02
-2.280796e+00   5.682855e-01   2.780553e-02
-2.268230e+00   4.916548e-01   1.491005e-02
-2.255664e+00   5.262235e-01   2.254866e-02
-2.243097e+00   5.466191e-01   2.769964e-02
-2.230531e+00   5.072837e-01   1.696201e-02
-2.217964e+00   5.058391e-01   2.915108e-02
-2.205398e+00   5.153897e-01   1.861968e-02
-2.192832e+00   5.408758e-01   2.350714e-02
-2.180265e+00   4.828125e-01   1.827285e-02
-2.167699e+00   5.025784e-01   1.855159e-02
-2.155133e+00   4.805059e-01   1.560520e-02
-2.142566e+00   5.525818e-01   2.859771e-02
-2.130000e+00   5.659728e-01   2.835111e-02
-2.117433e+00   5.174902e-01   1.885554e-02
-2.104867e+00   5.336046e-01   1.752450e-02
-2.092301e+00   5.864817e-01   2.515072e-02
-2.079734e+00   5.032862e-01   1.859210e-02
-2.067168e+00   4.974140e-01   1.811388e-02
-2.054602e+00   5.162650e-01   1.794545e-02
-2.042035e+00   5.329549e-01   2.450421e-02
-2.029469e+00   5.268094e-01   3.793118e-02
-2.016902e+00   5.401346e-01   2.261715e-02
-2.004336e+00   5.307445e-01   2.432727e-02
-1.991770e+00   5.354461e-01   2.286310e-02
-1.979203e+00   5.158597e-01   1.572496e-02
-1.966637e+00   4.798842e-01   1.930097e-02
-1.954071e+00   5.001071e-01   2.045293e-02
-1.941504e+00   5.539995e-01   1.759671e-02
-1.928938e+00   5.318828e-01   1.768907e-02
-1.916372e+00   5.743684e-01   2.222139e-02
-1.903805e+00   5.316781e-01   1.994990e-02
-1.891239e+00   5.294999e-01   2.325393e-02
-1.878672e+00   5.160797e-01   1.804629e-02
-1.866106e+00   4.836731e-01   2.494672e-02
-1.853540e+00   5.628467e-01   2.630359e-02
-1.840973e+00   5.291777e-01   1.976048e-02
-1.828407e+00   5.442914e-01   2.128028e-02
-1.815841e+00   5.361001e-01   2.746043e-02
-1.803274e+00   6.211755e-01   2.469502e-02
-1.790708e+00   5.503248e-01   2.491872e-02
-1.778141e+00   5.098804e-01   1.657554e-02
-1.765575e+00   5.230130e-01   1.663906e-02
-1.753009e+00   4.862097e-01   1.500803e-02
-1.740442e+00   5.099639e-01   1.714418e-02
-1.727876e+00   4.812103e-01   1.743340e-02
-1.715310e+00   4.904846e-01   1.503001e-02
-1.702743e+00   5.478219e-01   2.145306e-02
-1.690177e+00   5.473592e-01   2.526336e-02
-1.677610e+00   5.196592e-01   2.636213e-02
-1.665044e+00   4.800929e-01   1.287120e-02
-1.652478e+00   5.959276e-01   3.061755e-02
-1.639911e+00   4.803703e-01   2.246683e-02
-1.627345e+00   5.254529e-01   2.650652e-02
-1.614779e+00   5.499883e-01   3.126673e-02
-1.602212e+00   5.803689e-01   3.335434e-02
-1.589646e+00   4.918827e-01   1.646691e-02
-1.577080e+00   4.806522e-01   1.599182e-02
-1.564513e+00   5.248509e-01   1.637981e-02
-1.551947e+00   5.488305e-01   2.455849e-02
-1.539380e+00   5.037828e-01   1.579842e-02
-1.526814e+00   5.305624e-01   2.190571e-02
-1.514248e+00   5.248550e-01   1.549832e-02
-1.501681e+00   5.177555e-01   2.586816e-02
-1.489115e+00   4.884244e-01   1.946221e-02
-1.476549e+00   6.023039e-01   4.971468e-02
-1.463982e+00   5.107261e-01   2.609869e-02
-1.451416e+00   5.223141e-01   2.150836e-02
-1.438849e+00   4.788122e-01   2.152364e-02
-1.426283e+00   4.979330e-01   2.114768e-02
-1.413717e+00   4.593931e-01   1.370016e-02
-1.401150e+00   5.109907e-01   1.587226e-02
-1.388584e+00   5.359015e-01   2.637582e-02
-1.376018e+00   5.135605e-01   1.752349e-02
-1.363451e+00   5.164599e-01   1.617785e-02
-1.350885e+00   4.917912e-01   1.313600e-02
-1.338318e+00   5.377786e-01   2.453580e-02
-1.325752e+00   4.949922e-01   1.363789e-02
-1.313186e+00   4.898996e-01   2.053480e-02
-1.300619e+00   5.357533e-01   2.304787e-02
-1.288053e+00   5.420460e-01   2.517136e-02
-1.275487e+00   5.398812e-01   3.304177e-02
-1.262920e+00   4.908934e-01   2.024587e-02
-1.250354e+00   5.109990e-01   1.881951e-02
-1.237788e+00   5.109162e-01   2.375298e-02
-1.225221e+00   5.169463e-01   2.158906e-02
-1.212655e+00   5.172903e-01   2.137044e-02
-1.200088e+00   5.415000e-01   2.871952e-02
-1.187522e+00   5.430975e-01   1.950531e-02
-1.174956e+00   5.406824e-01   3.237140e-02
-1.162389e+00   5.022692e-01   1.571565e-02
-1.149823e+00   5.380447e-01   2.417391e-02
-1.137257e+00   4.898180e-01   1.715371e-02
-1.124690e+00   5.070557e-01   2.684523e-02
-1.112124e+00   5.183050e-01   2.353052e-02
-1.099557e+00   5.617161e-01   2.253036e-02
-1.086991e+00   5.133502e-01   2.373552e-02
-1.074425e+00   5.334529e-01   2.505963e-02
-1.061858e+00   5.371675e-01   2.650053e-02
-1.049292e+00   4.947730e-01   2.175730e-02
-1.036726e+00   5.384581e-01   2.453487e-02
-1.024159e+00   5.045547e-01   1.971201e-02
-1.011593e+00   5.223411e-01   3.094867e-02
-9.990265e-01   5.165017e-01   2.320966e-02
-9.864601e-01   5.042746e-01   1.912169e-02
-9.738937e-01   5.446455e-01   2.945414e-02
-9.613274e-01   5.394401e-01   2.727596e-02
-9.487610e-01   5.542570e-01   2.311658e-02
-9.361946e-01   5.009333e-01   1.569176e-02
-9.236282e-01   5.530044e-01   2.918780e-02
-9.110619e-01   5.108449e-01   1.825247e-02
-8.984955e-01   5.118002e-01   2.037582e-02
-8.859291e-01   5.121759e-01   1.708820e-02
-8.733628e-01   4.825365e-01   1.640169e-02
-8.607964e-01   5.393338e-01   1.803020e-02
-8.482300e-01   5.418390e-01   1.833347e-02
-8.356636e-01   5.322492e-01   1.972529e-02
-8.230973e-01   5.085718e-01   2.654215e-02
-8.105309e-01   4.856496e-01   1.559324e-02
-7.979645e-01   4.941236e-01   1.278396e-02
-7.853982e-01   5.098302e-01   2.453082e-02
-7.728318e-01   4.899850e-01   1.563125e-02
-7.602654e-01   6.752855e-01   6.046882e-02
-7.476991e-01   5.077050e-01   2.113434e-02
-7.351327e-01   5.132526e-01   2.011062e-02
-7.225663e-01   5.511071e-01   2.543961e-02
-7.099999e-01   5.238546e-01   1.797811e-02
-6.974336e-01   5.109361e-01   2.323892e-02
-6.848672e-01   5.319219e-01   2.691113e-02
-6.723008e-01   5.566964e-01   2.852996e-02
-6.597345e-01   5.094804e-01   1.986231e-02
-6.471681e-01   5.142301e-01   2.483595e-02
-6.346017e-01   5.188118e-01   2.114289e-02
-6.220353e-01   4.963092e-01   1.720848e-02
-6.094690e-01   4.982645e-01   2.211172e-02
-5.969026e-01   5.126323e-01   3.332801e-02
