phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   4.968502e-01   1.800431e-02
-3.122743e+00   5.022752e-01   1.535082e-02
-3.110177e+00   4.859964e-01   1.739341e-02
-3.097610e+00   5.077634e-01   2.002977e-02
-3.085044e+00   4.779526e-01   1.927703e-02
-3.072478e+00   4.949047e-01   2.423933e-02
-3.059911e+00   4.848463e-01   2.158878e-02
-3.047345e+00   5.476341e-01   2.401814e-02
-3.034779e+00   4.943498e-01   1.993895e-02
-3.022212e+00   5.321228e-01   2.624011e-02
-3.009646e+00   5.130052e-01   2.822961e-02
-2.997079e+00   4.990297e-01   2.267441e-02
-2.984513e+00   5.399361e-01   2.683421e-02
-2.971947e+00   4.687100e-01   2.125990e-02
-2.959380e+00   4.975146e-01   1.537157e-02
-2.946814e+00   4.742530e-01   1.671527e-02
-2.934248e+00   4.925227e-01   1.816632e-02
-2.921681e+00   4.900329e-01   2.235217e-02
-2.909115e+00   5.177874e-01   2.267016e-02
-2.896548e+00   4.908546e-01   2.217605e-02
-2.883982e+00   4.991640e-01   2.207517e-02
-2.871416e+00   4.969055e-01   2.031623e-02
-2.858849e+00   5.478119e-01   3.094864e-02
-2.846283e+00   5.421969e-01   3.028457e-02
-2.833717e+00   5.736360e-01   3.237403e-02
-2.821150e+00   5.498804e-01   3.052519e-02
-2.808584e+00   5.530269e-01   3.235758e-02
-2.796017e+00   5.367246e-01   3.527669e-02
-2.783451e+00   5.174075e-01   2.410503e-02
-2.770885e+00   5.102465e-01   2.522643e-02
-2.758318e+00   4.916989e-01   1.693448e-02
-2.745752e+00   5.678645e-01   2.549817e-02
-2.733186e+00   4.955381e-01   1.886853e-02
-2.720619e+00   5.341170e-01   3.064140e-02
-2.708053e+00   5.394031e-01   2.665844e-02
-2.695486e+00   5.051688e-01   1.762618e-02
-2.682920e+00   4.969552e-01   2.379549e-02
-2.670354e+00   5.212215e-01   2.187450e-02
-2.657787e+00   5.297267e-01   1.926305e-02
-2.645221e+00   5.132163e-01   2.193588e-02
-2.632655e+00   5.370981e-01   2.570495e-02
-2.620088e+00   6.259875e-01   4.889322e-02
-2.607522e+00   5.191110e-01   2.775307e-02
-2.594956e+00   4.516320e-01   2.691625e-02
-2.582389e+00   4.914020e-01   1.649410e-02
-2.569823e+00   5.083270e-01   2.632848e-02
-2.557256e+00   5.244627e-01   2.329829e-02
-2.544690e+00   4.806799e-01   2.301103e-02
-2.532124e+00   5.235827e-01   1.918985e-02
-2.519557e+00   4.928966e-01   1.538816e-02
-2.506991e+00   5.504840e-01   3.218649e-02
-2.494425e+00   5.415778e-01   3.492128e-02
-2.481858e+00   4.935473e-01   1.953017e-02
-2.469292e+00   5.215726e-01   2.577543e-02
-2.456725e+00   5.124474e-01   2.249263e-02
-2.444159e+00   5.331745e-01   2.551173e-02
-2.431593e+00   5.182575e-01   1.731979e-02
-2.419026e+00   5.132484e-01   2.328481e-02
-2.406460e+00   5.159611e-01   2.559984e-02
-2.393894e+00   5.178588e-01   1.639302e-02
-2.381327e+00   5.465179e-01   3.215067e-02
-2.368761e+00   5.725145e-01   3.451249e-02
-2.356194e+00   5.111380e-01   1.687388e-02
-2.343628e+00   5.287707e-01   2.447608e-02
-2.331062e+00   5.945076e-01   4.102104e-02
-2.318495e+00   5.007858e-01   2.126370e-02
-2.305929e+00   5.140675e-01   2.046942e-02
-2.293363e+00   5.251164e-01   2.362361e-02
-2.280796e+00   5.360627e-01   3.425492e-02
-2.268230e+00   5.471765e-01   1.913455e-02
-2.255664e+00   5.589414e-01   2.038225e-02
-2.243097e+00   5.813323e-01   2.674962e-02
-2.230531e+00   4.943888e-01   2.541699e-02
-2.217964e+00   5.274636e-01   2.694919e-02
-2.205398e+00   5.030815e-01   2.126507e-02
-2.192832e+00   5.164733e-01   2.559275e-02
-2.180265e+00   4.921898e-01   2.278156e-02
-2.167699e+00   5.074114e-01   2.721118e-02
-2.155133e+00   5.240243e-01   2.524181e-02
-2.142566e+00   5.343337e-01   2.566021e-02
-2.130000e+00   5.333912e-01   2.511846e-02
-2.117433e+00   4.933528e-01   2.114280e-02
-2.104867e+00   5.104942e-01   2.525717e-02
-2.092301e+00   5.748497e-01   3.310897e-02
-2.079734e+00   4.868173e-01   1.901598e-02
-2.067168e+00   4.802358e-01   1.571383e-02
-2.054602e+00   5.061740e-01   1.808397e-02
-2.042035e+00   5.050740e-01   2.211657e-02
-2.029469e+00   5.449710e-01   2.431458e-02
-2.016902e+00   5.188858e-01   2.425228e-02
-2.004336e+00   5.345100e-01   3.141497e-02
-1.991770e+00   5.013682e-01   2.853292e-02
-1.979203e+00   5.253372e-01   2.764471e-02
-1.966637e+00   5.211064e-01   2.673488e-02
-1.954071e+00   4.794990e-01   1.940113e-02
-1.941504e+00   5.667106e-01   3.872266e-02
-1.928938e+00   5.345947e-01   2.238799e-02
-1.916372e+00   5.083129e-01   2.292999e-02
-1.903805e+00   5.468875e-01   2.834523e-02
-1.891239e+00   5.237974e-01   2.182669e-02
-1.878672e+00   5.191783e-01   2.786811e-02
-1.866106e+00   5.107379e-01   2.628327e-02
-1.853540e+00   4.832924e-01   2.116881e-02
-1.840973e+00   5.204941e-01   2.463018e-02
-1.828407e+00   4.946001e-01   1.888594e-02
-1.815841e+00   4.677358e-01   1.666651e-02
-1.803274e+00   5.367614e-01   4.118259e-02
-1.790708e+00   5.039773e-01   1.794169e-02
-1.778141e+00   5.307414e-01   2.606697e-02
-1.765575e+00   4.784536e-01   1.929460e-02
-1.753009e+00   4.805999e-01   2.087828e-02
-1.740442e+00   5.129186e-01   3.072836e-02
-1.727876e+00   5.425358e-01   3.084341e-02
-1.715310e+00   5.174446e-01   3.247874e-02
-1.702743e+00   4.865130e-01   1.741903e-02
-1.690177e+00   5.546896e-01   3.131660e-02
-1.677610e+00   4.815416e-01   2.236635e-02
-1.665044e+00   5.164430e-01   2.402496e-02
-1.652478e+00   5.109076e-01   2.109464e-02
-1.639911e+00   4.910129e-01   2.212056e-02
-1.627345e+00   5.098813e-01   2.066127e-02
-1.614779e+00   5.353150e-01   2.707626e-02
-1.602212e+00   5.660067e-01   3.463678e-02
-1.589646e+00   4.827277e-01   2.167587e-02
-1.577080e+00   4.875634e-01   2.118591e-02
-1.564513e+00   5.038281e-01   1.373640e-02
-1.551947e+00   5.010938e-01   1.821828e-02
-1.539380e+00   5.234809e-01   2.980104e-02
-1.526814e+00   5.938464e-01   3.685721e-02
-1.514248e+00   5.548643e-01   2.848762e-02
-1.501681e+00   4.883775e-01   2.192935e-02
-1.489115e+00   5.457201e-01   4.650514e-02
-1.476549e+00   4.776479e-01   2.019651e-02
-1.463982e+00   5.045822e-01   2.051541e-02
-1.451416e+00   4.996417e-01   1.928101e-02
-1.438849e+00   5.494833e-01   3.295604e-02
-1.426283e+00   5.137132e-01   2.545310e-02
-1.413717e+00   5.339266e-01   3.156737e-02
-1.401150e+00   5.054287e-01   2.144751e-02
-1.388584e+00   5.079697e-01   2.374965e-02
-1.376018e+00   5.178273e-01   2.128678e-02
-1.363451e+00   5.400147e-01   2.680521e-02
-1.350885e+00   4.922414e-01   2.035187e-02
-1.338318e+00   4.941246e-01   1.836144e-02
-1.325752e+00   5.152164e-01   2.313943e-02
-1.313186e+00   5.139187e-01   2.355935e-02
-1.300619e+00   5.035791e-01   1.460694e-02
-1.288053e+00   4.788541e-01   1.813592e-02
-1.275487e+00   5.051400e-01   2.020794e-02
-1.262920e+00   4.980926e-01   2.587296e-02
-1.250354e+00   4.998111e-01   1.864842e-02
-1.237788e+00   6.048161e-01   3.934156e-02
-1.225221e+00   4.749652e-01   1.529785e-02
-1.212655e+00   4.914999e-01   2.463463e-02
-1.200088e+00   5.128975e-01   2.302253e-02
-1.187522e+00   5.331557e-01   2.144762e-02
-1.174956e+00   5.060960e-01   2.701157e-02
-1.162389e+00   4.980893e-01   2.173697e-02
-1.149823e+00   5.629150e-01   3.850863e-02
-1.137257e+00   4.726780e-01   2.223210e-02
-1.124690e+00   4.845407e-01   1.528846e-02
-1.112124e+00   4.878526e-01   1.906657e-02
-1.099557e+00   5.162490e-01   1.853587e-02
-1.086991e+00   5.304296e-01   2.558745e-02
-1.074425e+00   5.397031e-01   3.672606e-02
-1.061858e+00   5.135528e-01   2.584681e-02
-1.049292e+00   4.765033e-01   1.758342e-02
-1.036726e+00   4.620801e-01   2.463187e-02
-1.024159e+00   5.675624e-01   3.043260e-02
-1.011593e+00   4.950251e-01   1.695990e-02
-9.990265e-01   4.685868e-01   1.662369e-02
-9.864601e-01   5.012689e-01   2.587804e-02
-9.738937e-01   5.471716e-01   2.082526e-02
-9.613274e-01   4.655092e-01   1.747130e-02
-9.487610e-01   5.635534e-01   3.937951e-02
-9.361946e-01   5.567476e-01   3.873444e-02
-9.236282e-01   4.867604e-01   2.132316e-02
-9.110619e-01   4.861079e-01   1.805595e-02
-8.984955e-01   5.630747e-01   3.617533e-02
-8.859291e-01   5.127779e-01   1.980499e-02
-8.733628e-01   5.282399e-01   2.099726e-02
-8.607964e-01   4.641124e-01   1.487157e-02
-8.482300e-01   4.999814e-01   1.107718e-02
-8.356636e-01   4.735241e-01   1.930326e-02
-8.230973e-01   5.148008e-01   1.958202e-02
-8.105309e-01   5.069114e-01   2.073091e-02
-7.979645e-01   5.439346e-01   2.916524e-02
-7.853982e-01   5.711935e-01   2.422130e-02
-7.728318e-01   5.481936e-01   1.983171e-02
-7.602654e-01   4.870861e-01   1.905719e-02
-7.476991e-01   5.111974e-01   2.363535e-02
-7.351327e-01   4.768845e-01   1.841505e-02
-7.225663e-01   5.052022e-01   1.791470e-02
-7.099999e-01   5.202293e-01   2.630163e-02
-6.974336e-01   5.293884e-01   2.236597e-02
-6.848672e-01   5.380205e-01   1.890317e-02
-6.723008e-01   5.412079e-01   2.494938e-02
-6.597345e-01   4.995072e-01   2.026120e-02
-6.471681e-01   5.226583e-01   2.102773e-02
-6.346017e-01   5.313062e-01   2.303448e-02
-6.220353e-01   5.187603e-01   2.831570e-02
-6.094690e-01   4.996395e-01   1.523840e-02
-5.969026e-01   4.905891e-01   2.231155e-02
-5.843362e-01   4.858344e-01   2.014004e-02
-5.717699e-01   4.946855e-01   2.723089e-02
-5.592035e-01   4.887306e-01   2.043020e-02
-5.466371e-01   5.004897e-01   2.159161e-02
-5.340708e-01   5.236981e-01   1.908218e-02
