phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   4.965260e-01   2.134287e-02
-3.122743e+00   5.506556e-01   2.437312e-02
-3.110177e+00   5.140940e-01   2.658237e-02
-3.097610e+00   5.830868e-01   2.537322e-02
-3.085044e+00   6.276934e-01   3.290630e-02
-3.072478e+00   5.623173e-01   1.938364e-02
-3.059911e+00   5.300675e-01   2.636913e-02
-3.047345e+00   5.489060e-01   1.919632e-02
-3.034779e+00   5.005753e-01   1.839692e-02
-3.022212e+00   5.857295e-01   2.239411e-02
-3.009646e+00   5.434057e-01   2.812184e-02
-2.997079e+00   5.052055e-01   1.858706e-02
-2.984513e+00   4.784419e-01   1.619934e-02
-2.971947e+00   5.080004e-01   1.616670e-02
-2.959380e+00   5.763161e-01   2.206595e-02
-2.946814e+00   5.463202e-01   1.979576e-02
-2.934248e+00   5.236441e-01   1.501656e-02
-2.921681e+00   5.139796e-01   2.770301e-02
-2.909115e+00   5.194270e-01   2.544460e-02
-2.896548e+00   5.401382e-01   1.997135e-02
-2.883982e+00   6.683895e-01   5.537047e-02
-2.871416e+00   5.541936e-01   3.080951e-02
-2.858849e+00   5.301364e-01   2.512610e-02
-2.846283e+00   5.416175e-01   2.468853e-02
-2.833717e+00   5.309193e-01   1.618291e-02
-2.821150e+00   5.893190e-01   2.444348e-02
-2.808584e+00   5.349828e-01   2.562996e-02
-2.796017e+00   5.177729e-01   1.825065e-02
-2.783451e+00   4.742734e-01   2.386862e-02
-2.770885e+00   5.884054e-01   2.257576e-02
-2.758318e+00   5.275709e-01   2.015727e-02
-2.745752e+00   5.026058e-01   1.716867e-02
-2.733186e+00   5.849294e-01   3.279870e-02
-2.720619e+00   5.267656e-01   2.208253e-02
-2.708053e+00   5.487987e-01   2.568325e-02
-2.695486e+00   5.567776e-01   2.788581e-02
-2.682920e+00   5.608166e-01   2.727788e-02
-2.670354e+00   4.879590e-01   2.449729e-02
-2.657787e+00   5.631198e-01   3.574033e-02
-2.645221e+00   5.816989e-01   2.591107e-02
-2.632655e+00   5.243339e-01   1.687817e-02
-2.620088e+00   6.171501e-01   2.791839e-02
-2.607522e+00   5.758106e-01   2.499215e-02
-2.594956e+00   5.161801e-01   2.372646e-02
-2.582389e+00   5.564468e-01   2.285454e-02
-2.569823e+00   5.430377e-01   1.849613e-02
-2.557256e+00   5.291113e-01   2.267815e-02
-2.544690e+00   5.187235e-01   1.903612e-02
-2.532124e+00   5.039779e-01   2.351728e-02
-2.519557e+00   5.462857e-01   2.065851e-02
-2.506991e+00   5.690916e-01   2.836379e-02
-2.494425e+00   5.232026e-01   1.995907e-02
-2.481858e+00   5.617587e-01   2.631033e-02
-2.469292e+00   5.917272e-01   3.881102e-02
-2.456725e+00   5.267693e-01   3.649931e-02
-2.444159e+00   5.689111e-01   2.604239e-02
-2.431593e+00   5.597742e-01   2.204824e-02
-2.419026e+00   5.768723e-01   2.538082e-02
-2.406460e+00   5.746081e-01   2.561669e-02
-2.393894e+00   5.651163e-01   2.311277e-02
-2.381327e+00   5.799080e-01   3.223005e-02
-2.368761e+00   5.222791e-01   1.665126e-02
-2.356194e+00   5.515620e-01   3.133721e-02
-2.343628e+00   5.862533e-01   3.092994e-02
-2.331062e+00   5.511167e-01   2.195728e-02
-2.318495e+00   5.918733e-01   3.266011e-02
-2.305929e+00   5.138996e-01   1.776769e-02
-2.293363e+00   6.772018e-01   4.725093e-02
-2.280796e+00   5.424472e-01   2.262885e-02
-2.268230e+00   5.996334e-01   4.071951e-02
-2.255664e+00   5.821449e-01   2.678717e-02
-2.243097e+00   5.653351e-01   2.722041e-02
-2.230531e+00   5.740839e-01   2.880778e-02
-2.217964e+00   5.640424e-01   2.150397e-02
-2.205398e+00   5.603306e-01   2.378394e-02
-2.192832e+00   5.154882e-01   2.327818e-02
-2.180265e+00   5.801719e-01   2.930610e-02
-2.167699e+00   5.584420e-01   1.955627e-02
-2.155133e+00   5.808132e-01   2.711298e-02
-2.142566e+00   5.157875e-01   1.492354e-02
-2.130000e+00   5.816385e-01   3.444846e-02
-2.117433e+00   5.669367e-01   2.581091e-02
-2.104867e+00   5.466147e-01   2.622771e-02
-2.092301e+00   5.508608e-01   1.983591e-02
-2.079734e+00   5.945620e-01   3.860451e-02
-2.067168e+00   5.346392e-01   2.297387e-02
-2.054602e+00   5.297764e-01   1.643821e-02
-2.042035e+00   5.697785e-01   2.638308e-02
-2.029469e+00   5.616452e-01   2.369097e-02
-2.016902e+00   5.767703e-01   2.371174e-02
-2.004336e+00   5.661518e-01   2.290821e-02
-1.991770e+00   5.288523e-01   1.777888e-02
-1.979203e+00   5.734470e-01   1.937740e-02
-1.966637e+00   5.843763e-01   3.128704e-02
-1.954071e+00   6.217457e-01   3.515875e-02
-1.941504e+00   5.458494e-01   2.259737e-02
-1.928938e+00   5.697488e-01   2.174588e-02
-1.916372e+00   5.279850e-01   2.173910e-02
-1.903805e+00   5.418142e-01   2.182634e-02
-1.891239e+00   5.420033e-01   1.847025e-02
-1.878672e+00   5.326465e-01   1.863146e-02
-1.866106e+00   5.578848e-01   2.995683e-02
-1.853540e+00   5.099884e-01   2.014387e-02
-1.840973e+00   5.579514e-01   2.051540e-02
-1.828407e+00   5.082386e-01   2.029238e-02
-1.815841e+00   5.991448e-01   2.570387e-02
-1.803274e+00   5.401946e-01   2.010335e-02
-1.790708e+00   6.113890e-01   3.379961e-02
-1.778141e+00   5.330611e-01   1.971906e-02
-1.765575e+00   5.642724e-01   2.110819e-02
-1.753009e+00   5.514041e-01   2.154718e-02
-1.740442e+00   5.500306e-01   2.229515e-02
-1.727876e+00   5.242579e-01   2.904515e-02
-1.715310e+00   5.829254e-01   2.708225e-02
-1.702743e+00   5.076647e-01   1.636501e-02
-1.690177e+00   5.363717e-01   2.210532e-02
-1.677610e+00   5.209028e-01   1.960782e-02
