phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   2.604304e-01   8.722504e-03
-3.122743e+00   2.436398e-01   7.403273e-03
-3.110177e+00   2.889228e-01   2.310961e-02
-3.097610e+00   2.758923e-01   1.254505e-02
-3.085044e+00   2.666071e-01   9.969945e-03
-3.072478e+00   2.490812e-01   7.062640e-03
-3.059911e+00   2.498896e-01   9.338819e-03
-3.047345e+00   2.495383e-01   8.360525e-03
-3.034779e+00   2.673468e-01   1.295044e-02
-3.022212e+00   2.823261e-01   1.647231e-02
-3.009646e+00   2.758113e-01   1.017342e-02
-2.997079e+00   2.891336e-01   1.280421e-02
-2.984513e+00   2.706291e-01   1.480737e-02
-2.971947e+00   2.604146e-01   8.432943e-03
-2.959380e+00   2.965784e-01   1.503976e-02
-2.946814e+00   2.889840e-01   2.004792e-02
-2.934248e+00   2.658305e-01   1.003342e-02
-2.921681e+00   2.473168e-01   7.566221e-03
-2.909115e+00   2.851244e-01   1.453101e-02
-2.896548e+00   2.680823e-01   1.113700e-02
-2.883982e+00   2.789632e-01   1.101337e-02
-2.871416e+00   2.833813e-01   1.605729e-02
-2.858849e+00   2.475688e-01   9.533629e-03
-2.846283e+00   2.431257e-01   7.116281e-03
-2.833717e+00   3.017752e-01   1.517753e-02
-2.821150e+00   2.565737e-01   1.065417e-02
-2.808584e+00   2.910033e-01   1.556612e-02
-2.796017e+00   2.684455e-01   1.189037e-02
-2.783451e+00   2.473051e-01   7.334517e-03
-2.770885e+00   2.565258e-01   7.981830e-03
-2.758318e+00   2.700257e-01   1.339314e-02
-2.745752e+00   2.739969e-01   1.390884e-02
-2.733186e+00   2.779256e-01   1.360660e-02
-2.720619e+00   2.493734e-01   8.422356e-03
-2.708053e+00   2.748213e-01   9.217552e-03
-2.695486e+00   5.561906e-01   1.263331e-01
-2.682920e+00   2.438171e-01   9.035235e-03
-2.670354e+00   2.738448e-01   1.154405e-02
-2.657787e+00   2.867015e-01   1.307964e-02
-2.645221e+00   3.303740e-01   2.893577e-02
-2.632655e+00   2.726724e-01   1.159814e-02
-2.620088e+00   2.326250e-01   5.272778e-03
-2.607522e+00   2.646807e-01   1.294352e-02
-2.594956e+00   2.896138e-01   1.925913e-02
-2.582389e+00   2.668744e-01   9.985714e-03
-2.569823e+00   2.386596e-01   6.942326e-03
-2.557256e+00   2.843461e-01   1.323063e-02
-2.544690e+00   2.483695e-01   8.147024e-03
-2.532124e+00   2.623187e-01   1.144333e-02
-2.519557e+00   2.645091e-01   8.056034e-03
-2.506991e+00   2.395691e-01   9.886012e-03
-2.494425e+00   2.777098e-01   1.160878e-02
-2.481858e+00   2.518534e-01   8.576103e-03
-2.469292e+00   2.527032e-01   6.901126e-03
-2.456725e+00   2.473764e-01   8.722598e-03
-2.444159e+00   2.939781e-01   2.079301e-02
-2.431593e+00   2.530117e-01   9.753400e-03
-2.419026e+00   2.565119e-01   7.731855e-03
-2.406460e+00   2.628342e-01   1.002816e-02
-2.393894e+00   2.897783e-01   1.181056e-02
-2.381327e+00   2.488063e-01   8.201752e-03
-2.368761e+00   2.809306e-01   1.493828e-02
-2.356194e+00   2.752179e-01   1.633718e-02
-2.343628e+00   2.510536e-01   8.472615e-03
-2.331062e+00   2.828222e-01   1.345002e-02
-2.318495e+00   3.063031e-01   1.837633e-02
-2.305929e+00   2.547589e-01   1.038947e-02
-2.293363e+00   2.611042e-01   1.384694e-02
-2.280796e+00   2.557761e-01   7.631551e-03
-2.268230e+00   2.608103e-01   9.447574e-03
-2.255664e+00   2.270874e-01   6.520550e-03
-2.243097e+00   2.537159e-01   7.563818e-03
-2.230531e+00   2.400042e-01   6.255652e-03
-2.217964e+00   2.772159e-01   1.064625e-02
-2.205398e+00   3.021265e-01   1.716769e-02
-2.192832e+00   3.453339e-01   3.196536e-02
-2.180265e+00   2.567067e-01   7.593419e-03
-2.167699e+00   2.611307e-01   1.045885e-02
-2.155133e+00   2.811090e-01   2.058307e-02
-2.142566e+00   3.084340e-01   1.574642e-02
-2.130000e+00   2.830715e-01   1.538030e-02
-2.117433e+00   2.790358e-01   1.034605e-02
-2.104867e+00   2.496259e-01   7.360578e-03
-2.092301e+00   2.877766e-01   2.115531e-02
-2.079734e+00   2.576337e-01   1.112187e-02
-2.067168e+00   2.566847e-01   1.326023e-02
-2.054602e+00   2.957971e-01   1.725822e-02
-2.042035e+00   2.350601e-01   5.764728e-03
-2.029469e+00   3.048288e-01   2.206884e-02
-2.016902e+00   2.329940e-01   5.259014e-03
-2.004336e+00   2.550911e-01   1.063557e-02
-1.991770e+00   2.670580e-01   1.119265e-02
-1.979203e+00   2.485206e-01   6.851950e-03
-1.966637e+00   2.642383e-01   1.011586e-02
-1.954071e+00   2.477743e-01   1.147497e-02
-1.941504e+00   2.655249e-01   1.252895e-02
-1.928938e+00   2.602510e-01   7.385696e-03
-1.916372e+00   2.729552e-01   1.153378e-02
-1.903805e+00   2.352398e-01   7.173889e-03
-1.891239e+00   2.515553e-01   7.077201e-03
