phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   1.381709e+00   7.416822e-02
-3.122743e+00   1.356018e+00   4.519122e-02
-3.110177e+00   1.300182e+00   4.626918e-02
-3.097610e+00   1.349181e+00   5.863016e-02
-3.085044e+00   1.297754e+00   4.837195e-02
-3.072478e+00   1.383502e+00   7.808998e-02
-3.059911e+00   1.396448e+00   5.866443e-02
-3.047345e+00   1.346220e+00   5.894587e-02
-3.034779e+00   1.303608e+00   4.197964e-02
-3.022212e+00   1.400955e+00   5.035848e-02
-3.009646e+00   1.341168e+00   4.833911e-02
-2.997079e+00   1.396420e+00   7.705220e-02
-2.984513e+00   1.307831e+00   5.067917e-02
-2.971947e+00   1.284901e+00   4.357799e-02
-2.959380e+00   1.247900e+00   4.295774e-02
-2.946814e+00   1.344868e+00   5.246192e-02
-2.934248e+00   1.319184e+00   5.129917e-02
-2.921681e+00   1.305300e+00   4.343993e-02
-2.909115e+00   1.303782e+00   4.551679e-02
-2.896548e+00   1.335753e+00   5.329883e-02
-2.883982e+00   1.325576e+00   5.153334e-02
-2.871416e+00   1.244839e+00   4.529021e-02
-2.858849e+00   1.344209e+00   7.115346e-02
-2.846283e+00   1.272828e+00   4.521243e-02
-2.833717e+00   1.350477e+00   6.104141e-02
-2.821150e+00   1.260451e+00   4.067829e-02
-2.808584e+00   1.261563e+00   4.665225e-02
-2.796017e+00   1.299174e+00   4.436625e-02
-2.783451e+00   1.338793e+00   6.458330e-02
-2.770885e+00   1.302513e+00   4.283707e-02
-2.758318e+00   1.285465e+00   4.563012e-02
-2.745752e+00   1.358319e+00   5.157823e-02
-2.733186e+00   1.333892e+00   5.008749e-02
-2.720619e+00   1.326085e+00   4.793615e-02
-2.708053e+00   1.317183e+00   4.841163e-02
-2.695486e+00   1.327776e+00   4.424039e-02
-2.682920e+00   1.307592e+00   4.208970e-02
-2.670354e+00   1.305231e+00   4.618786e-02
-2.657787e+00   1.282035e+00   4.363204e-02
-2.645221e+00   1.288691e+00   4.004860e-02
-2.632655e+00   1.401955e+00   5.453038e-02
-2.620088e+00   1.328751e+00   6.064214e-02
-2.607522e+00   1.406982e+00   5.393289e-02
-2.594956e+00   1.313361e+00   5.168318e-02
-2.582389e+00   1.266448e+00   3.581008e-02
-2.569823e+00   1.376675e+00   5.985587e-02
-2.557256e+00   1.469129e+00   1.129285e-01
-2.544690e+00   1.312067e+00   4.938257e-02
-2.532124e+00   1.358596e+00   5.643445e-02
-2.519557e+00   1.427234e+00   8.571238e-02
-2.506991e+00   1.331113e+00   4.537389e-02
-2.494425e+00   1.296114e+00   3.788261e-02
-2.481858e+00   1.391435e+00   7.951241e-02
-2.469292e+00   1.377415e+00   5.982636e-02
-2.456725e+00   1.271483e+00   4.062853e-02
-2.444159e+00   1.340487e+00   5.234259e-02
-2.431593e+00   1.324772e+00   5.471194e-02
-2.419026e+00   1.310628e+00   4.363398e-02
-2.406460e+00   1.406980e+00   7.503227e-02
-2.393894e+00   1.416571e+00   7.778369e-02
-2.381327e+00   1.277692e+00   4.939099e-02
-2.368761e+00   1.390449e+00   5.456572e-02
-2.356194e+00   1.401290e+00   5.985068e-02
-2.343628e+00   1.374638e+00   6.153735e-02
-2.331062e+00   1.294878e+00   4.249317e-02
-2.318495e+00   1.350680e+00   5.217153e-02
-2.305929e+00   1.416577e+00   6.297023e-02
-2.293363e+00   1.310015e+00   5.126175e-02
-2.280796e+00   1.367798e+00   6.407030e-02
-2.268230e+00   1.359191e+00   4.883935e-02
-2.255664e+00   1.404079e+00   5.317582e-02
-2.243097e+00   1.330797e+00   4.412149e-02
-2.230531e+00   1.344213e+00   4.804221e-02
-2.217964e+00   1.352656e+00   5.399855e-02
-2.205398e+00   1.246054e+00   3.250675e-02
-2.192832e+00   1.397966e+00   6.112097e-02
-2.180265e+00   1.416822e+00   6.459011e-02
-2.167699e+00   1.313051e+00   5.249388e-02
-2.155133e+00   1.300391e+00   4.701288e-02
-2.142566e+00   1.288489e+00   4.529784e-02
-2.130000e+00   1.313293e+00   5.786106e-02
-2.117433e+00   1.346457e+00   4.868768e-02
-2.104867e+00   1.328301e+00   5.192751e-02
-2.092301e+00   1.416555e+00   6.371303e-02
-2.079734e+00   1.418796e+00   7.452045e-02
-2.067168e+00   1.278067e+00   4.328986e-02
-2.054602e+00   1.394539e+00   5.611355e-02
-2.042035e+00   1.335205e+00   5.908586e-02
-2.029469e+00   1.358129e+00   5.016724e-02
-2.016902e+00   1.335634e+00   5.278360e-02
-2.004336e+00   1.337986e+00   5.047135e-02
-1.991770e+00   1.336309e+00   4.642931e-02
-1.979203e+00   1.291763e+00   4.145331e-02
-1.966637e+00   1.342595e+00   5.575440e-02
-1.954071e+00   1.257617e+00   3.817992e-02
-1.941504e+00   1.344871e+00   5.299280e-02
-1.928938e+00   1.295481e+00   4.544980e-02
-1.916372e+00   1.291498e+00   4.747259e-02
-1.903805e+00   1.325225e+00   7.208500e-02
-1.891239e+00   1.303275e+00   4.287574e-02
-1.878672e+00   1.378070e+00   5.205963e-02
-1.866106e+00   1.379874e+00   5.232359e-02
-1.853540e+00   1.330606e+00   5.192279e-02
-1.840973e+00   1.315346e+00   4.418827e-02
-1.828407e+00   1.347500e+00   6.531462e-02
-1.815841e+00   1.301513e+00   4.705415e-02
-1.803274e+00   1.288260e+00   4.259194e-02
-1.790708e+00   1.292895e+00   3.882251e-02
-1.778141e+00   1.323764e+00   5.058621e-02
-1.765575e+00   1.343106e+00   5.635499e-02
-1.753009e+00   1.380955e+00   6.320566e-02
-1.740442e+00   1.283956e+00   4.712909e-02
-1.727876e+00   1.344780e+00   7.113729e-02
-1.715310e+00   1.308140e+00   4.363830e-02
-1.702743e+00   1.366507e+00   5.094129e-02
-1.690177e+00   1.335867e+00   4.901970e-02
-1.677610e+00   1.244143e+00   4.390252e-02
-1.665044e+00   1.327466e+00   5.151774e-02
-1.652478e+00   1.242571e+00   3.736613e-02
-1.639911e+00   1.302425e+00   4.639295e-02
-1.627345e+00   1.361299e+00   6.073038e-02
-1.614779e+00   1.241645e+00   4.248696e-02
-1.602212e+00   1.307111e+00   4.325857e-02
-1.589646e+00   1.303651e+00   5.367641e-02
-1.577080e+00   1.313342e+00   5.154149e-02
-1.564513e+00   1.329598e+00   6.593460e-02
-1.551947e+00   1.262782e+00   4.206727e-02
-1.539380e+00   1.289867e+00   5.087246e-02
-1.526814e+00   1.238526e+00   3.519616e-02
-1.514248e+00   1.279852e+00   4.736076e-02
-1.501681e+00   1.336104e+00   5.848345e-02
