phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.078761e+00   1.617229e-02   5.588104e-03
-2.953097e+00   1.253115e-02   1.543256e-03
-2.827433e+00   1.547252e-02   1.857006e-03
-2.701770e+00   2.604579e-02   1.398650e-02
-2.576106e+00   1.236992e-02   2.238108e-03
-2.450442e+00   8.210647e-03   1.152230e-03
-2.324779e+00   1.451559e-02   3.999658e-03
-2.199115e+00   1.721254e-02   4.474384e-03
-2.073451e+00   2.109999e-02   9.439715e-03
-1.947787e+00   1.573737e-02   4.816191e-03
-1.822124e+00   1.528156e-02   3.148081e-03
-1.696460e+00   9.695176e-03   1.595443e-03
-1.570796e+00   4.131529e-01   3.956727e-01
-1.445133e+00   1.496201e-02   2.733912e-03
-1.319469e+00   1.234358e-02   2.111527e-03
-1.193805e+00   4.021463e-02   2.461940e-02
-1.068142e+00   1.360761e-02   2.656758e-03
-9.424778e-01   1.611180e-02   3.247458e-03
-8.168141e-01   2.428700e-02   7.811254e-03
-6.911504e-01   8.429110e-01   8.299653e-01
-5.654867e-01   1.202164e-02   1.152887e-03
-4.398230e-01   1.091738e-02   1.949073e-03
-3.141593e-01   1.941992e-02   5.146825e-03
-1.884956e-01   1.704064e-02   5.148050e-03
-6.283185e-02  -2.006308e+00   9.143246e-01
 6.283185e-02   1.334004e-02   1.776983e-03
 1.884956e-01   1.517862e-02   2.177252e-03
 3.141593e-01   2.021483e-02   6.967687e-03
 4.398230e-01   9.287134e-03   2.203596e-03
 5.654867e-01   2.016887e-02   7.155862e-03
 6.911504e-01   1.279743e-02   2.186289e-03
 8.168141e-01   1.362742e-02   3.881112e-03
 9.424778e-01   1.780871e-02   4.289246e-03
 1.068142e+00   1.467080e-01   1.180892e-01
 1.193805e+00   1.618932e-02   3.761923e-03
 1.319469e+00   1.677562e-02   3.531772e-03
 1.445133e+00   1.396718e-02   1.732425e-03
 1.570796e+00   1.838851e-02   4.199400e-03
 1.696460e+00   1.987422e-02   2.917568e-03
 1.822124e+00   2.553826e-01   2.415372e-01
 1.947787e+00   1.637860e-02   4.194470e-03
 2.073451e+00   1.242541e-02   2.117618e-03
 2.199115e+00   1.724730e-02   6.817932e-03
 2.324779e+00   1.012066e-02   1.547183e-03
 2.450442e+00   1.224274e-02   2.595671e-03
 2.576106e+00   2.063287e-02   6.490974e-03
 2.701770e+00   2.085992e-02   9.743222e-03
 2.827433e+00   1.133730e-01   9.651385e-02
 2.953097e+00   5.427975e-02   4.087438e-02
 3.078761e+00   1.137283e-02   2.279680e-03
 inf   0.000000e+00   0.000000e+00
