phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   6.640609e-01   3.164283e-02
-3.122743e+00   6.430853e-01   2.592532e-02
-3.110177e+00   6.810198e-01   3.060548e-02
-3.097610e+00   6.728446e-01   3.504686e-02
-3.085044e+00   6.393936e-01   2.700118e-02
-3.072478e+00   6.261451e-01   2.334034e-02
-3.059911e+00   7.006712e-01   3.676169e-02
-3.047345e+00   6.096307e-01   2.408305e-02
-3.034779e+00   6.202750e-01   2.214889e-02
-3.022212e+00   6.327992e-01   2.454217e-02
-3.009646e+00   6.639010e-01   2.418643e-02
-2.997079e+00   6.042657e-01   3.076231e-02
-2.984513e+00   6.609382e-01   3.504370e-02
-2.971947e+00   6.625043e-01   3.364295e-02
-2.959380e+00   6.578634e-01   4.815605e-02
-2.946814e+00   5.859178e-01   1.883645e-02
-2.934248e+00   6.873769e-01   4.007292e-02
-2.921681e+00   6.571253e-01   2.800030e-02
-2.909115e+00   6.243674e-01   2.323003e-02
-2.896548e+00   6.428860e-01   3.434904e-02
-2.883982e+00   6.062934e-01   1.507634e-02
-2.871416e+00   6.487537e-01   2.886927e-02
-2.858849e+00   6.090819e-01   2.677832e-02
-2.846283e+00   6.772872e-01   2.930439e-02
-2.833717e+00   5.783943e-01   2.431637e-02
-2.821150e+00   6.057287e-01   3.892933e-02
-2.808584e+00   6.857681e-01   3.508431e-02
-2.796017e+00   5.928740e-01   1.558512e-02
-2.783451e+00   5.964890e-01   2.343278e-02
-2.770885e+00   6.053835e-01   1.969705e-02
-2.758318e+00   5.990463e-01   3.255178e-02
-2.745752e+00   5.980747e-01   2.576167e-02
-2.733186e+00   6.501830e-01   4.046452e-02
-2.720619e+00   6.558730e-01   3.565226e-02
-2.708053e+00   5.789213e-01   2.665457e-02
-2.695486e+00   6.160082e-01   2.695889e-02
-2.682920e+00   6.000194e-01   1.948224e-02
-2.670354e+00   6.013853e-01   2.929066e-02
-2.657787e+00   6.377807e-01   3.297906e-02
-2.645221e+00   6.262342e-01   2.303845e-02
-2.632655e+00   6.503199e-01   3.344406e-02
-2.620088e+00   6.561255e-01   2.790505e-02
-2.607522e+00   6.110860e-01   2.015861e-02
-2.594956e+00   6.245600e-01   2.080975e-02
-2.582389e+00   5.762630e-01   1.758886e-02
-2.569823e+00   6.677496e-01   3.052391e-02
-2.557256e+00   5.862680e-01   2.003876e-02
-2.544690e+00   6.219748e-01   2.631758e-02
-2.532124e+00   6.688229e-01   3.487818e-02
-2.519557e+00   6.264036e-01   2.080044e-02
-2.506991e+00   6.304739e-01   2.366475e-02
-2.494425e+00   6.426321e-01   2.758012e-02
-2.481858e+00   5.945914e-01   2.068032e-02
-2.469292e+00   6.080452e-01   2.256317e-02
-2.456725e+00   6.583033e-01   3.062663e-02
-2.444159e+00   6.437703e-01   2.433487e-02
-2.431593e+00   6.395545e-01   1.985134e-02
-2.419026e+00   6.495897e-01   2.300477e-02
-2.406460e+00   6.036795e-01   1.991501e-02
-2.393894e+00   6.650232e-01   3.313219e-02
-2.381327e+00   6.604723e-01   3.138547e-02
-2.368761e+00   6.086998e-01   1.946801e-02
-2.356194e+00   6.687733e-01   2.920839e-02
-2.343628e+00   6.065217e-01   2.498036e-02
-2.331062e+00   6.539597e-01   2.781114e-02
-2.318495e+00   6.124169e-01   2.064525e-02
-2.305929e+00   6.140220e-01   1.704975e-02
-2.293363e+00   6.448125e-01   2.378603e-02
