phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   5.569256e-01   2.727526e-02
-3.122743e+00   5.728867e-01   3.218010e-02
-3.110177e+00   6.780330e-01   6.306828e-02
-3.097610e+00   5.697168e-01   3.393342e-02
-3.085044e+00   6.216358e-01   6.619956e-02
-3.072478e+00   6.066878e-01   4.412918e-02
-3.059911e+00   5.268856e-01   2.441044e-02
-3.047345e+00   5.244632e-01   2.389251e-02
-3.034779e+00   5.832845e-01   2.893121e-02
-3.022212e+00   5.923968e-01   4.968004e-02
-3.009646e+00   6.682346e-01   5.610167e-02
-2.997079e+00   5.525398e-01   3.972554e-02
-2.984513e+00   4.975352e-01   1.963313e-02
-2.971947e+00   6.205451e-01   5.543493e-02
-2.959380e+00   5.778905e-01   3.297946e-02
-2.946814e+00   6.135814e-01   2.449168e-02
-2.934248e+00   5.662272e-01   3.245200e-02
-2.921681e+00   5.488302e-01   3.009521e-02
-2.909115e+00   5.848200e-01   3.597088e-02
-2.896548e+00   5.328709e-01   2.476812e-02
-2.883982e+00   5.258347e-01   1.632174e-02
-2.871416e+00   5.913938e-01   5.097107e-02
-2.858849e+00   5.473905e-01   2.791495e-02
-2.846283e+00   5.009315e-01   2.220824e-02
-2.833717e+00   5.454592e-01   2.574153e-02
-2.821150e+00   5.391510e-01   2.830569e-02
-2.808584e+00   5.676803e-01   2.935013e-02
-2.796017e+00   6.196559e-01   7.996976e-02
-2.783451e+00   5.397425e-01   3.723384e-02
-2.770885e+00   5.589679e-01   3.342989e-02
-2.758318e+00   5.502385e-01   2.663516e-02
-2.745752e+00   6.094970e-01   3.697213e-02
-2.733186e+00   6.233557e-01   5.868741e-02
-2.720619e+00   6.180773e-01   4.254643e-02
-2.708053e+00   6.136472e-01   5.165637e-02
-2.695486e+00   5.232120e-01   2.139890e-02
-2.682920e+00   6.539604e-01   5.171989e-02
-2.670354e+00   4.726434e-01   1.594856e-02
-2.657787e+00   5.658137e-01   2.682494e-02
-2.645221e+00   6.174041e-01   7.677228e-02
-2.632655e+00   5.235655e-01   2.434013e-02
-2.620088e+00   5.569577e-01   4.137171e-02
-2.607522e+00   5.335881e-01   3.381455e-02
-2.594956e+00   5.252044e-01   3.980667e-02
-2.582389e+00   5.782984e-01   3.028435e-02
-2.569823e+00   5.516390e-01   3.405644e-02
-2.557256e+00   5.944341e-01   4.836992e-02
-2.544690e+00   5.278649e-01   2.334421e-02
-2.532124e+00   5.807925e-01   3.678411e-02
-2.519557e+00   5.652682e-01   2.949522e-02
-2.506991e+00   5.608758e-01   5.083926e-02
-2.494425e+00   5.390272e-01   2.019309e-02
-2.481858e+00   4.913061e-01   2.307761e-02
-2.469292e+00   5.754348e-01   2.032971e-02
-2.456725e+00   5.856380e-01   3.099458e-02
-2.444159e+00   6.554135e-01   5.430168e-02
-2.431593e+00   7.019288e-01   8.671080e-02
-2.419026e+00   6.507491e-01   5.309228e-02
-2.406460e+00   4.825341e-01   1.835726e-02
-2.393894e+00   5.594770e-01   2.887977e-02
-2.381327e+00   5.561619e-01   3.126964e-02
-2.368761e+00   5.086520e-01   3.784619e-02
-2.356194e+00   6.466215e-01   6.628725e-02
-2.343628e+00   5.796942e-01   4.276711e-02
-2.331062e+00   5.667231e-01   3.150616e-02
-2.318495e+00   5.200161e-01   3.363963e-02
-2.305929e+00   4.881070e-01   2.477605e-02
-2.293363e+00   5.272777e-01   2.411512e-02
-2.280796e+00   5.495936e-01   4.394585e-02
-2.268230e+00   5.769972e-01   1.722844e-02
-2.255664e+00   5.833315e-01   3.426441e-02
-2.243097e+00   4.983570e-01   2.690183e-02
-2.230531e+00   5.877582e-01   4.246538e-02
-2.217964e+00   5.548912e-01   3.142793e-02
-2.205398e+00   5.943316e-01   4.099408e-02
-2.192832e+00   5.853148e-01   4.272532e-02
-2.180265e+00   5.898427e-01   3.882791e-02
-2.167699e+00   5.261705e-01   2.554449e-02
-2.155133e+00   5.527708e-01   4.419262e-02
-2.142566e+00   5.656942e-01   2.767171e-02
-2.130000e+00   5.241398e-01   2.900458e-02
-2.117433e+00   5.651812e-01   5.207387e-02
-2.104867e+00   5.173539e-01   3.062754e-02
-2.092301e+00   6.470961e-01   8.540457e-02
-2.079734e+00   5.078502e-01   2.145467e-02
-2.067168e+00   5.931507e-01   3.707488e-02
-2.054602e+00   5.872153e-01   5.706921e-02
-2.042035e+00   5.521822e-01   1.774501e-02
-2.029469e+00   5.477729e-01   2.857408e-02
-2.016902e+00   5.980615e-01   4.177869e-02
-2.004336e+00   5.700408e-01   5.362513e-02
-1.991770e+00   5.136631e-01   2.178444e-02
-1.979203e+00   5.004000e-01   2.461681e-02
-1.966637e+00   5.417665e-01   3.263497e-02
-1.954071e+00   6.093296e-01   4.665259e-02
-1.941504e+00   5.879491e-01   3.273275e-02
-1.928938e+00   5.376204e-01   2.972783e-02
-1.916372e+00   5.642692e-01   5.249549e-02
-1.903805e+00   5.104987e-01   2.410752e-02
-1.891239e+00   5.575699e-01   2.453601e-02
-1.878672e+00   5.353607e-01   2.882605e-02
-1.866106e+00   6.949447e-01   1.031868e-01
-1.853540e+00   6.192964e-01   7.221113e-02
-1.840973e+00   5.500745e-01   3.249396e-02
-1.828407e+00   5.032317e-01   2.585544e-02
-1.815841e+00   6.449116e-01   7.484453e-02
-1.803274e+00   5.731805e-01   3.054035e-02
-1.790708e+00   5.101240e-01   2.573016e-02
-1.778141e+00   5.421785e-01   5.206066e-02
-1.765575e+00   5.507995e-01   3.297103e-02
-1.753009e+00   4.475440e-01   1.841080e-02
-1.740442e+00   6.217857e-01   4.562975e-02
-1.727876e+00   6.708760e-01   7.134153e-02
-1.715310e+00   5.666794e-01   4.403476e-02
-1.702743e+00   7.095594e-01   1.343927e-01
-1.690177e+00   5.871316e-01   3.617431e-02
-1.677610e+00   7.121808e-01   7.423423e-02
-1.665044e+00   5.176907e-01   3.147418e-02
-1.652478e+00   5.891799e-01   6.750378e-02
-1.639911e+00   5.195967e-01   3.569420e-02
-1.627345e+00   6.188433e-01   5.695290e-02
-1.614779e+00   5.995178e-01   5.007131e-02
-1.602212e+00   5.383888e-01   2.054786e-02
-1.589646e+00   4.855238e-01   3.163571e-02
-1.577080e+00   5.567359e-01   2.494296e-02
-1.564513e+00   5.458809e-01   2.609894e-02
-1.551947e+00   5.178778e-01   2.664207e-02
-1.539380e+00   5.790720e-01   4.038666e-02
-1.526814e+00   5.433049e-01   3.243499e-02
-1.514248e+00   5.957199e-01   4.446364e-02
-1.501681e+00   7.116922e-01   1.009268e-01
-1.489115e+00   5.402813e-01   2.792055e-02
-1.476549e+00   5.193884e-01   3.249358e-02
-1.463982e+00   5.191212e-01   2.210819e-02
-1.451416e+00   5.187816e-01   2.860491e-02
-1.438849e+00   5.528023e-01   4.439800e-02
-1.426283e+00   5.419145e-01   3.271027e-02
-1.413717e+00   5.547833e-01   2.498519e-02
-1.401150e+00   5.095224e-01   2.499491e-02
-1.388584e+00   5.609122e-01   3.297418e-02
-1.376018e+00   5.777849e-01   3.453825e-02
-1.363451e+00   5.759729e-01   3.190857e-02
-1.350885e+00   8.091554e-01   1.866686e-01
-1.338318e+00   5.379974e-01   2.421415e-02
-1.325752e+00   5.428101e-01   4.058477e-02
-1.313186e+00   4.974428e-01   2.769763e-02
-1.300619e+00   5.068033e-01   3.389407e-02
-1.288053e+00   6.017344e-01   5.366572e-02
-1.275487e+00   5.602960e-01   3.938600e-02
-1.262920e+00   5.994122e-01   3.883968e-02
-1.250354e+00   5.446355e-01   3.283988e-02
-1.237788e+00   5.016064e-01   2.332388e-02
-1.225221e+00   5.457913e-01   3.754911e-02
-1.212655e+00   5.420768e-01   2.555834e-02
-1.200088e+00   9.119647e-01   1.977823e-01
-1.187522e+00   5.318491e-01   2.463722e-02
-1.174956e+00   5.148713e-01   2.257189e-02
-1.162389e+00   5.840246e-01   3.479145e-02
-1.149823e+00   5.234593e-01   2.189421e-02
-1.137257e+00   7.197437e-01   1.159308e-01
-1.124690e+00   5.355757e-01   2.515494e-02
-1.112124e+00   6.048063e-01   3.980592e-02
-1.099557e+00   5.300568e-01   2.008779e-02
-1.086991e+00   5.213442e-01   2.776270e-02
-1.074425e+00   5.417091e-01   2.648894e-02
-1.061858e+00   5.724402e-01   2.998450e-02
-1.049292e+00   6.357009e-01   1.064721e-01
-1.036726e+00   5.745225e-01   3.905307e-02
-1.024159e+00   5.829299e-01   3.578753e-02
-1.011593e+00   5.696665e-01   3.487761e-02
-9.990265e-01   5.223675e-01   3.384142e-02
-9.864601e-01   7.977089e-01   1.802245e-01
-9.738937e-01   6.417061e-01   9.615148e-02
-9.613274e-01   4.929617e-01   4.088117e-02
-9.487610e-01   5.950074e-01   7.966764e-02
-9.361946e-01   5.710458e-01   4.578427e-02
-9.236282e-01   5.792516e-01   6.245874e-02
-9.110619e-01   5.096182e-01   2.190300e-02
-8.984955e-01   5.862894e-01   4.760364e-02
-8.859291e-01   6.523480e-01   6.048097e-02
-8.733628e-01   7.739276e-01   1.580387e-01
-8.607964e-01   5.724455e-01   4.106388e-02
-8.482300e-01   6.163357e-01   7.666307e-02
-8.356636e-01   5.126888e-01   2.557780e-02
-8.230973e-01   5.450979e-01   3.099328e-02
-8.105309e-01   5.618401e-01   4.694833e-02
-7.979645e-01   5.773214e-01   3.064426e-02
-7.853982e-01   5.236536e-01   2.760054e-02
-7.728318e-01   5.584516e-01   3.690435e-02
-7.602654e-01   6.334062e-01   4.352555e-02
-7.476991e-01   5.159875e-01   2.227036e-02
-7.351327e-01   5.740465e-01   6.568694e-02
-7.225663e-01   6.360315e-01   9.951082e-02
-7.099999e-01   6.726795e-01   7.279761e-02
-6.974336e-01   5.507630e-01   2.550619e-02
-6.848672e-01   5.686501e-01   3.463466e-02
-6.723008e-01   5.479977e-01   3.087150e-02
-6.597345e-01   5.493029e-01   3.164213e-02
-6.471681e-01   5.359284e-01   2.227599e-02
-6.346017e-01   6.025252e-01   4.355744e-02
-6.220353e-01   6.251470e-01   5.331641e-02
-6.094690e-01   5.635430e-01   4.007426e-02
-5.969026e-01   5.198947e-01   2.195315e-02
-5.843362e-01   5.752605e-01   3.255286e-02
-5.717699e-01   6.586499e-01   6.891871e-02
-5.592035e-01   5.638054e-01   4.584673e-02
-5.466371e-01   5.128808e-01   2.879075e-02
-5.340708e-01   5.140585e-01   3.878895e-02
-5.215044e-01   5.574837e-01   3.118567e-02
-5.089380e-01   6.304747e-01   9.544882e-02
-4.963716e-01   5.860353e-01   4.255586e-02
-4.838053e-01   5.967981e-01   4.272369e-02
-4.712389e-01   7.840372e-01   1.188605e-01
-4.586725e-01   5.735352e-01   3.414653e-02
-4.461062e-01   6.144860e-01   8.329326e-02
-4.335398e-01   6.955581e-01   8.132538e-02
-4.209734e-01   5.181633e-01   2.680850e-02
