phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   1.374255e-02   6.551465e-04
-3.122743e+00   1.525464e-02   1.887313e-03
-3.110177e+00   1.617362e-02   2.914651e-03
-3.097610e+00   1.389632e-02   8.736247e-04
-3.085044e+00   1.495020e-02   1.362140e-03
-3.072478e+00   1.713509e-02   2.497193e-03
-3.059911e+00   1.304448e-02   1.013972e-03
-3.047345e+00   1.486032e-02   1.465221e-03
-3.034779e+00   1.453251e-02   1.589558e-03
-3.022212e+00   1.400170e-02   8.667984e-04
-3.009646e+00   1.303295e-02   5.880051e-04
-2.997079e+00   1.431444e-02   1.653016e-03
-2.984513e+00   1.419099e-02   1.610723e-03
-2.971947e+00   1.495445e-02   1.068281e-03
-2.959380e+00   1.340420e-02   5.767217e-04
-2.946814e+00   1.333508e-02   8.123297e-04
-2.934248e+00   2.290926e-02   6.290042e-03
-2.921681e+00   1.405493e-02   9.921530e-04
-2.909115e+00   1.817040e-02   2.655581e-03
-2.896548e+00   1.654165e-02   2.216256e-03
-2.883982e+00   1.333794e-02   6.314691e-04
-2.871416e+00   1.286337e-02   7.043283e-04
-2.858849e+00   1.332962e-02   1.046361e-03
-2.846283e+00   1.528889e-02   2.034780e-03
-2.833717e+00   1.319862e-02   6.722395e-04
-2.821150e+00   1.382347e-02   1.043861e-03
-2.808584e+00   1.647233e-02   2.264345e-03
-2.796017e+00   1.282949e-02   4.747979e-04
-2.783451e+00   1.310421e-02   6.338662e-04
-2.770885e+00   1.318268e-02   5.792129e-04
-2.758318e+00   1.402529e-02   8.914548e-04
-2.745752e+00   1.417522e-02   1.558969e-03
-2.733186e+00   1.397516e-02   6.813697e-04
-2.720619e+00   1.409272e-02   1.346390e-03
-2.708053e+00   1.362942e-02   8.031006e-04
-2.695486e+00   1.559397e-02   1.613197e-03
-2.682920e+00   1.282103e-02   4.652798e-04
-2.670354e+00   1.433013e-02   1.080065e-03
-2.657787e+00   1.421424e-02   1.194133e-03
-2.645221e+00   1.334097e-02   7.271252e-04
-2.632655e+00   1.253797e-02   7.300666e-04
-2.620088e+00   1.467244e-02   1.057883e-03
-2.607522e+00   1.597670e-02   1.362805e-03
-2.594956e+00   1.611195e-02   1.640827e-03
-2.582389e+00   1.278250e-02   5.657081e-04
-2.569823e+00   1.529645e-02   1.722470e-03
-2.557256e+00   1.298276e-02   1.224158e-03
-2.544690e+00   1.255704e-02   6.526142e-04
-2.532124e+00   1.244056e-02   1.070284e-03
-2.519557e+00   1.388020e-02   9.012796e-04
-2.506991e+00   1.561211e-02   8.347663e-04
-2.494425e+00   1.263123e-02   6.852313e-04
-2.481858e+00   1.454028e-02   1.042565e-03
-2.469292e+00   1.479127e-02   1.148058e-03
-2.456725e+00   1.394627e-02   1.331717e-03
-2.444159e+00   1.830627e-02   2.052175e-03
-2.431593e+00   1.670788e-02   1.585623e-03
-2.419026e+00   1.355933e-02   8.729509e-04
-2.406460e+00   1.428324e-02   1.682388e-03
-2.393894e+00   1.364098e-02   8.192812e-04
-2.381327e+00   1.663627e-02   1.949794e-03
-2.368761e+00   1.782300e-02   3.637864e-03
-2.356194e+00   1.250353e-02   8.942619e-04
-2.343628e+00   1.375743e-02   9.985831e-04
-2.331062e+00   1.815417e-02   2.813999e-03
-2.318495e+00   1.494017e-02   1.154570e-03
-2.305929e+00   1.423905e-02   9.523010e-04
-2.293363e+00   1.514491e-02   9.697765e-04
-2.280796e+00   1.387216e-02   8.350323e-04
-2.268230e+00   1.351285e-02   1.143799e-03
-2.255664e+00   1.493511e-02   1.088111e-03
