phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   6.626014e-02   3.457573e-03
-3.122743e+00   1.009280e-01   2.803485e-02
-3.110177e+00   8.718355e-02   8.116881e-03
-3.097610e+00   6.848066e-02   4.729882e-03
-3.085044e+00   8.182074e-02   7.553631e-03
-3.072478e+00   7.359326e-02   4.440195e-03
-3.059911e+00   6.566325e-02   3.789535e-03
-3.047345e+00   6.846954e-02   3.619867e-03
-3.034779e+00   6.324142e-02   3.071760e-03
-3.022212e+00   6.353126e-02   4.321339e-03
-3.009646e+00   7.881374e-02   7.126808e-03
-2.997079e+00   7.206131e-02   6.948046e-03
-2.984513e+00   9.328541e-02   1.349476e-02
-2.971947e+00   6.747667e-02   4.167183e-03
-2.959380e+00   6.629970e-02   3.818747e-03
-2.946814e+00   7.445531e-02   7.741036e-03
-2.934248e+00   6.746661e-02   4.246269e-03
-2.921681e+00   7.169485e-02   3.944040e-03
-2.909115e+00   8.282126e-02   8.714204e-03
-2.896548e+00   7.009826e-02   3.858320e-03
-2.883982e+00   6.884999e-02   5.402611e-03
-2.871416e+00   7.252116e-02   6.126318e-03
-2.858849e+00   7.068757e-02   4.328055e-03
-2.846283e+00   6.718480e-02   3.492477e-03
-2.833717e+00   7.612911e-02   8.358214e-03
-2.821150e+00   6.268607e-02   2.906679e-03
-2.808584e+00   6.886325e-02   3.579548e-03
-2.796017e+00   7.523792e-02   7.574417e-03
-2.783451e+00   8.787044e-02   1.372754e-02
-2.770885e+00   8.177926e-02   9.661603e-03
-2.758318e+00   7.417299e-02   6.068652e-03
-2.745752e+00   6.952008e-02   4.608311e-03
-2.733186e+00   7.010625e-02   4.645365e-03
-2.720619e+00   7.068117e-02   4.566024e-03
-2.708053e+00   6.802722e-02   4.640567e-03
-2.695486e+00   8.663464e-02   1.607923e-02
-2.682920e+00   7.077538e-02   4.583392e-03
-2.670354e+00   7.070728e-02   4.886977e-03
-2.657787e+00   6.049555e-02   2.961431e-03
-2.645221e+00   6.785258e-02   3.224094e-03
-2.632655e+00   6.381804e-02   3.459174e-03
-2.620088e+00   6.510488e-02   3.033940e-03
-2.607522e+00   6.708330e-02   4.576019e-03
-2.594956e+00   9.396519e-02   1.749647e-02
-2.582389e+00   7.680211e-02   7.025522e-03
-2.569823e+00   6.699064e-02   5.466961e-03
-2.557256e+00   6.368369e-02   2.842899e-03
-2.544690e+00   8.387075e-02   8.086130e-03
-2.532124e+00   6.184133e-02   2.440864e-03
-2.519557e+00   7.268149e-02   5.548780e-03
-2.506991e+00   7.171757e-02   4.393705e-03
-2.494425e+00   7.541846e-02   5.898300e-03
-2.481858e+00   6.675333e-02   4.330224e-03
-2.469292e+00   7.893675e-02   5.420657e-03
-2.456725e+00   6.953157e-02   3.095307e-03
-2.444159e+00   8.214127e-02   8.362450e-03
-2.431593e+00   6.213492e-02   2.661555e-03
-2.419026e+00   8.035722e-02   6.933826e-03
-2.406460e+00   7.607451e-02   6.407189e-03
-2.393894e+00   9.434707e-02   1.301645e-02
-2.381327e+00   6.533573e-02   2.896275e-03
-2.368761e+00   6.628369e-02   3.365468e-03
-2.356194e+00   7.137370e-02   5.255350e-03
-2.343628e+00   7.353530e-02   6.854392e-03
-2.331062e+00   6.405502e-02   3.203847e-03
-2.318495e+00   6.485986e-02   3.957383e-03
-2.305929e+00   6.953652e-02   3.662801e-03
-2.293363e+00   6.993124e-02   4.454729e-03
-2.280796e+00   6.460064e-02   3.065831e-03
-2.268230e+00   7.263397e-02   5.371955e-03
-2.255664e+00   6.302049e-02   2.783369e-03
-2.243097e+00   6.184351e-02   2.021469e-03
-2.230531e+00   6.765617e-02   4.696073e-03
-2.217964e+00   6.635279e-02   4.260573e-03
-2.205398e+00   5.670815e-02   2.538202e-03
-2.192832e+00   6.386551e-02   3.271736e-03
-2.180265e+00   6.650668e-02   2.984746e-03
-2.167699e+00   6.321172e-02   2.263818e-03
-2.155133e+00   6.474540e-02   4.207402e-03
-2.142566e+00   6.521275e-02   3.422445e-03
-2.130000e+00   6.706371e-02   3.680643e-03
-2.117433e+00   6.712396e-02   3.215559e-03
-2.104867e+00   6.955591e-02   5.821466e-03
-2.092301e+00   6.811876e-02   4.642716e-03
-2.079734e+00   7.350136e-02   5.422960e-03
-2.067168e+00   5.678325e-02   2.634865e-03
-2.054602e+00   7.289614e-02   6.819775e-03
-2.042035e+00   7.082389e-02   4.791312e-03
-2.029469e+00   6.752047e-02   5.737861e-03
-2.016902e+00   7.127380e-02   6.385405e-03
-2.004336e+00   6.612617e-02   3.569619e-03
-1.991770e+00   8.864119e-02   1.216231e-02
-1.979203e+00   6.041024e-02   2.426793e-03
-1.966637e+00   6.824742e-02   3.985142e-03
-1.954071e+00   7.252725e-02   5.184724e-03
-1.941504e+00   6.583224e-02   3.298455e-03
-1.928938e+00   6.859834e-02   4.122455e-03
-1.916372e+00   7.255694e-02   4.420925e-03
-1.903805e+00   8.276564e-02   8.744247e-03
-1.891239e+00   6.804204e-02   3.414423e-03
-1.878672e+00   6.469709e-02   4.060193e-03
-1.866106e+00   7.836676e-02   7.584043e-03
-1.853540e+00   5.669540e-02   2.041136e-03
-1.840973e+00   6.563591e-02   3.086892e-03
-1.828407e+00   6.623939e-02   2.417837e-03
-1.815841e+00   6.577057e-02   2.781141e-03
-1.803274e+00   6.756397e-02   3.073714e-03
-1.790708e+00   6.421064e-02   2.919884e-03
-1.778141e+00   6.733433e-02   3.968483e-03
-1.765575e+00   8.393422e-02   6.998779e-03
-1.753009e+00   6.560817e-02   4.399516e-03
-1.740442e+00   5.756754e-02   2.004104e-03
-1.727876e+00   7.437256e-02   7.437898e-03
-1.715310e+00   6.675952e-02   3.954113e-03
-1.702743e+00   6.803950e-02   4.403437e-03
-1.690177e+00   7.017561e-02   5.194520e-03
-1.677610e+00   6.061803e-02   2.441230e-03
-1.665044e+00   7.556557e-02   5.395668e-03
-1.652478e+00   8.347107e-02   8.006402e-03
-1.639911e+00   8.046635e-02   7.390809e-03
-1.627345e+00   6.270703e-02   4.018976e-03
-1.614779e+00   5.909549e-02   3.889479e-03
-1.602212e+00   6.485978e-02   3.225192e-03
-1.589646e+00   8.938843e-02   1.017581e-02
-1.577080e+00   6.166701e-02   2.467490e-03
-1.564513e+00   7.381971e-02   5.974609e-03
-1.551947e+00   5.611728e-02   2.450470e-03
-1.539380e+00   6.239252e-02   3.537003e-03
-1.526814e+00   6.714842e-02   4.538442e-03
-1.514248e+00   5.688176e-02   2.469592e-03
-1.501681e+00   8.359522e-02   8.945276e-03
-1.489115e+00   5.924840e-02   2.335019e-03
-1.476549e+00   6.539009e-02   4.749864e-03
-1.463982e+00   6.800730e-02   3.671488e-03
-1.451416e+00   6.908807e-02   3.241084e-03
-1.438849e+00   7.743635e-02   7.992435e-03
-1.426283e+00   6.445134e-02   3.519950e-03
-1.413717e+00   7.174165e-02   4.217574e-03
-1.401150e+00   7.175995e-02   4.344622e-03
-1.388584e+00   6.086490e-02   3.042189e-03
-1.376018e+00   6.309351e-02   3.538441e-03
-1.363451e+00   7.209717e-02   4.210137e-03
-1.350885e+00   6.692044e-02   4.383997e-03
-1.338318e+00   6.731430e-02   4.125182e-03
-1.325752e+00   6.388463e-02   2.688459e-03
-1.313186e+00   6.208445e-02   2.823577e-03
-1.300619e+00   6.665085e-02   3.766322e-03
-1.288053e+00   6.395412e-02   3.254110e-03
-1.275487e+00   6.142222e-02   2.078182e-03
-1.262920e+00   8.848309e-02   1.173301e-02
-1.250354e+00   7.043289e-02   5.424849e-03
-1.237788e+00   6.062659e-02   2.537541e-03
-1.225221e+00   6.578535e-02   3.590868e-03
-1.212655e+00   7.202878e-02   5.833595e-03
-1.200088e+00   6.178664e-02   3.064823e-03
-1.187522e+00   6.312511e-02   3.216278e-03
-1.174956e+00   6.858669e-02   6.678863e-03
-1.162389e+00   7.600192e-02   6.391728e-03
-1.149823e+00   8.957379e-02   8.890596e-03
-1.137257e+00   7.707766e-02   9.631661e-03
-1.124690e+00   6.235791e-02   2.618846e-03
-1.112124e+00   7.101468e-02   4.505649e-03
-1.099557e+00   6.047739e-02   1.660233e-03
-1.086991e+00   6.609470e-02   3.426590e-03
-1.074425e+00   5.909045e-02   2.096041e-03
-1.061858e+00   7.690639e-02   5.717066e-03
-1.049292e+00   7.398814e-02   7.185944e-03
-1.036726e+00   6.819688e-02   5.278787e-03
-1.024159e+00   7.182891e-02   6.528984e-03
-1.011593e+00   6.170444e-02   3.338712e-03
-9.990265e-01   6.912034e-02   4.743937e-03
-9.864601e-01   6.491356e-02   2.858258e-03
-9.738937e-01   7.441382e-02   5.059250e-03
-9.613274e-01   7.758760e-02   7.800922e-03
-9.487610e-01   9.153095e-02   1.337199e-02
-9.361946e-01   6.409640e-02   2.420540e-03
-9.236282e-01   6.662864e-02   4.136676e-03
-9.110619e-01   5.879208e-02   2.095395e-03
-8.984955e-01   7.172100e-02   4.183032e-03
-8.859291e-01   6.958085e-02   4.031166e-03
-8.733628e-01   6.303238e-02   2.610378e-03
-8.607964e-01   6.321297e-02   4.582661e-03
-8.482300e-01   6.903174e-02   4.899463e-03
-8.356636e-01   8.239588e-02   9.525264e-03
-8.230973e-01   6.048062e-02   4.462317e-03
-8.105309e-01   7.397739e-02   6.894804e-03
-7.979645e-01   6.009738e-02   2.868219e-03
-7.853982e-01   6.641505e-02   4.482874e-03
-7.728318e-01   6.782915e-02   3.559141e-03
-7.602654e-01   6.107382e-02   2.571192e-03
-7.476991e-01   6.952279e-02   6.729226e-03
-7.351327e-01   6.441099e-02   3.072746e-03
-7.225663e-01   7.988801e-02   9.709096e-03
-7.099999e-01   6.550912e-02   3.511137e-03
-6.974336e-01   6.578208e-02   5.076655e-03
-6.848672e-01   7.786096e-02   6.856722e-03
-6.723008e-01   6.441028e-02   4.406307e-03
-6.597345e-01   5.663668e-02   2.721249e-03
-6.471681e-01   6.525326e-02   4.673745e-03
-6.346017e-01   6.795371e-02   3.574876e-03
-6.220353e-01   5.863256e-02   3.264879e-03
-6.094690e-01   6.144660e-02   3.085888e-03
-5.969026e-01   7.401550e-02   4.876601e-03
-5.843362e-01   8.629682e-02   7.469917e-03
-5.717699e-01   9.144309e-02   1.305726e-02
-5.592035e-01   6.611252e-02   4.100481e-03
-5.466371e-01   7.785998e-02   7.831325e-03
-5.340708e-01   6.513233e-02   3.375809e-03
-5.215044e-01   8.528507e-02   9.707862e-03
-5.089380e-01   7.310906e-02   5.496050e-03
-4.963716e-01   7.646195e-02   8.748072e-03
-4.838053e-01   7.860972e-02   7.954802e-03
-4.712389e-01   6.688803e-02   5.553998e-03
-4.586725e-01   6.437555e-02   2.435646e-03
-4.461062e-01   6.446576e-02   2.914946e-03
-4.335398e-01   7.753141e-02   5.992774e-03
-4.209734e-01   6.771819e-02   4.916820e-03
-4.084070e-01   6.467173e-02   2.918782e-03
-3.958407e-01   7.358972e-02   6.305790e-03
-3.832743e-01   5.571398e-02   1.769532e-03
-3.707079e-01   7.130347e-02   6.345068e-03
-3.581416e-01   6.134473e-02   3.826755e-03
-3.455752e-01   6.530983e-02   4.482319e-03
-3.330088e-01   6.283884e-02   2.177773e-03
-3.204425e-01   6.062201e-02   2.501456e-03
-3.078761e-01   7.374874e-02   4.335465e-03
-2.953097e-01   8.222886e-02   6.192137e-03
-2.827433e-01   6.548081e-02   2.884190e-03
-2.701770e-01   6.832167e-02   5.917397e-03
-2.576106e-01   7.002782e-02   4.484301e-03
-2.450442e-01   6.971429e-02   4.527593e-03
-2.324779e-01   6.037965e-02   3.123062e-03
-2.199115e-01   6.660417e-02   3.151083e-03
-2.073451e-01   7.212716e-02   4.229522e-03
-1.947787e-01   7.157269e-02   4.424332e-03
-1.822124e-01   6.877870e-02   4.101972e-03
-1.696460e-01   6.314937e-02   4.003108e-03
-1.570796e-01   6.318070e-02   3.843587e-03
-1.445133e-01   7.085190e-02   4.111833e-03
-1.319469e-01   6.900466e-02   5.423157e-03
-1.193805e-01   6.669268e-02   5.543592e-03
-1.068142e-01   8.331356e-02   8.264967e-03
-9.424778e-02   6.472370e-02   3.260126e-03
-8.168141e-02   6.220176e-02   3.341479e-03
-6.911504e-02   6.027074e-02   3.592243e-03
-5.654867e-02   8.313886e-02   1.154275e-02
-4.398230e-02   6.500653e-02   4.185878e-03
-3.141593e-02   6.893702e-02   3.847026e-03
-1.884956e-02   8.276186e-02   1.586965e-02
-6.283185e-03   8.424964e+01   5.472604e+00
 6.283185e-03   5.618032e-02   2.548038e-03
 1.884956e-02   6.155785e-02   2.751744e-03
 3.141593e-02   7.014576e-02   6.154287e-03
 4.398230e-02   7.013870e-02   4.264553e-03
 5.654867e-02   6.426019e-02   3.516236e-03
 6.911504e-02   6.564206e-02   4.393219e-03
 8.168141e-02   1.415058e-01   5.195486e-02
 9.424778e-02   7.022882e-02   4.987289e-03
 1.068142e-01   6.005805e-02   3.382022e-03
 1.193805e-01   5.961672e-02   2.837198e-03
 1.319469e-01   6.262245e-02   3.998159e-03
 1.445133e-01   6.258075e-02   2.325606e-03
 1.570796e-01   6.479697e-02   3.044290e-03
 1.696460e-01   6.456419e-02   3.144024e-03
 1.822124e-01   7.076059e-02   4.434155e-03
 1.947787e-01   7.461297e-02   7.869597e-03
 2.073451e-01   7.085183e-02   4.718704e-03
 2.199115e-01   9.194802e-02   1.422877e-02
 2.324779e-01   6.427536e-02   4.366521e-03
 2.450442e-01   5.851379e-02   2.873248e-03
 2.576106e-01   8.088116e-02   6.968302e-03
 2.701770e-01   5.945379e-02   3.470438e-03
 2.827433e-01   8.056709e-02   1.148161e-02
 2.953097e-01   7.926861e-02   7.455552e-03
 3.078761e-01   5.919705e-02   3.293563e-03
 3.204425e-01   7.033984e-02   4.903608e-03
 3.330088e-01   6.737359e-02   3.430921e-03
 3.455752e-01   6.096574e-02   2.924558e-03
 3.581416e-01   6.170281e-02   4.710341e-03
 3.707079e-01   8.288535e-02   1.117310e-02
 3.832743e-01   6.989553e-02   4.830115e-03
 3.958407e-01   7.780086e-02   8.369402e-03
 4.084070e-01   7.479794e-02   7.047103e-03
 4.209734e-01   6.646867e-02   3.010589e-03
 4.335398e-01   7.330186e-02   4.967999e-03
 4.461062e-01   6.563815e-02   3.053283e-03
 4.586725e-01   8.245338e-02   7.921510e-03
 4.712389e-01   6.869886e-02   2.952102e-03
 4.838053e-01   6.787761e-02   4.336672e-03
 4.963716e-01   6.519265e-02   3.038460e-03
 5.089380e-01   6.706967e-02   5.138642e-03
 5.215044e-01   7.049597e-02   4.807103e-03
 5.340708e-01   7.390747e-02   5.761880e-03
 5.466371e-01   7.107317e-02   4.512870e-03
 5.592035e-01   7.117014e-02   4.440187e-03
 5.717699e-01   6.490612e-02   2.216492e-03
 5.843362e-01   6.868285e-02   4.050817e-03
 5.969026e-01   7.425278e-02   9.350503e-03
 6.094690e-01   7.305793e-02   5.988513e-03
 6.220353e-01   6.244403e-02   3.233249e-03
 6.346017e-01   6.308366e-02   2.656662e-03
 6.471681e-01   7.728971e-02   5.597331e-03
 6.597345e-01   7.158704e-02   5.971794e-03
 6.723008e-01   7.218564e-02   4.779705e-03
 6.848672e-01   6.199896e-02   2.882164e-03
 6.974336e-01   7.410811e-02   6.095733e-03
 7.099999e-01   6.016453e-02   2.605090e-03
 7.225663e-01   6.723354e-02   5.089464e-03
 7.351327e-01   7.606347e-02   7.177673e-03
 7.476991e-01   7.450589e-02   5.077839e-03
 7.602654e-01   5.982941e-02   2.632343e-03
 7.728318e-01   7.751361e-02   8.305846e-03
 7.853982e-01   7.428978e-02   5.562746e-03
 7.979645e-01   6.000437e-02   2.456766e-03
 8.105309e-01   6.361670e-02   3.571381e-03
 8.230973e-01   6.249942e-02   2.895880e-03
 8.356636e-01   6.007104e-02   1.548070e-03
 8.482300e-01   8.133021e-02   8.372764e-03
 8.607964e-01   6.101933e-02   3.397216e-03
 8.733628e-01   7.041339e-02   5.088171e-03
 8.859291e-01   7.124350e-02   6.298636e-03
 8.984955e-01   7.224670e-02   5.169476e-03
 9.110619e-01   6.502078e-02   4.058870e-03
 9.236282e-01   6.466646e-02   3.736086e-03
 9.361946e-01   6.588236e-02   4.357362e-03
 9.487610e-01   7.046451e-02   5.300322e-03
 9.613274e-01   6.367975e-02   4.760793e-03
 9.738937e-01   6.859906e-02   3.652508e-03
 9.864601e-01   8.200264e-02   7.067293e-03
 9.990265e-01   7.724580e-02   6.584277e-03
 1.011593e+00   7.201147e-02   7.182968e-03
 1.024159e+00   6.876819e-02   3.775963e-03
 1.036726e+00   6.822602e-02   4.737939e-03
 1.049292e+00   9.028615e-02   1.214638e-02
