phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   2.490236e-01   9.805809e-03
-3.122743e+00   2.532304e-01   1.509969e-02
-3.110177e+00   2.433268e-01   8.182142e-03
-3.097610e+00   2.658364e-01   1.775819e-02
-3.085044e+00   2.623840e-01   1.273924e-02
-3.072478e+00   2.504941e-01   1.137884e-02
-3.059911e+00   2.413200e-01   1.106397e-02
-3.047345e+00   3.026199e-01   2.337568e-02
-3.034779e+00   2.552871e-01   1.407293e-02
-3.022212e+00   2.529604e-01   8.828684e-03
-3.009646e+00   2.550341e-01   1.227718e-02
-2.997079e+00   2.673592e-01   1.046563e-02
-2.984513e+00   2.368721e-01   9.873244e-03
-2.971947e+00   4.621690e-01   7.696770e-02
-2.959380e+00   2.508447e-01   1.146810e-02
-2.946814e+00   2.758733e-01   1.418156e-02
-2.934248e+00   3.333138e-01   3.818976e-02
-2.921681e+00   2.780606e-01   1.590887e-02
-2.909115e+00   2.641183e-01   1.172065e-02
-2.896548e+00   2.496538e-01   1.377210e-02
-2.883982e+00   2.757994e-01   1.443446e-02
-2.871416e+00   2.707608e-01   1.468333e-02
-2.858849e+00   3.373745e-01   5.640297e-02
-2.846283e+00   2.528259e-01   1.222123e-02
-2.833717e+00   3.521693e-01   6.558436e-02
-2.821150e+00   2.713230e-01   1.658114e-02
-2.808584e+00   2.754544e-01   2.486561e-02
-2.796017e+00   2.563227e-01   1.496102e-02
-2.783451e+00   3.213194e-01   4.172632e-02
-2.770885e+00   2.634243e-01   1.180504e-02
-2.758318e+00   2.575634e-01   1.318218e-02
-2.745752e+00   2.598885e-01   1.332043e-02
-2.733186e+00   2.950661e-01   2.214018e-02
-2.720619e+00   2.834615e-01   1.779566e-02
-2.708053e+00   3.425319e-01   2.964858e-02
-2.695486e+00   2.733597e-01   2.077550e-02
-2.682920e+00   2.635840e-01   1.236700e-02
-2.670354e+00   2.939431e-01   2.692478e-02
-2.657787e+00   2.635849e-01   1.689369e-02
-2.645221e+00   2.686129e-01   1.488305e-02
-2.632655e+00   2.375134e-01   1.114930e-02
-2.620088e+00   3.748490e-01   5.444489e-02
-2.607522e+00   2.542693e-01   1.504446e-02
-2.594956e+00   2.727233e-01   1.643423e-02
-2.582389e+00   2.878122e-01   2.049524e-02
-2.569823e+00   2.831280e-01   2.212115e-02
-2.557256e+00   2.646881e-01   1.064337e-02
-2.544690e+00   3.494852e-01   4.536978e-02
-2.532124e+00   2.711814e-01   1.533156e-02
-2.519557e+00   2.760137e-01   1.679467e-02
-2.506991e+00   2.723756e-01   1.439433e-02
-2.494425e+00   2.840138e-01   1.398080e-02
-2.481858e+00   2.748464e-01   1.778202e-02
-2.469292e+00   3.309330e-01   4.194279e-02
-2.456725e+00   2.545613e-01   1.108204e-02
-2.444159e+00   2.792727e-01   2.187182e-02
-2.431593e+00   2.902314e-01   1.757375e-02
-2.419026e+00   3.069325e-01   2.553496e-02
-2.406460e+00   2.580332e-01   1.028490e-02
-2.393894e+00   3.005733e-01   1.807726e-02
-2.381327e+00   2.548510e-01   1.345561e-02
-2.368761e+00   2.780711e-01   2.031770e-02
-2.356194e+00   2.399922e-01   1.480318e-02
-2.343628e+00   2.658802e-01   1.726588e-02
-2.331062e+00   2.766403e-01   1.763731e-02
-2.318495e+00   3.986478e-01   8.899974e-02
-2.305929e+00   2.658860e-01   1.194859e-02
-2.293363e+00   2.666699e-01   1.455592e-02
-2.280796e+00   2.701333e-01   1.737373e-02
-2.268230e+00   2.980620e-01   2.011293e-02
-2.255664e+00   2.673640e-01   1.705355e-02
-2.243097e+00   2.651569e-01   1.361189e-02
-2.230531e+00   2.862460e-01   1.837831e-02
-2.217964e+00   2.783583e-01   1.369122e-02
-2.205398e+00   2.929593e-01   1.682576e-02
-2.192832e+00   2.822690e-01   1.905214e-02
-2.180265e+00   2.764746e-01   1.593081e-02
-2.167699e+00   2.989861e-01   1.698500e-02
-2.155133e+00   2.966171e-01   2.214877e-02
-2.142566e+00   2.526430e-01   1.018937e-02
-2.130000e+00   3.108136e-01   2.984286e-02
-2.117433e+00   2.407437e-01   8.418009e-03
-2.104867e+00   2.441341e-01   9.660995e-03
-2.092301e+00   2.325531e-01   1.194238e-02
-2.079734e+00   2.299788e-01   7.806398e-03
-2.067168e+00   2.930835e-01   3.724891e-02
-2.054602e+00   2.701113e-01   2.320452e-02
-2.042035e+00   2.516647e-01   1.109124e-02
-2.029469e+00   2.438990e-01   1.316901e-02
-2.016902e+00   2.879984e-01   1.725552e-02
-2.004336e+00   2.615846e-01   1.694240e-02
-1.991770e+00   2.527261e-01   8.439956e-03
-1.979203e+00   3.642957e-01   5.348252e-02
-1.966637e+00   2.472573e-01   1.081794e-02
-1.954071e+00   2.394627e-01   1.112761e-02
-1.941504e+00   2.612997e-01   1.175978e-02
-1.928938e+00   2.668021e-01   1.315097e-02
-1.916372e+00   2.506019e-01   1.454292e-02
-1.903805e+00   2.483618e-01   1.044913e-02
-1.891239e+00   2.743825e-01   1.445990e-02
-1.878672e+00   2.895802e-01   2.674455e-02
-1.866106e+00   2.962140e-01   3.109226e-02
-1.853540e+00   3.282918e-01   2.689606e-02
-1.840973e+00   3.631408e-01   5.512452e-02
-1.828407e+00   2.779547e-01   1.743902e-02
-1.815841e+00   2.807786e-01   2.427270e-02
-1.803274e+00   3.277255e-01   3.530594e-02
-1.790708e+00   2.540642e-01   1.598523e-02
-1.778141e+00   2.609328e-01   1.439748e-02
-1.765575e+00   2.497292e-01   1.226088e-02
-1.753009e+00   3.882207e-01   6.362270e-02
-1.740442e+00   2.583740e-01   1.799381e-02
-1.727876e+00   2.366790e-01   6.867114e-03
-1.715310e+00   4.588777e-01   1.038677e-01
-1.702743e+00   2.460794e-01   1.063123e-02
-1.690177e+00   2.618525e-01   1.336863e-02
-1.677610e+00   2.625867e-01   1.508705e-02
-1.665044e+00   2.546614e-01   1.230949e-02
-1.652478e+00   2.646494e-01   1.279623e-02
-1.639911e+00   2.696150e-01   2.436198e-02
-1.627345e+00   2.856983e-01   1.827116e-02
-1.614779e+00   2.776161e-01   1.557788e-02
-1.602212e+00   3.047105e-01   2.633784e-02
-1.589646e+00   2.532696e-01   1.158259e-02
-1.577080e+00   2.244903e-01   8.499776e-03
-1.564513e+00   2.881632e-01   1.586219e-02
-1.551947e+00   2.292115e-01   1.061977e-02
-1.539380e+00   2.799646e-01   1.659766e-02
-1.526814e+00   2.350277e-01   8.351600e-03
-1.514248e+00   2.696205e-01   1.391303e-02
-1.501681e+00   2.765299e-01   1.556355e-02
-1.489115e+00   2.624510e-01   2.045624e-02
-1.476549e+00   2.844073e-01   1.634707e-02
-1.463982e+00   2.374400e-01   7.704671e-03
-1.451416e+00   2.707315e-01   1.532309e-02
-1.438849e+00   2.479183e-01   1.461794e-02
-1.426283e+00   2.673146e-01   1.483636e-02
-1.413717e+00   2.599010e-01   1.894216e-02
-1.401150e+00   2.961504e-01   3.252605e-02
-1.388584e+00   2.725593e-01   1.317724e-02
-1.376018e+00   2.510775e-01   1.436431e-02
-1.363451e+00   2.620507e-01   1.929291e-02
-1.350885e+00   3.381356e-01   4.931062e-02
-1.338318e+00   2.739135e-01   1.559256e-02
-1.325752e+00   2.986218e-01   1.707030e-02
-1.313186e+00   2.364241e-01   1.189825e-02
-1.300619e+00   2.742876e-01   2.191010e-02
-1.288053e+00   2.463174e-01   1.011317e-02
-1.275487e+00   2.445881e-01   6.636771e-03
-1.262920e+00   3.007965e-01   2.191978e-02
