phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+03   0.000000e+00   0.000000e+00
-3.122743e+03   0.000000e+00   0.000000e+00
-3.110177e+03   0.000000e+00   0.000000e+00
-3.097610e+03   0.000000e+00   0.000000e+00
-3.085044e+03   0.000000e+00   0.000000e+00
-3.072478e+03   0.000000e+00   0.000000e+00
-3.059911e+03   0.000000e+00   0.000000e+00
-3.047345e+03   0.000000e+00   0.000000e+00
-3.034779e+03   0.000000e+00   0.000000e+00
-3.022212e+03   0.000000e+00   0.000000e+00
-3.009646e+03   0.000000e+00   0.000000e+00
-2.997079e+03   0.000000e+00   0.000000e+00
-2.984513e+03   0.000000e+00   0.000000e+00
-2.971947e+03   0.000000e+00   0.000000e+00
-2.959380e+03   0.000000e+00   0.000000e+00
-2.946814e+03   0.000000e+00   0.000000e+00
-2.934248e+03   0.000000e+00   0.000000e+00
-2.921681e+03   0.000000e+00   0.000000e+00
-2.909115e+03   0.000000e+00   0.000000e+00
-2.896548e+03   0.000000e+00   0.000000e+00
-2.883982e+03   0.000000e+00   0.000000e+00
-2.871416e+03   0.000000e+00   0.000000e+00
-2.858849e+03   0.000000e+00   0.000000e+00
-2.846283e+03   0.000000e+00   0.000000e+00
-2.833717e+03   0.000000e+00   0.000000e+00
-2.821150e+03   0.000000e+00   0.000000e+00
-2.808584e+03   0.000000e+00   0.000000e+00
-2.796017e+03   0.000000e+00   0.000000e+00
-2.783451e+03   0.000000e+00   0.000000e+00
-2.770885e+03   0.000000e+00   0.000000e+00
-2.758318e+03   0.000000e+00   0.000000e+00
-2.745752e+03   0.000000e+00   0.000000e+00
-2.733186e+03   0.000000e+00   0.000000e+00
-2.720619e+03   0.000000e+00   0.000000e+00
-2.708053e+03   0.000000e+00   0.000000e+00
-2.695486e+03   0.000000e+00   0.000000e+00
-2.682920e+03   0.000000e+00   0.000000e+00
-2.670354e+03   0.000000e+00   0.000000e+00
-2.657787e+03   0.000000e+00   0.000000e+00
-2.645221e+03   0.000000e+00   0.000000e+00
-2.632655e+03   0.000000e+00   0.000000e+00
-2.620088e+03   0.000000e+00   0.000000e+00
-2.607522e+03   0.000000e+00   0.000000e+00
-2.594956e+03   0.000000e+00   0.000000e+00
-2.582389e+03   0.000000e+00   0.000000e+00
-2.569823e+03   0.000000e+00   0.000000e+00
-2.557256e+03   0.000000e+00   0.000000e+00
-2.544690e+03   0.000000e+00   0.000000e+00
-2.532124e+03   0.000000e+00   0.000000e+00
-2.519557e+03   0.000000e+00   0.000000e+00
-2.506991e+03   0.000000e+00   0.000000e+00
-2.494425e+03   0.000000e+00   0.000000e+00
-2.481858e+03   0.000000e+00   0.000000e+00
-2.469292e+03   0.000000e+00   0.000000e+00
-2.456725e+03   0.000000e+00   0.000000e+00
-2.444159e+03   0.000000e+00   0.000000e+00
-2.431593e+03   0.000000e+00   0.000000e+00
-2.419026e+03   0.000000e+00   0.000000e+00
-2.406460e+03   0.000000e+00   0.000000e+00
-2.393894e+03   0.000000e+00   0.000000e+00
-2.381327e+03   0.000000e+00   0.000000e+00
-2.368761e+03   0.000000e+00   0.000000e+00
-2.356194e+03   0.000000e+00   0.000000e+00
-2.343628e+03   0.000000e+00   0.000000e+00
-2.331062e+03   0.000000e+00   0.000000e+00
-2.318495e+03   0.000000e+00   0.000000e+00
-2.305929e+03   0.000000e+00   0.000000e+00
-2.293363e+03   0.000000e+00   0.000000e+00
-2.280796e+03   0.000000e+00   0.000000e+00
-2.268230e+03   0.000000e+00   0.000000e+00
-2.255664e+03   0.000000e+00   0.000000e+00
-2.243097e+03   0.000000e+00   0.000000e+00
-2.230531e+03   0.000000e+00   0.000000e+00
-2.217964e+03   0.000000e+00   0.000000e+00
-2.205398e+03   0.000000e+00   0.000000e+00
-2.192832e+03   0.000000e+00   0.000000e+00
-2.180265e+03   0.000000e+00   0.000000e+00
-2.167699e+03   0.000000e+00   0.000000e+00
-2.155133e+03   0.000000e+00   0.000000e+00
-2.142566e+03   0.000000e+00   0.000000e+00
-2.130000e+03   0.000000e+00   0.000000e+00
