phi5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.135309e+00   2.716975e-01   2.226603e-02
-3.122743e+00   1.919500e-01   8.669697e-03
-3.110177e+00   2.180821e-01   1.148265e-02
-3.097610e+00   2.400884e-01   1.252208e-02
-3.085044e+00   2.189220e-01   1.782581e-02
-3.072478e+00   2.324250e-01   1.886195e-02
-3.059911e+00   2.533785e-01   2.353460e-02
-3.047345e+00   2.435730e-01   2.790091e-02
-3.034779e+00   1.896284e-01   6.118266e-03
-3.022212e+00   2.389628e-01   1.636831e-02
-3.009646e+00   2.248542e-01   1.371982e-02
-2.997079e+00   1.989985e-01   5.914075e-03
-2.984513e+00   2.379975e-01   2.025844e-02
-2.971947e+00   2.043151e-01   8.660833e-03
-2.959380e+00   2.810868e-01   2.191193e-02
-2.946814e+00   2.284648e-01   1.400432e-02
-2.934248e+00   2.198968e-01   1.123531e-02
-2.921681e+00   2.213611e-01   1.690899e-02
-2.909115e+00   2.006559e-01   8.630362e-03
-2.896548e+00   2.108337e-01   1.391814e-02
-2.883982e+00   1.963118e-01   8.446654e-03
-2.871416e+00   2.275120e-01   1.630480e-02
-2.858849e+00   2.005072e-01   1.180837e-02
-2.846283e+00   2.639975e-01   2.236010e-02
-2.833717e+00   2.146095e-01   6.709746e-03
-2.821150e+00   2.119445e-01   1.332949e-02
-2.808584e+00   2.183872e-01   9.516449e-03
-2.796017e+00   2.149643e-01   8.051560e-03
-2.783451e+00   2.234768e-01   1.425097e-02
-2.770885e+00   2.079000e-01   1.012595e-02
-2.758318e+00   2.258672e-01   1.654156e-02
-2.745752e+00   1.918275e-01   1.144638e-02
-2.733186e+00   2.044822e-01   7.174175e-03
-2.720619e+00   2.182473e-01   1.153002e-02
-2.708053e+00   2.971217e-01   2.706486e-02
-2.695486e+00   2.588948e-01   2.109159e-02
-2.682920e+00   1.970124e-01   8.936303e-03
-2.670354e+00   1.804033e-01   7.778557e-03
-2.657787e+00   2.123952e-01   8.825142e-03
-2.645221e+00   1.859309e-01   1.134790e-02
-2.632655e+00   1.921378e-01   8.812056e-03
-2.620088e+00   2.276906e-01   1.461647e-02
-2.607522e+00   2.494214e-01   2.203078e-02
-2.594956e+00   2.470045e-01   1.693886e-02
-2.582389e+00   2.312702e-01   1.363040e-02
-2.569823e+00   2.261864e-01   1.518095e-02
-2.557256e+00   2.040134e-01   1.004803e-02
-2.544690e+00   2.349193e-01   1.070597e-02
-2.532124e+00   2.179080e-01   2.039700e-02
-2.519557e+00   2.468125e-01   2.005274e-02
-2.506991e+00   2.368005e-01   1.735310e-02
-2.494425e+00   2.346112e-01   1.707971e-02
-2.481858e+00   2.067287e-01   9.835829e-03
-2.469292e+00   2.459487e-01   1.545994e-02
-2.456725e+00   2.058327e-01   9.006075e-03
-2.444159e+00   2.394731e-01   1.966418e-02
-2.431593e+00   2.314236e-01   1.572815e-02
-2.419026e+00   1.984002e-01   1.287415e-02
-2.406460e+00   2.116491e-01   1.392821e-02
-2.393894e+00   2.400087e-01   1.113350e-02
-2.381327e+00   2.063875e-01   1.306752e-02
-2.368761e+00   3.622451e-01   5.148485e-02
-2.356194e+00   2.432074e-01   2.073150e-02
-2.343628e+00   2.274803e-01   1.310344e-02
-2.331062e+00   2.826555e-01   2.314102e-02
-2.318495e+00   2.405330e-01   1.334458e-02
-2.305929e+00   1.969456e-01   1.185996e-02
