phi5_y_cms bin centers    value    Error 
-inf   1.710014e-02   2.165867e-04
-1.197600e-02   1.646846e-03   4.379340e-04
-1.192800e-02   1.951277e-03   4.846262e-04
-1.188000e-02   5.601832e-03   1.635266e-03
-1.183200e-02   7.869449e-04   2.697339e-04
-1.178400e-02   2.553638e-03   9.060614e-04
-1.173600e-02   2.432820e-03   5.778897e-04
-1.168800e-02   1.522851e-03   4.520622e-04
-1.164000e-02   1.178556e-03   4.056231e-04
-1.159200e-02   1.485289e-03   3.821983e-04
-1.154400e-02   2.414068e-03   5.883388e-04
-1.149600e-02   1.237252e-03   3.299386e-04
-1.144800e-02   3.460134e-03   8.107657e-04
-1.140000e-02   4.393899e-03   1.460973e-03
-1.135200e-02   7.365558e-03   2.554593e-03
-1.130400e-02   1.413793e-03   4.362487e-04
-1.125600e-02   1.659679e-03   3.194259e-04
-1.120800e-02   1.033017e-03   3.412497e-04
-1.116000e-02   3.042160e-03   5.915759e-04
-1.111200e-02   3.349384e-03   8.654132e-04
-1.106400e-02   1.599475e-03   4.753664e-04
-1.101600e-02   2.440645e-03   9.539035e-04
-1.096800e-02   3.890636e-03   8.600233e-04
-1.092000e-02   2.222400e-03   5.004890e-04
-1.087200e-02   1.605729e-03   5.654993e-04
-1.082400e-02   2.435253e-03   6.853591e-04
-1.077600e-02   2.119574e-03   6.839562e-04
-1.072800e-02   1.095036e-03   3.437530e-04
-1.068000e-02   2.232610e-03   7.823671e-04
-1.063200e-02   1.776209e-03   4.642657e-04
-1.058400e-02   3.230089e-03   1.012276e-03
-1.053600e-02   3.292921e-03   5.783502e-04
-1.048800e-02   3.529611e-03   1.004693e-03
-1.044000e-02   2.132726e-03   7.737478e-04
-1.039200e-02   2.897045e-03   1.010134e-03
-1.034400e-02   4.080788e-03   9.092398e-04
-1.029600e-02   4.979753e-03   1.097293e-03
-1.024800e-02   1.683115e-03   4.011147e-04
-1.020000e-02   2.863433e-03   7.787259e-04
-1.015200e-02   4.548343e-03   9.682197e-04
-1.010400e-02   2.461322e-03   7.044890e-04
-1.005600e-02   9.687128e-04   2.773890e-04
-1.000800e-02   3.669956e-03   1.525993e-03
-9.960000e-03   1.568907e-03   5.070878e-04
-9.912000e-03   2.538319e-03   7.640140e-04
-9.864000e-03   1.452927e-03   4.332888e-04
-9.816000e-03   1.973802e-03   4.214698e-04
-9.768000e-03   5.665038e-04   2.097261e-04
-9.720000e-03   4.340780e-03   9.140071e-04
-9.672000e-03   1.578811e-03   5.684250e-04
-9.624000e-03   2.032761e-03   7.176612e-04
-9.576000e-03   2.309488e-03   5.238620e-04
-9.528000e-03   2.709353e-03   6.446464e-04
-9.480000e-03   3.943105e-03   1.015471e-03
-9.432000e-03   2.746520e-03   7.177891e-04
-9.384000e-03   2.542205e-03   5.361781e-04
-9.336000e-03   4.117661e-03   1.009771e-03
-9.288000e-03   4.639418e-03   1.615756e-03
-9.240000e-03   3.116359e-03   7.316242e-04
-9.192000e-03   2.752374e-03   6.498299e-04
-9.144000e-03   2.798054e-03   8.675944e-04
-9.096000e-03   2.567329e-03   6.682576e-04
-9.048000e-03   4.466605e-03   1.425226e-03
-9.000000e-03   1.756490e-03   4.186962e-04
-8.952000e-03   1.852821e-03   5.782973e-04
-8.904000e-03   4.279196e-03   1.225852e-03
-8.856000e-03   3.286483e-03   1.377535e-03
-8.808000e-03   2.485972e-03   9.863200e-04
-8.760000e-03   1.068135e-03   4.906993e-04
-8.712000e-03   3.291183e-04   1.312904e-04
-8.664000e-03   2.418707e-03   6.486567e-04
-8.616000e-03   1.826349e-03   6.090093e-04
-8.568000e-03   8.557063e-04   2.825811e-04
-8.520000e-03   5.414863e-03   1.741168e-03
-8.472000e-03   3.282169e-03   9.717062e-04
-8.424000e-03   4.154574e-03   8.656066e-04
-8.376000e-03   2.522346e-03   7.749926e-04
-8.328000e-03   2.287075e-03   7.005409e-04
-8.280000e-03   4.206168e-03   1.156022e-03
-8.232000e-03   8.683824e-04   2.459875e-04
-8.184000e-03   1.110611e-03   4.252247e-04
-8.136000e-03   1.187303e-03   2.182063e-04
-8.088000e-03   3.231534e-03   7.946536e-04
-8.040000e-03   1.960980e-03   5.366701e-04
-7.992000e-03   1.462127e-03   2.971204e-04
-7.944000e-03   3.889891e-03   8.338764e-04
-7.896000e-03   3.671768e-03   9.882859e-04
-7.848000e-03   2.801833e-03   7.682943e-04
-7.800000e-03   1.085051e-03   3.129447e-04
-7.752000e-03   2.269991e-03   9.271946e-04
-7.704000e-03   2.131736e-03   6.017485e-04
-7.656000e-03   2.118331e-03   6.949840e-04
-7.608000e-03   3.162244e-03   8.241572e-04
-7.560000e-03   2.394546e-03   5.694430e-04
-7.512000e-03   2.347863e-03   6.905126e-04
-7.464000e-03   4.664047e-03   1.303557e-03
-7.416000e-03   2.143719e-03   5.219800e-04
-7.368000e-03   3.999677e-03   1.248058e-03
-7.320000e-03   2.315015e-03   6.287050e-04
-7.272000e-03   3.195752e-03   8.815353e-04
-7.224000e-03   9.584031e-04   3.488729e-04
-7.176000e-03   6.638504e-04   2.222690e-04
-7.128000e-03   9.236203e-04   2.649002e-04
-7.080000e-03   2.512831e-03   8.009871e-04
-7.032000e-03   3.496493e-03   9.642838e-04
-6.984000e-03   3.419604e-03   1.383933e-03
-6.936000e-03   4.036674e-03   1.106840e-03
-6.888000e-03   1.792721e-03   3.748936e-04
-6.840000e-03   3.136357e-03   7.065434e-04
-6.792000e-03   2.288352e-03   4.884364e-04
-6.744000e-03   2.651943e-03   6.586885e-04
-6.696000e-03   1.417408e-03   3.809103e-04
-6.648000e-03   3.757424e-03   9.623056e-04
-6.600000e-03   1.154673e-03   3.049020e-04
-6.552000e-03   3.402884e-03   9.263485e-04
-6.504000e-03   1.598413e-03   3.860249e-04
-6.456000e-03   2.018320e-03   7.044861e-04
-6.408000e-03   2.931001e-03   7.541356e-04
-6.360000e-03   3.639370e-03   1.018206e-03
-6.312000e-03   3.117810e-03   8.325116e-04
-6.264000e-03   4.108653e-03   1.347802e-03
-6.216000e-03   3.283426e-03   1.010753e-03
-6.168000e-03   1.907917e-03   3.786522e-04
-6.120000e-03   4.232144e-03   1.186288e-03
-6.072000e-03   4.460668e-03   1.110569e-03
-6.024000e-03   3.549047e-03   7.695839e-04
-5.976000e-03   1.992721e-03   5.087690e-04
-5.928000e-03   3.443102e-03   8.835308e-04
-5.880000e-03   3.357569e-03   7.391951e-04
-5.832000e-03   1.290441e-03   3.230598e-04
-5.784000e-03   2.527148e-03   5.419503e-04
-5.736000e-03   2.705851e-03   8.216918e-04
-5.688000e-03   2.682643e-03   9.761923e-04
-5.640000e-03   2.662438e-03   4.758933e-04
-5.592000e-03   2.531536e-03   5.837273e-04
-5.544000e-03   4.310661e-03   1.047357e-03
-5.496000e-03   3.418177e-03   1.181872e-03
-5.448000e-03   1.060784e-03   2.596061e-04
-5.400000e-03   3.114840e-03   7.450078e-04
-5.352000e-03   4.467119e-03   1.248016e-03
-5.304000e-03   2.174259e-03   5.516586e-04
-5.256000e-03   1.381300e-03   6.258020e-04
-5.208000e-03   1.842230e-03   3.754092e-04
-5.160000e-03   2.244526e-03   6.653233e-04
-5.112000e-03   2.508100e-03   9.914785e-04
-5.064000e-03   1.484620e-03   5.809733e-04
-5.016000e-03   2.244355e-03   5.949422e-04
-4.968000e-03   1.670602e-03   3.158046e-04
-4.920000e-03   2.625690e-03   6.832437e-04
-4.872000e-03   2.490217e-03   6.951886e-04
-4.824000e-03   3.609801e-03   1.488354e-03
-4.776000e-03   3.375772e-03   7.411632e-04
-4.728000e-03   6.216193e-03   1.503201e-03
-4.680000e-03   2.560557e-03   7.758907e-04
-4.632000e-03   1.775957e-03   4.218966e-04
-4.584000e-03   1.775544e-03   3.971390e-04
-4.536000e-03   3.580464e-03   1.483198e-03
-4.488000e-03   5.309499e-03   1.204900e-03
-4.440000e-03   2.209386e-03   5.032022e-04
-4.392000e-03   5.974411e-03   2.325659e-03
-4.344000e-03   5.148165e-03   1.168752e-03
-4.296000e-03   1.415688e-03   3.699272e-04
-4.248000e-03   1.309017e-03   5.146550e-04
-4.200000e-03   1.908217e-03   4.847147e-04
-4.152000e-03   8.137163e-04   3.179066e-04
-4.104000e-03   3.169976e-03   7.723491e-04
-4.056000e-03   2.070631e-03   5.171408e-04
-4.008000e-03   7.865615e-04   3.095008e-04
-3.960000e-03   2.140319e-03   4.191729e-04
-3.912000e-03   3.198268e-03   7.821394e-04
-3.864000e-03   2.527449e-03   5.061663e-04
-3.816000e-03   2.470197e-03   7.584726e-04
-3.768000e-03   1.821709e-03   4.568147e-04
-3.720000e-03   3.488476e-03   1.149906e-03
-3.672000e-03   2.210227e-03   8.078372e-04
-3.624000e-03   3.677844e-03   8.154612e-04
-3.576000e-03   4.458353e-03   1.147588e-03
-3.528000e-03   1.860533e-03   6.569733e-04
-3.480000e-03   1.160621e-02   3.934094e-03
-3.432000e-03   3.092410e-03   1.008871e-03
-3.384000e-03   2.719594e-03   5.382048e-04
-3.336000e-03   4.697188e-03   1.275721e-03
-3.288000e-03   2.995374e-03   7.733253e-04
-3.240000e-03   5.703588e-03   1.673591e-03
-3.192000e-03   2.074010e-03   6.399604e-04
-3.144000e-03   4.618659e-03   1.306794e-03
-3.096000e-03   2.123020e-03   7.208800e-04
-3.048000e-03   1.370021e-03   3.816704e-04
-3.000000e-03   2.126385e-03   4.390635e-04
-2.952000e-03   2.083956e-03   4.753418e-04
-2.904000e-03   1.728179e-03   5.223771e-04
-2.856000e-03   5.371918e-03   2.155685e-03
-2.808000e-03   4.064724e-03   1.076994e-03
-2.760000e-03   1.638780e-03   5.380505e-04
-2.712000e-03   2.469596e-03   9.940769e-04
-2.664000e-03   1.318781e-03   3.242752e-04
-2.616000e-03   5.071189e-03   1.719900e-03
-2.568000e-03   3.822115e-03   1.517619e-03
-2.520000e-03   6.773351e-04   1.764289e-04
-2.472000e-03   3.875281e-03   1.195823e-03
-2.424000e-03   5.180722e-03   1.418109e-03
-2.376000e-03   1.758093e-03   4.956226e-04
-2.328000e-03   5.334172e-03   1.790869e-03
-2.280000e-03   3.741864e-03   1.144611e-03
-2.232000e-03   1.997350e-03   5.680200e-04
-2.184000e-03   2.158866e-03   6.250064e-04
-2.136000e-03   1.153002e-03   3.568980e-04
-2.088000e-03   2.463503e-03   5.944637e-04
-2.040000e-03   1.515638e-03   5.856741e-04
-1.992000e-03   1.030938e-03   3.071123e-04
-1.944000e-03   2.200603e-03   5.578059e-04
-1.896000e-03   4.701996e-03   2.083626e-03
-1.848000e-03   2.412920e-03   5.587313e-04
-1.800000e-03   2.323748e-03   8.272193e-04
-1.752000e-03   2.600308e-03   6.875941e-04
-1.704000e-03   7.619694e-03   2.638342e-03
-1.656000e-03   3.867358e-03   8.490222e-04
-1.608000e-03   1.633310e-03   6.124671e-04
-1.560000e-03   1.928458e-03   5.891560e-04
-1.512000e-03   1.398360e-03   4.323452e-04
-1.464000e-03   5.004334e-04   1.305920e-04
-1.416000e-03   5.968687e-03   1.575563e-03
-1.368000e-03   1.341503e-03   4.297875e-04
-1.320000e-03   2.041258e-03   5.010296e-04
-1.272000e-03   5.232553e-03   1.891656e-03
-1.224000e-03   2.674635e-03   6.688990e-04
-1.176000e-03   1.528446e-03   4.712086e-04
-1.128000e-03   1.945833e-03   4.428725e-04
-1.080000e-03   3.765132e-03   8.912268e-04
-1.032000e-03   1.444076e-03   4.560888e-04
-9.840000e-04   3.941462e-03   8.952769e-04
-9.360000e-04   3.636786e-03   1.024892e-03
-8.880000e-04   1.970659e-03   6.341663e-04
-8.400000e-04   1.728319e-03   4.225338e-04
-7.920000e-04   1.635533e-03   4.382657e-04
-7.440000e-04   7.967362e-04   2.602894e-04
-6.960000e-04   1.839944e-03   4.590435e-04
-6.480000e-04   1.523909e-03   3.879937e-04
-6.000000e-04   1.644976e-03   6.332647e-04
-5.520000e-04   2.016634e-03   4.099202e-04
-5.040000e-04   6.059116e-03   2.470568e-03
-4.560000e-04   1.356381e-03   5.078734e-04
-4.080000e-04   1.867081e-03   4.425217e-04
-3.600000e-04   1.455686e-03   3.938949e-04
-3.120000e-04   2.157510e-03   5.210136e-04
-2.640000e-04   1.658092e-03   5.108833e-04
-2.160000e-04   3.311977e-03   7.852690e-04
-1.680000e-04   2.088785e-03   5.217996e-04
-1.200000e-04   5.405685e-03   1.445496e-03
-7.200000e-05   1.480594e-03   3.576545e-04
-2.400000e-05  -9.480129e+03   4.133952e+02
 2.400000e-05   3.319559e-03   7.193060e-04
 7.200000e-05   1.487509e-03   4.717488e-04
 1.200000e-04   3.044102e-03   8.598991e-04
 1.680000e-04   2.765219e-03   5.513476e-04
 2.160000e-04   1.970983e-03   6.601249e-04
 2.640000e-04   1.942986e-03   5.606519e-04
 3.120000e-04   2.123729e-03   5.395561e-04
 3.600000e-04   2.155577e-03   4.697052e-04
 4.080000e-04   2.004837e-03   7.107244e-04
 4.560000e-04   1.298389e-03   3.164483e-04
 5.040000e-04   1.202868e-03   3.748203e-04
 5.520000e-04   1.941126e-03   2.937712e-04
 6.000000e-04   1.883016e-03   5.135793e-04
 6.480000e-04   2.042654e-03   7.233320e-04
 6.960000e-04   3.411492e-03   6.358545e-04
 7.440000e-04   2.898434e-03   1.082606e-03
 7.920000e-04   1.071616e-03   3.802492e-04
 8.400000e-04   2.477982e-03   6.434449e-04
 8.880000e-04   4.557250e-03   1.581762e-03
 9.360000e-04   3.958083e-03   1.096544e-03
 9.840000e-04   1.801017e-03   5.437199e-04
 1.032000e-03   3.037630e-03   8.404885e-04
 1.080000e-03   3.032892e-03   8.277549e-04
 1.128000e-03   1.279376e-03   3.809238e-04
 1.176000e-03   4.527930e-03   1.006090e-03
 1.224000e-03   1.033701e-03   3.968356e-04
 1.272000e-03   9.551899e-04   3.269512e-04
 1.320000e-03   4.444538e-03   1.356537e-03
 1.368000e-03   8.808769e-04   2.095477e-04
 1.416000e-03   3.806623e-03   1.134009e-03
 1.464000e-03   1.284159e-03   2.495997e-04
 1.512000e-03   1.889345e-03   4.734932e-04
 1.560000e-03   1.572272e-03   5.221595e-04
 1.608000e-03   2.762418e-03   1.018495e-03
 1.656000e-03   2.889094e-03   7.856584e-04
 1.704000e-03   5.851099e-04   2.428341e-04
 1.752000e-03   1.742319e-03   5.412411e-04
 1.800000e-03   2.290127e-03   7.455759e-04
 1.848000e-03   1.531260e-03   4.827256e-04
 1.896000e-03   1.211262e-03   4.917986e-04
 1.944000e-03   2.146005e-03   4.601486e-04
 1.992000e-03   4.439435e-03   1.478147e-03
 2.040000e-03   9.451608e-04   2.439577e-04
 2.088000e-03   3.151908e-03   8.128034e-04
 2.136000e-03   4.209062e-03   1.780386e-03
 2.184000e-03   2.554774e-03   7.649708e-04
 2.232000e-03   3.082904e-03   7.339621e-04
 2.280000e-03   1.876429e-03   5.711422e-04
 2.328000e-03   2.281173e-03   6.194692e-04
 2.376000e-03   1.979124e-03   4.978452e-04
 2.424000e-03   1.434678e-03   4.204138e-04
 2.472000e-03   3.128439e-03   6.964849e-04
 2.520000e-03   1.848949e-03   5.485825e-04
 2.568000e-03   2.049777e-03   5.049049e-04
 2.616000e-03   3.276623e-03   1.196014e-03
 2.664000e-03   2.120481e-03   1.144373e-03
 2.712000e-03   2.099019e-03   7.694209e-04
 2.760000e-03   1.779079e-03   5.024919e-04
 2.808000e-03   1.812909e-03   4.084371e-04
 2.856000e-03   1.349704e-03   2.428096e-04
 2.904000e-03   4.183948e-03   1.005810e-03
 2.952000e-03   2.517468e-03   7.280137e-04
 3.000000e-03   8.170701e-04   3.150746e-04
 3.048000e-03   1.995249e-03   7.605571e-04
 3.096000e-03   1.614872e-03   6.179448e-04
 3.144000e-03   1.957760e-03   6.702717e-04
 3.192000e-03   1.298483e-03   4.817661e-04
 3.240000e-03   2.130569e-03   6.941753e-04
 3.288000e-03   2.055212e-03   6.015110e-04
 3.336000e-03   1.038660e-03   3.011387e-04
 3.384000e-03   1.244824e-03   4.181814e-04
 3.432000e-03   2.827619e-03   9.720099e-04
 3.480000e-03   2.169574e-03   5.580704e-04
 3.528000e-03   1.203403e-03   4.097407e-04
 3.576000e-03   1.119183e-03   2.979492e-04
 3.624000e-03   1.729809e-03   5.782425e-04
 3.672000e-03   4.261255e-03   1.332950e-03
 3.720000e-03   6.041359e-04   3.374089e-04
 3.768000e-03   2.702436e-03   1.036904e-03
 3.816000e-03   2.717449e-03   6.943674e-04
 3.864000e-03   1.226574e-03   2.915596e-04
 3.912000e-03   2.552040e-03   6.753889e-04
 3.960000e-03   2.907286e-03   7.443849e-04
 4.008000e-03   2.116765e-03   6.350808e-04
 4.056000e-03   1.878010e-03   4.269583e-04
 4.104000e-03   1.467403e-03   3.788791e-04
 4.152000e-03   5.047196e-03   1.487698e-03
