ql51_lab bin centers    value    Error 
-inf   1.933195e+00   4.134335e-02
 6.500000e-01   5.701571e-01   3.661538e-02
 1.950000e+00   2.876887e-02   1.921905e-04
 3.250000e+00   1.637573e-02   8.584415e-05
 4.550000e+00   1.143954e-02   5.835140e-05
 5.850000e+00   8.792814e-03   5.166278e-05
 7.150000e+00   7.125556e-03   4.582740e-05
 8.450000e+00   6.011610e-03   5.050577e-05
 9.750000e+00   5.187730e-03   2.936750e-05
 1.105000e+01   4.576766e-03   5.427453e-05
 1.235000e+01   4.040045e-03   3.849235e-05
 1.365000e+01   3.737460e-03   3.793909e-05
 1.495000e+01   3.406580e-03   4.387094e-05
 1.625000e+01   3.104690e-03   3.241385e-05
 1.755000e+01   3.076718e-03   5.060422e-05
 1.885000e+01   2.859098e-03   4.954981e-05
 2.015000e+01   2.729500e-03   4.713738e-05
 2.145000e+01   2.608604e-03   3.820119e-05
 2.275000e+01   2.610884e-03   4.145693e-05
 2.405000e+01   2.658010e-03   6.333296e-05
 2.535000e+01   2.495530e-03   4.556023e-05
 2.665000e+01   2.399346e-03   4.415723e-05
 2.795000e+01   2.304708e-03   5.731573e-05
 2.925000e+01   2.083079e-03   4.663681e-05
 3.055000e+01   2.016579e-03   4.533919e-05
 3.185000e+01   1.896201e-03   4.597856e-05
 3.315000e+01   1.664025e-03   4.333873e-05
 3.445000e+01   1.524800e-03   4.593594e-05
 3.575000e+01   1.359936e-03   3.303802e-05
 3.705000e+01   1.283786e-03   5.310047e-05
 3.835000e+01   1.153390e-03   2.717746e-05
 3.965000e+01   1.060154e-03   2.951548e-05
 4.095000e+01   1.028273e-03   2.499720e-05
 4.225000e+01   8.989740e-04   2.154577e-05
 4.355000e+01   8.985952e-04   2.603268e-05
 4.485000e+01   7.987630e-04   2.418425e-05
 4.615000e+01   7.485475e-04   1.655948e-05
 4.745000e+01   6.638290e-04   1.514455e-05
 4.875000e+01   6.558529e-04   1.722069e-05
 5.005000e+01   5.904228e-04   2.311977e-05
 5.135000e+01   5.207925e-04   1.169232e-05
 5.265000e+01   5.062955e-04   1.447367e-05
 5.395000e+01   4.758089e-04   9.414842e-06
 5.525000e+01   4.494065e-04   1.177966e-05
 5.655000e+01   4.158401e-04   1.134355e-05
 5.785000e+01   3.768908e-04   8.017395e-06
 5.915000e+01   3.641641e-04   9.339004e-06
 6.045000e+01   3.275982e-04   7.726529e-06
 6.175000e+01   3.291985e-04   8.590477e-06
 6.305000e+01   2.893972e-04   8.900324e-06
 6.435000e+01   2.787377e-04   7.271377e-06
 6.565000e+01   2.481495e-04   6.330290e-06
 6.695000e+01   2.304969e-04   7.333548e-06
 6.825000e+01   2.214347e-04   6.553461e-06
 6.955000e+01   2.133624e-04   5.770002e-06
 7.085000e+01   2.090363e-04   8.040965e-06
 7.215000e+01   1.876535e-04   5.076268e-06
 7.345000e+01   1.711240e-04   6.722222e-06
 7.475000e+01   1.808946e-04   7.067861e-06
 7.605000e+01   1.554451e-04   6.247894e-06
 7.735000e+01   1.485847e-04   4.219933e-06
 7.865000e+01   1.318737e-04   3.616297e-06
 7.995000e+01   1.230748e-04   3.810362e-06
 8.125000e+01   1.249253e-04   5.146343e-06
 8.255000e+01   1.231908e-04   4.297723e-06
 8.385000e+01   1.100586e-04   4.267963e-06
 8.515000e+01   1.026230e-04   4.242627e-06
 8.645000e+01   9.930826e-05   3.953685e-06
 8.775000e+01   9.653032e-05   3.675186e-06
 8.905000e+01   8.665114e-05   3.189669e-06
 9.035000e+01   9.499947e-05   5.758285e-06
 9.165000e+01   7.480713e-05   3.443592e-06
 9.295000e+01   7.179946e-05   2.972710e-06
 9.425000e+01   7.466734e-05   3.374966e-06
 9.555000e+01   6.374379e-05   2.854233e-06
 9.685000e+01   6.153739e-05   2.475216e-06
 9.815000e+01   5.147224e-05   1.754771e-06
 9.945000e+01   4.949565e-05   2.086423e-06
 1.007500e+02   5.430698e-05   2.191310e-06
 1.020500e+02   4.573294e-05   2.197287e-06
 1.033500e+02   4.343055e-05   1.632864e-06
 1.046500e+02   4.547791e-05   2.161172e-06
 1.059500e+02   4.202272e-05   1.956167e-06
 1.072500e+02   3.547813e-05   1.869458e-06
 1.085500e+02   3.517916e-05   1.602928e-06
 1.098500e+02   3.642294e-05   1.708736e-06
 1.111500e+02   3.036916e-05   2.311090e-06
 1.124500e+02   3.203470e-05   2.091349e-06
 1.137500e+02   2.607304e-05   1.712235e-06
 1.150500e+02   2.480964e-05   1.306196e-06
 1.163500e+02   2.214086e-05   9.694247e-07
 1.176500e+02   2.231085e-05   1.178447e-06
 1.189500e+02   2.165925e-05   1.097037e-06
 1.202500e+02   1.856943e-05   6.784310e-07
 1.215500e+02   1.823045e-05   1.195646e-06
 1.228500e+02   1.559174e-05   6.266357e-07
 1.241500e+02   1.662508e-05   9.288284e-07
 1.254500e+02   1.385381e-05   4.741866e-07
 1.267500e+02   1.443435e-05   5.938128e-07
 1.280500e+02   1.109804e-05   5.166539e-07
 1.293500e+02   9.665536e-06   5.592428e-07
 1.306500e+02   1.088369e-05   6.017729e-07
 1.319500e+02   9.155743e-06   3.910623e-07
 1.332500e+02   8.783998e-06   7.482788e-07
 1.345500e+02   7.917926e-06   5.889606e-07
 1.358500e+02   8.631079e-06   7.924533e-07
 1.371500e+02   6.295951e-06   2.435587e-07
 1.384500e+02   6.005287e-06   3.644193e-07
 1.397500e+02   6.581918e-06   5.113448e-07
 1.410500e+02   4.581588e-06   2.674140e-07
 1.423500e+02   3.643146e-06   1.761978e-07
 1.436500e+02   3.395147e-06   1.076462e-07
 1.449500e+02   3.141430e-06   1.602712e-07
 1.462500e+02   2.690796e-06   1.635918e-07
