ql51_lab bin centers    value    Error 
-inf   2.270398e+00   1.281029e-01
 6.500000e-01   2.691547e-01   1.048117e-01
 1.950000e+00   2.810312e-02   7.669373e-04
 3.250000e+00   1.629984e-02   2.053843e-04
 4.550000e+00   1.116003e-02   1.557240e-04
 5.850000e+00   8.757454e-03   1.269629e-04
 7.150000e+00   6.991551e-03   8.840516e-05
 8.450000e+00   5.944475e-03   8.732559e-05
 9.750000e+00   5.083667e-03   6.521168e-05
 1.105000e+01   4.616338e-03   9.848562e-05
 1.235000e+01   4.571407e-03   1.851851e-04
 1.365000e+01   3.623713e-03   3.216988e-05
 1.495000e+01   3.464333e-03   5.286789e-05
 1.625000e+01   3.187416e-03   6.483175e-05
 1.755000e+01   3.233832e-03   1.380628e-04
 1.885000e+01   2.914862e-03   1.107349e-04
 2.015000e+01   2.731546e-03   9.487779e-05
 2.145000e+01   2.785640e-03   7.871899e-05
 2.275000e+01   2.740598e-03   1.153915e-04
 2.405000e+01   2.533519e-03   9.552454e-05
 2.535000e+01   2.619776e-03   1.157130e-04
 2.665000e+01   2.458797e-03   8.591289e-05
 2.795000e+01   2.364944e-03   1.234694e-04
 2.925000e+01   2.087819e-03   7.072795e-05
 3.055000e+01   2.016066e-03   4.989144e-05
 3.185000e+01   1.793669e-03   6.888728e-05
 3.315000e+01   1.690590e-03   5.917573e-05
 3.445000e+01   1.646207e-03   8.230646e-05
 3.575000e+01   1.483690e-03   5.733065e-05
 3.705000e+01   1.357374e-03   7.989977e-05
 3.835000e+01   1.151599e-03   3.595815e-05
 3.965000e+01   1.164559e-03   5.595196e-05
 4.095000e+01   9.080153e-04   3.298901e-05
 4.225000e+01   9.251942e-04   2.914295e-05
 4.355000e+01   7.996893e-04   3.547899e-05
 4.485000e+01   7.920352e-04   3.173064e-05
 4.615000e+01   7.285892e-04   2.656710e-05
 4.745000e+01   7.152370e-04   3.965364e-05
 4.875000e+01   6.550980e-04   3.161547e-05
 5.005000e+01   5.642649e-04   2.503348e-05
 5.135000e+01   5.427572e-04   3.267644e-05
 5.265000e+01   5.336878e-04   2.638742e-05
 5.395000e+01   4.889546e-04   1.879006e-05
 5.525000e+01   4.978608e-04   2.603706e-05
 5.655000e+01   4.239129e-04   1.673997e-05
 5.785000e+01   3.901700e-04   1.528231e-05
 5.915000e+01   3.574702e-04   1.285238e-05
 6.045000e+01   3.375276e-04   1.801672e-05
 6.175000e+01   3.150067e-04   8.802828e-06
 6.305000e+01   2.731464e-04   1.174004e-05
 6.435000e+01   2.673824e-04   8.313950e-06
 6.565000e+01   2.545199e-04   1.259280e-05
 6.695000e+01   2.562400e-04   1.465976e-05
 6.825000e+01   2.432892e-04   2.768183e-05
 6.955000e+01   2.363147e-04   1.565176e-05
 7.085000e+01   2.160054e-04   1.124705e-05
 7.215000e+01   1.972201e-04   1.354225e-05
 7.345000e+01   1.782352e-04   1.021228e-05
 7.475000e+01   1.764668e-04   7.422095e-06
 7.605000e+01   1.623738e-04   7.683785e-06
 7.735000e+01   1.577055e-04   7.471707e-06
 7.865000e+01   1.436501e-04   6.315173e-06
 7.995000e+01   1.341010e-04   9.180858e-06
 8.125000e+01   1.352816e-04   9.533725e-06
 8.255000e+01   1.168743e-04   5.331984e-06
 8.385000e+01   1.142401e-04   1.108140e-05
 8.515000e+01   1.047955e-04   5.323991e-06
 8.645000e+01   1.079087e-04   6.864115e-06
 8.775000e+01   7.793378e-05   3.356369e-06
 8.905000e+01   9.548271e-05   6.340508e-06
 9.035000e+01   8.905123e-05   3.314391e-06
 9.165000e+01   7.323605e-05   2.845996e-06
 9.295000e+01   8.716720e-05   6.665325e-06
 9.425000e+01   6.329007e-05   2.076302e-06
 9.555000e+01   7.025397e-05   8.147634e-06
 9.685000e+01   5.927592e-05   2.961256e-06
 9.815000e+01   6.131939e-05   3.788149e-06
 9.945000e+01   5.467195e-05   2.786414e-06
 1.007500e+02   4.996475e-05   2.271691e-06
 1.020500e+02   5.830295e-05   4.556015e-06
 1.033500e+02   5.238522e-05   4.504296e-06
 1.046500e+02   4.205713e-05   1.903237e-06
 1.059500e+02   4.662344e-05   2.858473e-06
 1.072500e+02   4.018992e-05   2.876683e-06
 1.085500e+02   3.977792e-05   4.062642e-06
