ql51_lab bin centers    value    Error 
-inf   9.422804e-02   6.066833e-03
 1.625000e+00  -1.246392e-02   1.867520e-03
 4.875000e+00   9.910908e-04   5.877976e-07
 8.125000e+00   5.366226e-04   3.264376e-07
 1.137500e+01   3.519667e-04   2.314217e-07
 1.462500e+01   2.522447e-04   2.386653e-07
 1.787500e+01   1.902814e-04   2.769655e-07
 2.112500e+01   1.492057e-04   2.816259e-07
 2.437500e+01   1.199472e-04   2.409809e-07
 2.762500e+01   9.828438e-05   2.064303e-07
 3.087500e+01   8.299243e-05   2.133455e-07
 3.412500e+01   7.088377e-05   2.169268e-07
 3.737500e+01   6.148149e-05   1.595034e-07
 4.062500e+01   5.371333e-05   1.850782e-07
 4.387500e+01   4.888861e-05   1.880573e-07
 4.712500e+01   4.356178e-05   1.540474e-07
 5.037500e+01   3.950684e-05   1.829447e-07
 5.362500e+01   3.680604e-05   1.905726e-07
 5.687500e+01   3.482051e-05   1.930447e-07
 6.012500e+01   3.280930e-05   1.529650e-07
 6.337500e+01   3.052755e-05   2.046755e-07
 6.662500e+01   2.961837e-05   1.596743e-07
 6.987500e+01   2.829347e-05   1.554637e-07
 7.312500e+01   2.734507e-05   1.684022e-07
 7.637500e+01   2.672628e-05   1.480459e-07
 7.962500e+01   2.583337e-05   2.276227e-07
 8.287500e+01   2.559737e-05   1.110608e-07
 8.612500e+01   2.586185e-05   1.715402e-07
 8.937500e+01   2.596119e-05   1.721227e-07
 9.262500e+01   2.654487e-05   2.042882e-07
 9.587500e+01   2.798165e-05   2.234766e-07
 9.912500e+01   2.835140e-05   2.234525e-07
 1.023750e+02   2.868271e-05   2.758367e-07
 1.056250e+02   2.723155e-05   2.042651e-07
 1.088750e+02   2.534911e-05   2.072431e-07
 1.121250e+02   2.310330e-05   2.530292e-07
 1.153750e+02   1.979525e-05   1.577981e-07
 1.186250e+02   1.632592e-05   1.175178e-07
 1.218750e+02   1.334025e-05   1.263729e-07
 1.251250e+02   9.698242e-06   1.380570e-07
 1.283750e+02   7.761613e-06   1.233097e-07
 1.316250e+02   5.368474e-06   8.946012e-08
 1.348750e+02   4.033212e-06   6.826224e-08
 1.381250e+02   2.808303e-06   7.067848e-08
 1.413750e+02   2.034976e-06   3.222979e-08
 1.446250e+02   1.571505e-06   2.674374e-08
 1.478750e+02   1.219748e-06   1.531990e-08
 1.511250e+02   1.036461e-06   1.066549e-08
 1.543750e+02   8.426356e-07   9.008248e-09
 1.576250e+02   7.158952e-07   1.028600e-08
 1.608750e+02   6.071141e-07   1.164331e-08
 1.641250e+02   5.174617e-07   6.913340e-09
 1.673750e+02   4.444633e-07   9.996664e-09
 1.706250e+02   3.815802e-07   5.759214e-09
 1.738750e+02   3.355427e-07   5.449604e-09
 1.771250e+02   2.924509e-07   6.292784e-09
 1.803750e+02   2.484879e-07   4.599619e-09
 1.836250e+02   2.205670e-07   4.980332e-09
 1.868750e+02   1.928912e-07   2.949087e-09
 1.901250e+02   1.807165e-07   4.530573e-09
 1.933750e+02   1.515951e-07   3.526861e-09
 1.966250e+02   1.459068e-07   4.557613e-09
 1.998750e+02   1.181173e-07   3.412843e-09
 2.031250e+02   1.038892e-07   2.970528e-09
 2.063750e+02   9.457461e-08   2.338757e-09
 2.096250e+02   8.537925e-08   3.055676e-09
 2.128750e+02   7.132656e-08   1.923602e-09
 2.161250e+02   6.667301e-08   1.877972e-09
 2.193750e+02   5.710669e-08   1.701924e-09
 2.226250e+02   5.820189e-08   2.753581e-09
 2.258750e+02   4.845233e-08   1.854572e-09
 2.291250e+02   4.326143e-08   1.732782e-09
 2.323750e+02   3.659463e-08   1.479475e-09
 2.356250e+02   3.287224e-08   1.047511e-09
 2.388750e+02   2.782036e-08   1.546891e-09
 2.421250e+02   2.675959e-08   9.358464e-10
 2.453750e+02   2.412217e-08   1.191413e-09
 2.486250e+02   2.074362e-08   8.655776e-10
 2.518750e+02   1.808365e-08   6.747908e-10
 2.551250e+02   1.574984e-08   7.094378e-10
 2.583750e+02   1.452721e-08   6.444315e-10
 2.616250e+02   1.371143e-08   6.749695e-10
 2.648750e+02   1.147663e-08   5.320904e-10
 2.681250e+02   1.052433e-08   5.655230e-10
 2.713750e+02   8.314629e-09   5.359854e-10
 2.746250e+02   7.779182e-09   4.120179e-10
 2.778750e+02   6.997764e-09   4.354499e-10
 2.811250e+02   5.872389e-09   2.224618e-10
 2.843750e+02   5.211401e-09   3.219016e-10
 2.876250e+02   5.149216e-09   3.815350e-10
 2.908750e+02   3.965520e-09   2.747572e-10
 2.941250e+02   4.773223e-09   7.773778e-10
 2.973750e+02   2.935184e-09   2.052031e-10
 3.006250e+02   3.091867e-09   2.859290e-10
 3.038750e+02   2.323621e-09   2.509317e-10
 3.071250e+02   1.827276e-09   1.044508e-10
 3.103750e+02   1.398733e-09   1.233329e-10
