ql52_lab bin centers    value    Error 
-inf   5.811861e-02   4.445522e-03
 6.500000e-01   1.606715e-01   3.887939e-03
 1.950000e+00   7.906899e-04   1.524312e-05
 3.250000e+00   3.881792e-04   7.032768e-06
 4.550000e+00   2.595209e-04   8.993562e-06
 5.850000e+00   2.197331e-04   1.427349e-05
 7.150000e+00   1.607403e-04   5.641341e-06
 8.450000e+00   1.298506e-04   4.728213e-06
 9.750000e+00   1.134453e-04   5.378232e-06
 1.105000e+01   9.203687e-05   2.198752e-06
 1.235000e+01   8.461979e-05   2.775301e-06
 1.365000e+01   7.549446e-05   2.578690e-06
 1.495000e+01   6.862051e-05   2.896802e-06
 1.625000e+01   6.759986e-05   1.709828e-06
 1.755000e+01   6.267937e-05   2.223578e-06
 1.885000e+01   6.207418e-05   1.885097e-06
 2.015000e+01   6.257123e-05   1.466771e-06
 2.145000e+01   5.885224e-05   2.207076e-06
 2.275000e+01   6.579576e-05   3.139440e-06
 2.405000e+01   7.085242e-05   5.149664e-06
 2.535000e+01   6.833992e-05   4.216878e-06
 2.665000e+01   9.323598e-05   4.653013e-06
 2.795000e+01   7.798825e-05   2.489289e-06
 2.925000e+01   3.647112e-05   1.595636e-06
 3.055000e+01   1.404493e-05   4.220667e-07
 3.185000e+01   6.473050e-06   2.205010e-07
 3.315000e+01   4.432987e-06   1.457845e-07
 3.445000e+01   3.143568e-06   1.492213e-07
 3.575000e+01   2.314321e-06   5.138213e-08
 3.705000e+01   1.733531e-06   7.154658e-08
 3.835000e+01   1.294863e-06   2.780641e-08
 3.965000e+01   1.042679e-06   2.791787e-08
 4.095000e+01   7.285242e-07   4.421729e-08
 4.225000e+01   5.966768e-07   2.591257e-08
 4.355000e+01   4.776870e-07   1.316083e-08
 4.485000e+01   3.108601e-07   2.129879e-08
 4.615000e+01   2.607342e-07   1.120738e-08
 4.745000e+01   2.397938e-07   2.196911e-08
 4.875000e+01   1.560132e-07   8.208060e-09
 5.005000e+01   1.141136e-07   7.228027e-09
 5.135000e+01   1.177626e-07   7.738221e-09
 5.265000e+01   8.077806e-08   6.358649e-09
 5.395000e+01   7.758935e-08   6.161712e-09
 5.525000e+01   5.461190e-08   3.950120e-09
 5.655000e+01   4.522254e-08   3.453485e-09
 5.785000e+01   3.565288e-08   2.251008e-09
 5.915000e+01   2.536076e-08   2.218976e-09
 6.045000e+01   2.284116e-08   2.049454e-09
 6.175000e+01   1.845968e-08   2.139317e-09
 6.305000e+01   1.185043e-08   1.325504e-09
 6.435000e+01   1.161411e-08   1.910255e-09
 6.565000e+01   1.286540e-08   1.454977e-09
 6.695000e+01   7.528740e-09   1.846916e-09
 6.825000e+01   4.401222e-09   1.408701e-09
 6.955000e+01   4.700518e-09   1.519114e-09
 7.085000e+01   2.258214e-09   3.872790e-10
 7.215000e+01   1.110051e-09   2.226339e-10
 7.345000e+01   1.949531e-09   1.143054e-09
 7.475000e+01   7.523872e-10   1.870054e-10
 7.605000e+01   2.089883e-10   6.179509e-11
 7.735000e+01   1.142341e-10   5.815085e-11
 7.865000e+01   8.835645e-13   5.928870e-13
 7.995000e+01   2.532007e-11   1.253317e-11
 8.125000e+01   0.000000e+00   0.000000e+00
 8.255000e+01   0.000000e+00   0.000000e+00
 8.385000e+01   0.000000e+00   0.000000e+00
 8.515000e+01   0.000000e+00   0.000000e+00
 8.645000e+01   0.000000e+00   0.000000e+00
 8.775000e+01   0.000000e+00   0.000000e+00
 8.905000e+01   0.000000e+00   0.000000e+00
 9.035000e+01   0.000000e+00   0.000000e+00
 9.165000e+01   0.000000e+00   0.000000e+00
 9.295000e+01   0.000000e+00   0.000000e+00
 9.425000e+01   0.000000e+00   0.000000e+00
 9.555000e+01   0.000000e+00   0.000000e+00
 9.685000e+01   0.000000e+00   0.000000e+00
 9.815000e+01   0.000000e+00   0.000000e+00
 9.945000e+01   0.000000e+00   0.000000e+00
 1.007500e+02   0.000000e+00   0.000000e+00
 1.020500e+02   0.000000e+00   0.000000e+00
 1.033500e+02   0.000000e+00   0.000000e+00
 1.046500e+02   0.000000e+00   0.000000e+00
 1.059500e+02   0.000000e+00   0.000000e+00
 1.072500e+02   0.000000e+00   0.000000e+00
 1.085500e+02   0.000000e+00   0.000000e+00
 1.098500e+02   0.000000e+00   0.000000e+00
 1.111500e+02   0.000000e+00   0.000000e+00
 1.124500e+02   0.000000e+00   0.000000e+00
 1.137500e+02   0.000000e+00   0.000000e+00
 1.150500e+02   0.000000e+00   0.000000e+00
 1.163500e+02   0.000000e+00   0.000000e+00
 1.176500e+02   0.000000e+00   0.000000e+00
 1.189500e+02   0.000000e+00   0.000000e+00
 1.202500e+02   0.000000e+00   0.000000e+00
 1.215500e+02   0.000000e+00   0.000000e+00
 1.228500e+02   0.000000e+00   0.000000e+00
 1.241500e+02   0.000000e+00   0.000000e+00
 1.254500e+02   0.000000e+00   0.000000e+00
 1.267500e+02   0.000000e+00   0.000000e+00
 1.280500e+02   0.000000e+00   0.000000e+00
 1.293500e+02   0.000000e+00   0.000000e+00
 1.306500e+02   0.000000e+00   0.000000e+00
 1.319500e+02   0.000000e+00   0.000000e+00
 1.332500e+02   0.000000e+00   0.000000e+00
 1.345500e+02   0.000000e+00   0.000000e+00
 1.358500e+02   0.000000e+00   0.000000e+00
 1.371500e+02   0.000000e+00   0.000000e+00
 1.384500e+02   0.000000e+00   0.000000e+00
 1.397500e+02   0.000000e+00   0.000000e+00
 1.410500e+02   0.000000e+00   0.000000e+00
 1.423500e+02   0.000000e+00   0.000000e+00
 1.436500e+02   0.000000e+00   0.000000e+00
 1.449500e+02   0.000000e+00   0.000000e+00
 1.462500e+02   0.000000e+00   0.000000e+00
 1.475500e+02   0.000000e+00   0.000000e+00
 1.488500e+02   0.000000e+00   0.000000e+00
 1.501500e+02   0.000000e+00   0.000000e+00
 1.514500e+02   0.000000e+00   0.000000e+00
 1.527500e+02   0.000000e+00   0.000000e+00
 1.540500e+02   0.000000e+00   0.000000e+00
 1.553500e+02   0.000000e+00   0.000000e+00
 1.566500e+02   0.000000e+00   0.000000e+00
 1.579500e+02   0.000000e+00   0.000000e+00
 1.592500e+02   0.000000e+00   0.000000e+00
 1.605500e+02   0.000000e+00   0.000000e+00
 1.618500e+02   0.000000e+00   0.000000e+00
 1.631500e+02   0.000000e+00   0.000000e+00
 1.644500e+02   0.000000e+00   0.000000e+00
 1.657500e+02   0.000000e+00   0.000000e+00
 1.670500e+02   0.000000e+00   0.000000e+00
