ql52_lab bin centers    value    Error 
-inf   9.006959e-02   2.061046e-03
 1.625000e+00  -1.118891e-02   6.356509e-04
 4.875000e+00   9.918546e-04   4.916260e-07
 8.125000e+00   5.367460e-04   3.122177e-07
 1.137500e+01   3.526859e-04   2.502442e-07
 1.462500e+01   2.521431e-04   2.075606e-07
 1.787500e+01   1.906688e-04   2.062144e-07
 2.112500e+01   1.488396e-04   1.500737e-07
 2.437500e+01   1.199049e-04   2.225450e-07
 2.762500e+01   9.853414e-05   2.173954e-07
 3.087500e+01   8.268010e-05   1.602431e-07
 3.412500e+01   7.082033e-05   1.760039e-07
 3.737500e+01   6.127789e-05   1.117731e-07
 4.062500e+01   5.422190e-05   1.533448e-07
 4.387500e+01   4.831944e-05   1.450111e-07
 4.712500e+01   4.379256e-05   1.674144e-07
 5.037500e+01   4.009305e-05   1.121233e-07
 5.362500e+01   3.714832e-05   1.647230e-07
 5.687500e+01   3.427615e-05   1.432153e-07
 6.012500e+01   3.255747e-05   1.121136e-07
 6.337500e+01   3.070423e-05   2.059121e-07
 6.662500e+01   2.926331e-05   1.463424e-07
 6.987500e+01   2.801345e-05   1.610670e-07
 7.312500e+01   2.757958e-05   1.778991e-07
 7.637500e+01   2.677656e-05   2.104270e-07
 7.962500e+01   2.631729e-05   1.452566e-07
 8.287500e+01   2.596314e-05   1.801826e-07
 8.612500e+01   2.574839e-05   1.602024e-07
 8.937500e+01   2.616344e-05   2.508825e-07
 9.262500e+01   2.682482e-05   1.758425e-07
 9.587500e+01   2.763782e-05   2.344193e-07
 9.912500e+01   2.816591e-05   1.647319e-07
 1.023750e+02   2.869559e-05   1.806005e-07
 1.056250e+02   2.739425e-05   2.405131e-07
 1.088750e+02   2.542150e-05   1.914586e-07
 1.121250e+02   2.271828e-05   1.284257e-07
 1.153750e+02   1.975813e-05   1.344837e-07
 1.186250e+02   1.669548e-05   1.475181e-07
 1.218750e+02   1.298591e-05   1.111979e-07
 1.251250e+02   1.013358e-05   1.123194e-07
 1.283750e+02   7.448991e-06   9.108913e-08
 1.316250e+02   5.838467e-06   8.825713e-08
 1.348750e+02   4.153122e-06   6.580687e-08
 1.381250e+02   2.838370e-06   7.017083e-08
 1.413750e+02   2.119811e-06   4.037730e-08
 1.446250e+02   1.581750e-06   1.749652e-08
 1.478750e+02   1.236336e-06   1.012923e-08
 1.511250e+02   1.038366e-06   1.611331e-08
 1.543750e+02   8.349686e-07   9.359454e-09
 1.576250e+02   7.132101e-07   8.665232e-09
 1.608750e+02   6.230640e-07   8.501728e-09
 1.641250e+02   5.224263e-07   8.989337e-09
 1.673750e+02   4.488097e-07   4.790746e-09
 1.706250e+02   4.088668e-07   1.087558e-08
 1.738750e+02   3.404053e-07   5.130796e-09
 1.771250e+02   2.997563e-07   5.507077e-09
 1.803750e+02   2.614175e-07   4.345991e-09
 1.836250e+02   2.258061e-07   3.728898e-09
 1.868750e+02   1.988398e-07   4.091236e-09
 1.901250e+02   1.831329e-07   4.913239e-09
 1.933750e+02   1.548560e-07   2.933187e-09
 1.966250e+02   1.425957e-07   4.105657e-09
 1.998750e+02   1.235448e-07   2.801453e-09
 2.031250e+02   1.111575e-07   3.108184e-09
 2.063750e+02   9.485452e-08   2.614309e-09
 2.096250e+02   8.373793e-08   1.820101e-09
 2.128750e+02   7.669366e-08   2.328490e-09
 2.161250e+02   6.640570e-08   1.698535e-09
 2.193750e+02   5.861510e-08   1.261862e-09
 2.226250e+02   5.153092e-08   9.557406e-10
 2.258750e+02   5.118260e-08   1.674638e-09
 2.291250e+02   4.114611e-08   1.237522e-09
 2.323750e+02   3.652452e-08   1.039956e-09
 2.356250e+02   3.335739e-08   1.134653e-09
 2.388750e+02   3.056065e-08   1.236153e-09
 2.421250e+02   2.517657e-08   6.209357e-10
 2.453750e+02   2.308336e-08   7.931064e-10
 2.486250e+02   2.058223e-08   7.546329e-10
 2.518750e+02   1.938442e-08   6.741071e-10
 2.551250e+02   1.645853e-08   5.250502e-10
 2.583750e+02   1.516610e-08   5.997111e-10
 2.616250e+02   1.306849e-08   5.247003e-10
 2.648750e+02   1.164566e-08   4.384482e-10
 2.681250e+02   1.060734e-08   5.932010e-10
 2.713750e+02   8.344049e-09   3.525979e-10
 2.746250e+02   9.856943e-09   1.083161e-09
 2.778750e+02   7.438724e-09   2.595063e-10
 2.811250e+02   6.435443e-09   4.167517e-10
 2.843750e+02   5.940927e-09   3.119097e-10
 2.876250e+02   5.022249e-09   2.929752e-10
 2.908750e+02   4.698250e-09   3.399007e-10
 2.941250e+02   3.478956e-09   1.710801e-10
 2.973750e+02   3.225121e-09   1.581657e-10
 3.006250e+02   2.766503e-09   1.521627e-10
 3.038750e+02   2.274311e-09   1.204989e-10
 3.071250e+02   1.921755e-09   9.989047e-11
 3.103750e+02   1.813768e-09   1.882612e-10
 3.136250e+02   1.385677e-09   1.241514e-10
 3.168750e+02   1.241358e-09   6.579032e-11
 3.201250e+02   9.813354e-10   7.977371e-11
 3.233750e+02   6.620012e-10   6.026154e-11
 3.266250e+02   8.743356e-10   9.384593e-11
 3.298750e+02   5.496733e-10   4.956739e-11
 3.331250e+02   4.222825e-10   4.115330e-11
 3.363750e+02   3.240941e-10   3.266806e-11
 3.396250e+02   2.639917e-10   3.137896e-11
 3.428750e+02   1.450882e-10   2.324058e-11
 3.461250e+02   6.908936e-11   1.277245e-11
 3.493750e+02   2.921379e-11   3.873683e-12
 3.526250e+02   9.515234e-12   2.539115e-12
 3.558750e+02   1.569637e-12   9.146902e-13
 3.591250e+02   0.000000e+00   0.000000e+00
 3.623750e+02   0.000000e+00   0.000000e+00
 3.656250e+02   0.000000e+00   0.000000e+00
 3.688750e+02   0.000000e+00   0.000000e+00
 3.721250e+02   0.000000e+00   0.000000e+00
 3.753750e+02   0.000000e+00   0.000000e+00
 3.786250e+02   0.000000e+00   0.000000e+00
