ql52_lab bin centers    value    Error 
-inf   9.836578e-01   2.880646e-02
 6.500000e-01   1.601372e+00   2.228548e-02
 1.950000e+00   3.045429e-02   8.913449e-05
 3.250000e+00   1.753841e-02   3.079447e-05
 4.550000e+00   1.218855e-02   3.319781e-05
 5.850000e+00   9.404707e-03   2.415736e-05
 7.150000e+00   7.668798e-03   2.337205e-05
 8.450000e+00   6.427093e-03   1.840257e-05
 9.750000e+00   5.593394e-03   1.600354e-05
 1.105000e+01   4.928942e-03   1.823199e-05
 1.235000e+01   4.420767e-03   2.152852e-05
 1.365000e+01   4.033347e-03   1.712766e-05
 1.495000e+01   3.735908e-03   1.548538e-05
 1.625000e+01   3.476080e-03   1.639960e-05
 1.755000e+01   3.300788e-03   1.348137e-05
 1.885000e+01   3.118298e-03   1.215003e-05
 2.015000e+01   3.031207e-03   2.169449e-05
 2.145000e+01   2.939187e-03   1.925394e-05
 2.275000e+01   2.923341e-03   1.658457e-05
 2.405000e+01   2.874459e-03   2.003761e-05
 2.535000e+01   2.792613e-03   1.809014e-05
 2.665000e+01   2.702699e-03   2.176686e-05
 2.795000e+01   2.562364e-03   1.538005e-05
 2.925000e+01   2.386300e-03   1.636956e-05
 3.055000e+01   2.164294e-03   1.123218e-05
 3.185000e+01   2.017065e-03   1.780762e-05
 3.315000e+01   1.852992e-03   1.153405e-05
 3.445000e+01   1.683149e-03   1.475623e-05
 3.575000e+01   1.538354e-03   1.289557e-05
 3.705000e+01   1.456000e-03   1.249647e-05
 3.835000e+01   1.321950e-03   1.219378e-05
 3.965000e+01   1.236618e-03   1.063396e-05
 4.095000e+01   1.140393e-03   1.145843e-05
 4.225000e+01   1.047483e-03   8.016083e-06
 4.355000e+01   9.704661e-04   8.730919e-06
 4.485000e+01   8.840571e-04   6.907433e-06
 4.615000e+01   8.467932e-04   7.935885e-06
 4.745000e+01   8.092786e-04   9.951960e-06
 4.875000e+01   7.284084e-04   9.178695e-06
 5.005000e+01   6.940690e-04   1.160294e-05
 5.135000e+01   6.292989e-04   1.070544e-05
 5.265000e+01   6.033170e-04   8.467384e-06
 5.395000e+01   5.613810e-04   5.449946e-06
 5.525000e+01   5.096805e-04   7.743866e-06
 5.655000e+01   4.695819e-04   6.543358e-06
 5.785000e+01   4.561001e-04   6.389245e-06
 5.915000e+01   4.113135e-04   6.356457e-06
 6.045000e+01   4.052535e-04   7.748097e-06
 6.175000e+01   3.734521e-04   4.146410e-06
 6.305000e+01   3.610537e-04   5.725027e-06
 6.435000e+01   3.364110e-04   6.519612e-06
 6.565000e+01   3.140776e-04   7.052033e-06
 6.695000e+01   2.921876e-04   4.174146e-06
 6.825000e+01   2.749691e-04   5.063879e-06
 6.955000e+01   2.607598e-04   3.568463e-06
 7.085000e+01   2.526342e-04   4.628876e-06
 7.215000e+01   2.240770e-04   3.703481e-06
 7.345000e+01   2.201177e-04   4.527245e-06
 7.475000e+01   2.117185e-04   4.016118e-06
 7.605000e+01   1.943643e-04   3.079016e-06
 7.735000e+01   1.797312e-04   3.280688e-06
 7.865000e+01   1.708229e-04   3.102287e-06
 7.995000e+01   1.691329e-04   3.798560e-06
 8.125000e+01   1.555467e-04   2.688114e-06
 8.255000e+01   1.511275e-04   4.155482e-06
 8.385000e+01   1.436883e-04   3.001983e-06
 8.515000e+01   1.371721e-04   3.175753e-06
 8.645000e+01   1.274790e-04   2.691162e-06
 8.775000e+01   1.176699e-04   2.771741e-06
 8.905000e+01   1.130269e-04   3.520148e-06
 9.035000e+01   1.013367e-04   2.068575e-06
 9.165000e+01   1.048757e-04   3.154833e-06
 9.295000e+01   1.003885e-04   3.101456e-06
 9.425000e+01   9.671781e-05   4.098119e-06
 9.555000e+01   8.469377e-05   1.501662e-06
 9.685000e+01   8.524609e-05   2.765520e-06
 9.815000e+01   7.507078e-05   1.897182e-06
 9.945000e+01   7.711804e-05   2.304604e-06
 1.007500e+02   7.151215e-05   2.558214e-06
 1.020500e+02   6.658069e-05   2.079246e-06
 1.033500e+02   6.861329e-05   2.924958e-06
 1.046500e+02   6.509238e-05   2.138027e-06
 1.059500e+02   5.645390e-05   2.270081e-06
 1.072500e+02   5.296817e-05   1.821298e-06
 1.085500e+02   5.284090e-05   2.177315e-06
 1.098500e+02   5.054271e-05   1.921967e-06
 1.111500e+02   4.392669e-05   1.596935e-06
 1.124500e+02   4.468552e-05   2.118308e-06
 1.137500e+02   4.802479e-05   1.747446e-06
 1.150500e+02   3.972030e-05   1.635763e-06
 1.163500e+02   4.023851e-05   1.999568e-06
 1.176500e+02   3.621509e-05   2.040777e-06
 1.189500e+02   3.618703e-05   1.865299e-06
 1.202500e+02   3.062359e-05   1.044789e-06
 1.215500e+02   3.375885e-05   1.509785e-06
 1.228500e+02   3.177113e-05   1.766915e-06
 1.241500e+02   2.621207e-05   1.233763e-06
 1.254500e+02   2.965342e-05   1.990443e-06
 1.267500e+02   2.144914e-05   1.021807e-06
 1.280500e+02   2.344376e-05   1.423962e-06
 1.293500e+02   2.016012e-05   7.259697e-07
 1.306500e+02   2.114230e-05   1.161557e-06
 1.319500e+02   1.936293e-05   8.638959e-07
 1.332500e+02   1.675173e-05   7.899890e-07
 1.345500e+02   1.831915e-05   1.035660e-06
 1.358500e+02   1.312887e-05   8.150536e-07
 1.371500e+02   1.326601e-05   7.536894e-07
 1.384500e+02   1.296304e-05   7.211787e-07
 1.397500e+02   1.178221e-05   5.194023e-07
 1.410500e+02   1.189179e-05   6.112743e-07
 1.423500e+02   9.795089e-06   5.241137e-07
 1.436500e+02   8.737392e-06   4.403792e-07
 1.449500e+02   9.531245e-06   5.848691e-07
 1.462500e+02   9.870016e-06   7.130138e-07
 1.475500e+02   6.497651e-06   2.426337e-07
 1.488500e+02   7.607523e-06   5.892318e-07
 1.501500e+02   7.023175e-06   4.608149e-07
 1.514500e+02   5.799394e-06   3.835267e-07
 1.527500e+02   5.588795e-06   3.619862e-07
 1.540500e+02   4.692847e-06   1.828302e-07
 1.553500e+02   4.087774e-06   1.546943e-07
 1.566500e+02   3.968642e-06   1.411502e-07
 1.579500e+02   3.492475e-06   9.955075e-08
 1.592500e+02   3.477075e-06   1.630234e-07
 1.605500e+02   3.128779e-06   1.297555e-07
 1.618500e+02   2.697192e-06   7.242582e-08
 1.631500e+02   2.721207e-06   1.110221e-07
 1.644500e+02   2.351786e-06   5.371272e-08
 1.657500e+02   2.290736e-06   9.875725e-08
 1.670500e+02   2.146484e-06   6.499214e-08
 1.683500e+02   1.990448e-06   7.933018e-08
 1.696500e+02   1.886913e-06   4.616794e-08
 1.709500e+02   1.840750e-06   5.823752e-08
 1.722500e+02   1.579012e-06   4.275179e-08
 1.735500e+02   1.539444e-06   5.159271e-08
 1.748500e+02   1.474516e-06   3.373520e-08
 1.761500e+02   1.402683e-06   3.167218e-08
 1.774500e+02   1.287537e-06   3.530844e-08
 1.787500e+02   1.211016e-06   2.986830e-08
 1.800500e+02   1.147207e-06   3.318821e-08
 1.813500e+02   1.084897e-06   3.294312e-08
 1.826500e+02   1.023847e-06   3.142241e-08
 1.839500e+02   9.844768e-07   3.748297e-08
 1.852500e+02   9.322093e-07   2.882890e-08
 1.865500e+02   9.035845e-07   3.537230e-08
 1.878500e+02   7.906375e-07   2.448296e-08
 1.891500e+02   7.855228e-07   1.935431e-08
 1.904500e+02   7.464072e-07   2.327368e-08
 1.917500e+02   6.701618e-07   2.486251e-08
 1.930500e+02   6.548697e-07   2.637835e-08
 1.943500e+02   6.363813e-07   1.869524e-08
 1.956500e+02   6.344066e-07   4.612580e-08
 1.969500e+02   5.479289e-07   1.709894e-08
 1.982500e+02   6.163338e-07   2.565453e-08
 1.995500e+02   4.991266e-07   2.139305e-08
 2.008500e+02   5.197960e-07   1.441621e-08
 2.021500e+02   4.915872e-07   1.743267e-08
 2.034500e+02   4.370072e-07   1.702812e-08
 2.047500e+02   4.546056e-07   1.803224e-08
 2.060500e+02   3.774042e-07   1.236763e-08
 2.073500e+02   3.672225e-07   1.806687e-08
 2.086500e+02   3.621100e-07   1.654573e-08
 2.099500e+02   3.456415e-07   1.998126e-08
 2.112500e+02   3.205530e-07   9.813161e-09
 2.125500e+02   3.372979e-07   1.635536e-08
 2.138500e+02   2.933141e-07   1.578220e-08
 2.151500e+02   2.781275e-07   1.038363e-08
 2.164500e+02   2.758642e-07   1.121306e-08
 2.177500e+02   2.608942e-07   5.451583e-09
 2.190500e+02   2.364931e-07   1.175167e-08
 2.203500e+02   2.353246e-07   1.004714e-08
 2.216500e+02   2.011016e-07   8.933400e-09
 2.229500e+02   2.189898e-07   1.254968e-08
 2.242500e+02   1.963054e-07   9.319408e-09
 2.255500e+02   1.902135e-07   9.598973e-09
 2.268500e+02   1.788133e-07   7.783614e-09
 2.281500e+02   1.903662e-07   1.012271e-08
 2.294500e+02   1.675625e-07   6.876858e-09
 2.307500e+02   1.608343e-07   1.133767e-08
 2.320500e+02   1.492775e-07   1.103877e-08
 2.333500e+02   1.436466e-07   6.540104e-09
 2.346500e+02   1.532174e-07   8.559813e-09
 2.359500e+02   1.265898e-07   7.347135e-09
 2.372500e+02   1.191480e-07   5.500928e-09
 2.385500e+02   1.279251e-07   7.564703e-09
 2.398500e+02   1.025470e-07   5.624755e-09
 2.411500e+02   1.080727e-07   5.855671e-09
 2.424500e+02   9.963529e-08   5.905217e-09
 2.437500e+02   9.695497e-08   5.210613e-09
 2.450500e+02   9.300899e-08   5.264697e-09
 2.463500e+02   8.419498e-08   4.649362e-09
 2.476500e+02   8.821630e-08   6.010931e-09
 2.489500e+02   7.982465e-08   3.562999e-09
