ql52_lab bin centers    value    Error 
-inf   9.895245e-01   3.106142e-02
 6.500000e-01   1.597373e+00   2.387817e-02
 1.950000e+00   3.045590e-02   6.702265e-05
 3.250000e+00   1.751028e-02   7.477368e-05
 4.550000e+00   1.221224e-02   3.799444e-05
 5.850000e+00   9.318079e-03   3.714458e-05
 7.150000e+00   7.605359e-03   1.823367e-05
 8.450000e+00   6.379802e-03   1.832598e-05
 9.750000e+00   5.536580e-03   2.626032e-05
 1.105000e+01   4.932897e-03   2.013426e-05
 1.235000e+01   4.426935e-03   2.757956e-05
 1.365000e+01   4.018772e-03   1.821210e-05
 1.495000e+01   3.733882e-03   1.509526e-05
 1.625000e+01   3.477749e-03   1.621936e-05
 1.755000e+01   3.288701e-03   1.891423e-05
 1.885000e+01   3.109751e-03   1.905175e-05
 2.015000e+01   3.035767e-03   1.497758e-05
 2.145000e+01   2.968281e-03   2.378417e-05
 2.275000e+01   2.935093e-03   1.996986e-05
 2.405000e+01   2.901222e-03   1.806948e-05
 2.535000e+01   2.830912e-03   1.326284e-05
 2.665000e+01   2.737785e-03   2.159511e-05
 2.795000e+01   2.563181e-03   1.644319e-05
 2.925000e+01   2.394360e-03   1.620558e-05
 3.055000e+01   2.198561e-03   1.363218e-05
 3.185000e+01   2.056930e-03   2.023067e-05
 3.315000e+01   1.822525e-03   1.377651e-05
 3.445000e+01   1.687600e-03   1.317351e-05
 3.575000e+01   1.558062e-03   1.116193e-05
 3.705000e+01   1.448474e-03   1.125311e-05
 3.835000e+01   1.342117e-03   1.388989e-05
 3.965000e+01   1.221769e-03   1.065367e-05
 4.095000e+01   1.136396e-03   9.498101e-06
 4.225000e+01   1.046370e-03   1.129704e-05
 4.355000e+01   9.679875e-04   1.018380e-05
 4.485000e+01   9.124890e-04   9.651045e-06
 4.615000e+01   8.378537e-04   8.576242e-06
 4.745000e+01   7.689535e-04   5.422728e-06
 4.875000e+01   7.371011e-04   7.911588e-06
 5.005000e+01   6.885704e-04   8.418483e-06
 5.135000e+01   6.204881e-04   5.654162e-06
 5.265000e+01   5.888318e-04   6.931151e-06
 5.395000e+01   5.651022e-04   7.400678e-06
 5.525000e+01   5.156511e-04   8.142361e-06
 5.655000e+01   4.833286e-04   6.527918e-06
 5.785000e+01   4.590311e-04   6.689967e-06
 5.915000e+01   4.270336e-04   6.175247e-06
 6.045000e+01   4.052835e-04   5.247203e-06
 6.175000e+01   3.832775e-04   4.685307e-06
 6.305000e+01   3.413027e-04   5.179390e-06
 6.435000e+01   3.329752e-04   5.267133e-06
 6.565000e+01   3.249528e-04   5.468474e-06
 6.695000e+01   2.980580e-04   4.582648e-06
 6.825000e+01   2.796382e-04   5.535410e-06
 6.955000e+01   2.590570e-04   5.706913e-06
 7.085000e+01   2.408949e-04   4.174614e-06
 7.215000e+01   2.328237e-04   4.322831e-06
 7.345000e+01   2.314231e-04   4.549357e-06
 7.475000e+01   2.066544e-04   4.862360e-06
 7.605000e+01   2.105175e-04   5.271308e-06
 7.735000e+01   1.927863e-04   4.515119e-06
 7.865000e+01   1.740713e-04   3.741059e-06
 7.995000e+01   1.650517e-04   3.456769e-06
 8.125000e+01   1.542479e-04   5.250171e-06
 8.255000e+01   1.467553e-04   3.377566e-06
 8.385000e+01   1.393887e-04   2.832190e-06
 8.515000e+01   1.291998e-04   4.030685e-06
 8.645000e+01   1.177864e-04   2.226993e-06
 8.775000e+01   1.133206e-04   2.163786e-06
 8.905000e+01   1.119500e-04   3.893233e-06
 9.035000e+01   1.079483e-04   2.452432e-06
 9.165000e+01   1.109462e-04   3.257407e-06
 9.295000e+01   9.654107e-05   2.310333e-06
 9.425000e+01   9.373630e-05   3.469029e-06
 9.555000e+01   9.018615e-05   2.412460e-06
 9.685000e+01   8.307486e-05   2.175998e-06
 9.815000e+01   7.850494e-05   2.442623e-06
 9.945000e+01   7.390554e-05   1.935012e-06
 1.007500e+02   6.895156e-05   2.303348e-06
 1.020500e+02   7.167345e-05   2.968003e-06
 1.033500e+02   6.255760e-05   2.047275e-06
 1.046500e+02   6.547960e-05   2.644892e-06
 1.059500e+02   5.798293e-05   1.892372e-06
 1.072500e+02   5.526596e-05   1.825130e-06
 1.085500e+02   5.255729e-05   1.646818e-06
 1.098500e+02   4.589296e-05   1.685591e-06
 1.111500e+02   5.015893e-05   2.357847e-06
 1.124500e+02   4.308242e-05   1.852560e-06
 1.137500e+02   4.202075e-05   1.619181e-06
 1.150500e+02   3.696992e-05   1.001127e-06
 1.163500e+02   3.694665e-05   1.217188e-06
 1.176500e+02   3.317420e-05   1.158681e-06
 1.189500e+02   3.554111e-05   1.988135e-06
 1.202500e+02   3.169852e-05   1.244469e-06
 1.215500e+02   3.204058e-05   1.342329e-06
 1.228500e+02   3.276375e-05   2.324710e-06
 1.241500e+02   2.921047e-05   2.081978e-06
 1.254500e+02   2.541396e-05   1.202929e-06
 1.267500e+02   2.452022e-05   9.479980e-07
 1.280500e+02   2.148875e-05   9.697267e-07
 1.293500e+02   1.977865e-05   7.066400e-07
 1.306500e+02   2.027535e-05   9.093234e-07
 1.319500e+02   2.268315e-05   2.076313e-06
 1.332500e+02   1.750866e-05   8.327507e-07
 1.345500e+02   1.745346e-05   9.380560e-07
 1.358500e+02   1.711932e-05   1.007074e-06
 1.371500e+02   1.504534e-05   9.879000e-07
 1.384500e+02   1.378623e-05   9.202721e-07
 1.397500e+02   1.232840e-05   7.341521e-07
 1.410500e+02   1.118442e-05   7.299214e-07
 1.423500e+02   1.106603e-05   6.718562e-07
 1.436500e+02   9.019942e-06   5.229880e-07
 1.449500e+02   9.430560e-06   6.714210e-07
 1.462500e+02   7.848270e-06   4.107091e-07
 1.475500e+02   7.135858e-06   4.085345e-07
 1.488500e+02   5.704106e-06   3.081671e-07
 1.501500e+02   6.052091e-06   3.110939e-07
 1.514500e+02   4.989428e-06   1.765804e-07
 1.527500e+02   5.260255e-06   3.409338e-07
 1.540500e+02   4.990381e-06   4.664921e-07
 1.553500e+02   4.133408e-06   1.903900e-07
 1.566500e+02   4.046360e-06   1.762832e-07
 1.579500e+02   3.366448e-06   1.322081e-07
 1.592500e+02   3.678647e-06   1.482998e-07
 1.605500e+02   2.888207e-06   1.314299e-07
 1.618500e+02   2.937755e-06   1.327253e-07
 1.631500e+02   2.612495e-06   7.569137e-08
 1.644500e+02   2.537217e-06   8.062444e-08
 1.657500e+02   2.213225e-06   5.391776e-08
 1.670500e+02   2.107738e-06   5.038914e-08
 1.683500e+02   2.048753e-06   7.692115e-08
 1.696500e+02   1.855850e-06   4.328954e-08
 1.709500e+02   1.780784e-06   4.717831e-08
 1.722500e+02   1.597271e-06   3.826120e-08
 1.735500e+02   1.553964e-06   4.578748e-08
 1.748500e+02   1.424917e-06   3.298327e-08
 1.761500e+02   1.336765e-06   2.589951e-08
 1.774500e+02   1.258261e-06   2.750819e-08
 1.787500e+02   1.246056e-06   3.119689e-08
 1.800500e+02   1.160583e-06   3.890277e-08
 1.813500e+02   1.124030e-06   3.901029e-08
 1.826500e+02   9.943935e-07   2.626203e-08
 1.839500e+02   9.811105e-07   3.553587e-08
 1.852500e+02   9.032193e-07   3.432107e-08
 1.865500e+02   8.787346e-07   3.578035e-08
 1.878500e+02   7.948433e-07   1.996627e-08
 1.891500e+02   7.542167e-07   2.537743e-08
