th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   2.461581e+02   1.091297e+01
 3.035500e-04   4.259589e+02   1.251341e+01
 3.069700e-04   5.150096e+02   1.726575e+01
 3.103900e-04   5.252601e+02   1.482642e+01
 3.138100e-04   6.081510e+02   2.464958e+01
 3.172300e-04   1.303159e+04   1.723109e+01
 3.206500e-04   1.644094e+04   2.912368e+01
 3.240700e-04   1.599750e+04   1.846214e+01
 3.274900e-04   1.552551e+04   1.426874e+01
 3.309100e-04   1.518274e+04   2.739250e+01
 3.343300e-04   1.470596e+04   1.025966e+01
 3.377500e-04   1.429769e+04   2.097597e+01
 3.411700e-04   1.394598e+04   2.334104e+01
 3.445900e-04   1.354179e+04   1.429487e+01
 3.480100e-04   1.322808e+04   1.055058e+01
 3.514300e-04   1.286652e+04   1.697412e+01
 3.548500e-04   1.251276e+04   1.133229e+01
 3.582700e-04   1.219935e+04   1.282941e+01
 3.616900e-04   1.190756e+04   1.601403e+01
 3.651100e-04   1.156723e+04   1.227613e+01
 3.685300e-04   1.130231e+04   1.414093e+01
 3.719500e-04   1.103860e+04   1.456885e+01
 3.753700e-04   1.076363e+04   1.186407e+01
 3.787900e-04   1.048680e+04   1.422882e+01
 3.822100e-04   1.027077e+04   1.414017e+01
 3.856300e-04   1.002346e+04   1.538559e+01
 3.890500e-04   9.766546e+03   8.751816e+00
 3.924700e-04   9.520343e+03   1.191588e+01
 3.958900e-04   9.380373e+03   2.033772e+01
 3.993100e-04   9.119198e+03   8.269790e+00
 4.027300e-04   8.890454e+03   1.059031e+01
 4.061500e-04   8.687809e+03   1.040377e+01
 4.095700e-04   8.478939e+03   1.229201e+01
 4.129900e-04   8.316206e+03   1.758169e+01
 4.164100e-04   8.089532e+03   1.352339e+01
 4.198300e-04   7.954771e+03   9.673216e+00
 4.232500e-04   7.775610e+03   1.660421e+01
 4.266700e-04   7.612138e+03   1.001573e+01
 4.300900e-04   7.420610e+03   9.418710e+00
 4.335100e-04   7.256476e+03   1.060965e+01
 4.369300e-04   7.109385e+03   8.720098e+00
 4.403500e-04   6.971761e+03   1.458884e+01
 4.437700e-04   6.791593e+03   1.549479e+01
 4.471900e-04   6.680405e+03   9.628600e+00
 4.506100e-04   6.529848e+03   1.427116e+01
 4.540300e-04   6.419504e+03   1.143278e+01
 4.574500e-04   6.295621e+03   1.332121e+01
