th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 7.793500e-05   0.000000e+00   0.000000e+00
 9.380500e-05   0.000000e+00   0.000000e+00
 1.096750e-04   0.000000e+00   0.000000e+00
 1.255450e-04   0.000000e+00   0.000000e+00
 1.414150e-04   0.000000e+00   0.000000e+00
 1.572850e-04   0.000000e+00   0.000000e+00
 1.731550e-04   0.000000e+00   0.000000e+00
 1.890250e-04   0.000000e+00   0.000000e+00
 2.048950e-04   0.000000e+00   0.000000e+00
 2.207650e-04   0.000000e+00   0.000000e+00
 2.366350e-04   0.000000e+00   0.000000e+00
 2.525050e-04   0.000000e+00   0.000000e+00
 2.683750e-04   0.000000e+00   0.000000e+00
 2.842450e-04   0.000000e+00   0.000000e+00
 3.001150e-04   2.452620e+02   5.818208e+00
 3.159850e-04   7.996033e+03   2.654670e+01
 3.318550e-04   1.450966e+04   1.665855e+01
 3.477250e-04   1.277194e+04   1.442657e+01
 3.635950e-04   1.129269e+04   1.726515e+01
 3.794650e-04   1.002136e+04   1.918701e+01
 3.953350e-04   8.942318e+03   1.295010e+01
 4.112050e-04   8.002740e+03   1.410031e+01
 4.270750e-04   7.198464e+03   1.223473e+01
 4.429450e-04   6.447493e+03   2.158682e+01
 4.588150e-04   5.864477e+03   1.316890e+01
 4.746850e-04   5.330841e+03   1.308044e+01
 4.905550e-04   4.848860e+03   1.691322e+01
 5.064250e-04   4.421259e+03   1.179007e+01
 5.222950e-04   4.031112e+03   1.814985e+01
 5.381650e-04   3.710924e+03   1.055701e+01
 5.540350e-04   3.417710e+03   1.148282e+01
 5.699050e-04   3.143912e+03   1.052589e+01
 5.857750e-04   2.894247e+03   8.473441e+00
 6.016450e-04   2.674411e+03   9.212355e+00
 6.175150e-04   2.479893e+03   1.048157e+01
 6.333850e-04   2.303063e+03   7.898868e+00
 6.492550e-04   2.123169e+03   9.892109e+00
 6.651250e-04   1.974077e+03   1.286961e+01
 6.809950e-04   1.841334e+03   7.955663e+00
 6.968650e-04   1.724297e+03   1.093196e+01
 7.127350e-04   1.604924e+03   1.144472e+01
 7.286050e-04   1.491230e+03   8.467673e+00
 7.444750e-04   1.395022e+03   7.763803e+00
 7.603450e-04   1.311038e+03   8.358556e+00
 7.762150e-04   1.226655e+03   7.241799e+00
 7.920850e-04   1.139788e+03   1.003347e+01
 8.079550e-04   1.080783e+03   6.756984e+00
