th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   2.658053e+02   3.435175e+01
 3.035500e-04   5.226293e+02   5.910961e+01
 3.069700e-04   4.660686e+02   1.956762e+01
 3.103900e-04   4.975092e+02   1.279734e+01
 3.138100e-04   6.200426e+02   4.656027e+01
 3.172300e-04   1.308072e+04   1.105069e+02
 3.206500e-04   1.624613e+04   3.907314e+01
 3.240700e-04   1.576355e+04   2.425179e+01
 3.274900e-04   1.534989e+04   2.371451e+01
 3.309100e-04   1.489447e+04   4.006151e+01
 3.343300e-04   1.461345e+04   4.030180e+01
 3.377500e-04   1.413155e+04   2.619285e+01
 3.411700e-04   1.369435e+04   3.166890e+01
 3.445900e-04   1.336964e+04   2.186566e+01
 3.480100e-04   1.298667e+04   3.439589e+01
 3.514300e-04   1.270145e+04   3.878521e+01
 3.548500e-04   1.232380e+04   2.491771e+01
 3.582700e-04   1.202787e+04   2.157144e+01
 3.616900e-04   1.174779e+04   2.678956e+01
 3.651100e-04   1.141982e+04   1.407431e+01
 3.685300e-04   1.115548e+04   2.718653e+01
 3.719500e-04   1.081410e+04   4.528757e+01
 3.753700e-04   1.065872e+04   3.118659e+01
 3.787900e-04   1.031661e+04   3.202833e+01
 3.822100e-04   1.009789e+04   4.890012e+01
 3.856300e-04   9.825480e+03   1.330226e+01
 3.890500e-04   9.592267e+03   2.258541e+01
 3.924700e-04   9.405076e+03   3.255776e+01
 3.958900e-04   9.150422e+03   7.641352e+01
 3.993100e-04   8.982505e+03   2.321886e+01
 4.027300e-04   8.748608e+03   2.395832e+01
 4.061500e-04   8.527044e+03   2.424918e+01
 4.095700e-04   8.377105e+03   4.534079e+01
 4.129900e-04   8.159193e+03   2.249880e+01
 4.164100e-04   7.995012e+03   1.641306e+01
 4.198300e-04   7.750579e+03   1.187058e+01
 4.232500e-04   7.636655e+03   2.268300e+01
 4.266700e-04   7.494968e+03   2.355686e+01
 4.300900e-04   7.265920e+03   1.846516e+01
 4.335100e-04   7.110596e+03   1.561473e+01
 4.369300e-04   6.963397e+03   2.495888e+01
 4.403500e-04   6.845707e+03   5.759814e+01
 4.437700e-04   6.707433e+03   2.573360e+01
 4.471900e-04   6.563058e+03   2.634509e+01
 4.506100e-04   6.414703e+03   2.389423e+01
 4.540300e-04   6.296840e+03   2.639976e+01
 4.574500e-04   6.135201e+03   1.593371e+01
