th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345775e-03   0.000000e+00   0.000000e+00
 1.347325e-03   0.000000e+00   0.000000e+00
 1.348875e-03   0.000000e+00   0.000000e+00
 1.350425e-03   2.291461e+02   1.035419e+00
 1.351975e-03   2.968802e+02   1.109887e+00
 1.353525e-03   2.926621e+02   9.983614e-01
 1.355075e-03   2.930003e+02   1.284270e+00
 1.356625e-03   2.940161e+02   9.703292e-01
 1.358175e-03   2.938090e+02   1.250365e+00
 1.359725e-03   2.883829e+02   1.505320e+00
 1.361275e-03   2.894842e+02   1.810913e+00
 1.362825e-03   2.900548e+02   1.464365e+00
 1.364375e-03   2.877943e+02   1.275662e+00
 1.365925e-03   2.858693e+02   1.380352e+00
 1.367475e-03   2.861641e+02   1.483169e+00
 1.369025e-03   2.862796e+02   1.628187e+00
 1.370575e-03   2.822929e+02   1.315980e+00
 1.372125e-03   2.826775e+02   1.289507e+00
 1.373675e-03   2.823398e+02   1.350673e+00
 1.375225e-03   2.809103e+02   1.386054e+00
 1.376775e-03   2.791416e+02   1.275370e+00
 1.378325e-03   2.829233e+02   1.327652e+00
 1.379875e-03   2.822148e+02   1.013446e+00
 1.381425e-03   2.774893e+02   1.372189e+00
 1.382975e-03   2.752471e+02   9.991573e-01
 1.384525e-03   2.756919e+02   1.339485e+00
 1.386075e-03   2.752788e+02   1.186382e+00
 1.387625e-03   2.762674e+02   1.226183e+00
 1.389175e-03   2.733531e+02   1.280408e+00
 1.390725e-03   2.706073e+02   1.362019e+00
 1.392275e-03   2.733333e+02   1.628969e+00
 1.393825e-03   2.672013e+02   1.283972e+00
 1.395375e-03   2.675369e+02   1.360939e+00
 1.396925e-03   2.714746e+02   1.386260e+00
 1.398475e-03   2.658293e+02   1.598125e+00
 1.400025e-03   2.653173e+02   1.392279e+00
 1.401575e-03   2.657889e+02   1.770810e+00
 1.403125e-03   2.655566e+02   1.571079e+00
 1.404675e-03   2.656604e+02   2.082456e+00
 1.406225e-03   2.637200e+02   1.360508e+00
 1.407775e-03   2.613529e+02   1.500759e+00
 1.409325e-03   2.640634e+02   1.644409e+00
 1.410875e-03   2.568704e+02   1.146190e+00
 1.412425e-03   2.628199e+02   1.368243e+00
 1.413975e-03   2.587155e+02   9.739794e-01
 1.415525e-03   2.521534e+02   2.272258e+00
 1.417075e-03   2.558471e+02   2.312628e+00
 1.418625e-03   2.531819e+02   1.442953e+00
 1.420175e-03   2.586051e+02   1.782881e+00
 1.421725e-03   2.550155e+02   1.913457e+00
 1.423275e-03   2.575301e+02   2.050229e+00
 1.424825e-03   2.496613e+02   1.327782e+00
 1.426375e-03   2.538007e+02   1.573319e+00
 1.427925e-03   2.521824e+02   1.381109e+00
 1.429475e-03   2.492024e+02   1.857223e+00
 1.431025e-03   2.543485e+02   2.006583e+00
 1.432575e-03   2.469647e+02   1.837468e+00
 1.434125e-03   2.469447e+02   1.522532e+00
 1.435675e-03   2.494545e+02   1.232205e+00
 1.437225e-03   2.449687e+02   1.324631e+00
 1.438775e-03   2.428905e+02   1.307989e+00
 1.440325e-03   2.453718e+02   1.599406e+00
 1.441875e-03   2.418523e+02   1.107995e+00
 1.443425e-03   2.485038e+02   1.707943e+00
 1.444975e-03   2.422105e+02   1.542066e+00
 1.446525e-03   2.425107e+02   1.429062e+00
 1.448075e-03   2.406817e+02   1.439334e+00
 1.449625e-03   2.394226e+02   1.899300e+00
 1.451175e-03   2.421849e+02   1.221129e+00
 1.452725e-03   2.382260e+02   1.601216e+00
 1.454275e-03   2.356619e+02   1.888932e+00
 1.455825e-03   2.374156e+02   1.810751e+00
 1.457375e-03   2.407841e+02   1.568459e+00
 1.458925e-03   2.347491e+02   1.699671e+00
 1.460475e-03   2.389047e+02   1.585904e+00
 1.462025e-03   2.302803e+02   2.079305e+00
 1.463575e-03   2.358334e+02   1.950925e+00
 1.465125e-03   2.305080e+02   1.345751e+00
 1.466675e-03   2.334265e+02   1.840645e+00
 1.468225e-03   2.291319e+02   1.878227e+00
 1.469775e-03   2.331134e+02   1.560287e+00
 1.471325e-03   2.304420e+02   1.720121e+00
 1.472875e-03   2.310433e+02   1.375940e+00
 1.474425e-03   2.297891e+02   2.307423e+00
 1.475975e-03   2.261345e+02   1.840470e+00
 1.477525e-03   2.297390e+02   2.011233e+00
 1.479075e-03   2.251928e+02   1.569272e+00
 1.480625e-03   2.236761e+02   1.988470e+00
 1.482175e-03   2.262496e+02   1.416447e+00
 1.483725e-03   2.245605e+02   1.599048e+00
 1.485275e-03   2.209853e+02   1.468614e+00
 1.486825e-03   2.231483e+02   1.947435e+00
 1.488375e-03   2.219873e+02   1.356364e+00
 1.489925e-03   2.241745e+02   1.378050e+00
 1.491475e-03   2.209650e+02   1.134816e+00
 1.493025e-03   2.220270e+02   1.359250e+00
 1.494575e-03   2.190279e+02   1.023219e+00
 1.496125e-03   2.197340e+02   1.733427e+00
 1.497675e-03   2.182560e+02   1.399341e+00
 1.499225e-03   2.154314e+02   1.859046e+00
 1.500775e-03   2.167518e+02   2.037044e+00
 1.502325e-03   2.136904e+02   1.603199e+00
 1.503875e-03   2.141325e+02   1.446700e+00
 1.505425e-03   2.165168e+02   1.338265e+00
 1.506975e-03   2.108797e+02   1.762102e+00
 1.508525e-03   2.139557e+02   1.906242e+00
 1.510075e-03   2.155122e+02   1.497359e+00
 1.511625e-03   2.102355e+02   1.597065e+00
 1.513175e-03   2.108662e+02   2.096832e+00
 1.514725e-03   2.099658e+02   1.399949e+00
 1.516275e-03   2.102751e+02   1.400153e+00
 1.517825e-03   2.081019e+02   1.617142e+00
 1.519375e-03   2.100846e+02   1.810017e+00
 1.520925e-03   2.066476e+02   1.767365e+00
 1.522475e-03   2.110870e+02   1.843621e+00
 1.524025e-03   2.062726e+02   2.100788e+00
 1.525575e-03   2.068779e+02   2.045695e+00
 1.527125e-03   2.078243e+02   1.393531e+00
 1.528675e-03   2.036366e+02   1.682170e+00
 1.530225e-03   2.070984e+02   1.635311e+00
 1.531775e-03   2.009192e+02   1.295758e+00
 1.533325e-03   2.082308e+02   1.521869e+00
 1.534875e-03   1.986012e+02   1.675065e+00
 1.536425e-03   2.020709e+02   1.636918e+00
 1.537975e-03   2.025984e+02   2.014094e+00
 1.539525e-03   1.995198e+02   2.116025e+00
 1.541075e-03   1.990697e+02   1.320096e+00
 1.542625e-03   1.959885e+02   1.499092e+00
 1.544175e-03   1.977626e+02   1.545834e+00
 1.545725e-03   1.972582e+02   1.039570e+00
 1.547275e-03   1.968740e+02   1.396626e+00
 1.548825e-03   1.965279e+02   1.592597e+00
 1.550375e-03   1.988119e+02   2.100887e+00
 1.551925e-03   1.950046e+02   1.827088e+00
 1.553475e-03   1.931155e+02   2.232714e+00
 1.555025e-03   1.950577e+02   1.856983e+00
 1.556575e-03   1.946391e+02   1.653303e+00
 1.558125e-03   1.932509e+02   1.923402e+00
 1.559675e-03   1.935359e+02   1.855205e+00
 1.561225e-03   1.936440e+02   1.326452e+00
 1.562775e-03   1.902448e+02   1.420276e+00
 1.564325e-03   1.914998e+02   1.696226e+00
 1.565875e-03   1.900750e+02   9.815145e-01
 1.567425e-03   1.911262e+02   1.302970e+00
 1.568975e-03   1.908618e+02   1.565608e+00
 1.570525e-03   1.869906e+02   1.795181e+00
 1.572075e-03   1.893359e+02   1.460772e+00
 1.573625e-03   1.872094e+02   1.456832e+00
 1.575175e-03   1.845186e+02   1.714095e+00
 1.576725e-03   1.881005e+02   1.752008e+00
 1.578275e-03   1.857215e+02   1.774914e+00
 1.579825e-03   1.863517e+02   1.202929e+00
 1.581375e-03   1.861707e+02   1.053455e+00
 1.582925e-03   1.854472e+02   1.347276e+00
 1.584475e-03   1.822970e+02   1.904404e+00
 1.586025e-03   1.837607e+02   1.321193e+00
 1.587575e-03   1.840958e+02   1.190700e+00
 1.589125e-03   1.817180e+02   1.503780e+00
 1.590675e-03   1.817507e+02   1.737796e+00
 1.592225e-03   1.804880e+02   1.471679e+00
 1.593775e-03   1.794702e+02   1.652567e+00
 1.595325e-03   1.824710e+02   1.413706e+00
 1.596875e-03   1.792644e+02   8.616087e-01
 1.598425e-03   1.794399e+02   8.200729e-01
 1.599975e-03   1.811637e+02   1.016241e+00
 1.601525e-03   1.758535e+02   1.440018e+00
 1.603075e-03   1.794513e+02   8.999649e-01
 1.604625e-03   1.758414e+02   1.087533e+00
 1.606175e-03   1.770752e+02   1.247965e+00
 1.607725e-03   1.771358e+02   9.703151e-01
 1.609275e-03   1.740653e+02   8.045768e-01
 1.610825e-03   1.773598e+02   1.425096e+00
 1.612375e-03   1.749984e+02   1.099583e+00
 1.613925e-03   1.742211e+02   1.003692e+00
 1.615475e-03   1.727564e+02   1.230396e+00
 1.617025e-03   1.750297e+02   1.388871e+00
 1.618575e-03   1.702084e+02   1.083715e+00
 1.620125e-03   1.718685e+02   7.112931e-01
 1.621675e-03   1.713298e+02   1.132428e+00
 1.623225e-03   1.730638e+02   1.120437e+00
 1.624775e-03   1.705050e+02   1.426559e+00
 1.626325e-03   1.704111e+02   1.159776e+00
 1.627875e-03   1.693426e+02   1.160667e+00
 1.629425e-03   1.687445e+02   1.113005e+00
 1.630975e-03   1.690563e+02   1.088463e+00
 1.632525e-03   1.679829e+02   1.016432e+00
 1.634075e-03   1.651813e+02   1.309245e+00
 1.635625e-03   1.702236e+02   1.357950e+00
 1.637175e-03   1.659531e+02   8.902280e-01
 1.638725e-03   1.632679e+02   1.313430e+00
 1.640275e-03   1.663610e+02   2.641945e+00
 1.641825e-03   1.665530e+02   5.110609e+00
 1.643375e-03   1.577076e+02   4.377017e+00
 1.644925e-03   1.624909e+02   4.218263e+00
 1.646475e-03   1.647151e+02   3.231167e+00
 1.648025e-03   1.567063e+02   4.946865e+00
 1.649575e-03   1.282008e+02   3.297334e+00
 1.651125e-03   0.000000e+00   0.000000e+00
 1.652675e-03   0.000000e+00   0.000000e+00
 1.654225e-03   0.000000e+00   0.000000e+00
 inf   0.000000e+00   0.000000e+00
