th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.348100e-03   4.094678e+01   6.795469e+00
 1.354300e-03   2.704943e+02   3.020719e+01
 1.360500e-03   1.930257e+02   2.778922e+01
 1.366700e-03   4.646959e+01   2.410894e+02
 1.372900e-03   3.883690e+02   2.495170e+02
 1.379100e-03   2.301809e+02   1.399920e+01
 1.385300e-03   2.384414e+02   1.562874e+01
 1.391500e-03   1.535079e+02   3.111117e+01
 1.397700e-03   2.268727e+02   1.593330e+01
 1.403900e-03   2.184624e+02   8.731502e+00
 1.410100e-03   1.458522e+02   5.111908e+01
 1.416300e-03   1.978047e+02   3.181410e+01
 1.422500e-03   3.068586e+02   1.202063e+02
 1.428700e-03   1.808165e+02   2.349408e+01
 1.434900e-03   2.059939e+02   1.824366e+01
 1.441100e-03   9.225003e+01   1.164732e+02
 1.447300e-03   2.021391e+02   1.568726e+01
 1.453500e-03   1.779114e+02   9.766435e+00
 1.459700e-03   1.960703e+02   5.024993e+00
 1.465900e-03   2.238412e+02   5.564622e+01
 1.472100e-03   1.938990e+02   9.879944e+00
 1.478300e-03   2.017372e+02   2.266359e+01
 1.484500e-03   2.103647e+02   3.330456e+01
 1.490700e-03   1.677604e+02   3.606721e+00
 1.496900e-03   1.902604e+02   2.145317e+01
 1.503100e-03   1.693705e+02   1.134991e+01
 1.509300e-03   1.474046e+02   2.930478e+01
 1.515500e-03   1.968660e+02   3.548602e+01
 1.521700e-03   1.595342e+02   2.176566e+00
 1.527900e-03   1.907015e+02   2.485947e+01
 1.534100e-03   1.596388e+02   6.121722e+00
 1.540300e-03   1.642607e+02   5.080453e+00
 1.546500e-03   1.776660e+02   3.252174e+01
 1.552700e-03   1.306924e+02   1.646633e+01
 1.558900e-03   1.763309e+02   2.566007e+01
 1.565100e-03   1.496840e+02   4.902885e+00
 1.571300e-03   1.447072e+02   3.056103e+00
 1.577500e-03   1.486640e+02   9.883548e+00
 1.583700e-03   1.788579e+02   2.445607e+01
 1.589900e-03   1.386006e+02   1.778450e+01
 1.596100e-03   1.559375e+02   7.450761e+00
 1.602300e-03   1.143522e+02   2.399703e+01
 1.608500e-03   8.148736e+02   7.957199e+02
 1.614700e-03   5.295481e+01   4.678608e+01
 1.620900e-03   1.049272e+02   3.658619e+01
 1.627100e-03   2.618585e+01   4.152389e+01
 1.633300e-03   1.506818e+02   1.537150e+02
 1.639500e-03   1.443201e+02   8.743061e+01
 1.645700e-03   8.010246e+01   3.365224e+01
 1.651900e-03   1.256410e+01   5.584588e+00
 inf   0.000000e+00   0.000000e+00
