th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   3.177129e+02   8.513117e+01
 1.350890e-03   2.392587e+02   1.385383e+01
 1.351510e-03   2.424420e+02   6.844044e+00
 1.352130e-03   2.429727e+02   1.141956e+01
 1.352750e-03   2.288200e+02   9.346903e+00
 1.353370e-03   2.579795e+02   2.711540e+01
 1.353990e-03   2.114799e+02   2.102821e+01
 1.354610e-03   2.388869e+02   2.204376e+01
 1.355230e-03   2.475750e+02   7.931131e+00
 1.355850e-03   2.399885e+02   9.101302e+00
 1.356470e-03   2.142802e+02   1.173013e+01
 1.357090e-03   2.253937e+02   2.268903e+01
 1.357710e-03  -1.212658e+02   3.693079e+02
 1.358330e-03   5.993561e+02   3.649127e+02
 1.358950e-03   2.295962e+02   1.452655e+01
 1.359570e-03   2.397307e+02   6.108782e+00
 1.360190e-03   2.370745e+02   4.459059e+00
 1.360810e-03   2.240418e+02   7.513156e+00
 1.361430e-03   2.427202e+02   1.656436e+01
 1.362050e-03   2.169927e+02   2.146296e+01
 1.362670e-03   2.355400e+02   1.445831e+01
 1.363290e-03   2.417914e+02   6.827069e+00
 1.363910e-03   1.902655e+02   4.278304e+01
 1.364530e-03  -1.395661e+03   1.617280e+03
 1.365150e-03   2.220129e+02   4.971049e+00
 1.365770e-03  -1.061580e+03   1.281238e+03
 1.366390e-03   2.719821e+02   1.878948e+03
 1.367010e-03  -4.573042e+02   6.255252e+02
 1.367630e-03   2.087594e+03   1.328802e+03
 1.368250e-03   2.395382e+02   8.937255e+00
 1.368870e-03   2.281642e+02   8.316554e+00
 1.369490e-03   3.337299e+02   8.238054e+01
 1.370110e-03   2.363913e+02   7.544356e+00
 1.370730e-03   2.078036e+02   2.321299e+01
 1.371350e-03   2.057114e+02   1.442671e+01
 1.371970e-03   2.194601e+02   1.265601e+01
 1.372590e-03   2.198696e+02   9.745962e+00
 1.373210e-03   1.864014e+02   4.370280e+01
 1.373830e-03   7.020576e+01   1.692462e+02
 1.374450e-03   2.651843e+02   3.363432e+01
 1.375070e-03   1.533849e+02   5.334123e+01
 1.375690e-03   2.241376e+02   7.428475e+00
 1.376310e-03   2.243840e+02   1.055390e+01
 1.376930e-03   2.256468e+02   6.901153e+00
 1.377550e-03   2.397742e+02   1.504902e+01
 1.378170e-03   2.358054e+02   1.083822e+01
