th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 1.345310e-03   0.000000e+00   0.000000e+00
 1.345930e-03   0.000000e+00   0.000000e+00
 1.346550e-03   0.000000e+00   0.000000e+00
 1.347170e-03   0.000000e+00   0.000000e+00
 1.347790e-03   0.000000e+00   0.000000e+00
 1.348410e-03   0.000000e+00   0.000000e+00
 1.349030e-03   0.000000e+00   0.000000e+00
 1.349650e-03   0.000000e+00   0.000000e+00
 1.350270e-03   2.424137e+02   1.460543e+02
 1.350890e-03   3.523963e+02   8.391337e+01
 1.351510e-03   2.401722e+02   1.289045e+01
 1.352130e-03   2.259529e+02   7.219845e+01
 1.352750e-03   3.039582e+02   4.816142e+01
 1.353370e-03   2.686194e+02   4.002621e+01
 1.353990e-03   2.379308e+02   3.770848e+01
 1.354610e-03   3.910431e+02   1.883789e+02
 1.355230e-03   2.656613e+02   2.778737e+01
 1.355850e-03   2.099851e+02   3.119408e+01
 1.356470e-03   3.347426e+02   5.514630e+01
 1.357090e-03   2.432282e+02   3.408086e+01
 1.357710e-03   2.351476e+02   5.334675e+01
 1.358330e-03   2.213245e+02   3.452954e+01
 1.358950e-03   3.186015e+02   7.241808e+01
 1.359570e-03   2.772266e+02   3.632927e+01
 1.360190e-03   3.020712e+02   1.541246e+02
 1.360810e-03   1.639329e+02   6.627870e+01
 1.361430e-03   3.283694e+02   6.811530e+01
 1.362050e-03   1.969312e+02   2.828067e+01
 1.362670e-03   3.196352e+02   6.928905e+01
 1.363290e-03   2.428307e+02   2.420433e+01
 1.363910e-03   1.621241e+02   6.046817e+01
 1.364530e-03   2.765751e+02   4.172040e+01
 1.365150e-03   2.689939e+02   7.975164e+01
 1.365770e-03   2.281795e+02   4.874576e+01
 1.366390e-03   6.630244e+02   2.620913e+02
 1.367010e-03   2.470960e+02   1.032225e+01
 1.367630e-03   2.647856e+02   3.224081e+01
 1.368250e-03   2.010066e+02   1.578744e+01
 1.368870e-03   2.543675e+02   6.950805e+01
 1.369490e-03   1.274018e+02   1.137170e+02
 1.370110e-03   2.323764e+02   3.301774e+01
 1.370730e-03   2.614269e+02   2.322370e+01
 1.371350e-03   3.233178e+02   8.973086e+01
 1.371970e-03   1.221547e+02   9.810058e+01
 1.372590e-03   2.483960e+02   1.324684e+01
 1.373210e-03   1.618824e+02   8.272273e+01
 1.373830e-03   1.566248e+02   5.908150e+01
 1.374450e-03   1.693169e+02   5.937717e+01
 1.375070e-03   2.555032e+02   1.719088e+01
 1.375690e-03   2.143107e+02   1.858211e+01
 1.376310e-03   3.066952e+02   5.933236e+01
 1.376930e-03   1.404761e+02   1.540646e+02
 1.377550e-03   2.090912e+02   1.623100e+01
 1.378170e-03   3.530778e+02   1.621021e+02
