th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   1.055016e+04   1.026622e+01
 3.035500e-04   1.914671e+04   1.296494e+01
 3.069700e-04   1.858625e+04   9.918059e+00
 3.103900e-04   1.803954e+04   9.110921e+00
 3.138100e-04   1.752060e+04   7.190741e+00
 3.172300e-04   1.701539e+04   9.108567e+00
 3.206500e-04   1.653478e+04   6.271790e+00
 3.240700e-04   1.608280e+04   9.372099e+00
 3.274900e-04   1.564703e+04   1.055845e+01
 3.309100e-04   1.519846e+04   6.102540e+00
 3.343300e-04   1.478139e+04   9.974022e+00
 3.377500e-04   1.438901e+04   7.101959e+00
 3.411700e-04   1.400833e+04   7.537395e+00
 3.445900e-04   1.363808e+04   7.745486e+00
 3.480100e-04   1.327214e+04   6.489672e+00
 3.514300e-04   1.292998e+04   7.455872e+00
 3.548500e-04   1.259725e+04   5.918128e+00
 3.582700e-04   1.227839e+04   7.833409e+00
 3.616900e-04   1.198122e+04   8.584447e+00
 3.651100e-04   1.167096e+04   6.292633e+00
 3.685300e-04   1.137699e+04   7.620621e+00
 3.719500e-04   1.109661e+04   5.356655e+00
 3.753700e-04   1.083815e+04   7.614904e+00
 3.787900e-04   1.057182e+04   7.094354e+00
 3.822100e-04   1.030960e+04   7.451097e+00
 3.856300e-04   1.007334e+04   6.255904e+00
 3.890500e-04   9.843674e+03   6.437309e+00
 3.924700e-04   9.605489e+03   6.571712e+00
 3.958900e-04   9.368872e+03   6.046401e+00
 3.993100e-04   9.161678e+03   8.618810e+00
 4.027300e-04   8.960451e+03   7.001425e+00
 4.061500e-04   8.744571e+03   8.013666e+00
 4.095700e-04   8.564186e+03   7.054338e+00
 4.129900e-04   8.356687e+03   6.797341e+00
 4.164100e-04   8.164846e+03   5.417181e+00
 4.198300e-04   7.998110e+03   6.856370e+00
 4.232500e-04   7.833221e+03   5.596304e+00
 4.266700e-04   7.665794e+03   6.277223e+00
 4.300900e-04   7.501777e+03   6.390700e+00
 4.335100e-04   7.336891e+03   6.736317e+00
 4.369300e-04   7.176721e+03   6.718682e+00
 4.403500e-04   7.014248e+03   4.985265e+00
 4.437700e-04   6.891032e+03   6.103668e+00
 4.471900e-04   6.738155e+03   4.668100e+00
 4.506100e-04   6.609770e+03   5.596081e+00
 4.540300e-04   6.465904e+03   5.207711e+00
 4.574500e-04   6.329109e+03   6.413617e+00
