th3_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
 2.967100e-04   0.000000e+00   0.000000e+00
 3.001300e-04   1.053033e+04   7.745054e+00
 3.035500e-04   1.914311e+04   1.039659e+01
 3.069700e-04   1.856427e+04   9.866276e+00
 3.103900e-04   1.802980e+04   8.975794e+00
 3.138100e-04   1.751533e+04   7.733361e+00
 3.172300e-04   1.700432e+04   6.864921e+00
 3.206500e-04   1.651778e+04   4.554227e+00
 3.240700e-04   1.605216e+04   9.155217e+00
 3.274900e-04   1.563157e+04   8.580180e+00
 3.309100e-04   1.518260e+04   4.642063e+00
 3.343300e-04   1.478014e+04   8.173809e+00
 3.377500e-04   1.436797e+04   6.133232e+00
 3.411700e-04   1.398397e+04   5.480914e+00
 3.445900e-04   1.362191e+04   6.619700e+00
 3.480100e-04   1.327010e+04   7.202881e+00
 3.514300e-04   1.290509e+04   6.875712e+00
 3.548500e-04   1.259056e+04   7.831640e+00
 3.582700e-04   1.227480e+04   6.421647e+00
 3.616900e-04   1.194496e+04   5.794168e+00
 3.651100e-04   1.166242e+04   6.663894e+00
 3.685300e-04   1.136546e+04   6.057647e+00
 3.719500e-04   1.108355e+04   7.110136e+00
 3.753700e-04   1.082033e+04   6.377404e+00
 3.787900e-04   1.057416e+04   6.244486e+00
 3.822100e-04   1.028648e+04   4.868765e+00
 3.856300e-04   1.005546e+04   4.737941e+00
 3.890500e-04   9.816228e+03   5.090219e+00
 3.924700e-04   9.598045e+03   6.126743e+00
 3.958900e-04   9.370799e+03   5.520320e+00
 3.993100e-04   9.150748e+03   4.887976e+00
 4.027300e-04   8.935081e+03   7.430546e+00
 4.061500e-04   8.732405e+03   5.362045e+00
 4.095700e-04   8.547335e+03   5.676176e+00
 4.129900e-04   8.348097e+03   5.930047e+00
 4.164100e-04   8.174495e+03   6.339290e+00
 4.198300e-04   7.991433e+03   5.140459e+00
 4.232500e-04   7.808970e+03   5.922184e+00
 4.266700e-04   7.649724e+03   5.040898e+00
 4.300900e-04   7.481046e+03   6.528677e+00
 4.335100e-04   7.331333e+03   5.384010e+00
 4.369300e-04   7.166375e+03   6.246838e+00
 4.403500e-04   7.017096e+03   6.043560e+00
 4.437700e-04   6.875567e+03   5.475186e+00
 4.471900e-04   6.713217e+03   5.365983e+00
 4.506100e-04   6.599420e+03   6.441465e+00
 4.540300e-04   6.462590e+03   4.901305e+00
 4.574500e-04   6.319079e+03   6.129965e+00
