th5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.750000e-04   0.000000e+00   0.000000e+00
-1.250000e-04   0.000000e+00   0.000000e+00
 1.250000e-04   1.024427e+00   8.585459e-01
 3.750000e-04   2.700829e+00   1.977954e+00
 6.250000e-04   6.425228e+00   5.646313e+00
 8.750000e-04   1.474859e+01   1.253550e+01
 1.125000e-03   8.750698e+00   7.748465e+00
 1.375000e-03   9.322429e+00   7.679052e+00
 1.625000e-03   6.139964e+00   4.979338e+00
 1.875000e-03   4.256987e+00   3.550559e+00
 2.125000e-03   3.361978e+00   2.775868e+00
 2.375000e-03   1.999690e+00   1.944698e+00
 2.625000e-03   1.186668e+00   1.083479e+00
 2.875000e-03   2.370443e+00   1.971180e+00
 3.125000e-03   2.197046e+00   1.903784e+00
 3.375000e-03   1.750562e+00   1.408541e+00
 3.625000e-03   1.488220e+00   1.290703e+00
 3.875000e-03   8.608232e-01   5.780518e-01
 4.125000e-03   8.364716e-01   8.353029e-01
 4.375000e-03   8.441975e+00   8.441975e+00
 4.625000e-03   0.000000e+00   0.000000e+00
 4.875000e-03   0.000000e+00   0.000000e+00
 5.125000e-03   1.376621e+00   1.376621e+00
 5.375000e-03   2.728102e+00   2.728102e+00
 5.625000e-03   0.000000e+00   0.000000e+00
 5.875000e-03   0.000000e+00   0.000000e+00
 6.125000e-03   0.000000e+00   0.000000e+00
 6.375000e-03   0.000000e+00   0.000000e+00
 6.625000e-03   1.253237e-01   1.253237e-01
 6.875000e-03   4.551821e-02   4.551821e-02
 7.125000e-03   0.000000e+00   0.000000e+00
 7.375000e-03   0.000000e+00   0.000000e+00
 7.625000e-03   0.000000e+00   0.000000e+00
 7.875000e-03   2.376224e-01   2.027183e-01
 8.125000e-03   2.116137e-01   2.116137e-01
 8.375000e-03   1.633699e-01   1.241282e-01
 8.625000e-03   1.937038e-02   1.937038e-02
 8.875000e-03   2.322799e-01   1.652871e-01
 9.125000e-03   1.174662e-01   8.753743e-02
 9.375000e-03   2.770365e-02   2.131968e-02
 9.625000e-03   4.230764e-04   4.230764e-04
 9.875000e-03   9.659737e-03   9.659710e-03
 1.012500e-02   0.000000e+00   0.000000e+00
 1.037500e-02   2.887254e-02   2.887253e-02
 1.062500e-02   1.036020e-02   1.036020e-02
 1.087500e-02   3.293983e-01   3.096821e-01
 1.112500e-02   8.170846e-05   8.170846e-05
 1.137500e-02   1.217254e-04   1.217254e-04
 1.162500e-02   6.796001e-03   6.795984e-03
 1.187500e-02   6.215722e-02   4.897198e-02
 inf   1.808978e-04   1.800044e-04
