th5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.750000e-04   0.000000e+00   0.000000e+00
-1.250000e-04  -3.484354e+02   4.609212e+01
 1.250000e-04   5.164091e+00   2.737044e-01
 3.750000e-04   2.205409e+01   1.594762e+00
 6.250000e-04   4.543273e+01   5.219438e+00
 8.750000e-04   5.455935e+01   4.028816e+00
 1.125000e-03   5.048075e+01   3.855913e+00
 1.375000e-03   4.330212e+01   2.962415e+00
 1.625000e-03   3.347779e+01   2.358486e+00
 1.875000e-03   2.448893e+01   1.498719e+00
 2.125000e-03   1.710394e+01   1.579329e+00
 2.375000e-03   1.471003e+01   1.061432e+00
 2.625000e-03   1.186111e+01   1.266206e+00
 2.875000e-03   9.724932e+00   7.628907e-01
 3.125000e-03   6.939131e+00   4.968576e-01
 3.375000e-03   7.743610e+00   6.299762e-01
 3.625000e-03   7.738986e+00   7.252173e-01
 3.875000e-03   5.869793e+00   3.794431e-01
 4.125000e-03   5.543478e+00   6.407035e-01
 4.375000e-03   3.700865e+00   3.647399e-01
 4.625000e-03   2.900615e+00   2.479942e-01
 4.875000e-03   3.149081e+00   3.979441e-01
 5.125000e-03   2.172310e+00   2.235441e-01
 5.375000e-03   1.753361e+00   2.954169e-01
 5.625000e-03   1.724392e+00   2.169910e-01
 5.875000e-03   1.454910e+00   2.244960e-01
 6.125000e-03   1.664921e+00   2.718110e-01
 6.375000e-03   1.046407e+00   1.328164e-01
 6.625000e-03   1.179868e+00   1.566122e-01
 6.875000e-03   1.092628e+00   1.499567e-01
 7.125000e-03   9.716319e-01   1.181372e-01
 7.375000e-03   9.686754e-01   1.577303e-01
 7.625000e-03   8.289358e-01   1.799385e-01
 7.875000e-03   9.553266e-01   1.926774e-01
 8.125000e-03   4.872547e-01   1.269758e-01
 8.375000e-03   3.516346e-01   7.320212e-02
 8.625000e-03   6.452056e-01   1.383845e-01
 8.875000e-03   2.975285e-01   8.004953e-02
 9.125000e-03   3.084191e-01   5.642438e-02
 9.375000e-03   2.228259e-01   4.251721e-02
 9.625000e-03   1.654417e-01   3.905182e-02
 9.875000e-03   2.079388e-01   5.432811e-02
 1.012500e-02   2.429026e-01   5.624318e-02
 1.037500e-02   1.279188e-01   2.232793e-02
 1.062500e-02   3.017227e-01   7.160042e-02
 1.087500e-02   9.021587e-02   1.244307e-02
 1.112500e-02   2.264793e-01   7.425243e-02
 1.137500e-02   8.208038e-02   1.772093e-02
 1.162500e-02   3.704825e-02   1.007801e-02
 1.187500e-02   9.024944e-02   2.839838e-02
 inf   4.501390e-04   8.036741e-05
