th5_cms bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-3.750000e-04   0.000000e+00   0.000000e+00
-1.250000e-04   0.000000e+00   0.000000e+00
 1.250000e-04   0.000000e+00   0.000000e+00
 3.750000e-04   0.000000e+00   0.000000e+00
 6.250000e-04   2.211390e-02   1.912313e-02
 8.750000e-04   3.994547e-02   3.863119e-02
 1.125000e-03   2.892132e-02   1.994928e-02
 1.375000e-03   1.454895e-02   1.454895e-02
 1.625000e-03   8.230941e-02   8.230941e-02
 1.875000e-03   1.228894e-01   1.180524e-01
 2.125000e-03   1.139820e-01   1.136104e-01
 2.375000e-03   7.466302e-02   5.226092e-02
 2.625000e-03   8.052364e-02   5.983233e-02
 2.875000e-03   2.058278e-01   1.865405e-01
 3.125000e-03   6.881267e-02   4.831620e-02
 3.375000e-03   1.195827e-01   1.082940e-01
 3.625000e-03   1.387961e-01   9.818451e-02
 3.875000e-03   1.627938e-01   1.117027e-01
 4.125000e-03   1.654497e-01   1.505572e-01
 4.375000e-03   7.935245e-02   6.806017e-02
 4.625000e-03   3.897936e-02   3.884302e-02
 4.875000e-03   2.093747e-01   1.396024e-01
 5.125000e-03   5.224112e-01   3.486525e-01
 5.375000e-03   6.089345e-02   5.998041e-02
 5.625000e-03   1.104832e-01   8.602599e-02
 5.875000e-03   4.797937e-02   4.207089e-02
 6.125000e-03   2.840165e-01   2.430081e-01
 6.375000e-03   1.414143e-01   1.207095e-01
 6.625000e-03   2.884991e-01   2.264755e-01
 6.875000e-03   1.193274e-01   8.810927e-02
 7.125000e-03   2.390362e-01   2.263370e-01
 7.375000e-03   4.647733e-01   3.098494e-01
 7.625000e-03   3.007798e-01   2.605934e-01
 7.875000e-03   9.411223e-01   8.713519e-01
 8.125000e-03   3.178454e-02   2.516892e-02
 8.375000e-03   9.723015e-02   8.189601e-02
 8.625000e-03   4.309467e-01   3.518684e-01
 8.875000e-03   5.798738e-01   5.480598e-01
 9.125000e-03   6.964221e-01   5.221874e-01
 9.375000e-03   8.807913e-01   8.502940e-01
 9.625000e-03   5.990240e-01   5.990240e-01
 9.875000e-03   1.960426e-01   1.789948e-01
 1.012500e-02   3.962571e-01   3.962571e-01
 1.037500e-02   4.673813e-01   4.332557e-01
 1.062500e-02   3.073119e-01   2.520849e-01
 1.087500e-02   3.121566e-01   2.650653e-01
 1.112500e-02   1.352731e-01   1.148513e-01
 1.137500e-02   8.005300e-01   7.882086e-01
 1.162500e-02   1.263394e+00   1.195633e+00
 1.187500e-02   6.230594e-01   5.140266e-01
 inf   1.780310e-02   1.500102e-02
