th5_lab bin centers    value    Error 
-inf   0.000000e+00   0.000000e+00
-4.687500e-04   0.000000e+00   0.000000e+00
-4.062500e-04   0.000000e+00   0.000000e+00
-3.437500e-04   0.000000e+00   0.000000e+00
-2.812500e-04   0.000000e+00   0.000000e+00
-2.187500e-04   0.000000e+00   0.000000e+00
-1.562500e-04   0.000000e+00   0.000000e+00
-9.375000e-05   0.000000e+00   0.000000e+00
-3.125000e-05  -2.059215e+03   1.494411e+02
 3.125000e-05   1.704371e+00   1.032541e-01
 9.375000e-05   5.115377e+00   2.808183e-01
 1.562500e-04   9.035734e+00   2.873231e-01
 2.187500e-04   1.336071e+01   3.815735e-01
 2.812500e-04   1.891568e+01   1.040685e+00
 3.437500e-04   2.250726e+01   8.380062e-01
 4.062500e-04   3.081713e+01   2.168340e+00
 4.687500e-04   3.867358e+01   1.615076e+00
 5.312500e-04   4.612749e+01   2.767279e+00
 5.937500e-04   4.412054e+01   1.160183e+00
 6.562500e-04   5.283406e+01   1.908824e+00
 7.187500e-04   6.089877e+01   4.507264e+00
 7.812500e-04   5.949068e+01   2.215041e+00
 8.437500e-04   6.561273e+01   2.236878e+00
 9.062500e-04   6.741081e+01   2.622725e+00
 9.687500e-04   7.584049e+01   4.414788e+00
 1.031250e-03   7.306540e+01   2.575306e+00
 1.093750e-03   7.034003e+01   2.907105e+00
 1.156250e-03   7.209596e+01   3.208402e+00
 1.218750e-03   5.953387e+01   1.314623e+00
 1.281250e-03   8.696601e+01   8.356023e+00
 1.343750e-03   6.281381e+01   2.916150e+00
 1.406250e-03   6.193823e+01   2.965408e+00
 1.468750e-03   6.745777e+01   5.750326e+00
 1.531250e-03   4.811853e+01   2.121904e+00
 1.593750e-03   5.164619e+01   3.754870e+00
 1.656250e-03   4.214936e+01   1.515397e+00
 1.718750e-03   3.826737e+01   1.395060e+00
 1.781250e-03   4.155476e+01   2.597356e+00
 1.843750e-03   3.221081e+01   1.254689e+00
 1.906250e-03   3.302117e+01   1.742393e+00
 1.968750e-03   3.383754e+01   2.068329e+00
 2.031250e-03   3.258124e+01   1.860546e+00
 2.093750e-03   2.883678e+01   1.164194e+00
 2.156250e-03   2.868581e+01   1.374527e+00
 2.218750e-03   2.471489e+01   9.544904e-01
 2.281250e-03   2.676294e+01   1.259423e+00
 2.343750e-03   2.731316e+01   2.732292e+00
 2.406250e-03   2.646618e+01   1.818953e+00
 2.468750e-03   2.652737e+01   2.265816e+00
 2.531250e-03   2.082743e+01   7.676797e-01
 2.593750e-03   2.256839e+01   1.522347e+00
 2.656250e-03   2.415200e+01   2.602640e+00
 2.718750e-03   1.945803e+01   9.645451e-01
 2.781250e-03   2.096339e+01   1.704339e+00
 2.843750e-03   1.909044e+01   1.116221e+00
 2.906250e-03   1.773741e+01   1.232637e+00
 2.968750e-03   1.515762e+01   4.969419e-01
 3.031250e-03   1.640811e+01   5.664929e-01
 3.093750e-03   1.659136e+01   8.386898e-01
 3.156250e-03   1.550602e+01   7.066687e-01
 3.218750e-03   1.484535e+01   6.516683e-01
 3.281250e-03   1.411284e+01   6.844335e-01
 3.343750e-03   1.337162e+01   5.112958e-01
 3.406250e-03   1.438081e+01   8.954242e-01
 3.468750e-03   1.331568e+01   4.519607e-01
 3.531250e-03   1.235467e+01   2.867674e-01
 3.593750e-03   1.355839e+01   7.350342e-01
 3.656250e-03   1.365804e+01   6.788275e-01
 3.718750e-03   1.290918e+01   7.927640e-01
 3.781250e-03   1.153206e+01   5.361502e-01
 3.843750e-03   1.126278e+01   4.451493e-01
 3.906250e-03   1.007237e+01   2.489836e-01
 3.968750e-03   1.150968e+01   7.153360e-01
 4.031250e-03   9.120802e+00   1.455763e-01
 4.093750e-03   8.687340e+00   1.905140e-01
 4.156250e-03   8.656585e+00   2.784975e-01
 4.218750e-03   8.397880e+00   2.038954e-01
 4.281250e-03   8.034424e+00   1.924651e-01
 4.343750e-03   8.324761e+00   4.213651e-01
 4.406250e-03   8.030749e+00   2.768165e-01
 4.468750e-03   7.932457e+00   3.718912e-01
 4.531250e-03   6.788600e+00   2.856562e-01
 4.593750e-03   6.424823e+00   1.367566e-01
 4.656250e-03   7.122164e+00   3.949788e-01
 4.718750e-03   5.735765e+00   9.137756e-02
 4.781250e-03   5.770153e+00   1.257860e-01
 4.843750e-03   6.248130e+00   1.819574e-01
 4.906250e-03   5.586780e+00   1.902410e-01
 4.968750e-03   5.682062e+00   2.391518e-01
 5.031250e-03   5.512595e+00   2.212911e-01
 5.093750e-03   5.209719e+00   1.324027e-01
 5.156250e-03   5.021157e+00   1.759101e-01
 5.218750e-03   4.721379e+00   1.290901e-01
 5.281250e-03   4.599546e+00   1.888201e-01
 5.343750e-03   4.378978e+00   1.337585e-01
 5.406250e-03   4.302237e+00   9.683672e-02
 5.468750e-03   3.984646e+00   1.452651e-01
 5.531250e-03   4.028609e+00   1.142237e-01
 5.593750e-03   3.827399e+00   1.059188e-01
 5.656250e-03   4.173739e+00   1.381107e-01
 5.718750e-03   3.752224e+00   1.009408e-01
 5.781250e-03   3.617398e+00   1.007154e-01
 5.843750e-03   3.468189e+00   1.578490e-01
 5.906250e-03   3.344920e+00   1.020447e-01
 5.968750e-03   3.359774e+00   2.022044e-01
 6.031250e-03   3.241635e+00   1.248969e-01
 6.093750e-03   2.862588e+00   1.048222e-01
 6.156250e-03   3.107085e+00   1.157323e-01
 6.218750e-03   2.910294e+00   5.792577e-02
 6.281250e-03   3.033917e+00   1.588194e-01
 6.343750e-03   2.734855e+00   7.977613e-02
 6.406250e-03   2.852659e+00   1.492286e-01
 6.468750e-03   2.789246e+00   1.690741e-01
 6.531250e-03   3.343760e+00   2.929740e-01
 6.593750e-03   2.754298e+00   2.067709e-01
 6.656250e-03   2.297808e+00   5.842215e-02
 6.718750e-03   2.568880e+00   1.225129e-01
 6.781250e-03   2.542179e+00   1.534023e-01
 6.843750e-03   2.133079e+00   5.652314e-02
 6.906250e-03   2.357621e+00   1.268570e-01
 6.968750e-03   2.135591e+00   9.074302e-02
 7.031250e-03   1.967740e+00   4.329518e-02
 7.093750e-03   1.916721e+00   5.663950e-02
 7.156250e-03   1.849434e+00   7.344734e-02
 7.218750e-03   1.842076e+00   6.526150e-02
 7.281250e-03   1.908918e+00   1.074697e-01
 7.343750e-03   1.731729e+00   5.895289e-02
 7.406250e-03   1.725292e+00   8.293974e-02
 7.468750e-03   1.723347e+00   7.568837e-02
 7.531250e-03   1.558589e+00   6.960802e-02
 7.593750e-03   1.580597e+00   9.279105e-02
 7.656250e-03   1.718157e+00   1.065229e-01
 7.718750e-03   1.639879e+00   6.355118e-02
 7.781250e-03   1.576681e+00   8.300495e-02
 7.843750e-03   1.675729e+00   1.200343e-01
 7.906250e-03   1.322725e+00   4.149005e-02
 7.968750e-03   1.495111e+00   9.055024e-02
 8.031250e-03   1.354269e+00   5.276368e-02
 8.093750e-03   1.406507e+00   7.501845e-02
 8.156250e-03   1.251470e+00   4.081475e-02
 8.218750e-03   1.220574e+00   6.201867e-02
 8.281250e-03   1.293315e+00   7.700528e-02
 8.343750e-03   1.202269e+00   6.138847e-02
 8.406250e-03   1.159278e+00   4.807058e-02
 8.468750e-03   1.061197e+00   3.686276e-02
 8.531250e-03   1.187640e+00   5.799127e-02
 8.593750e-03   1.210960e+00   6.405369e-02
 8.656250e-03   1.056828e+00   5.417613e-02
 8.718750e-03   1.001877e+00   2.478693e-02
 8.781250e-03   1.052648e+00   7.224365e-02
 8.843750e-03   1.099222e+00   4.964148e-02
 8.906250e-03   9.828369e-01   4.385015e-02
 8.968750e-03   9.485297e-01   3.263889e-02
 9.031250e-03   9.452172e-01   5.894933e-02
 9.093750e-03   8.946619e-01   2.768205e-02
 9.156250e-03   9.128863e-01   3.701652e-02
 9.218750e-03   8.476312e-01   3.266438e-02
 9.281250e-03   9.101052e-01   6.071848e-02
 9.343750e-03   9.286568e-01   7.239403e-02
 9.406250e-03   7.537004e-01   2.727626e-02
 9.468750e-03   7.996899e-01   3.517863e-02
 9.531250e-03   8.723510e-01   4.332333e-02
 9.593750e-03   7.162422e-01   2.273245e-02
 9.656250e-03   7.961661e-01   6.066401e-02
 9.718750e-03   6.941788e-01   2.754032e-02
 9.781250e-03   7.873315e-01   4.609572e-02
 9.843750e-03   7.370290e-01   2.692870e-02
 9.906250e-03   7.559972e-01   3.887636e-02
 9.968750e-03   7.479540e-01   6.156086e-02
 1.003125e-02   7.360862e-01   5.618215e-02
 1.009375e-02   6.572565e-01   3.816837e-02
 1.015625e-02   5.841101e-01   1.525252e-02
 1.021875e-02   6.943423e-01   4.184473e-02
 1.028125e-02   5.876674e-01   1.151019e-02
 1.034375e-02   6.001809e-01   2.653540e-02
 1.040625e-02   6.997539e-01   4.803952e-02
 1.046875e-02   6.355941e-01   4.277166e-02
 1.053125e-02   5.794348e-01   1.585441e-02
 1.059375e-02   5.319673e-01   2.519319e-02
 1.065625e-02   6.430333e-01   3.913314e-02
 1.071875e-02   4.628047e-01   1.340960e-02
 1.078125e-02   5.139768e-01   1.660617e-02
 1.084375e-02   5.511888e-01   2.944983e-02
 1.090625e-02   6.095282e-01   4.351161e-02
 1.096875e-02   5.365046e-01   3.496934e-02
 1.103125e-02   4.710952e-01   1.337586e-02
 1.109375e-02   4.760258e-01   2.081797e-02
 1.115625e-02   4.358630e-01   2.201477e-02
 1.121875e-02   4.803044e-01   2.168910e-02
 1.128125e-02   4.875854e-01   3.084350e-02
 1.134375e-02   4.540665e-01   1.569678e-02
 1.140625e-02   4.137664e-01   1.669150e-02
 1.146875e-02   4.091118e-01   1.847188e-02
 1.153125e-02   3.812500e-01   1.538715e-02
 1.159375e-02   3.784571e-01   1.859731e-02
 1.165625e-02   4.571327e-01   3.413376e-02
 1.171875e-02   3.934897e-01   2.437084e-02
 1.178125e-02   4.685562e-01   3.887267e-02
 1.184375e-02   3.698617e-01   1.392458e-02
 1.190625e-02   3.391064e-01   2.166420e-02
 1.196875e-02   4.026137e-01   4.066157e-02
 inf   1.449052e-03   4.737494e-05
